CAN Message; 0x1b8:03008748c6a719df
Timestamp;Amplitude
1739209752.7357492;-45.120503652039325
1739209752.7357547;-38.13080360867914
1739209752.73576;-38.13080360867914
1739209752.7357655;-45.120503652039325
1739209752.7357707;-45.120503652039325
1739209752.7357762;-38.13080360867914
1739209752.7357814;-38.13080360867914
1739209752.7357867;-45.120503652039325
1739209752.7357922;-38.13080360867914
1739209752.7357974;-45.120503652039325
1739209752.735803;-45.120503652039325
1739209752.7358081;-38.13080360867914
1739209752.7358136;-45.120503652039325
1739209752.7358189;-45.120503652039325
1739209752.7358243;-31.141103565318915
1739209752.7358296;-35.57807855764607
1739209752.7358348;-38.13080360867914
1739209752.7358403;-38.13080360867914
1739209752.7358456;-38.13080360867914
1739209752.735851;-45.120503652039325
1739209752.7358563;-45.120503652039325
1739209752.7358618;-45.120503652039325
1739209752.735867;-38.13080360867914
1739209752.7358723;-33.981070128970906
1739209752.7358778;-38.13080360867914
1739209752.735883;-45.120503652039325
1739209752.7358885;-38.13080360867914
1739209752.7358937;-38.13080360867914
1739209752.7358992;-38.13080360867914
1739209752.7359045;-45.120503652039325
1739209752.7359097;-38.13080360867914
1739209752.7359152;-38.13080360867914
1739209752.7359204;-38.13080360867914
1739209752.735926;-38.13080360867914
1739209752.7359312;-38.13080360867914
1739209752.7359366;-38.13080360867914
1739209752.735942;-38.13080360867914
1739209752.7359474;-45.120503652039325
1739209752.7359526;-45.120503652039325
1739209752.7359579;-35.57807855764607
1739209752.7359633;-45.120503652039325
1739209752.7359686;-38.13080360867914
1739209752.735974;-38.13080360867914
1739209752.7359793;-38.13080360867914
1739209752.7359848;-38.13080360867914
1739209752.73599;-38.13080360867914
1739209752.7359953;-38.13080360867914
1739209752.7360008;-45.120503652039325
1739209752.736006;-45.120503652039325
1739209752.7360115;-45.120503652039325
1739209752.7360168;-45.120503652039325
1739209752.7360222;-45.120503652039325
1739209752.7360275;-38.13080360867914
1739209752.7360327;-38.13080360867914
1739209752.7360382;-33.981070128970906
1739209752.7360435;-45.120503652039325
1739209752.736049;-38.13080360867914
1739209752.7360542;-45.120503652039325
1739209752.7360597;-38.13080360867914
1739209752.736065;-45.120503652039325
1739209752.7360704;-45.120503652039325
1739209752.7360756;-45.120503652039325
1739209752.736081;-32.81601443825658
