Time [s],Channel 1
3.389807916,1
7.238166750,0
7.238176667,1
7.238178750,0
7.238188667,1
7.238190750,0
7.238194667,1
7.238198750,0
7.238208667,1
7.238210750,0
7.238220667,1
7.238222750,0
7.238226667,1
7.238228750,0
7.238232667,1
7.238234750,0
7.238244667,1
7.238248750,0
7.238258667,1
7.238260750,0
7.238264667,1
7.238268750,0
7.238270667,1
7.238276750,0
7.238284667,1
7.238286750,0
7.238288667,1
7.238296750,0
7.238298667,1
7.238308750,0
7.238318667,1
7.238320750,0
7.238322667,1
7.238328750,0
7.238330667,1
7.238332750,0
7.238336667,1
7.238340750,0
7.238342667,1
7.238344750,0
7.238346667,1
7.238348750,0
7.238350667,1
7.238356750,0
7.238358667,1
7.238366750,0
7.238370667,1
7.238374750,0
7.238376667,1
7.238378750,0
7.238382667,1
7.238388750,0
7.238390667,1
7.238394750,0
7.238398667,1
7.238406750,0
7.238416750,1
7.238422917,0
7.238424833,1
7.264557167,0
7.264567083,1
7.264569167,0
7.264579083,1
7.264581167,0
7.264585083,1
7.264589167,0
7.264599083,1
7.264601167,0
7.264611083,1
7.264613167,0
7.264617083,1
7.264623167,0
7.264627083,1
7.264629167,0
7.264635083,1
7.264637167,0
7.264647083,1
7.264649167,0
7.264653083,1
7.264655167,0
7.264657083,1
7.264659167,0
7.264661083,1
7.264663167,0
7.264665083,1
7.264671167,0
7.264681083,1
7.264683167,0
7.264689083,1
7.264693167,0
7.264695083,1
7.264701167,0
7.264703083,1
7.264709167,0
7.264711083,1
7.264717167,0
7.264721083,1
7.264725167,0
7.264727083,1
7.264729167,0
7.264733083,1
7.264735167,0
7.264743083,1
7.264745167,0
7.264747083,1
7.264749167,0
7.264751083,1
7.264759167,0
7.264761083,1
7.264771167,0
7.264777083,1
7.264785167,0
7.264789083,1
7.264793167,0
7.264795083,1
7.264797167,0
7.264799083,1
7.264801167,0
7.264805083,1
7.264809250,0
7.264811167,1
7.279232750,0
7.279242667,1
7.279244750,0
7.279254667,1
7.279256750,0
7.279260667,1
7.279264750,0
7.279274667,1
7.279276750,0
7.279286667,1
7.279288750,0
7.279290667,1
7.279296750,0
7.279298667,1
7.279304750,0
7.279310667,1
7.279312750,0
7.279322667,1
7.279328750,0
7.279332667,1
7.279336750,0
7.279344667,1
7.279346750,0
7.279354667,1
7.279364750,0
7.279370667,1
7.279372750,0
7.279376667,1
7.279380750,0
7.279382667,1
7.279386750,0
7.279390667,1
7.279396750,0
7.279402667,1
7.279404750,0
7.279408667,1
7.279410750,0
7.279418667,1
7.279426750,0
7.279428667,1
7.279430750,0
7.279436667,1
7.279438750,0
7.279448667,1
7.279450750,0
7.279454667,1
7.279456750,0
7.279458667,1
7.279464750,0
7.279466667,1
7.279468750,0
7.279470750,1
7.279474750,0
7.279476750,1
7.279478750,0
7.279480750,1
7.279484917,0
7.279486833,1
7.314849000,0
7.314858917,1
7.314861000,0
7.314870917,1
7.314873000,0
7.314876917,1
7.314881000,0
7.314890917,1
7.314893000,0
7.314900917,1
7.314905000,0
7.314906917,1
7.314913000,0
7.314914917,1
7.314919000,0
7.314924917,1
7.314927000,0
7.314936917,1
7.314939000,0
7.314948917,1
7.314951000,0
7.314960917,1
7.314963000,0
7.314972917,1
7.314975000,0
7.314984917,1
7.314989000,0
7.314990917,1
7.314993000,0
7.314994917,1
7.314997000,0
7.314998917,1
7.315003000,0
7.315012917,1
7.315017000,0
7.315018917,1
7.315021000,0
7.315022917,1
7.315027000,0
7.315030917,1
7.315041000,0
7.315042917,1
7.315047000,0
7.315050917,1
7.315053000,0
7.315062917,1
7.315067000,0
7.315072917,1
7.315077000,0
7.315078917,1
7.315083000,0
7.315088917,1
7.315093000,0
7.315098917,1
7.315103000,0
7.315106917,1
7.315109167,0
7.315111083,1
7.333853667,0
7.333863583,1
7.333865667,0
7.333875583,1
7.333877667,0
7.333881583,1
7.333885667,0
7.333895583,1
7.333897667,0
7.333905583,1
7.333907667,0
7.333909583,1
7.333911667,0
7.333913583,1
7.333915667,0
7.333925583,1
7.333927667,0
7.333931583,1
7.333933667,0
7.333943583,1
7.333945667,0
7.333951583,1
7.333953667,0
7.333963583,1
7.333965667,0
7.333975583,1
7.333979667,0
7.333981583,1
7.333987667,0
7.333997583,1
7.333999667,0
7.334007583,1
7.334009667,0
7.334015583,1
7.334017667,0
7.334019583,1
7.334023667,0
7.334025583,1
7.334035667,0
7.334037667,1
7.334041667,0
7.334051667,1
7.334055667,0
7.334059667,1
7.334061667,0
7.334065667,1
7.334067667,0
7.334073667,1
7.334075667,0
7.334077667,1
7.334079833,0
7.334087667,1
7.334091750,0
7.334093667,1
7.334097833,0
7.334099667,1
7.334109750,0
7.334111667,1
7.334113833,0
7.334115750,1
7.355437500,0
7.355447417,1
7.355449500,0
7.355459417,1
7.355461500,0
7.355465417,1
7.355469583,0
7.355479417,1
7.355481500,0
7.355491417,1
7.355495500,0
7.355499417,1
7.355503500,0
7.355513417,1
7.355515500,0
7.355517417,1
7.355519500,0
7.355529417,1
7.355531500,0
7.355541417,1
7.355543583,0
7.355553417,1
7.355555500,0
7.355565417,1
7.355571500,0
7.355573417,1
7.355575500,0
7.355577417,1
7.355579500,0
7.355587417,1
7.355589500,0
7.355591417,1
7.355601500,0
7.355603417,1
7.355605500,0
7.355609417,1
7.355615583,0
7.355619417,1
7.355623500,0
7.355627417,1
7.355629500,0
7.355631417,1
7.355633500,0
7.355639417,1
7.355643500,0
7.355645417,1
7.355647500,0
7.355655417,1
7.355659500,0
7.355665417,1
7.355669500,0
7.355671417,1
7.355675500,0
7.355677417,1
7.355681500,0
7.355685417,1
7.355687500,0
7.355693417,1
7.355695500,0
7.355697500,1
7.371100667,0
7.371110583,1
7.371112667,0
7.371122583,1
7.371124667,0
7.371128583,1
7.371132667,0
7.371142583,1
7.371144667,0
7.371152583,1
7.371154667,0
7.371156583,1
7.371158667,0
7.371160583,1
7.371162667,0
7.371172583,1
7.371174667,0
7.371178583,1
7.371180667,0
7.371190583,1
7.371192667,0
7.371202583,1
7.371204667,0
7.371214583,1
7.371216667,0
7.371224583,1
7.371226667,0
7.371228583,1
7.371230667,0
7.371234583,1
7.371236667,0
7.371240583,1
7.371246667,0
7.371248583,1
7.371250667,0
7.371252583,1
7.371254667,0
7.371260583,1
7.371266667,0
7.371270583,1
7.371276667,0
7.371278583,1
7.371280667,0
7.371282583,1
7.371286667,0
7.371290583,1
7.371292667,0
7.371298583,1
7.371300667,0
7.371302583,1
7.371306667,0
7.371316583,1
7.371318667,0
7.371320583,1
7.371326667,0
7.371328583,1
7.371336667,0
7.371338583,1
7.371342667,0
7.371346583,1
7.371348667,0
7.371350583,1
7.371354750,0
7.371356667,1
7.394142583,0
7.394152500,1
7.394154583,0
7.394164500,1
7.394166583,0
7.394170583,1
7.394174583,0
7.394184583,1
7.394186583,0
7.394194583,1
7.394198583,0
7.394200583,1
7.394206583,0
7.394208583,1
7.394212583,0
7.394218583,1
7.394220583,0
7.394230583,1
7.394232583,0
7.394242583,1
7.394244583,0
7.394254583,1
7.394256583,0
7.394256667,1
7.394256750,0
7.394266583,1
7.394268667,0
7.394270583,1
7.394274750,0
7.394280583,1
7.394282667,0
7.394284583,1
7.394286667,0
7.394290583,1
7.394292667,0
7.394296583,1
7.394298667,0
7.394300583,1
7.394304750,0
7.394306583,1
7.394308667,0
7.394310583,1
7.394316667,0
7.394320583,1
7.394324667,0
7.394328583,1
7.394332667,0
7.394336583,1
7.394338667,0
7.394344583,1
7.394346667,0
7.394356583,1
7.394360667,0
7.394370583,1
7.394372667,0
7.394376583,1
7.394378667,0
7.394380583,1
7.394384667,0
7.394386583,1
7.394394667,0
7.394396583,1
7.394398750,0
7.394400667,1
7.436245917,0
7.436255833,1
7.436257917,0
7.436267833,1
7.436269917,0
7.436273833,1
7.436277917,0
7.436287833,1
7.436289917,0
7.436297833,1
7.436301917,0
7.436303833,1
7.436309917,0
7.436311833,1
7.436315917,0
7.436321833,1
7.436323917,0
7.436333833,1
7.436335917,0
7.436345833,1
7.436347917,0
7.436357833,1
7.436359917,0
7.436367833,1
7.436377917,0
7.436379833,1
7.436385917,0
7.436387833,1
7.436392000,0
7.436393833,1
7.436397917,0
7.436399833,1
7.436401917,0
7.436411833,1
7.436419917,0
7.436421833,1
7.436423917,0
7.436425833,1
7.436427917,0
7.436429833,1
7.436431917,0
7.436433833,1
7.436437917,0
7.436439833,1
7.436449917,0
7.436453833,1
7.436461917,0
7.436465833,1
7.436469917,0
7.436475833,1
7.436477917,0
7.436485833,1
7.436493917,0
7.436495833,1
7.436497917,0
7.436499833,1
7.436502000,0
7.436503917,1
7.498102417,0
7.498112333,1
7.498114417,0
7.498124333,1
7.498126417,0
7.498130333,1
7.498134417,0
7.498144333,1
7.498146417,0
7.498154333,1
7.498158417,0
7.498160333,1
7.498166417,0
7.498168333,1
7.498172417,0
7.498178417,1
7.498180417,0
7.498190417,1
7.498192417,0
7.498202417,1
7.498204417,0
7.498214417,1
7.498216583,0
7.498224417,1
7.498226500,0
7.498232417,1
7.498240500,0
7.498244417,1
7.498248500,0
7.498250417,1
7.498252500,0
7.498254417,1
7.498264500,0
7.498266417,1
7.498270500,0
7.498274417,1
7.498280500,0
7.498282417,1
7.498288500,0
7.498296417,1
7.498298500,0
7.498300417,1
7.498302500,0
7.498304417,1
7.498308500,0
7.498314417,1
7.498316500,0
7.498320417,1
7.498322500,0
7.498330417,1
7.498334500,0
7.498336417,1
7.498338500,0
7.498342417,1
7.498346500,0
7.498352417,1
7.498354583,0
7.498356500,1
7.520839917,0
7.520849833,1
7.520851917,0
7.520861833,1
7.520863917,0
7.520867833,1
7.520871917,0
7.520881833,1
7.520883917,0
7.520893833,1
7.520897917,0
7.520901833,1
7.520905917,0
7.520915833,1
7.520917917,0
7.520919833,1
7.520921917,0
7.520931833,1
7.520933917,0
7.520943833,1
7.520945917,0
7.520955917,1
7.520957917,0
7.520967917,1
7.520977917,0
7.520978000,1
7.520978083,0
7.520981917,1
7.520983917,0
7.520985917,1
7.520987917,0
7.520988000,1
7.520988083,0
7.520995917,1
7.520998083,0
7.520999917,1
7.521010000,0
7.521013917,1
7.521024000,0
7.521027917,1
7.521030000,0
7.521039917,1
7.521042000,0
7.521045917,1
7.521048000,0
7.521051917,1
7.521054000,0
7.521057917,1
7.521064000,0
7.521065917,1
7.521072000,0
7.521075917,1
7.521080000,0
7.521089917,1
7.521094000,0
7.521095917,1
7.521098000,0
7.521103917,1
7.521106083,0
7.521108083,1
7.548630083,0
7.548640000,1
7.548642083,0
7.548652000,1
7.548654083,0
7.548658000,1
7.548662083,0
7.548672000,1
7.548674083,0
7.548682000,1
7.548686083,0
7.548688000,1
7.548694083,0
7.548696000,1
7.548700083,0
7.548706000,1
7.548708083,0
7.548718000,1
7.548720083,0
7.548730000,1
7.548732083,0
7.548742000,1
7.548744083,0
7.548752000,1
7.548754083,0
7.548756000,1
7.548766083,0
7.548768000,1
7.548772083,0
7.548774000,1
7.548776083,0
7.548780000,1
7.548788083,0
7.548794000,1
7.548798083,0
7.548802000,1
7.548804083,0
7.548810000,1
7.548818083,0
7.548828000,1
7.548832083,0
7.548834000,1
7.548840083,0
7.548844000,1
7.548846083,0
7.548848083,1
7.548852083,0
7.548854000,1
7.548856083,0
7.548866083,1
7.548872083,0
7.548876083,1
7.548878083,0
7.548882083,1
7.548886250,0
7.548888167,1
7.573307417,0
7.573317333,1
7.573319417,0
7.573329333,1
7.573331417,0
7.573335333,1
7.573339417,0
7.573349333,1
7.573351417,0
7.573359333,1
7.573361417,0
7.573363333,1
7.573365417,0
7.573367333,1
7.573369417,0
7.573379333,1
7.573381417,0
7.573385333,1
7.573387417,0
7.573397333,1
7.573399417,0
7.573407333,1
7.573411417,0
7.573421333,1
7.573423417,0
7.573429333,1
7.573437417,0
7.573439333,1
7.573441417,0
7.573443333,1
7.573445417,0
7.573447333,1
