CAN Message; 0x1bb:00008ca4e839df14
Timestamp;Amplitude
1739209775.9163797;-38.13080360867914
1739209775.9163835;-38.13080360867914
1739209775.9163873;-38.13080360867914
1739209775.9163911;-38.13080360867914
1739209775.916395;-38.13080360867914
1739209775.9163988;-45.120503652039325
1739209775.9164026;-35.57807855764607
1739209775.9164064;-35.57807855764607
1739209775.9164102;-38.13080360867914
1739209775.916414;-45.120503652039325
1739209775.9164178;-38.13080360867914
1739209775.9164217;-35.57807855764607
1739209775.9164255;-38.13080360867914
1739209775.9164293;-38.13080360867914
1739209775.916433;-38.13080360867914
1739209775.916437;-35.57807855764607
1739209775.9164405;-45.120503652039325
1739209775.9164443;-38.13080360867914
1739209775.916448;-33.981070128970906
1739209775.916452;-45.120503652039325
1739209775.9164557;-38.13080360867914
1739209775.9164596;-35.57807855764607
1739209775.9164634;-33.981070128970906
1739209775.9164672;-45.120503652039325
1739209775.916471;-45.120503652039325
1739209775.9164748;-38.13080360867914
1739209775.9164786;-45.120503652039325
1739209775.9164824;-45.120503652039325
1739209775.9164863;-45.120503652039325
1739209775.91649;-45.120503652039325
1739209775.916494;-30.49652367304973
1739209775.9164977;-45.120503652039325
1739209775.9165015;-45.120503652039325
1739209775.9165053;-35.57807855764607
1739209775.9165092;-38.13080360867914
1739209775.916513;-45.120503652039325
1739209775.9165168;-45.120503652039325
1739209775.9165206;-35.57807855764607
1739209775.9165244;-28.992665084841942
1739209775.9165282;-45.120503652039325
1739209775.916532;-38.13080360867914
1739209775.9165359;-35.57807855764607
1739209775.9165397;-38.13080360867914
1739209775.9165435;-45.120503652039325
1739209775.9165473;-45.120503652039325
1739209775.916551;-38.13080360867914
1739209775.916555;-45.120503652039325
1739209775.9165587;-38.13080360867914
1739209775.9165626;-38.13080360867914
1739209775.9165661;-38.13080360867914
1739209775.91657;-38.13080360867914
1739209775.9165738;-35.57807855764607
1739209775.9165776;-38.13080360867914
1739209775.9165814;-45.120503652039325
1739209775.9165852;-33.981070128970906
1739209775.916589;-45.120503652039325
1739209775.9165928;-45.120503652039325
1739209775.9165967;-45.120503652039325
1739209775.9166005;-38.13080360867914
1739209775.9166043;-45.120503652039325
1739209775.916608;-45.120503652039325
1739209775.916612;-45.120503652039325
1739209775.9166157;-30.49652367304973
1739209775.9166195;-38.13080360867914
