CAN Message; 0x98:0000fbe3552b7946
Timestamp;Amplitude
1739209733.743838;-35.57807855764607
1739209733.7438433;-38.13080360867914
1739209733.7438483;-38.13080360867914
1739209733.7438533;-38.13080360867914
1739209733.7438586;-45.120503652039325
1739209733.7438636;-38.13080360867914
1739209733.7438686;-45.120503652039325
1739209733.7438738;-38.13080360867914
1739209733.7438788;-33.981070128970906
1739209733.743884;-38.13080360867914
1739209733.743889;-38.13080360867914
1739209733.743894;-38.13080360867914
1739209733.7438993;-31.141103565318915
1739209733.7439044;-32.816014438256545
1739209733.7439094;-45.120503652039325
1739209733.7439146;-45.120503652039325
1739209733.7439196;-35.57807855764607
1739209733.7439246;-35.57807855764607
1739209733.7439299;-45.120503652039325
1739209733.7439349;-38.13080360867914
1739209733.7439399;-35.57807855764607
1739209733.7439451;-38.13080360867914
1739209733.7439501;-38.13080360867914
1739209733.7439554;-38.13080360867914
1739209733.7439604;-38.13080360867914
1739209733.7439654;-33.981070128970906
1739209733.7439706;-38.13080360867914
1739209733.7439756;-45.120503652039325
1739209733.7439806;-45.120503652039325
1739209733.743986;-38.13080360867914
1739209733.743991;-45.120503652039325
1739209733.743996;-45.120503652039325
1739209733.7440012;-35.57807855764607
1739209733.7440062;-35.57807855764607
1739209733.7440112;-38.13080360867914
1739209733.7440164;-45.120503652039325
1739209733.7440214;-38.13080360867914
1739209733.7440264;-35.57807855764607
1739209733.7440317;-33.981070128970906
1739209733.7440367;-45.120503652039325
1739209733.744042;-45.120503652039325
1739209733.744047;-38.13080360867914
1739209733.744052;-45.120503652039325
1739209733.7440572;-45.120503652039325
1739209733.7440622;-45.120503652039325
1739209733.7440672;-45.120503652039325
1739209733.7440724;-45.120503652039325
1739209733.7440774;-38.13080360867914
1739209733.7440825;-38.13080360867914
1739209733.7440877;-45.120503652039325
1739209733.7440927;-45.120503652039325
1739209733.7440977;-35.57807855764607
1739209733.744103;-38.13080360867914
1739209733.744108;-45.120503652039325
1739209733.744113;-38.13080360867914
1739209733.7441182;-33.981070128970906
1739209733.7441232;-32.816014438256545
1739209733.7441285;-33.981070128970906
1739209733.7441335;-45.120503652039325
1739209733.7441385;-45.120503652039325
1739209733.7441437;-38.13080360867914
1739209733.7441487;-45.120503652039325
1739209733.7441537;-45.120503652039325
1739209733.744159;-35.57807855764607
1739209733.744164;-45.120503652039325
1739209733.744169;-45.120503652039325
1739209733.7441742;-45.120503652039325
1739209733.7441792;-45.120503652039325
1739209733.7441843;-38.13080360867914
1739209733.7441895;-45.120503652039325
1739209733.7441945;-38.13080360867914
1739209733.7441998;-35.57807855764607
1739209733.7442048;-38.13080360867914
