CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.1277378;-38.13080360867914
1739209865.1277452;-45.120503652039325
1739209865.1277528;-38.13080360867914
1739209865.1277602;-38.13080360867914
1739209865.1277678;-38.13080360867914
1739209865.1277752;-38.13080360867914
1739209865.1277828;-38.13080360867914
1739209865.1277902;-33.981070128970906
1739209865.1277978;-45.120503652039325
1739209865.1278052;-38.13080360867914
1739209865.1278129;-45.120503652039325
1739209865.1278203;-45.120503652039325
1739209865.1278276;-45.120503652039325
1739209865.1278353;-38.13080360867914
1739209865.1278427;-45.120503652039325
1739209865.1278503;-38.13080360867914
1739209865.1278577;-35.57807855764607
1739209865.1278653;-45.120503652039325
1739209865.1278727;-45.120503652039325
1739209865.1278803;-45.120503652039325
1739209865.1278877;-33.981070128970906
1739209865.1278954;-45.120503652039325
1739209865.1279027;-38.13080360867914
1739209865.1279104;-33.981070128970906
1739209865.1279178;-38.13080360867914
1739209865.1279254;-38.13080360867914
1739209865.1279328;-38.13080360867914
1739209865.1279404;-30.49652367304973
1739209865.1279478;-35.57807855764607
1739209865.1279554;-45.120503652039325
1739209865.1279628;-45.120503652039325
1739209865.1279705;-38.13080360867914
1739209865.1279778;-35.57807855764607
1739209865.1279855;-38.13080360867914
1739209865.1279929;-38.13080360867914
1739209865.1280005;-33.981070128970956
1739209865.128008;-45.120503652039325
1739209865.1280155;-45.120503652039325
1739209865.128023;-45.120503652039325
1739209865.1280305;-45.120503652039325
1739209865.128038;-45.120503652039325
1739209865.1280456;-45.120503652039325
1739209865.128053;-45.120503652039325
1739209865.1280606;-26.991370085610736
1739209865.128068;-32.816014438256545
1739209865.1280756;-45.120503652039325
1739209865.128083;-38.13080360867914
1739209865.1280906;-38.13080360867914
1739209865.128098;-45.120503652039325
1739209865.1281056;-45.120503652039325
1739209865.128113;-45.120503652039325
1739209865.1281207;-45.120503652039325
1739209865.128128;-45.120503652039325
1739209865.1281357;-45.120503652039325
1739209865.128143;-45.120503652039325
1739209865.1281507;-45.120503652039325
1739209865.128158;-45.120503652039325
1739209865.1281657;-45.120503652039325
1739209865.128173;-38.13080360867914
1739209865.1281807;-45.120503652039325
1739209865.1281881;-45.120503652039325
1739209865.1281958;-45.120503652039325
1739209865.1282032;-45.120503652039325
1739209865.1282105;-45.120503652039325
1739209865.1282182;-38.13080360867914
1739209865.1282256;-38.13080360867914
1739209865.1282332;-45.120503652039325
1739209865.1282406;-28.21854285175415
1739209865.1282482;-31.141103565318893
1739209865.1282556;-45.120503652039325
1739209865.1282632;-45.120503652039325
1739209865.1282706;-38.13080360867914
1739209865.1282783;-45.120503652039325
1739209865.1282856;-45.120503652039325
1739209865.1282933;-45.120503652039325
1739209865.1283007;-45.120503652039325
1739209865.1283083;-45.120503652039325
1739209865.1283157;-38.13080360867914
1739209865.1283233;-38.13080360867914
1739209865.1283307;-38.13080360867914
1739209865.1283383;-38.13080360867914
1739209865.1283457;-35.57807855764607
1739209865.1283534;-38.13080360867914
1739209865.1283607;-38.13080360867914
1739209865.1283684;-33.981070128970906
1739209865.1283758;-45.120503652039325
1739209865.1283834;-45.120503652039325
1739209865.1283908;-45.120503652039325
1739209865.1283984;-45.120503652039325
1739209865.1284058;-45.120503652039325
1739209865.1284134;-45.120503652039325
1739209865.1284208;-45.120503652039325
1739209865.1284285;-38.13080360867914
1739209865.1284359;-38.13080360867914
1739209865.1284435;-38.13080360867914
1739209865.1284509;-35.57807855764607
1739209865.1284585;-33.981070128970906
1739209865.128466;-45.120503652039325
1739209865.1284735;-38.13080360867914
1739209865.128481;-38.13080360867914
1739209865.1284885;-45.120503652039325
1739209865.128496;-38.13080360867914
1739209865.1285036;-38.13080360867914
1739209865.128511;-38.13080360867914
1739209865.1285186;-38.13080360867914
1739209865.128526;-45.120503652039325
1739209865.1285336;-45.120503652039325
1739209865.128541;-45.120503652039325
1739209865.1285486;-38.13080360867914
1739209865.128556;-45.120503652039325
1739209865.1285636;-38.13080360867914
1739209865.128571;-38.13080360867914
1739209865.1285787;-33.981070128970906
1739209865.128586;-33.981070128970906
1739209865.1285934;-38.13080360867914
1739209865.128601;-38.13080360867914
1739209865.1286085;-45.120503652039325
1739209865.128616;-38.13080360867914
1739209865.1286235;-45.120503652039325
1739209865.128631;-45.120503652039325
1739209865.1286385;-38.13080360867914
1739209865.1286461;-45.120503652039325
1739209865.1286535;-38.13080360867914
1739209865.1286612;-35.57807855764607
1739209865.1286685;-32.816014438256545
1739209865.1286762;-45.120503652039325
1739209865.1286836;-45.120503652039325
1739209865.1286912;-35.57807855764607
1739209865.1286986;-38.13080360867914
1739209865.1287062;-38.13080360867914
1739209865.1287136;-38.13080360867914
1739209865.1287212;-45.120503652039325
1739209865.1287286;-45.120503652039325
1739209865.1287363;-45.120503652039325
1739209865.1287436;-38.13080360867914
1739209865.1287513;-45.120503652039325
1739209865.1287587;-45.120503652039325
1739209865.1287663;-38.13080360867914
1739209865.1287737;-38.13080360867914
1739209865.1287813;-45.120503652039325
1739209865.1287887;-45.120503652039325
1739209865.1287963;-45.120503652039325
1739209865.1288037;-45.120503652039325
1739209865.1288114;-45.120503652039325
1739209865.1288188;-38.13080360867914
1739209865.1288264;-45.120503652039325
1739209865.1288338;-45.120503652039325
1739209865.1288414;-35.57807855764607
1739209865.1288488;-38.13080360867914
1739209865.1288564;-38.13080360867914
1739209865.1288638;-38.13080360867914
1739209865.1288714;-38.13080360867914
1739209865.1288788;-33.981070128970906
1739209865.1288865;-38.13080360867914
1739209865.1288939;-45.120503652039325
1739209865.1289015;-45.120503652039325
1739209865.1289089;-45.120503652039325
1739209865.1289165;-38.13080360867914
1739209865.128924;-35.57807855764607
1739209865.1289315;-45.120503652039325
1739209865.128939;-38.13080360867914
1739209865.1289465;-38.13080360867914
1739209865.128954;-38.13080360867914
1739209865.1289616;-45.120503652039325
1739209865.128969;-35.57807855764607
1739209865.1289766;-33.981070128970906
1739209865.128984;-45.120503652039325
1739209865.1289914;-35.57807855764607
1739209865.128999;-31.141103565318915
1739209865.1290064;-45.120503652039325
1739209865.129014;-38.13080360867914
1739209865.1290214;-38.13080360867914
1739209865.129029;-45.120503652039325
1739209865.1290364;-38.13080360867914
1739209865.129044;-38.13080360867914
1739209865.1290514;-45.120503652039325
1739209865.129059;-38.13080360867914
1739209865.1290665;-38.13080360867914
1739209865.129074;-33.981070128970906
1739209865.1290815;-45.120503652039325
1739209865.129089;-38.13080360867914
1739209865.1290965;-33.981070128970906
1739209865.1291041;-45.120503652039325
1739209865.1291115;-38.13080360867914
1739209865.1291192;-38.13080360867914
1739209865.1291265;-38.13080360867914
1739209865.1291342;-45.120503652039325
1739209865.1291416;-45.120503652039325
1739209865.1291492;-45.120503652039325
1739209865.1291566;-45.120503652039325
1739209865.1291642;-45.120503652039325
1739209865.1291716;-38.13080360867914
1739209865.1291792;-45.120503652039325
1739209865.1291866;-45.120503652039325
