CAN Message; 0x77:25b2e37431149bd7
Timestamp;Amplitude
1739209811.8132327;-45.120503652039325
1739209811.8132389;-38.13080360867914
1739209811.8132453;-38.13080360867914
1739209811.8132515;-38.13080360867914
1739209811.8132577;-29.438486411369333
1739209811.813264;-45.120503652039325
1739209811.81327;-45.120503652039325
1739209811.8132765;-35.57807855764607
1739209811.8132827;-38.13080360867914
1739209811.813289;-38.13080360867914
1739209811.8132951;-35.57807855764607
1739209811.8133013;-33.981070128970906
1739209811.8133078;-31.141103565318893
1739209811.813314;-38.13080360867914
1739209811.8133202;-45.120503652039325
1739209811.8133264;-45.120503652039325
1739209811.8133326;-35.57807855764607
1739209811.813339;-45.120503652039325
1739209811.8133452;-45.120503652039325
1739209811.8133514;-45.120503652039325
1739209811.8133576;-35.57807855764607
1739209811.8133638;-38.13080360867914
1739209811.81337;-38.13080360867914
1739209811.8133764;-45.120503652039325
1739209811.8133826;-45.120503652039325
1739209811.8133888;-38.13080360867914
1739209811.813395;-45.120503652039325
1739209811.8134012;-38.13080360867914
1739209811.8134077;-27.8777449560314
1739209811.8134139;-33.981070128970906
1739209811.81342;-45.120503652039325
1739209811.8134263;-38.13080360867914
1739209811.8134325;-45.120503652039325
1739209811.813439;-38.13080360867914
1739209811.813445;-35.57807855764607
1739209811.8134513;-38.13080360867914
1739209811.8134575;-45.120503652039325
1739209811.8134637;-45.120503652039325
1739209811.8134701;-45.120503652039325
1739209811.8134763;-45.120503652039325
1739209811.8134825;-38.13080360867914
1739209811.8134887;-45.120503652039325
1739209811.813495;-45.120503652039325
1739209811.8135014;-38.13080360867914
1739209811.8135076;-45.120503652039325
1739209811.8135138;-38.13080360867914
1739209811.81352;-45.120503652039325
1739209811.8135262;-38.13080360867914
1739209811.8135326;-45.120503652039325
1739209811.8135388;-38.13080360867914
1739209811.813545;-35.57807855764607
1739209811.8135512;-38.13080360867914
1739209811.8135574;-35.57807855764607
1739209811.8135638;-38.13080360867914
1739209811.81357;-35.57807855764607
1739209811.8135762;-45.120503652039325
1739209811.8135824;-38.13080360867914
1739209811.8135886;-38.13080360867914
1739209811.813595;-45.120503652039325
1739209811.8136013;-38.13080360867914
1739209811.8136075;-45.120503652039325
1739209811.8136137;-38.13080360867914
1739209811.8136199;-38.13080360867914
1739209811.8136263;-45.120503652039325
1739209811.8136325;-45.120503652039325
1739209811.8136387;-38.13080360867914
1739209811.813645;-35.57807855764607
1739209811.813651;-38.13080360867914
1739209811.8136573;-38.13080360867914
1739209811.8136637;-38.13080360867914
1739209811.81367;-35.57807855764607
1739209811.813676;-38.13080360867914
1739209811.8136823;-45.120503652039325
1739209811.8136885;-45.120503652039325
1739209811.813695;-35.57807855764607
1739209811.8137012;-38.13080360867914
1739209811.8137074;-45.120503652039325
1739209811.8137136;-38.13080360867914
1739209811.8137197;-35.57807855764607
1739209811.8137262;-38.13080360867914
1739209811.8137324;-38.13080360867914
1739209811.8137386;-33.981070128970906
1739209811.8137448;-45.120503652039325
1739209811.813751;-38.13080360867914
1739209811.8137574;-45.120503652039325
1739209811.8137636;-38.13080360867914
1739209811.8137698;-35.57807855764607
1739209811.813776;-38.13080360867914
1739209811.8137822;-45.120503652039325
1739209811.8137887;-38.13080360867914
1739209811.8137949;-38.13080360867914
1739209811.813801;-45.120503652039325
1739209811.8138072;-45.120503652039325
1739209811.8138134;-33.981070128970906
1739209811.81382;-45.120503652039325
1739209811.813826;-45.120503652039325
1739209811.8138323;-45.120503652039325
1739209811.8138385;-38.13080360867914
1739209811.8138447;-35.57807855764607
1739209811.813851;-45.120503652039325
1739209811.8138573;-45.120503652039325
1739209811.8138635;-28.992665084841942
1739209811.8138697;-38.13080360867914
1739209811.813876;-45.120503652039325
1739209811.8138824;-45.120503652039325
1739209811.8138885;-38.13080360867914
1739209811.8138947;-45.120503652039325
1739209811.813901;-35.57807855764607
