CAN Message; 0x150:000073190e434e5f
Timestamp;Amplitude
1739209586.0812738;-45.120503652039325
1739209586.0812845;-45.120503652039325
1739209586.0812953;-45.120503652039325
1739209586.0813062;-38.13080360867914
1739209586.081317;-38.13080360867914
1739209586.0813277;-45.120503652039325
1739209586.0813384;-45.120503652039325
1739209586.0813491;-45.120503652039325
1739209586.0813599;-30.49652367304973
1739209586.0813706;-31.141103565318915
1739209586.0813816;-35.57807855764607
1739209586.0813923;-35.57807855764607
1739209586.081403;-38.13080360867914
1739209586.0814137;-35.57807855764607
1739209586.0814245;-45.120503652039325
1739209586.0814352;-38.13080360867914
1739209586.081446;-45.120503652039325
1739209586.0814567;-45.120503652039325
1739209586.0814676;-45.120503652039325
1739209586.0814784;-38.13080360867914
1739209586.081489;-38.13080360867914
1739209586.0814998;-38.13080360867914
1739209586.0815105;-45.120503652039325
1739209586.0815213;-45.120503652039325
1739209586.081532;-38.13080360867914
1739209586.081543;-35.57807855764607
1739209586.0815537;-35.57807855764607
1739209586.0815644;-38.13080360867914
1739209586.0815752;-45.120503652039325
1739209586.081586;-38.13080360867914
1739209586.0815966;-45.120503652039325
1739209586.0816073;-45.120503652039325
1739209586.0816183;-38.13080360867914
1739209586.081629;-38.13080360867914
1739209586.0816398;-45.120503652039325
1739209586.0816505;-45.120503652039325
1739209586.0816612;-35.57807855764607
1739209586.081672;-33.981070128970906
1739209586.0816827;-45.120503652039325
1739209586.0816934;-38.13080360867914
1739209586.0817044;-38.13080360867914
1739209586.081715;-45.120503652039325
1739209586.0817258;-38.13080360867914
1739209586.0817366;-38.13080360867914
1739209586.0817473;-38.13080360867914
1739209586.081758;-38.13080360867914
1739209586.0817688;-38.13080360867914
1739209586.0817797;-38.13080360867914
1739209586.0817904;-45.120503652039325
1739209586.0818012;-31.141103565318915
1739209586.081812;-45.120503652039325
1739209586.0818226;-45.120503652039325
1739209586.0818334;-38.13080360867914
1739209586.081844;-33.981070128970906
1739209586.081855;-45.120503652039325
1739209586.0818658;-45.120503652039325
1739209586.0818765;-38.13080360867914
1739209586.0818872;-38.13080360867914
1739209586.081898;-45.120503652039325
1739209586.0819087;-45.120503652039325
1739209586.0819194;-45.120503652039325
1739209586.0819302;-45.120503652039325
1739209586.0819411;-38.13080360867914
1739209586.0819519;-38.13080360867914
1739209586.0819626;-45.120503652039325
1739209586.0819733;-38.13080360867914
1739209586.081984;-35.57807855764607
1739209586.0819948;-45.120503652039325
1739209586.0820055;-45.120503652039325
1739209586.0820165;-32.816014438256545
1739209586.0820272;-45.120503652039325
1739209586.082038;-45.120503652039325
1739209586.0820487;-38.13080360867914
1739209586.0820594;-45.120503652039325
1739209586.08207;-45.120503652039325
1739209586.0820808;-38.13080360867914
1739209586.0820918;-45.120503652039325
1739209586.0821025;-45.120503652039325
1739209586.0821133;-38.13080360867914
1739209586.082124;-38.13080360867914
1739209586.0821347;-45.120503652039325
1739209586.0821455;-45.120503652039325
1739209586.0821562;-35.57807855764607
1739209586.082167;-38.13080360867914
1739209586.0821779;-38.13080360867914
1739209586.0821886;-38.13080360867914
1739209586.0821993;-32.816014438256545
1739209586.08221;-45.120503652039325
1739209586.0822208;-45.120503652039325
1739209586.0822315;-45.120503652039325
1739209586.0822423;-45.120503652039325
1739209586.0822532;-38.13080360867914
1739209586.082264;-33.981070128970906
1739209586.0822747;-45.120503652039325
1739209586.0822854;-45.120503652039325
1739209586.0822961;-38.13080360867914
1739209586.0823069;-38.13080360867914
1739209586.0823176;-38.13080360867914
1739209586.0823286;-38.13080360867914
1739209586.0823393;-38.13080360867914
1739209586.08235;-45.120503652039325
1739209586.0823607;-38.13080360867914
1739209586.0823715;-32.816014438256545
1739209586.0823822;-45.120503652039325
1739209586.082393;-45.120503652039325
1739209586.0824037;-38.13080360867914
1739209586.0824146;-38.13080360867914
1739209586.0824254;-38.13080360867914
1739209586.082436;-45.120503652039325
1739209586.0824468;-38.13080360867914
1739209586.0824575;-45.120503652039325
1739209586.0824683;-38.13080360867914
1739209586.082479;-35.57807855764607
1739209586.08249;-38.13080360867914
1739209586.0825007;-45.120503652039325
1739209586.0825114;-38.13080360867914
1739209586.0825222;-38.13080360867914
1739209586.082533;-38.13080360867914
1739209586.0825436;-38.13080360867914
1739209586.0825543;-45.120503652039325
1739209586.0825653;-45.120503652039325
1739209586.082576;-45.120503652039325
1739209586.0825868;-38.13080360867914
1739209586.0825975;-38.13080360867914
1739209586.0826082;-35.57807855764607
1739209586.082619;-45.120503652039325
1739209586.0826297;-45.120503652039325
1739209586.0826406;-38.13080360867914
1739209586.0826514;-35.57807855764607
1739209586.082662;-38.13080360867914
1739209586.0826728;-45.120503652039325
1739209586.0826836;-38.13080360867914
1739209586.0826943;-33.981070128970906
1739209586.082705;-45.120503652039325
1739209586.0827157;-45.120503652039325
1739209586.0827267;-38.13080360867914
