CAN Message; 0x1a7:00004af4b3bbb825
Timestamp;Amplitude
1739209702.2401364;-45.120503652039325
1739209702.2401426;-38.13080360867914
1739209702.2401488;-38.13080360867914
1739209702.240155;-33.981070128970906
1739209702.2401612;-31.141103565318915
1739209702.2401674;-45.120503652039325
1739209702.2401736;-45.120503652039325
1739209702.2401798;-38.13080360867914
1739209702.240186;-38.13080360867914
1739209702.2401922;-38.13080360867914
1739209702.2401984;-38.13080360867914
1739209702.2402046;-45.120503652039325
1739209702.2402108;-45.120503652039325
1739209702.240217;-45.120503652039325
1739209702.2402232;-45.120503652039325
1739209702.2402294;-45.120503652039325
1739209702.2402356;-45.120503652039325
1739209702.2402418;-38.13080360867914
1739209702.240248;-38.13080360867914
1739209702.2402542;-33.981070128970906
1739209702.2402604;-45.120503652039325
1739209702.2402666;-45.120503652039325
1739209702.2402728;-45.120503652039325
1739209702.240279;-38.13080360867914
1739209702.2402852;-38.13080360867914
1739209702.2402914;-45.120503652039325
1739209702.2402976;-38.13080360867914
1739209702.2403038;-38.13080360867914
1739209702.24031;-31.141103565318893
1739209702.2403162;-38.13080360867914
1739209702.2403224;-38.13080360867914
1739209702.2403286;-38.13080360867914
1739209702.2403347;-38.13080360867914
1739209702.240341;-38.13080360867914
1739209702.2403471;-45.120503652039325
1739209702.2403533;-45.120503652039325
1739209702.2403595;-33.981070128970956
1739209702.2403657;-45.120503652039325
1739209702.240372;-35.57807855764607
1739209702.2403781;-45.120503652039325
1739209702.2403843;-45.120503652039325
1739209702.2403905;-31.141103565318915
1739209702.2403967;-32.816014438256545
1739209702.240403;-45.120503652039325
1739209702.2404091;-29.438486411369333
1739209702.2404153;-38.13080360867914
1739209702.2404215;-45.120503652039325
1739209702.2404277;-38.13080360867914
1739209702.240434;-38.13080360867914
1739209702.2404401;-45.120503652039325
1739209702.2404463;-45.120503652039325
1739209702.2404525;-38.13080360867914
1739209702.2404587;-38.13080360867914
1739209702.240465;-45.120503652039325
1739209702.2404711;-45.120503652039325
1739209702.2404773;-45.120503652039325
1739209702.2404835;-45.120503652039325
1739209702.2404897;-38.13080360867914
1739209702.240496;-45.120503652039325
1739209702.240502;-38.13080360867914
1739209702.2405083;-45.120503652039325
1739209702.2405145;-45.120503652039325
1739209702.2405207;-38.13080360867914
1739209702.240527;-45.120503652039325
1739209702.240533;-38.13080360867914
1739209702.2405393;-45.120503652039325
1739209702.2405455;-38.13080360867914
1739209702.2405517;-45.120503652039325
1739209702.240558;-29.438486411369333
1739209702.240564;-32.816014438256545
1739209702.2405703;-38.13080360867914
1739209702.2405765;-38.13080360867914
1739209702.2405827;-32.816014438256545
1739209702.240589;-33.981070128970906
1739209702.240595;-35.57807855764607
1739209702.2406013;-33.981070128970906
1739209702.2406075;-38.13080360867914
1739209702.2406137;-45.120503652039325
1739209702.24062;-45.120503652039325
1739209702.240626;-45.120503652039325
1739209702.2406323;-38.13080360867914
1739209702.2406385;-38.13080360867914
1739209702.2406447;-38.13080360867914
1739209702.240651;-45.120503652039325
1739209702.240657;-38.13080360867914
1739209702.2406633;-35.57807855764607
