CAN Message; 0x77:293b84ffee5bd371
Timestamp;Amplitude
1739209593.4397788;-38.13080360867914
1739209593.439802;-45.120503652039325
1739209593.439825;-45.120503652039325
1739209593.4398484;-45.120503652039325
1739209593.4398715;-45.120503652039325
1739209593.4398947;-38.13080360867914
1739209593.4399178;-38.13080360867914
1739209593.439941;-38.13080360867914
1739209593.439964;-45.120503652039325
1739209593.4399874;-35.57807855764607
1739209593.4400105;-38.13080360867914
1739209593.4400337;-38.13080360867914
1739209593.4400568;-45.120503652039325
1739209593.44008;-38.13080360867914
1739209593.440103;-32.816014438256545
1739209593.4401264;-45.120503652039325
1739209593.4401495;-38.13080360867914
1739209593.4401727;-38.13080360867914
1739209593.4401958;-35.57807855764607
1739209593.440219;-45.120503652039325
1739209593.440242;-30.49652367304973
1739209593.4402654;-45.120503652039325
1739209593.4402885;-38.13080360867914
1739209593.4403117;-38.13080360867914
1739209593.4403348;-45.120503652039325
1739209593.440358;-38.13080360867914
1739209593.440381;-38.13080360867914
1739209593.4404044;-38.13080360867914
1739209593.4404275;-45.120503652039325
1739209593.4404507;-32.816014438256545
1739209593.4404738;-25.252786309376837
1739209593.440497;-38.13080360867914
1739209593.44052;-45.120503652039325
1739209593.4405434;-45.120503652039325
1739209593.4405665;-35.57807855764607
1739209593.4405897;-38.13080360867914
1739209593.4406128;-45.120503652039325
1739209593.440636;-45.120503652039325
1739209593.440659;-38.13080360867914
1739209593.4406824;-45.120503652039325
1739209593.4407055;-38.13080360867914
1739209593.4407287;-38.13080360867914
1739209593.4407518;-45.120503652039325
1739209593.440775;-38.13080360867914
1739209593.440798;-45.120503652039325
1739209593.4408214;-38.13080360867914
1739209593.4408445;-29.438486411369333
1739209593.4408677;-45.120503652039325
1739209593.4408908;-45.120503652039325
1739209593.440914;-38.13080360867914
1739209593.440937;-32.816014438256545
1739209593.4409602;-45.120503652039325
1739209593.4409835;-45.120503652039325
1739209593.4410067;-33.981070128970906
1739209593.4410298;-38.13080360867914
1739209593.441053;-38.13080360867914
1739209593.441076;-45.120503652039325
1739209593.4410992;-45.120503652039325
1739209593.4411225;-45.120503652039325
1739209593.4411457;-45.120503652039325
1739209593.4411688;-45.120503652039325
1739209593.441192;-45.120503652039325
1739209593.441215;-32.81601443825658
1739209593.4412382;-38.13080360867914
