CAN Message; 0x1bb:000070c05422f883
Timestamp;Amplitude
1739209632.417806;-45.120503652039325
1739209632.4178078;-45.120503652039325
1739209632.4178097;-35.57807855764607
1739209632.4178116;-38.13080360867914
1739209632.4178135;-45.120503652039325
1739209632.4178154;-38.13080360867914
1739209632.4178174;-31.14110356531892
1739209632.4178193;-38.13080360867914
1739209632.4178212;-45.120503652039325
1739209632.417823;-45.120503652039325
1739209632.417825;-35.57807855764607
1739209632.4178271;-35.57807855764607
1739209632.417829;-45.120503652039325
1739209632.417831;-38.13080360867914
1739209632.4178329;-27.267205301931607
1739209632.4178348;-38.13080360867914
1739209632.4178367;-38.13080360867914
1739209632.4178386;-45.120503652039325
1739209632.4178405;-38.13080360867914
1739209632.4178424;-38.13080360867914
1739209632.4178443;-45.120503652039325
1739209632.4178462;-45.120503652039325
1739209632.417848;-38.13080360867914
1739209632.41785;-38.13080360867914
1739209632.417852;-38.13080360867914
1739209632.4178538;-45.120503652039325
1739209632.4178557;-33.981070128970906
1739209632.4178576;-35.57807855764607
1739209632.4178596;-45.120503652039325
1739209632.4178615;-45.120503652039325
1739209632.4178634;-38.13080360867914
1739209632.4178653;-38.13080360867914
1739209632.4178672;-38.13080360867914
1739209632.417869;-45.120503652039325
1739209632.417871;-45.120503652039325
1739209632.4178731;-38.13080360867914
1739209632.417875;-38.13080360867914
1739209632.417877;-38.13080360867914
1739209632.4178789;-33.981070128970906
1739209632.4178808;-35.57807855764607
1739209632.4178827;-38.13080360867914
1739209632.4178846;-45.120503652039325
1739209632.4178865;-33.981070128970906
1739209632.4178884;-45.120503652039325
1739209632.4178903;-45.120503652039325
1739209632.4178922;-45.120503652039325
1739209632.4178941;-38.13080360867914
1739209632.417896;-45.120503652039325
1739209632.417898;-38.13080360867914
1739209632.4178998;-38.13080360867914
1739209632.4179018;-38.13080360867914
1739209632.4179037;-32.816014438256545
1739209632.4179056;-45.120503652039325
1739209632.4179075;-38.13080360867914
1739209632.4179094;-31.141103565318915
1739209632.4179113;-35.57807855764607
1739209632.4179132;-38.13080360867914
1739209632.417915;-45.120503652039325
1739209632.417917;-38.13080360867914
1739209632.4179192;-45.120503652039325
1739209632.417921;-38.13080360867914
1739209632.417923;-45.120503652039325
1739209632.417925;-38.13080360867914
1739209632.4179268;-35.57807855764607
1739209632.4179287;-38.13080360867914
1739209632.4179306;-35.57807855764607
1739209632.4179325;-38.13080360867914
1739209632.4179344;-32.816014438256545
1739209632.4179363;-38.13080360867914
1739209632.4179382;-38.13080360867914
1739209632.4179401;-38.13080360867914
1739209632.417942;-38.13080360867914
1739209632.417944;-45.120503652039325
1739209632.4179459;-45.120503652039325
1739209632.4179478;-45.120503652039325
1739209632.4179497;-45.120503652039325
1739209632.4179516;-38.13080360867914
1739209632.4179535;-45.120503652039325
1739209632.4179554;-45.120503652039325
1739209632.4179573;-45.120503652039325
1739209632.4179592;-35.57807855764607
1739209632.4179611;-35.57807855764607
1739209632.417963;-45.120503652039325
1739209632.4179652;-38.13080360867914
1739209632.417967;-38.13080360867914
1739209632.417969;-38.13080360867914
1739209632.417971;-38.13080360867914
1739209632.4179728;-33.981070128970906
1739209632.4179747;-38.13080360867914
1739209632.4179766;-38.13080360867914
1739209632.4179785;-45.120503652039325
1739209632.4179804;-38.13080360867914
1739209632.4179823;-35.57807855764607
1739209632.4179842;-45.120503652039325
1739209632.4179862;-38.13080360867914
1739209632.417988;-45.120503652039325
1739209632.41799;-45.120503652039325
1739209632.4179919;-45.120503652039325
1739209632.4179938;-33.981070128970906
1739209632.4179957;-38.13080360867914
1739209632.4179976;-45.120503652039325
1739209632.4179995;-45.120503652039325
1739209632.4180014;-45.120503652039325
1739209632.4180033;-33.981070128970906
1739209632.4180052;-35.57807855764607
1739209632.4180071;-38.13080360867914
1739209632.418009;-38.13080360867914
1739209632.4180112;-45.120503652039325
1739209632.418013;-38.13080360867914
1739209632.418015;-45.120503652039325
1739209632.418017;-35.57807855764607
1739209632.4180188;-38.13080360867914
1739209632.4180207;-45.120503652039325
1739209632.4180226;-33.981070128970906
1739209632.4180245;-45.120503652039325
1739209632.4180264;-45.120503652039325
1739209632.4180284;-45.120503652039325
1739209632.4180303;-38.13080360867914
1739209632.4180322;-45.120503652039325
1739209632.418034;-45.120503652039325
1739209632.418036;-38.13080360867914
1739209632.418038;-38.13080360867914
1739209632.4180398;-45.120503652039325
1739209632.4180417;-35.57807855764607
1739209632.4180436;-35.57807855764607
1739209632.4180455;-35.57807855764607
1739209632.4180474;-45.120503652039325
1739209632.4180493;-38.13080360867914
1739209632.4180512;-38.13080360867914
1739209632.4180532;-35.57807855764607
1739209632.4180553;-45.120503652039325
1739209632.4180572;-45.120503652039325
1739209632.418059;-38.13080360867914
1739209632.418061;-38.13080360867914
1739209632.418063;-38.13080360867914
1739209632.4180648;-35.57807855764607
1739209632.4180667;-38.13080360867914
1739209632.4180686;-45.120503652039325
1739209632.4180706;-45.120503652039325
1739209632.4180725;-38.13080360867914
1739209632.4180744;-45.120503652039325
1739209632.4180763;-45.120503652039325
1739209632.4180782;-45.120503652039325
1739209632.41808;-31.141103565318915
1739209632.418082;-33.981070128970906
1739209632.418084;-38.13080360867914
1739209632.4180858;-45.120503652039325
1739209632.4180877;-45.120503652039325
1739209632.4180896;-45.120503652039325
1739209632.4180915;-45.120503652039325
1739209632.4180934;-38.13080360867914
1739209632.4180954;-35.57807855764607
1739209632.4180973;-38.13080360867914
1739209632.4180992;-38.13080360867914
1739209632.4181013;-45.120503652039325
1739209632.4181032;-28.58837851428586
1739209632.4181051;-38.13080360867914
1739209632.418107;-45.120503652039325
1739209632.418109;-38.13080360867914
1739209632.4181108;-28.992665084841942
1739209632.4181128;-31.141103565318915
1739209632.4181147;-45.120503652039325
1739209632.4181166;-38.13080360867914
1739209632.4181185;-38.13080360867914
1739209632.4181204;-45.120503652039325
1739209632.4181223;-45.120503652039325
1739209632.4181242;-45.120503652039325
1739209632.418126;-38.13080360867914
1739209632.418128;-38.13080360867914
1739209632.41813;-38.13080360867914
1739209632.4181318;-35.57807855764607
1739209632.4181337;-33.981070128970906
1739209632.4181356;-45.120503652039325
1739209632.4181376;-45.120503652039325
1739209632.4181395;-38.13080360867914
1739209632.4181414;-38.13080360867914
