CAN Message; 0x150:0500da87515e4fcf
Timestamp;Amplitude
1739209627.6800454;-33.981070128970906
1739209627.6800525;-38.13080360867914
1739209627.68006;-45.120503652039325
1739209627.6800673;-45.120503652039325
1739209627.6800747;-45.120503652039325
1739209627.6800818;-45.120503652039325
1739209627.6800892;-45.120503652039325
1739209627.6800966;-45.120503652039325
1739209627.680104;-38.13080360867914
1739209627.6801112;-32.816014438256545
1739209627.6801186;-38.13080360867914
1739209627.680126;-38.13080360867914
1739209627.6801333;-38.13080360867914
1739209627.6801405;-45.120503652039325
1739209627.680148;-45.120503652039325
1739209627.6801553;-45.120503652039325
1739209627.6801624;-38.13080360867914
1739209627.6801698;-35.57807855764607
1739209627.6801772;-38.13080360867914
1739209627.6801846;-38.13080360867914
1739209627.6801918;-38.13080360867914
1739209627.6801991;-38.13080360867914
1739209627.6802065;-38.13080360867914
1739209627.680214;-35.57807855764607
1739209627.680221;-38.13080360867914
1739209627.6802285;-45.120503652039325
1739209627.6802359;-33.981070128970906
1739209627.6802433;-45.120503652039325
1739209627.6802504;-38.13080360867914
1739209627.6802578;-35.57807855764607
1739209627.6802652;-45.120503652039325
1739209627.6802723;-45.120503652039325
1739209627.6802797;-35.57807855764607
1739209627.6802871;-38.13080360867914
1739209627.6802945;-38.13080360867914
1739209627.6803017;-45.120503652039325
1739209627.680309;-35.57807855764607
1739209627.6803164;-35.57807855764607
1739209627.6803238;-38.13080360867914
1739209627.680331;-45.120503652039325
1739209627.6803384;-33.981070128970906
1739209627.6803458;-38.13080360867914
1739209627.6803532;-33.981070128970906
1739209627.6803603;-45.120503652039325
1739209627.6803677;-38.13080360867914
1739209627.680375;-35.57807855764607
1739209627.6803823;-38.13080360867914
1739209627.6803896;-45.120503652039325
1739209627.680397;-29.438486411369347
1739209627.6804044;-38.13080360867914
1739209627.6804116;-38.13080360867914
1739209627.680419;-45.120503652039325
1739209627.6804264;-38.13080360867914
1739209627.6804338;-35.57807855764607
1739209627.680441;-38.13080360867914
1739209627.6804483;-45.120503652039325
1739209627.6804557;-31.141103565318915
1739209627.680463;-38.13080360867914
1739209627.6804702;-38.13080360867914
1739209627.6804776;-45.120503652039325
1739209627.680485;-38.13080360867914
1739209627.6804922;-45.120503652039325
1739209627.6804996;-38.13080360867914
1739209627.680507;-45.120503652039325
1739209627.6805143;-38.13080360867914
1739209627.6805215;-38.13080360867914
1739209627.6805289;-45.120503652039325
1739209627.6805363;-45.120503652039325
1739209627.6805437;-45.120503652039325
1739209627.6805508;-45.120503652039325
1739209627.6805582;-38.13080360867914
1739209627.6805656;-45.120503652039325
1739209627.680573;-31.141103565318915
1739209627.6805801;-33.981070128970906
1739209627.6805875;-38.13080360867914
