CAN Message; 0x1d3:00003eb49c948f21
Timestamp;Amplitude
1739209671.8067563;-38.13080360867914
1739209671.806759;-45.120503652039325
1739209671.806762;-45.120503652039325
1739209671.8067648;-38.13080360867914
1739209671.8067677;-45.120503652039325
1739209671.8067706;-45.120503652039325
1739209671.8067737;-38.13080360867914
1739209671.8067765;-38.13080360867914
1739209671.8067794;-45.120503652039325
1739209671.8067822;-45.120503652039325
1739209671.806785;-45.120503652039325
1739209671.806788;-38.13080360867914
1739209671.8067908;-38.13080360867914
1739209671.8067937;-38.13080360867914
1739209671.8067966;-45.120503652039325
1739209671.8067994;-45.120503652039325
1739209671.8068023;-45.120503652039325
1739209671.8068051;-38.13080360867914
1739209671.806808;-38.13080360867914
1739209671.806811;-38.13080360867914
1739209671.806814;-35.57807855764607
1739209671.8068168;-32.816014438256545
1739209671.8068197;-35.57807855764607
1739209671.8068225;-45.120503652039325
1739209671.8068254;-38.13080360867914
1739209671.8068283;-33.981070128970906
1739209671.8068311;-38.13080360867914
1739209671.806834;-30.49652367304973
1739209671.8068368;-38.13080360867914
1739209671.8068397;-45.120503652039325
1739209671.8068426;-35.57807855764607
1739209671.8068454;-35.57807855764607
1739209671.8068485;-38.13080360867914
1739209671.8068514;-35.57807855764607
1739209671.8068542;-35.57807855764607
1739209671.806857;-38.13080360867914
1739209671.80686;-45.120503652039325
1739209671.8068628;-45.120503652039325
1739209671.8068657;-38.13080360867914
1739209671.8068686;-45.120503652039325
1739209671.8068714;-45.120503652039325
1739209671.8068743;-35.57807855764607
1739209671.8068771;-38.13080360867914
1739209671.80688;-45.120503652039325
1739209671.8068829;-45.120503652039325
1739209671.806886;-45.120503652039325
1739209671.8068888;-45.120503652039325
1739209671.8068917;-38.13080360867914
1739209671.8068945;-38.13080360867914
1739209671.8068974;-38.13080360867914
1739209671.8069003;-35.57807855764607
1739209671.8069031;-27.8777449560314
1739209671.806906;-32.816014438256545
1739209671.8069088;-45.120503652039325
1739209671.8069117;-38.13080360867914
1739209671.8069146;-35.57807855764607
1739209671.8069174;-38.13080360867914
1739209671.8069203;-45.120503652039325
1739209671.8069232;-38.13080360867914
1739209671.8069263;-45.120503652039325
1739209671.806929;-45.120503652039325
1739209671.806932;-45.120503652039325
1739209671.8069348;-38.13080360867914
1739209671.8069377;-45.120503652039325
1739209671.8069406;-38.13080360867914
1739209671.8069434;-45.120503652039325
1739209671.8069463;-45.120503652039325
1739209671.8069491;-28.21854285175415
1739209671.806952;-30.49652367304973
1739209671.8069549;-45.120503652039325
1739209671.8069577;-33.981070128970906
1739209671.8069606;-35.57807855764607
