CAN Message; 0x77:c78dd54d868c0af8
Timestamp;Amplitude
1739209649.6034904;-45.120503652039325
1739209649.6034966;-45.120503652039325
1739209649.6035025;-27.8777449560314
1739209649.6035085;-31.141103565318915
1739209649.6035147;-45.120503652039325
1739209649.6035206;-38.13080360867914
1739209649.6035266;-35.57807855764607
1739209649.6035326;-38.13080360867914
1739209649.6035388;-45.120503652039325
1739209649.6035447;-38.13080360867914
1739209649.6035507;-33.981070128970956
1739209649.6035569;-45.120503652039325
1739209649.6035628;-45.120503652039325
1739209649.6035688;-38.13080360867914
1739209649.603575;-38.13080360867914
1739209649.603581;-45.120503652039325
1739209649.603587;-45.120503652039325
1739209649.6035929;-45.120503652039325
1739209649.603599;-25.826314394896354
1739209649.603605;-31.141103565318915
1739209649.603611;-45.120503652039325
1739209649.6036172;-31.141103565318915
1739209649.6036232;-29.438486411369333
1739209649.603629;-35.57807855764607
1739209649.6036353;-45.120503652039325
1739209649.6036413;-38.13080360867914
1739209649.6036472;-38.13080360867914
1739209649.6036532;-45.120503652039325
1739209649.6036594;-38.13080360867914
1739209649.6036654;-45.120503652039325
1739209649.6036713;-45.120503652039325
1739209649.6036775;-38.13080360867914
1739209649.6036835;-45.120503652039325
1739209649.6036894;-45.120503652039325
1739209649.6036956;-33.981070128970906
1739209649.6037016;-33.981070128970906
1739209649.6037076;-38.13080360867914
1739209649.6037135;-45.120503652039325
1739209649.6037197;-45.120503652039325
1739209649.6037257;-38.13080360867914
1739209649.6037316;-38.13080360867914
1739209649.6037378;-33.981070128970906
1739209649.6037438;-45.120503652039325
1739209649.6037498;-38.13080360867914
1739209649.603756;-35.57807855764607
1739209649.603762;-38.13080360867914
1739209649.6037679;-45.120503652039325
1739209649.6037738;-38.13080360867914
1739209649.60378;-38.13080360867914
1739209649.603786;-38.13080360867914
1739209649.603792;-45.120503652039325
1739209649.6037982;-45.120503652039325
1739209649.603804;-38.13080360867914
1739209649.60381;-38.13080360867914
1739209649.6038163;-45.120503652039325
1739209649.6038222;-33.981070128970906
1739209649.6038282;-35.57807855764607
1739209649.6038342;-38.13080360867914
1739209649.6038404;-45.120503652039325
1739209649.6038463;-35.57807855764607
1739209649.6038523;-35.57807855764607
1739209649.6038585;-38.13080360867914
1739209649.6038644;-45.120503652039325
1739209649.6038704;-38.13080360867914
1739209649.6038766;-38.13080360867914
1739209649.6038826;-38.13080360867914
1739209649.6038885;-38.13080360867914
1739209649.6038945;-38.13080360867914
1739209649.6039007;-45.120503652039325
1739209649.6039066;-45.120503652039325
1739209649.6039126;-45.120503652039325
1739209649.6039188;-38.13080360867914
1739209649.6039248;-38.13080360867914
1739209649.6039307;-38.13080360867914
1739209649.603937;-45.120503652039325
1739209649.6039429;-45.120503652039325
1739209649.6039488;-38.13080360867914
1739209649.6039548;-45.120503652039325
1739209649.603961;-45.120503652039325
1739209649.603967;-35.57807855764607
1739209649.603973;-32.816014438256545
1739209649.603979;-38.13080360867914
1739209649.603985;-45.120503652039325
1739209649.603991;-38.13080360867914
1739209649.6039972;-45.120503652039325
1739209649.6040032;-38.13080360867914
1739209649.6040092;-38.13080360867914
1739209649.604015;-45.120503652039325
1739209649.6040213;-38.13080360867914
1739209649.6040273;-38.13080360867914
1739209649.6040332;-45.120503652039325
1739209649.6040394;-38.13080360867914
1739209649.6040454;-45.120503652039325
1739209649.6040514;-45.120503652039325
1739209649.6040576;-35.57807855764607
1739209649.6040635;-38.13080360867914
1739209649.6040695;-32.816014438256545
1739209649.6040754;-38.13080360867914
1739209649.6040816;-45.120503652039325
1739209649.6040876;-38.13080360867914
1739209649.6040936;-38.13080360867914
1739209649.6040998;-45.120503652039325
1739209649.6041057;-45.120503652039325
1739209649.6041117;-45.120503652039325
1739209649.6041179;-45.120503652039325
1739209649.6041238;-38.13080360867914
1739209649.6041298;-38.13080360867914
1739209649.6041358;-45.120503652039325
1739209649.604142;-38.13080360867914
1739209649.604148;-38.13080360867914
1739209649.6041539;-38.13080360867914
1739209649.60416;-38.13080360867914
1739209649.604166;-38.13080360867914
1739209649.604172;-38.13080360867914
1739209649.6041782;-45.120503652039325
1739209649.6041842;-38.13080360867914
1739209649.60419;-38.13080360867914
1739209649.604196;-45.120503652039325
1739209649.6042023;-45.120503652039325
1739209649.6042082;-45.120503652039325
1739209649.6042142;-38.13080360867914
1739209649.6042204;-45.120503652039325
1739209649.6042264;-45.120503652039325
1739209649.6042323;-45.120503652039325
1739209649.6042385;-45.120503652039325
1739209649.6042445;-45.120503652039325
