CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.2429678;-45.120503652039325
1739209806.2429705;-38.13080360867914
1739209806.242973;-32.816014438256545
1739209806.2429757;-38.13080360867914
1739209806.2429783;-45.120503652039325
1739209806.2429807;-38.13080360867914
1739209806.2429833;-45.120503652039325
1739209806.242986;-45.120503652039325
1739209806.2429886;-30.49652367304973
1739209806.2429912;-35.57807855764607
1739209806.2429938;-45.120503652039325
1739209806.2429962;-38.13080360867914
1739209806.2429988;-38.13080360867914
1739209806.2430015;-38.13080360867914
1739209806.243004;-45.120503652039325
1739209806.2430067;-38.13080360867914
1739209806.2430093;-45.120503652039325
1739209806.2430117;-45.120503652039325
1739209806.2430143;-45.120503652039325
1739209806.243017;-38.13080360867914
1739209806.2430196;-45.120503652039325
1739209806.2430222;-35.57807855764607
1739209806.2430248;-38.13080360867914
1739209806.2430272;-45.120503652039325
1739209806.2430298;-35.57807855764607
1739209806.2430325;-38.13080360867914
1739209806.243035;-45.120503652039325
1739209806.2430377;-38.13080360867914
1739209806.24304;-32.816014438256545
1739209806.2430427;-38.13080360867914
1739209806.2430453;-45.120503652039325
1739209806.243048;-33.981070128970906
1739209806.2430506;-27.8777449560314
1739209806.2430532;-33.981070128970906
1739209806.2430556;-45.120503652039325
1739209806.2430582;-38.13080360867914
1739209806.2430608;-45.120503652039325
1739209806.2430634;-45.120503652039325
1739209806.243066;-45.120503652039325
1739209806.2430687;-45.120503652039325
1739209806.243071;-38.13080360867914
1739209806.2430737;-45.120503652039325
1739209806.2430763;-45.120503652039325
1739209806.243079;-38.13080360867914
1739209806.2430816;-38.13080360867914
1739209806.2430842;-45.120503652039325
1739209806.2430866;-45.120503652039325
1739209806.2430892;-45.120503652039325
1739209806.2430918;-26.991370085610722
1739209806.2430944;-31.141103565318915
1739209806.243097;-45.120503652039325
1739209806.2430997;-45.120503652039325
1739209806.243102;-38.13080360867914
1739209806.2431047;-35.57807855764607
1739209806.2431073;-38.13080360867914
1739209806.24311;-38.13080360867914
1739209806.2431126;-33.981070128970956
1739209806.2431152;-35.57807855764607
1739209806.2431176;-32.816014438256545
1739209806.2431202;-38.13080360867914
1739209806.2431228;-45.120503652039325
1739209806.2431254;-38.13080360867914
1739209806.243128;-35.57807855764607
1739209806.2431307;-38.13080360867914
1739209806.243133;-33.981070128970906
1739209806.2431357;-35.57807855764607
1739209806.2431383;-35.57807855764607
1739209806.243141;-33.981070128970906
1739209806.2431436;-45.120503652039325
1739209806.243146;-38.13080360867914
1739209806.2431486;-38.13080360867914
1739209806.2431512;-38.13080360867914
1739209806.2431538;-45.120503652039325
1739209806.2431564;-45.120503652039325
1739209806.243159;-45.120503652039325
1739209806.2431614;-38.13080360867914
1739209806.243164;-38.13080360867914
1739209806.2431667;-38.13080360867914
1739209806.2431693;-45.120503652039325
1739209806.243172;-38.13080360867914
1739209806.2431746;-38.13080360867914
1739209806.243177;-38.13080360867914
1739209806.2431796;-38.13080360867914
1739209806.2431822;-38.13080360867914
1739209806.2431848;-35.57807855764607
1739209806.2431874;-45.120503652039325
1739209806.24319;-45.120503652039325
1739209806.2431924;-38.13080360867914
1739209806.243195;-35.57807855764607
1739209806.2431977;-30.49652367304973
1739209806.2432003;-45.120503652039325
1739209806.243203;-45.120503652039325
1739209806.2432055;-45.120503652039325
1739209806.243208;-33.981070128970906
1739209806.2432106;-45.120503652039325
1739209806.2432132;-45.120503652039325
1739209806.2432158;-38.13080360867914
1739209806.2432184;-45.120503652039325
1739209806.243221;-45.120503652039325
1739209806.2432234;-45.120503652039325
1739209806.243226;-38.13080360867914
1739209806.2432287;-38.13080360867914
1739209806.2432313;-45.120503652039325
1739209806.243234;-45.120503652039325
1739209806.2432365;-38.13080360867914
1739209806.243239;-33.981070128970906
1739209806.2432415;-45.120503652039325
1739209806.2432442;-38.13080360867914
1739209806.2432468;-45.120503652039325
1739209806.2432494;-45.120503652039325
1739209806.2432518;-45.120503652039325
1739209806.2432544;-38.13080360867914
1739209806.243257;-38.13080360867914
1739209806.2432597;-38.13080360867914
1739209806.2432623;-38.13080360867914
1739209806.243265;-45.120503652039325
1739209806.2432673;-45.120503652039325
1739209806.24327;-35.57807855764607
1739209806.2432725;-38.13080360867914
1739209806.2432752;-38.13080360867914
1739209806.2432778;-45.120503652039325
1739209806.2432804;-38.13080360867914
1739209806.2432828;-45.120503652039325
1739209806.2432854;-38.13080360867914
1739209806.243288;-45.120503652039325
1739209806.2432907;-45.120503652039325
1739209806.2432933;-45.120503652039325
1739209806.243296;-45.120503652039325
1739209806.2432983;-38.13080360867914
1739209806.243301;-38.13080360867914
1739209806.2433035;-35.57807855764607
1739209806.2433062;-38.13080360867914
1739209806.2433088;-45.120503652039325
1739209806.2433114;-35.57807855764607
