CAN Message; 0x98:00001ac904ea5702
Timestamp;Amplitude
1739209822.182836;-38.13080360867914
1739209822.1828418;-30.49652367304973
1739209822.1828473;-33.981070128970906
1739209822.1828527;-45.120503652039325
1739209822.1828582;-38.13080360867914
1739209822.182864;-38.13080360867914
1739209822.1828694;-35.57807855764607
1739209822.182875;-45.120503652039325
1739209822.1828804;-38.13080360867914
1739209822.1828861;-38.13080360867914
1739209822.1828916;-38.13080360867914
1739209822.182897;-35.57807855764607
1739209822.1829026;-45.120503652039325
1739209822.1829083;-45.120503652039325
1739209822.1829138;-38.13080360867914
1739209822.1829193;-38.13080360867914
1739209822.1829247;-38.13080360867914
1739209822.1829305;-38.13080360867914
1739209822.182936;-45.120503652039325
1739209822.1829414;-45.120503652039325
1739209822.182947;-38.13080360867914
1739209822.1829526;-38.13080360867914
1739209822.1829581;-45.120503652039325
1739209822.1829636;-45.120503652039325
1739209822.182969;-45.120503652039325
1739209822.1829748;-31.141103565318915
1739209822.1829803;-28.992665084841942
1739209822.1829858;-45.120503652039325
1739209822.1829913;-38.13080360867914
1739209822.182997;-33.981070128970906
1739209822.1830025;-38.13080360867914
1739209822.183008;-45.120503652039325
1739209822.1830134;-38.13080360867914
1739209822.1830192;-38.13080360867914
1739209822.1830246;-35.57807855764607
1739209822.1830301;-33.981070128970906
1739209822.1830356;-45.120503652039325
1739209822.1830413;-45.120503652039325
1739209822.1830468;-45.120503652039325
1739209822.1830523;-38.13080360867914
1739209822.1830578;-38.13080360867914
1739209822.1830635;-33.981070128970906
1739209822.183069;-33.981070128970906
1739209822.1830745;-45.120503652039325
1739209822.18308;-45.120503652039325
1739209822.1830857;-45.120503652039325
1739209822.1830912;-38.13080360867914
1739209822.1830966;-38.13080360867914
1739209822.1831021;-45.120503652039325
1739209822.1831079;-45.120503652039325
1739209822.1831133;-45.120503652039325
1739209822.1831188;-45.120503652039325
1739209822.1831243;-38.13080360867914
1739209822.18313;-45.120503652039325
1739209822.1831355;-33.981070128970906
1739209822.183141;-45.120503652039325
1739209822.1831465;-45.120503652039325
1739209822.1831522;-38.13080360867914
1739209822.1831577;-38.13080360867914
1739209822.1831632;-45.120503652039325
1739209822.1831686;-45.120503652039325
1739209822.1831744;-45.120503652039325
1739209822.1831799;-38.13080360867914
