CAN Message; 0x1b8:00009373c129d74e
Timestamp;Amplitude
1739209893.952245;-28.992665084841942
1739209893.9522498;-38.13080360867914
1739209893.9522548;-35.57807855764607
1739209893.9522598;-38.13080360867914
1739209893.9522648;-38.13080360867914
1739209893.9522696;-33.981070128970906
1739209893.9522746;-45.120503652039325
1739209893.9522796;-33.981070128970906
1739209893.9522843;-33.981070128970906
1739209893.9522893;-32.816014438256545
1739209893.9522943;-38.13080360867914
1739209893.952299;-33.981070128970906
1739209893.9523041;-33.981070128970906
1739209893.9523091;-33.981070128970906
1739209893.9523141;-38.13080360867914
1739209893.952319;-32.816014438256545
1739209893.952324;-33.981070128970906
1739209893.952329;-33.981070128970906
1739209893.9523337;-38.13080360867914
1739209893.9523387;-45.120503652039325
1739209893.9523437;-45.120503652039325
1739209893.9523485;-45.120503652039325
1739209893.9523535;-45.120503652039325
1739209893.9523585;-45.120503652039325
1739209893.9523635;-38.13080360867914
1739209893.9523683;-38.13080360867914
1739209893.9523733;-45.120503652039325
1739209893.9523783;-38.13080360867914
1739209893.952383;-38.13080360867914
1739209893.952388;-45.120503652039325
1739209893.952393;-45.120503652039325
1739209893.9523978;-45.120503652039325
1739209893.9524028;-45.120503652039325
1739209893.9524078;-33.981070128970906
1739209893.9524128;-45.120503652039325
1739209893.9524176;-45.120503652039325
1739209893.9524226;-35.57807855764607
1739209893.9524276;-32.816014438256545
1739209893.9524324;-45.120503652039325
1739209893.9524374;-45.120503652039325
1739209893.9524424;-33.981070128970906
1739209893.9524472;-38.13080360867914
1739209893.9524522;-45.120503652039325
1739209893.9524572;-38.13080360867914
1739209893.9524622;-38.13080360867914
1739209893.952467;-38.13080360867914
1739209893.952472;-38.13080360867914
1739209893.952477;-45.120503652039325
1739209893.9524817;-38.13080360867914
1739209893.9524868;-38.13080360867914
1739209893.9524918;-45.120503652039325
1739209893.9524965;-45.120503652039325
1739209893.9525015;-32.816014438256545
1739209893.9525065;-32.816014438256545
1739209893.9525115;-45.120503652039325
1739209893.9525163;-38.13080360867914
1739209893.9525213;-32.816014438256545
1739209893.9525263;-38.13080360867914
1739209893.952531;-38.13080360867914
1739209893.952536;-38.13080360867914
1739209893.952541;-45.120503652039325
1739209893.952546;-33.981070128970906
1739209893.952551;-45.120503652039325
1739209893.952556;-45.120503652039325
1739209893.952561;-33.981070128970906
1739209893.9525657;-38.13080360867914
1739209893.9525707;-45.120503652039325
1739209893.9525757;-38.13080360867914
1739209893.9525805;-31.141103565318915
1739209893.9525855;-45.120503652039325
1739209893.9525905;-45.120503652039325
1739209893.9525952;-45.120503652039325
