CAN Message; 0x150:06009e61a0e432e6
Timestamp;Amplitude
1739209668.0258918;-35.57807855764607
1739209668.0259004;-45.120503652039325
1739209668.025909;-33.981070128970906
1739209668.0259175;-33.981070128970906
1739209668.025926;-38.13080360867914
1739209668.0259347;-38.13080360867914
1739209668.0259433;-38.13080360867914
1739209668.0259516;-31.141103565318915
1739209668.0259602;-33.981070128970906
1739209668.0259688;-45.120503652039325
1739209668.0259774;-45.120503652039325
1739209668.025986;-33.981070128970906
1739209668.0259945;-33.981070128970906
1739209668.0260031;-45.120503652039325
1739209668.0260117;-35.57807855764607
1739209668.0260203;-35.57807855764607
1739209668.0260289;-45.120503652039325
1739209668.0260375;-45.120503652039325
1739209668.026046;-33.981070128970906
1739209668.0260546;-38.13080360867914
1739209668.0260632;-45.120503652039325
1739209668.0260715;-45.120503652039325
1739209668.0260801;-35.57807855764607
1739209668.0260887;-35.57807855764607
1739209668.0260973;-38.13080360867914
1739209668.0261059;-45.120503652039325
1739209668.0261145;-38.13080360867914
1739209668.026123;-38.13080360867914
1739209668.0261316;-33.981070128970906
1739209668.0261402;-38.13080360867914
1739209668.0261488;-38.13080360867914
1739209668.0261574;-38.13080360867914
1739209668.026166;-33.981070128970906
1739209668.0261745;-45.120503652039325
1739209668.0261831;-45.120503652039325
1739209668.0261915;-33.981070128970906
1739209668.0262;-33.981070128970906
1739209668.0262086;-38.13080360867914
1739209668.0262172;-45.120503652039325
1739209668.0262258;-38.13080360867914
1739209668.0262344;-33.981070128970906
1739209668.026243;-45.120503652039325
1739209668.0262516;-45.120503652039325
1739209668.0262601;-38.13080360867914
1739209668.0262687;-45.120503652039325
1739209668.0262773;-45.120503652039325
1739209668.026286;-38.13080360867914
1739209668.0262945;-38.13080360867914
1739209668.026303;-38.13080360867914
1739209668.0263114;-45.120503652039325
1739209668.02632;-35.57807855764607
1739209668.0263286;-38.13080360867914
1739209668.0263371;-38.13080360867914
1739209668.0263457;-38.13080360867914
1739209668.0263543;-45.120503652039325
1739209668.026363;-38.13080360867914
1739209668.0263715;-38.13080360867914
1739209668.02638;-35.57807855764607
1739209668.0263886;-38.13080360867914
1739209668.0263972;-45.120503652039325
1739209668.0264058;-38.13080360867914
1739209668.0264144;-32.816014438256545
1739209668.026423;-45.120503652039325
1739209668.0264316;-45.120503652039325
1739209668.02644;-33.981070128970906
1739209668.0264485;-45.120503652039325
1739209668.026457;-45.120503652039325
1739209668.0264657;-38.13080360867914
1739209668.0264742;-38.13080360867914
1739209668.0264828;-45.120503652039325
1739209668.0264914;-45.120503652039325
1739209668.0265;-45.120503652039325
1739209668.0265086;-33.981070128970906
1739209668.0265172;-45.120503652039325
