CAN Message; 0x24:09eb24c4352aa106
Timestamp;Amplitude
1739209744.7495215;-45.120503652039325
1739209744.7495236;-35.57807855764607
1739209744.749526;-45.120503652039325
1739209744.7495282;-38.13080360867914
1739209744.7495303;-45.120503652039325
1739209744.7495325;-45.120503652039325
1739209744.7495348;-33.981070128970906
1739209744.749537;-45.120503652039325
1739209744.7495391;-45.120503652039325
1739209744.7495413;-35.57807855764607
1739209744.7495434;-35.57807855764607
1739209744.7495458;-38.13080360867914
1739209744.749548;-38.13080360867914
1739209744.74955;-38.13080360867914
1739209744.7495522;-45.120503652039325
1739209744.7495546;-33.981070128970906
1739209744.7495568;-33.981070128970906
1739209744.749559;-35.57807855764607
1739209744.749561;-38.13080360867914
1739209744.7495632;-33.981070128970906
1739209744.7495656;-35.57807855764607
1739209744.7495677;-38.13080360867914
1739209744.74957;-45.120503652039325
1739209744.749572;-38.13080360867914
1739209744.7495744;-38.13080360867914
1739209744.7495766;-45.120503652039325
1739209744.7495787;-45.120503652039325
1739209744.7495809;-33.981070128970906
1739209744.749583;-38.13080360867914
1739209744.7495854;-32.816014438256545
1739209744.7495875;-38.13080360867914
1739209744.7495897;-38.13080360867914
1739209744.7495918;-33.981070128970906
1739209744.7495942;-38.13080360867914
1739209744.7495964;-45.120503652039325
1739209744.7495985;-45.120503652039325
1739209744.7496006;-45.120503652039325
1739209744.7496028;-35.57807855764607
1739209744.7496052;-45.120503652039325
1739209744.7496073;-33.981070128970906
1739209744.7496095;-45.120503652039325
1739209744.7496116;-45.120503652039325
1739209744.749614;-45.120503652039325
1739209744.7496161;-45.120503652039325
1739209744.7496183;-45.120503652039325
1739209744.7496204;-33.981070128970906
1739209744.7496226;-38.13080360867914
1739209744.749625;-38.13080360867914
1739209744.749627;-38.13080360867914
1739209744.7496293;-31.141103565318915
1739209744.7496314;-38.13080360867914
1739209744.7496338;-38.13080360867914
1739209744.749636;-45.120503652039325
1739209744.749638;-33.981070128970906
1739209744.7496402;-38.13080360867914
1739209744.7496424;-45.120503652039325
1739209744.7496448;-38.13080360867914
1739209744.749647;-38.13080360867914
1739209744.749649;-45.120503652039325
1739209744.7496512;-45.120503652039325
1739209744.7496536;-38.13080360867914
1739209744.7496557;-45.120503652039325
1739209744.7496579;-45.120503652039325
1739209744.74966;-45.120503652039325
1739209744.7496622;-45.120503652039325
1739209744.7496645;-38.13080360867914
1739209744.7496667;-45.120503652039325
1739209744.7496688;-38.13080360867914
1739209744.749671;-45.120503652039325
1739209744.7496734;-26.991370085610722
1739209744.7496755;-32.816014438256545
1739209744.7496777;-45.120503652039325
1739209744.7496798;-45.120503652039325
1739209744.749682;-38.13080360867914
1739209744.7496843;-38.13080360867914
1739209744.7496865;-45.120503652039325
1739209744.7496886;-38.13080360867914
1739209744.7496908;-38.13080360867914
1739209744.7496932;-45.120503652039325
1739209744.7496953;-38.13080360867914
1739209744.7496974;-38.13080360867914
1739209744.7496996;-38.13080360867914
1739209744.7497017;-45.120503652039325
1739209744.7497041;-33.981070128970906
1739209744.7497063;-45.120503652039325
1739209744.7497084;-35.57807855764607
1739209744.7497106;-35.57807855764607
1739209744.749713;-35.57807855764607
1739209744.749715;-32.816014438256545
1739209744.7497172;-35.57807855764607
1739209744.7497194;-38.13080360867914
1739209744.7497215;-45.120503652039325
1739209744.749724;-38.13080360867914
1739209744.749726;-38.13080360867914
1739209744.7497282;-45.120503652039325
1739209744.7497303;-45.120503652039325
1739209744.7497327;-38.13080360867914
1739209744.7497349;-38.13080360867914
1739209744.749737;-38.13080360867914
1739209744.7497392;-35.57807855764607
1739209744.7497413;-35.57807855764607
1739209744.7497437;-45.120503652039325
1739209744.7497458;-45.120503652039325
1739209744.749748;-33.981070128970906
1739209744.7497501;-45.120503652039325
1739209744.7497523;-45.120503652039325
1739209744.7497547;-45.120503652039325
1739209744.7497568;-31.141103565318915
1739209744.749759;-33.981070128970906
1739209744.749761;-31.141103565318893
1739209744.7497635;-29.438486411369333
1739209744.7497656;-38.13080360867914
1739209744.7497678;-38.13080360867914
1739209744.74977;-45.120503652039325
1739209744.749772;-38.13080360867914
1739209744.7497745;-38.13080360867914
1739209744.7497766;-38.13080360867914
1739209744.7497787;-45.120503652039325
1739209744.749781;-45.120503652039325
1739209744.7497833;-38.13080360867914
1739209744.7497854;-45.120503652039325
1739209744.7497876;-45.120503652039325
1739209744.7497897;-38.13080360867914
1739209744.7497919;-38.13080360867914
1739209744.7497942;-38.13080360867914
1739209744.7497964;-38.13080360867914
1739209744.7497985;-45.120503652039325
1739209744.7498007;-38.13080360867914
1739209744.749803;-32.816014438256545
1739209744.7498052;-38.13080360867914
1739209744.7498074;-45.120503652039325
1739209744.7498095;-32.816014438256545
1739209744.7498116;-45.120503652039325
1739209744.749814;-45.120503652039325
1739209744.7498162;-32.816014438256545
1739209744.7498183;-45.120503652039325
1739209744.7498205;-38.13080360867914
1739209744.7498229;-38.13080360867914
1739209744.749825;-32.816014438256545
1739209744.7498271;-45.120503652039325
1739209744.7498293;-38.13080360867914
1739209744.7498314;-45.120503652039325
1739209744.7498338;-45.120503652039325
1739209744.749836;-45.120503652039325
1739209744.749838;-38.13080360867914
1739209744.7498403;-38.13080360867914
1739209744.7498426;-38.13080360867914
1739209744.7498448;-33.981070128970906
1739209744.749847;-35.57807855764607
1739209744.749849;-32.816014438256545
1739209744.7498512;-31.141103565318893
1739209744.7498536;-45.120503652039325
1739209744.7498558;-45.120503652039325
1739209744.749858;-38.13080360867914
1739209744.74986;-38.13080360867914
1739209744.7498624;-45.120503652039325
1739209744.7498646;-45.120503652039325
1739209744.7498667;-45.120503652039325
1739209744.7498689;-45.120503652039325
1739209744.749871;-38.13080360867914
1739209744.7498734;-35.57807855764607
1739209744.7498755;-45.120503652039325
1739209744.7498777;-33.981070128970906
1739209744.7498798;-38.13080360867914
1739209744.7498822;-38.13080360867914
1739209744.7498844;-45.120503652039325
1739209744.7498865;-45.120503652039325
1739209744.7498887;-38.13080360867914
1739209744.7498908;-45.120503652039325
1739209744.7498932;-45.120503652039325
1739209744.7498953;-45.120503652039325
1739209744.7498975;-38.13080360867914
1739209744.7498996;-38.13080360867914
1739209744.749902;-45.120503652039325
1739209744.7499042;-45.120503652039325
1739209744.7499063;-33.981070128970906
1739209744.7499084;-45.120503652039325
1739209744.7499106;-38.13080360867914
1739209744.749913;-38.13080360867914
1739209744.7499151;-33.981070128970906
1739209744.7499173;-38.13080360867914
1739209744.7499194;-45.120503652039325
1739209744.7499218;-45.120503652039325
1739209744.749924;-33.981070128970906
1739209744.749926;-45.120503652039325
1739209744.7499282;-45.120503652039325
1739209744.7499304;-38.13080360867914
1739209744.7499328;-45.120503652039325
1739209744.749935;-45.120503652039325
1739209744.749937;-35.57807855764607
1739209744.7499392;-32.816014438256545
1739209744.7499416;-33.981070128970906
1739209744.7499437;-38.13080360867914
1739209744.7499459;-45.120503652039325
1739209744.749948;-45.120503652039325
1739209744.7499502;-38.13080360867914
1739209744.7499526;-45.120503652039325
1739209744.7499547;-38.13080360867914
1739209744.7499568;-38.13080360867914
1739209744.749959;-28.992665084841942
1739209744.7499614;-38.13080360867914
1739209744.7499635;-45.120503652039325
1739209744.7499657;-38.13080360867914
1739209744.7499678;-38.13080360867914
1739209744.74997;-45.120503652039325
1739209744.7499723;-45.120503652039325
1739209744.7499745;-38.13080360867914
1739209744.7499766;-32.816014438256545
1739209744.7499788;-45.120503652039325
1739209744.7499812;-33.981070128970906
1739209744.7499833;-38.13080360867914
1739209744.7499855;-38.13080360867914
1739209744.7499876;-45.120503652039325
1739209744.7499897;-38.13080360867914
1739209744.7499921;-38.13080360867914
1739209744.7499943;-31.141103565318915
1739209744.7499964;-45.120503652039325
1739209744.7499986;-38.13080360867914
1739209744.750001;-38.13080360867914
1739209744.750003;-38.13080360867914
1739209744.7500052;-38.13080360867914
1739209744.7500074;-38.13080360867914
