CAN Message; 0x77:e8b6757a8166cfa9
Timestamp;Amplitude
1739209740.0411282;-38.13080360867914
1739209740.0411315;-38.13080360867914
1739209740.0411346;-45.120503652039325
1739209740.041138;-45.120503652039325
1739209740.041141;-45.120503652039325
1739209740.0411444;-38.13080360867914
1739209740.0411475;-45.120503652039325
1739209740.0411508;-45.120503652039325
1739209740.041154;-38.13080360867914
1739209740.0411572;-38.13080360867914
1739209740.0411603;-32.816014438256545
1739209740.0411637;-45.120503652039325
1739209740.0411668;-45.120503652039325
1739209740.0411701;-38.13080360867914
1739209740.0411732;-38.13080360867914
1739209740.0411766;-38.13080360867914
1739209740.0411797;-38.13080360867914
1739209740.041183;-35.57807855764607
1739209740.041186;-45.120503652039325
1739209740.0411894;-38.13080360867914
1739209740.0411925;-38.13080360867914
1739209740.0411959;-38.13080360867914
1739209740.041199;-45.120503652039325
1739209740.0412023;-45.120503652039325
1739209740.0412054;-45.120503652039325
1739209740.0412087;-45.120503652039325
1739209740.0412118;-29.438486411369333
1739209740.0412152;-32.816014438256545
1739209740.0412183;-45.120503652039325
1739209740.0412216;-45.120503652039325
1739209740.0412247;-35.57807855764607
1739209740.041228;-35.57807855764607
1739209740.0412312;-45.120503652039325
1739209740.0412345;-45.120503652039325
1739209740.0412376;-45.120503652039325
1739209740.041241;-33.981070128970906
1739209740.041244;-45.120503652039325
1739209740.0412474;-45.120503652039325
1739209740.0412505;-45.120503652039325
1739209740.0412538;-38.13080360867914
1739209740.041257;-38.13080360867914
1739209740.0412602;-45.120503652039325
1739209740.0412633;-30.49652367304973
1739209740.0412667;-32.816014438256545
1739209740.0412698;-45.120503652039325
1739209740.041273;-45.120503652039325
1739209740.0412762;-33.981070128970906
1739209740.0412793;-38.13080360867914
1739209740.0412827;-45.120503652039325
1739209740.0412858;-38.13080360867914
1739209740.041289;-38.13080360867914
1739209740.0412922;-45.120503652039325
1739209740.0412955;-45.120503652039325
1739209740.0412986;-38.13080360867914
1739209740.041302;-45.120503652039325
1739209740.041305;-38.13080360867914
1739209740.0413084;-38.13080360867914
1739209740.0413115;-45.120503652039325
1739209740.0413148;-38.13080360867914
1739209740.041318;-38.13080360867914
1739209740.0413213;-38.13080360867914
1739209740.0413244;-45.120503652039325
1739209740.0413277;-32.816014438256545
1739209740.0413308;-38.13080360867914
1739209740.0413342;-45.120503652039325
1739209740.0413373;-45.120503652039325
1739209740.0413406;-38.13080360867914
1739209740.0413437;-35.57807855764607
1739209740.041347;-38.13080360867914
1739209740.0413501;-45.120503652039325
1739209740.0413535;-45.120503652039325
1739209740.0413566;-45.120503652039325
1739209740.04136;-35.57807855764607
1739209740.041363;-35.57807855764607
1739209740.0413663;-45.120503652039325
1739209740.0413694;-45.120503652039325
1739209740.0413728;-45.120503652039325
1739209740.0413759;-45.120503652039325
1739209740.0413792;-38.13080360867914
1739209740.0413823;-38.13080360867914
1739209740.0413857;-35.57807855764607
1739209740.0413888;-35.57807855764607
1739209740.041392;-35.57807855764607
1739209740.0413952;-32.816014438256545
1739209740.0413985;-38.13080360867914
1739209740.0414016;-45.120503652039325
1739209740.041405;-45.120503652039325
1739209740.041408;-45.120503652039325
1739209740.0414114;-38.13080360867914
1739209740.0414145;-35.57807855764607
1739209740.0414178;-45.120503652039325
1739209740.041421;-31.141103565318943
1739209740.0414243;-38.13080360867914
1739209740.0414274;-38.13080360867914
1739209740.0414305;-38.13080360867914
1739209740.0414338;-38.13080360867914
1739209740.041437;-38.13080360867914
1739209740.0414402;-45.120503652039325
1739209740.0414433;-35.57807855764607
1739209740.0414467;-30.49652367304973
1739209740.0414498;-45.120503652039325
1739209740.0414531;-45.120503652039325
1739209740.0414562;-45.120503652039325
1739209740.0414596;-33.981070128970906
1739209740.0414627;-35.57807855764607
