CAN Message; 0x1a7:00009bd8d03d7afc
Timestamp;Amplitude
1739209612.272501;-38.13080360867914
1739209612.2725086;-38.13080360867914
1739209612.272516;-38.13080360867914
1739209612.2725236;-35.57807855764607
1739209612.272531;-35.57807855764607
1739209612.2725387;-38.13080360867914
1739209612.272546;-38.13080360867914
1739209612.2725537;-45.120503652039325
1739209612.272561;-38.13080360867914
1739209612.2725687;-45.120503652039325
1739209612.272576;-45.120503652039325
1739209612.2725837;-45.120503652039325
1739209612.272591;-38.13080360867914
1739209612.2725987;-38.13080360867914
1739209612.2726061;-45.120503652039325
1739209612.2726138;-33.981070128970906
1739209612.2726212;-32.816014438256545
1739209612.2726285;-38.13080360867914
1739209612.2726362;-45.120503652039325
1739209612.2726436;-38.13080360867914
1739209612.2726512;-38.13080360867914
1739209612.2726586;-45.120503652039325
1739209612.2726662;-45.120503652039325
1739209612.2726736;-45.120503652039325
1739209612.2726812;-45.120503652039325
1739209612.2726886;-45.120503652039325
1739209612.2726963;-45.120503652039325
1739209612.2727036;-45.120503652039325
1739209612.2727113;-45.120503652039325
1739209612.2727187;-45.120503652039325
1739209612.2727263;-38.13080360867914
1739209612.2727337;-45.120503652039325
1739209612.2727413;-38.13080360867914
1739209612.2727487;-35.57807855764607
1739209612.272756;-45.120503652039325
1739209612.2727637;-45.120503652039325
1739209612.2727711;-45.120503652039325
1739209612.2727787;-38.13080360867914
1739209612.2727861;-45.120503652039325
1739209612.2727938;-32.816014438256545
1739209612.2728012;-28.992665084841942
1739209612.2728088;-45.120503652039325
1739209612.2728162;-33.981070128970906
1739209612.2728238;-38.13080360867914
1739209612.2728312;-38.13080360867914
1739209612.2728388;-38.13080360867914
1739209612.2728462;-35.57807855764607
1739209612.2728539;-35.57807855764607
1739209612.2728612;-38.13080360867914
1739209612.2728686;-38.13080360867914
1739209612.2728763;-35.57807855764607
1739209612.2728837;-38.13080360867914
1739209612.2728913;-38.13080360867914
1739209612.2728987;-32.816014438256545
1739209612.2729063;-45.120503652039325
1739209612.2729137;-33.981070128970906
1739209612.2729213;-31.141103565318915
1739209612.2729287;-45.120503652039325
1739209612.2729363;-45.120503652039325
1739209612.2729437;-45.120503652039325
1739209612.2729514;-45.120503652039325
1739209612.2729588;-45.120503652039325
1739209612.2729664;-45.120503652039325
1739209612.2729738;-38.13080360867914
1739209612.2729814;-38.13080360867914
1739209612.2729888;-45.120503652039325
1739209612.2729962;-45.120503652039325
1739209612.2730038;-38.13080360867914
1739209612.2730112;-32.816014438256545
1739209612.2730188;-45.120503652039325
1739209612.2730262;-45.120503652039325
1739209612.2730339;-45.120503652039325
1739209612.2730412;-45.120503652039325
1739209612.2730489;-45.120503652039325
1739209612.2730563;-45.120503652039325
1739209612.273064;-38.13080360867914
1739209612.2730713;-38.13080360867914
1739209612.273079;-35.57807855764607
1739209612.2730863;-45.120503652039325
1739209612.273094;-31.141103565318915
1739209612.2731013;-25.077289914212862
1739209612.273109;-38.13080360867914
1739209612.2731164;-45.120503652039325
1739209612.2731237;-45.120503652039325
1739209612.2731314;-32.816014438256545
1739209612.2731388;-45.120503652039325
1739209612.2731464;-45.120503652039325
1739209612.2731538;-45.120503652039325
1739209612.2731614;-38.13080360867914
1739209612.2731688;-35.57807855764607
1739209612.2731764;-32.816014438256545
1739209612.2731838;-45.120503652039325
1739209612.2731915;-45.120503652039325
1739209612.2731988;-35.57807855764607
1739209612.2732065;-45.120503652039325
1739209612.2732139;-38.13080360867914
1739209612.2732215;-28.21854285175415
1739209612.273229;-38.13080360867914
1739209612.2732365;-45.120503652039325
1739209612.273244;-45.120503652039325
1739209612.2732513;-45.120503652039325
1739209612.273259;-45.120503652039325
1739209612.2732663;-35.57807855764607
1739209612.273274;-38.13080360867914
1739209612.2732813;-45.120503652039325
1739209612.273289;-33.981070128970906
1739209612.2732964;-32.816014438256545
1739209612.273304;-45.120503652039325
1739209612.2733114;-45.120503652039325
1739209612.273319;-38.13080360867914
1739209612.2733264;-45.120503652039325
1739209612.273334;-45.120503652039325
1739209612.2733414;-38.13080360867914
1739209612.273349;-38.13080360867914
1739209612.2733564;-45.120503652039325
1739209612.2733638;-45.120503652039325
1739209612.2733715;-45.120503652039325
1739209612.2733788;-45.120503652039325
1739209612.2733865;-45.120503652039325
1739209612.2733939;-38.13080360867914
1739209612.2734015;-35.57807855764607
1739209612.273409;-45.120503652039325
1739209612.2734165;-45.120503652039325
1739209612.273424;-38.13080360867914
1739209612.2734315;-38.13080360867914
1739209612.273439;-38.13080360867914
1739209612.2734466;-45.120503652039325
1739209612.273454;-38.13080360867914
1739209612.2734616;-45.120503652039325
1739209612.273469;-38.13080360867914
1739209612.2734766;-33.981070128970906
1739209612.273484;-38.13080360867914
1739209612.2734914;-45.120503652039325
1739209612.273499;-33.981070128970906
1739209612.2735064;-45.120503652039325
1739209612.273514;-45.120503652039325
1739209612.2735214;-38.13080360867914
1739209612.273529;-45.120503652039325
1739209612.2735364;-38.13080360867914
1739209612.273544;-38.13080360867914
1739209612.2735515;-38.13080360867914
1739209612.273559;-45.120503652039325
1739209612.2735665;-38.13080360867914
1739209612.273574;-45.120503652039325
1739209612.2735815;-45.120503652039325
1739209612.2735891;-45.120503652039325
1739209612.2735965;-45.120503652039325
1739209612.2736042;-45.120503652039325
1739209612.2736115;-33.981070128970906
1739209612.273619;-38.13080360867914
1739209612.2736266;-45.120503652039325
1739209612.273634;-38.13080360867914
1739209612.2736416;-35.57807855764607
1739209612.273649;-33.981070128970906
1739209612.2736566;-45.120503652039325
1739209612.273664;-38.13080360867914
1739209612.2736716;-45.120503652039325
1739209612.273679;-38.13080360867914
1739209612.2736866;-45.120503652039325
1739209612.273694;-45.120503652039325
1739209612.2737017;-38.13080360867914
1739209612.273709;-33.981070128970906
1739209612.2737167;-35.57807855764607
1739209612.273724;-38.13080360867914
1739209612.2737317;-32.816014438256545
1739209612.273739;-32.816014438256545
1739209612.2737465;-45.120503652039325
1739209612.2737541;-45.120503652039325
1739209612.2737615;-35.57807855764607
1739209612.2737691;-33.981070128970906
1739209612.2737765;-45.120503652039325
1739209612.2737842;-38.13080360867914
1739209612.2737916;-35.57807855764607
1739209612.2737992;-33.981070128970906
1739209612.2738066;-38.13080360867914
1739209612.2738142;-38.13080360867914
1739209612.2738216;-45.120503652039325
1739209612.2738292;-38.13080360867914
1739209612.2738366;-45.120503652039325
1739209612.2738442;-38.13080360867914
1739209612.2738516;-45.120503652039325
1739209612.273859;-33.981070128970906
1739209612.2738667;-35.57807855764607
1739209612.273874;-33.981070128970906
1739209612.2738817;-38.13080360867914
1739209612.273889;-38.13080360867914
1739209612.2738967;-35.57807855764607
1739209612.273904;-33.981070128970906
1739209612.2739117;-45.120503652039325
1739209612.273919;-38.13080360867914
1739209612.2739267;-45.120503652039325
1739209612.2739341;-38.13080360867914
1739209612.2739418;-45.120503652039325
1739209612.2739491;-45.120503652039325
1739209612.2739568;-38.13080360867914
1739209612.2739642;-38.13080360867914
1739209612.2739718;-45.120503652039325
1739209612.2739792;-38.13080360867914
1739209612.2739866;-45.120503652039325
1739209612.2739942;-45.120503652039325
1739209612.2740016;-45.120503652039325
1739209612.2740092;-33.981070128970906
1739209612.2740166;-38.13080360867914
1739209612.2740242;-45.120503652039325
1739209612.2740316;-38.13080360867914
1739209612.2740393;-38.13080360867914
1739209612.2740467;-45.120503652039325
1739209612.2740543;-45.120503652039325
1739209612.2740617;-33.981070128970906
1739209612.2740693;-31.14110356531892
1739209612.2740767;-45.120503652039325
1739209612.2740843;-38.13080360867914
1739209612.2740917;-35.57807855764607
1739209612.2740993;-45.120503652039325
1739209612.2741067;-38.13080360867914
1739209612.2741141;-38.13080360867914
1739209612.2741218;-45.120503652039325
1739209612.2741292;-28.992665084841942
1739209612.2741368;-31.141103565318915
1739209612.2741442;-33.981070128970906
1739209612.2741518;-38.13080360867914
1739209612.2741592;-38.13080360867914
1739209612.2741668;-45.120503652039325
1739209612.2741742;-45.120503652039325
1739209612.2741818;-35.57807855764607
1739209612.2741892;-35.57807855764607
1739209612.2741969;-38.13080360867914
1739209612.2742043;-38.13080360867914
1739209612.274212;-35.57807855764607
1739209612.2742193;-45.120503652039325
1739209612.274227;-45.120503652039325
1739209612.2742343;-38.13080360867914
1739209612.2742417;-45.120503652039325
1739209612.2742493;-33.981070128970906
1739209612.2742567;-32.816014438256545
1739209612.2742643;-38.13080360867914
1739209612.2742717;-35.57807855764607
1739209612.2742794;-32.816014438256545
1739209612.2742867;-38.13080360867914
1739209612.2742944;-38.13080360867914
1739209612.2743018;-35.57807855764607
1739209612.2743094;-38.13080360867914
1739209612.2743168;-38.13080360867914
1739209612.2743244;-45.120503652039325
1739209612.2743318;-45.120503652039325
1739209612.2743394;-38.13080360867914
1739209612.2743468;-35.57807855764607
1739209612.2743542;-45.120503652039325
1739209612.2743618;-38.13080360867914
1739209612.2743692;-45.120503652039325
1739209612.2743769;-45.120503652039325
1739209612.2743843;-38.13080360867914
1739209612.274392;-38.13080360867914
1739209612.2743993;-45.120503652039325
1739209612.274407;-38.13080360867914
1739209612.2744143;-35.57807855764607
1739209612.274422;-45.120503652039325
1739209612.2744293;-35.57807855764607
1739209612.274437;-26.991370085610736
1739209612.2744443;-45.120503652039325
1739209612.274452;-45.120503652039325
1739209612.2744594;-38.13080360867914
1739209612.274467;-38.13080360867914
1739209612.2744744;-45.120503652039325
1739209612.2744818;-32.816014438256545
1739209612.2744894;-45.120503652039325
1739209612.2744968;-31.141103565318943
1739209612.2745044;-38.13080360867914
1739209612.2745118;-38.13080360867914
