CAN Message; 0x24:02147412c822b6aa
Timestamp;Amplitude
1739209871.2358546;-45.120503652039325
1739209871.235861;-38.13080360867914
1739209871.2358677;-35.57807855764607
1739209871.2358742;-33.981070128970906
1739209871.2358809;-45.120503652039325
1739209871.2358873;-45.120503652039325
1739209871.235894;-38.13080360867914
1739209871.2359004;-38.13080360867914
1739209871.235907;-38.13080360867914
1739209871.2359135;-38.13080360867914
1739209871.2359202;-38.13080360867914
1739209871.2359266;-45.120503652039325
1739209871.2359333;-45.120503652039325
1739209871.2359397;-45.120503652039325
1739209871.2359464;-45.120503652039325
1739209871.2359529;-45.120503652039325
1739209871.2359595;-38.13080360867914
1739209871.235966;-38.13080360867914
1739209871.2359726;-45.120503652039325
1739209871.235979;-38.13080360867914
1739209871.2359858;-38.13080360867914
1739209871.2359922;-45.120503652039325
1739209871.2359989;-45.120503652039325
1739209871.2360053;-45.120503652039325
1739209871.236012;-45.120503652039325
1739209871.2360184;-45.120503652039325
1739209871.236025;-45.120503652039325
1739209871.2360315;-38.13080360867914
1739209871.2360382;-45.120503652039325
1739209871.2360446;-38.13080360867914
1739209871.2360513;-38.13080360867914
1739209871.2360578;-35.57807855764607
1739209871.2360644;-38.13080360867914
1739209871.236071;-45.120503652039325
1739209871.2360775;-45.120503652039325
1739209871.2360842;-45.120503652039325
1739209871.2360907;-45.120503652039325
1739209871.2360973;-45.120503652039325
1739209871.2361038;-45.120503652039325
1739209871.2361104;-45.120503652039325
1739209871.236117;-38.13080360867914
1739209871.2361236;-38.13080360867914
1739209871.23613;-45.120503652039325
1739209871.2361367;-33.981070128970906
1739209871.236143;-38.13080360867914
1739209871.2361498;-45.120503652039325
1739209871.2361562;-38.13080360867914
1739209871.236163;-38.13080360867914
1739209871.2361693;-38.13080360867914
1739209871.236176;-38.13080360867914
1739209871.2361825;-45.120503652039325
1739209871.2361891;-45.120503652039325
1739209871.2361956;-45.120503652039325
1739209871.2362022;-45.120503652039325
1739209871.2362087;-38.13080360867914
1739209871.2362154;-38.13080360867914
1739209871.2362218;-38.13080360867914
1739209871.2362285;-38.13080360867914
1739209871.236235;-45.120503652039325
1739209871.2362416;-45.120503652039325
1739209871.236248;-38.13080360867914
1739209871.2362547;-35.57807855764607
1739209871.2362611;-45.120503652039325
1739209871.2362678;-45.120503652039325
1739209871.2362745;-38.13080360867914
1739209871.236281;-35.57807855764607
1739209871.2362876;-45.120503652039325
1739209871.236294;-33.981070128970906
1739209871.2363007;-28.992665084841942
1739209871.2363071;-45.120503652039325
1739209871.2363138;-45.120503652039325
1739209871.2363203;-45.120503652039325
1739209871.236327;-45.120503652039325
1739209871.2363334;-45.120503652039325
1739209871.23634;-38.13080360867914
1739209871.2363465;-38.13080360867914
1739209871.2363532;-35.57807855764607
1739209871.2363596;-38.13080360867914
1739209871.2363663;-45.120503652039325
1739209871.2363727;-38.13080360867914
1739209871.2363794;-45.120503652039325
1739209871.2363858;-38.13080360867914
1739209871.2363925;-45.120503652039325
1739209871.236399;-45.120503652039325
1739209871.2364056;-38.13080360867914
1739209871.236412;-33.981070128970906
1739209871.2364187;-38.13080360867914
1739209871.2364252;-45.120503652039325
1739209871.2364318;-35.57807855764607
1739209871.2364383;-38.13080360867914
1739209871.236445;-45.120503652039325
1739209871.2364514;-38.13080360867914
1739209871.236458;-30.49652367304973
1739209871.2364645;-38.13080360867914
1739209871.2364712;-38.13080360867914
1739209871.2364779;-38.13080360867914
1739209871.2364843;-38.13080360867914
1739209871.236491;-38.13080360867914
1739209871.2364974;-38.13080360867914
1739209871.236504;-45.120503652039325
1739209871.2365105;-38.13080360867914
1739209871.2365172;-45.120503652039325
1739209871.2365236;-35.57807855764607
1739209871.2365303;-45.120503652039325
1739209871.2365367;-45.120503652039325
1739209871.2365434;-45.120503652039325
1739209871.2365499;-45.120503652039325
1739209871.2365565;-45.120503652039325
1739209871.236563;-32.816014438256545
1739209871.2365696;-35.57807855764607
1739209871.236576;-45.120503652039325
1739209871.2365828;-45.120503652039325
1739209871.2365892;-35.57807855764607
1739209871.2365959;-38.13080360867914
1739209871.2366023;-45.120503652039325
1739209871.236609;-45.120503652039325
1739209871.2366154;-38.13080360867914
1739209871.236622;-45.120503652039325
1739209871.2366285;-38.13080360867914
1739209871.2366352;-35.57807855764607
1739209871.2366416;-32.816014438256545
1739209871.2366483;-38.13080360867914
1739209871.2366548;-38.13080360867914
1739209871.2366614;-38.13080360867914
1739209871.2366679;-45.120503652039325
1739209871.2366745;-38.13080360867914
1739209871.236681;-45.120503652039325
1739209871.2366877;-38.13080360867914
1739209871.2366943;-45.120503652039325
1739209871.2367008;-32.816014438256545
1739209871.2367074;-38.13080360867914
1739209871.236714;-45.120503652039325
1739209871.2367206;-33.981070128970906
1739209871.236727;-45.120503652039325
1739209871.2367337;-38.13080360867914
1739209871.23674;-38.13080360867914
1739209871.2367468;-45.120503652039325
1739209871.2367532;-45.120503652039325
1739209871.23676;-38.13080360867914
1739209871.2367663;-38.13080360867914
1739209871.236773;-45.120503652039325
1739209871.2367795;-38.13080360867914
1739209871.2367861;-35.57807855764607
1739209871.2367926;-38.13080360867914
1739209871.2367992;-38.13080360867914
1739209871.2368057;-38.13080360867914
1739209871.2368124;-45.120503652039325
1739209871.2368188;-38.13080360867914
1739209871.2368255;-38.13080360867914
1739209871.236832;-31.141103565318915
1739209871.2368386;-38.13080360867914
1739209871.236845;-38.13080360867914
1739209871.2368517;-35.57807855764607
1739209871.2368581;-33.981070128970906
1739209871.2368648;-45.120503652039325
1739209871.2368712;-38.13080360867914
1739209871.236878;-38.13080360867914
1739209871.2368844;-38.13080360867914
1739209871.236891;-35.57807855764607
1739209871.2368975;-38.13080360867914
1739209871.2369041;-45.120503652039325
1739209871.2369108;-45.120503652039325
1739209871.2369173;-35.57807855764607
1739209871.236924;-35.57807855764607
1739209871.2369304;-45.120503652039325
1739209871.236937;-45.120503652039325
1739209871.2369435;-45.120503652039325
1739209871.2369502;-45.120503652039325
1739209871.2369566;-35.57807855764607
1739209871.2369633;-32.816014438256545
1739209871.2369697;-45.120503652039325
1739209871.2369764;-38.13080360867914
1739209871.2369828;-32.816014438256545
1739209871.2369895;-28.992665084841942
1739209871.236996;-45.120503652039325
1739209871.2370026;-45.120503652039325
1739209871.237009;-45.120503652039325
1739209871.2370157;-38.13080360867914
1739209871.2370222;-45.120503652039325
1739209871.2370288;-45.120503652039325
1739209871.2370353;-45.120503652039325
1739209871.237042;-29.438486411369354
1739209871.2370484;-45.120503652039325
1739209871.237055;-38.13080360867914
1739209871.2370615;-38.13080360867914
1739209871.2370682;-45.120503652039325
1739209871.2370746;-45.120503652039325
1739209871.2370813;-45.120503652039325
1739209871.2370877;-38.13080360867914
1739209871.2370944;-38.13080360867914
1739209871.2371008;-38.13080360867914
1739209871.2371075;-35.57807855764607
1739209871.2371142;-45.120503652039325
1739209871.2371206;-33.981070128970906
1739209871.2371273;-35.57807855764607
1739209871.2371337;-38.13080360867914
1739209871.2371404;-32.816014438256545
1739209871.2371469;-28.992665084841942
1739209871.2371535;-38.13080360867914
1739209871.23716;-38.13080360867914
1739209871.2371666;-38.13080360867914
1739209871.237173;-38.13080360867914
1739209871.2371798;-35.57807855764607
1739209871.2371862;-38.13080360867914
1739209871.2371929;-38.13080360867914
1739209871.2371993;-32.816014438256545
1739209871.237206;-45.120503652039325
1739209871.2372124;-45.120503652039325
1739209871.237219;-45.120503652039325
1739209871.2372255;-38.13080360867914
1739209871.2372322;-38.13080360867914
1739209871.2372386;-45.120503652039325
1739209871.2372453;-45.120503652039325
1739209871.2372518;-31.141103565318915
1739209871.2425685;-38.13080360867914
1739209871.242571;-38.13080360867914
1739209871.242574;-45.120503652039325
1739209871.2425768;-45.120503652039325
1739209871.2425795;-45.120503652039325
1739209871.2425823;-38.13080360867914
1739209871.2425852;-45.120503652039325
1739209871.2425878;-45.120503652039325
1739209871.2425907;-45.120503652039325
1739209871.2425935;-45.120503652039325
1739209871.2425964;-45.120503652039325
1739209871.242599;-35.57807855764607
1739209871.2426019;-45.120503652039325
1739209871.2426047;-38.13080360867914
1739209871.2426074;-24.151403521958727
1739209871.2426102;-35.57807855764607
1739209871.242613;-45.120503652039325
1739209871.2426157;-33.981070128970906
1739209871.2426186;-33.981070128970906
1739209871.2426214;-45.120503652039325
1739209871.242624;-45.120503652039325
1739209871.242627;-45.120503652039325
1739209871.2426298;-38.13080360867914
1739209871.2426324;-45.120503652039325
1739209871.2426353;-38.13080360867914
1739209871.242638;-45.120503652039325
1739209871.242641;-45.120503652039325
1739209871.2426436;-38.13080360867914
1739209871.2426465;-38.13080360867914
1739209871.2426493;-38.13080360867914
1739209871.242652;-38.13080360867914
1739209871.2426548;-45.120503652039325
1739209871.2426577;-38.13080360867914
1739209871.2426603;-38.13080360867914
1739209871.2426631;-45.120503652039325
1739209871.242666;-38.13080360867914
1739209871.2426686;-45.120503652039325
1739209871.2426715;-45.120503652039325
1739209871.2426744;-35.57807855764607
1739209871.242677;-38.13080360867914
1739209871.2426798;-45.120503652039325
1739209871.2426827;-45.120503652039325
1739209871.2426853;-32.816014438256545
