CAN Message; 0x24:0785f74ba4cc70ad
Timestamp;Amplitude
1739209749.662215;-45.120503652039325
1739209749.6622171;-45.120503652039325
1739209749.662219;-45.120503652039325
1739209749.6622212;-38.13080360867914
1739209749.662223;-38.13080360867914
1739209749.662225;-45.120503652039325
1739209749.6622272;-45.120503652039325
1739209749.662229;-45.120503652039325
1739209749.662231;-45.120503652039325
1739209749.662233;-45.120503652039325
1739209749.662235;-45.120503652039325
1739209749.6622372;-38.13080360867914
1739209749.662239;-35.57807855764607
1739209749.662241;-45.120503652039325
1739209749.6622431;-38.13080360867914
1739209749.662245;-45.120503652039325
1739209749.662247;-38.13080360867914
1739209749.662249;-38.13080360867914
1739209749.662251;-45.120503652039325
1739209749.6622531;-45.120503652039325
1739209749.662255;-28.992665084841942
1739209749.662257;-38.13080360867914
1739209749.662259;-45.120503652039325
1739209749.662261;-45.120503652039325
1739209749.6622632;-38.13080360867914
1739209749.662265;-45.120503652039325
1739209749.662267;-32.816014438256545
1739209749.662269;-32.816014438256545
1739209749.662271;-31.141103565318943
1739209749.662273;-45.120503652039325
1739209749.662275;-38.13080360867914
1739209749.662277;-35.57807855764607
1739209749.6622791;-38.13080360867914
1739209749.662281;-45.120503652039325
1739209749.662283;-45.120503652039325
1739209749.662285;-45.120503652039325
1739209749.662287;-26.991370085610722
1739209749.6622891;-32.816014438256545
1739209749.662291;-45.120503652039325
1739209749.662293;-35.57807855764607
1739209749.662295;-35.57807855764607
1739209749.662297;-45.120503652039325
1739209749.662299;-38.13080360867914
1739209749.662301;-35.57807855764607
1739209749.662303;-33.981070128970956
1739209749.662305;-45.120503652039325
1739209749.662307;-33.981070128970906
1739209749.662309;-38.13080360867914
1739209749.662311;-38.13080360867914
1739209749.662313;-38.13080360867914
1739209749.662315;-45.120503652039325
1739209749.662317;-45.120503652039325
1739209749.662319;-31.141103565318893
1739209749.662321;-38.13080360867914
1739209749.662323;-45.120503652039325
1739209749.662325;-38.13080360867914
1739209749.662327;-38.13080360867914
1739209749.662329;-45.120503652039325
1739209749.662331;-45.120503652039325
1739209749.662333;-31.141103565318893
1739209749.662335;-45.120503652039325
1739209749.662337;-45.120503652039325
1739209749.662339;-32.816014438256545
1739209749.6623409;-38.13080360867914
1739209749.662343;-38.13080360867914
1739209749.662345;-38.13080360867914
1739209749.662347;-38.13080360867914
1739209749.662349;-38.13080360867914
1739209749.662351;-45.120503652039325
1739209749.662353;-45.120503652039325
