CAN Message; 0x1d3:0000fd55bdb5f073
Timestamp;Amplitude
1739209736.3258548;-45.120503652039325
1739209736.3258657;-35.57807855764607
1739209736.325877;-32.816014438256545
1739209736.325888;-45.120503652039325
1739209736.325899;-45.120503652039325
1739209736.32591;-35.57807855764607
1739209736.325921;-32.816014438256545
1739209736.3259323;-45.120503652039325
1739209736.3259432;-45.120503652039325
1739209736.3259544;-38.13080360867914
1739209736.3259654;-45.120503652039325
1739209736.3259766;-45.120503652039325
1739209736.3259876;-45.120503652039325
1739209736.3259985;-45.120503652039325
1739209736.3260098;-38.13080360867914
1739209736.3260207;-45.120503652039325
1739209736.326032;-45.120503652039325
1739209736.326043;-35.57807855764607
1739209736.326054;-32.816014438256545
1739209736.326065;-45.120503652039325
1739209736.3260763;-45.120503652039325
1739209736.3260872;-35.57807855764607
1739209736.3260984;-32.816014438256545
1739209736.3261094;-45.120503652039325
1739209736.3261204;-45.120503652039325
1739209736.3261316;-35.57807855764607
1739209736.3261425;-38.13080360867914
1739209736.3261538;-45.120503652039325
1739209736.3261647;-45.120503652039325
1739209736.326176;-38.13080360867914
1739209736.326187;-45.120503652039325
1739209736.326198;-45.120503652039325
1739209736.326209;-45.120503652039325
1739209736.32622;-45.120503652039325
1739209736.3262312;-45.120503652039325
1739209736.3262422;-45.120503652039325
1739209736.3262534;-45.120503652039325
1739209736.3262644;-38.13080360867914
1739209736.3262756;-35.57807855764607
1739209736.3262866;-38.13080360867914
1739209736.3262978;-45.120503652039325
1739209736.3263087;-38.13080360867914
1739209736.32632;-28.992665084841942
1739209736.326331;-45.120503652039325
1739209736.3263419;-45.120503652039325
1739209736.326353;-38.13080360867914
1739209736.326364;-45.120503652039325
1739209736.3263752;-38.13080360867914
1739209736.3263862;-38.13080360867914
1739209736.3263974;-45.120503652039325
1739209736.3264084;-32.81601443825658
1739209736.3264196;-38.13080360867914
1739209736.3264306;-45.120503652039325
1739209736.3264415;-38.13080360867914
1739209736.3264527;-38.13080360867914
1739209736.3264637;-45.120503652039325
1739209736.326475;-45.120503652039325
1739209736.3264859;-33.981070128970906
1739209736.326497;-28.992665084841942
1739209736.326508;-38.13080360867914
1739209736.3265193;-45.120503652039325
1739209736.3265302;-38.13080360867914
1739209736.3265414;-33.981070128970906
1739209736.3265524;-45.120503652039325
1739209736.3265634;-38.13080360867914
1739209736.3265746;-38.13080360867914
1739209736.3265855;-38.13080360867914
1739209736.3265967;-38.13080360867914
1739209736.3266077;-45.120503652039325
1739209736.326619;-45.120503652039325
1739209736.3266299;-45.120503652039325
1739209736.326641;-38.13080360867914
1739209736.326652;-38.13080360867914
1739209736.326663;-38.13080360867914
1739209736.3266742;-38.13080360867914
1739209736.3266852;-38.13080360867914
1739209736.3266964;-45.120503652039325
1739209736.3267074;-45.120503652039325
1739209736.3267186;-38.13080360867914
1739209736.3267295;-45.120503652039325
1739209736.3267407;-45.120503652039325
1739209736.3267517;-38.13080360867914
1739209736.3267627;-31.141103565318915
1739209736.326774;-33.981070128970906
1739209736.3267848;-38.13080360867914
1739209736.326796;-45.120503652039325
1739209736.326807;-38.13080360867914
1739209736.3268182;-35.57807855764607
1739209736.3268292;-38.13080360867914
1739209736.3268404;-45.120503652039325
1739209736.3268514;-32.816014438256545
1739209736.3268626;-28.992665084841942
1739209736.3268735;-33.981070128970906
1739209736.3268845;-45.120503652039325
1739209736.3268957;-38.13080360867914
1739209736.3269067;-45.120503652039325
1739209736.326918;-38.13080360867914
1739209736.3269289;-45.120503652039325
1739209736.32694;-33.981070128970906
1739209736.326951;-32.816014438256545
1739209736.3269622;-38.13080360867914
1739209736.3269732;-45.120503652039325
1739209736.3269842;-45.120503652039325
1739209736.3269954;-35.57807855764607
1739209736.3270063;-45.120503652039325
1739209736.3270175;-38.13080360867914
1739209736.3270285;-33.981070128970906
1739209736.3270397;-31.141103565318915
1739209736.3270507;-45.120503652039325
1739209736.327062;-45.120503652039325
1739209736.3270729;-45.120503652039325
1739209736.327084;-45.120503652039325
1739209736.327095;-45.120503652039325
1739209736.327106;-38.13080360867914
1739209736.3271172;-38.13080360867914
1739209736.3271282;-45.120503652039325
1739209736.3271394;-45.120503652039325
1739209736.3271503;-45.120503652039325
1739209736.3271616;-45.120503652039325
1739209736.3271725;-45.120503652039325
1739209736.3271837;-38.13080360867914
1739209736.3271947;-38.13080360867914
1739209736.3272057;-38.13080360867914
1739209736.3272169;-38.13080360867914
1739209736.3272278;-38.13080360867914
1739209736.327239;-45.120503652039325
1739209736.32725;-45.120503652039325
1739209736.3272612;-38.13080360867914
1739209736.3272722;-45.120503652039325
1739209736.3272834;-45.120503652039325
1739209736.3272943;-38.13080360867914
1739209736.3273053;-45.120503652039325
1739209736.3273165;-45.120503652039325
1739209736.3273275;-45.120503652039325
1739209736.3273387;-38.13080360867914
1739209736.3273497;-38.13080360867914
1739209736.3273609;-45.120503652039325
1739209736.3273718;-33.981070128970906
1739209736.327383;-45.120503652039325
1739209736.327394;-45.120503652039325
1739209736.3274052;-45.120503652039325
1739209736.3274162;-35.57807855764607
1739209736.3274271;-38.13080360867914
1739209736.3274384;-38.13080360867914
1739209736.3274493;-35.57807855764607
1739209736.3274605;-38.13080360867914
1739209736.3274715;-45.120503652039325
1739209736.3274827;-33.981070128970906
1739209736.3274937;-38.13080360867914
1739209736.3275049;-38.13080360867914
1739209736.3275158;-35.57807855764607
1739209736.3275268;-45.120503652039325
1739209736.327538;-45.120503652039325
1739209736.327549;-38.13080360867914
1739209736.3275602;-35.57807855764607
1739209736.3275712;-45.120503652039325
1739209736.3275824;-45.120503652039325
1739209736.3275933;-38.13080360867914
1739209736.3276045;-45.120503652039325
1739209736.3276155;-38.13080360867914
1739209736.3276267;-35.57807855764607
1739209736.3276377;-45.120503652039325
1739209736.3276486;-33.981070128970906
1739209736.3276598;-35.57807855764607
1739209736.3276708;-38.13080360867914
1739209736.327682;-45.120503652039325
1739209736.327693;-38.13080360867914
1739209736.3277042;-38.13080360867914
1739209736.3277152;-45.120503652039325
1739209736.3277264;-45.120503652039325
1739209736.3277373;-45.120503652039325
1739209736.3277483;-45.120503652039325
1739209736.3277595;-38.13080360867914
1739209736.3277705;-45.120503652039325
1739209736.3277817;-45.120503652039325
1739209736.3277926;-38.13080360867914
1739209736.3278039;-32.816014438256545
1739209736.3278148;-38.13080360867914
1739209736.327826;-38.13080360867914
1739209736.327837;-38.13080360867914
1739209736.3278482;-35.57807855764607
1739209736.3278592;-38.13080360867914
1739209736.3278701;-45.120503652039325
1739209736.3278813;-38.13080360867914
1739209736.3278923;-38.13080360867914
1739209736.3279035;-35.57807855764607
1739209736.3279145;-35.57807855764607
1739209736.3279257;-45.120503652039325
1739209736.3279366;-45.120503652039325
1739209736.3279479;-45.120503652039325
1739209736.3279588;-45.120503652039325
1739209736.3279698;-38.13080360867914
1739209736.327981;-38.13080360867914
1739209736.327992;-45.120503652039325
1739209736.3280032;-38.13080360867914
1739209736.3280141;-38.13080360867914
1739209736.3280253;-33.981070128970906
1739209736.3280363;-45.120503652039325
1739209736.3280475;-45.120503652039325
1739209736.3280585;-45.120503652039325
1739209736.3280694;-33.981070128970906
1739209736.3280807;-45.120503652039325
1739209736.3280916;-45.120503652039325
1739209736.3281028;-45.120503652039325
1739209736.3281138;-45.120503652039325
1739209736.328125;-45.120503652039325
1739209736.328136;-45.120503652039325
1739209736.3281472;-31.141103565318915
1739209736.3281581;-38.13080360867914
1739209736.3281693;-45.120503652039325
1739209736.3281803;-45.120503652039325
1739209736.3281913;-38.13080360867914
1739209736.3282025;-31.141103565318915
1739209736.3282135;-38.13080360867914
1739209736.3282247;-38.13080360867914
1739209736.3282356;-45.120503652039325
1739209736.3282468;-38.13080360867914
1739209736.3282578;-38.13080360867914
1739209736.328269;-45.120503652039325
1739209736.32828;-32.816014438256545
1739209736.328291;-38.13080360867914
1739209736.3283021;-45.120503652039325
1739209736.328313;-45.120503652039325
1739209736.3283243;-32.816014438256545
1739209736.3283353;-38.13080360867914
1739209736.3283465;-38.13080360867914
1739209736.3283575;-35.57807855764607
1739209736.3283687;-45.120503652039325
1739209736.3283796;-33.981070128970906
1739209736.3283908;-38.13080360867914
1739209736.3284018;-45.120503652039325
1739209736.3284128;-38.13080360867914
1739209736.328424;-38.13080360867914
1739209736.328435;-38.13080360867914
1739209736.3284461;-38.13080360867914
1739209736.328457;-38.13080360867914
1739209736.3284683;-45.120503652039325
1739209736.3284793;-38.13080360867914
1739209736.3284905;-35.57807855764607
1739209736.3285015;-45.120503652039325
1739209736.3285124;-45.120503652039325
1739209736.3285236;-38.13080360867914
1739209736.3285346;-45.120503652039325
1739209736.3285458;-45.120503652039325
1739209736.3285568;-45.120503652039325
1739209736.328568;-38.13080360867914
1739209736.328579;-38.13080360867914
1739209736.3285902;-45.120503652039325
1739209736.3286011;-38.13080360867914
1739209736.3286123;-38.13080360867914
1739209736.3286233;-33.981070128970906
1739209736.3286343;-38.13080360867914
1739209736.3286455;-32.816014438256545
1739209736.3286564;-35.57807855764607
1739209736.3286676;-35.57807855764607
1739209736.3286786;-45.120503652039325
1739209736.3286898;-45.120503652039325
1739209736.3287008;-35.57807855764607
1739209736.328712;-38.13080360867914
1739209736.328723;-38.13080360867914
1739209736.328734;-33.981070128970906
1739209736.3287451;-38.13080360867914
1739209736.328756;-33.981070128970906
1739209736.3287673;-45.120503652039325
1739209736.3287783;-38.13080360867914
1739209736.3287895;-38.13080360867914
1739209736.3288004;-38.13080360867914
1739209736.3288116;-45.120503652039325
1739209736.3288226;-31.141103565318915
1739209736.3288336;-31.141103565318915
1739209736.3288448;-32.816014438256545
1739209736.3288558;-35.57807855764607
1739209736.328867;-45.120503652039325
1739209736.328878;-45.120503652039325
1739209736.3288891;-38.13080360867914
1739209736.3289;-38.13080360867914
1739209736.3289113;-33.981070128970906
1739209736.3289223;-31.141103565318915
1739209736.3289335;-38.13080360867914
1739209736.3289444;-38.13080360867914
1739209736.3289554;-38.13080360867914
1739209736.3289666;-33.981070128970906
1739209736.3289776;-32.816014438256545
1739209736.3289888;-45.120503652039325
1739209736.3289998;-38.13080360867914
1739209736.329011;-33.981070128970906
1739209736.329022;-33.981070128970906
1739209736.3290331;-45.120503652039325
1739209736.329044;-45.120503652039325
1739209736.329055;-45.120503652039325
1739209736.3290663;-45.120503652039325
1739209736.3290772;-45.120503652039325
1739209736.3290884;-38.13080360867914
1739209736.3290994;-38.13080360867914
1739209736.3291106;-45.120503652039325
1739209736.3291216;-45.120503652039325
1739209736.3291328;-45.120503652039325
1739209736.3291438;-45.120503652039325
1739209736.329155;-45.120503652039325
1739209736.329166;-38.13080360867914
1739209736.329177;-38.13080360867914
1739209736.329188;-31.141103565318915
1739209736.329199;-38.13080360867914
1739209736.3292103;-38.13080360867914
1739209736.3292212;-38.13080360867914
1739209736.3292325;-45.120503652039325
1739209736.3292434;-45.120503652039325
1739209736.3292546;-38.13080360867914
1739209736.3292656;-38.13080360867914
1739209736.3292766;-32.81601443825658
1739209736.3292878;-45.120503652039325
1739209736.3292987;-45.120503652039325
1739209736.32931;-38.13080360867914
1739209736.329321;-38.13080360867914
1739209736.329332;-38.13080360867914
1739209736.329343;-38.13080360867914
1739209736.3293543;-38.13080360867914
1739209736.3293653;-28.992665084841942
1739209736.3293762;-38.13080360867914
1739209736.3293874;-45.120503652039325
1739209736.3293984;-38.13080360867914
1739209736.3294096;-45.120503652039325
1739209736.3294206;-45.120503652039325
1739209736.3294318;-45.120503652039325
1739209736.3294427;-45.120503652039325
1739209736.329454;-32.81601443825658
1739209736.329465;-35.57807855764607
1739209736.329476;-45.120503652039325
1739209736.329487;-45.120503652039325
1739209736.329498;-38.13080360867914
1739209736.3295093;-38.13080360867914
1739209736.3295202;-35.57807855764607
1739209736.3295314;-38.13080360867914
1739209736.3295424;-28.992665084841942
1739209736.3295536;-32.816014438256545
1739209736.3295646;-38.13080360867914
1739209736.3295758;-38.13080360867914
1739209736.3295867;-45.120503652039325
1739209736.3295977;-45.120503652039325
1739209736.329609;-45.120503652039325
1739209736.32962;-45.120503652039325
1739209736.329631;-45.120503652039325
1739209736.329642;-38.13080360867914
1739209736.3296533;-38.13080360867914
1739209736.3296642;-45.120503652039325
1739209736.3296754;-33.981070128970906
1739209736.3296864;-45.120503652039325
1739209736.3296976;-38.13080360867914
1739209736.3297086;-45.120503652039325
1739209736.3297195;-45.120503652039325
1739209736.3297307;-33.981070128970906
1739209736.3297417;-45.120503652039325
1739209736.329753;-45.120503652039325
1739209736.329764;-38.13080360867914
1739209736.329775;-33.981070128970906
1739209736.329786;-38.13080360867914
1739209736.3297973;-45.120503652039325
1739209736.3298082;-32.816014438256545
1739209736.3298192;-35.57807855764607
1739209736.3298304;-45.120503652039325
1739209736.3298414;-45.120503652039325
1739209736.3298526;-38.13080360867914
1739209736.3298635;-45.120503652039325
1739209736.3298748;-45.120503652039325
1739209736.3298857;-45.120503652039325
1739209736.329897;-45.120503652039325
1739209736.329908;-38.13080360867914
1739209736.329919;-38.13080360867914
1739209736.32993;-45.120503652039325
1739209736.329941;-45.120503652039325
1739209736.3299522;-33.981070128970906
1739209736.3299632;-45.120503652039325
1739209736.3299744;-45.120503652039325
1739209736.3299854;-32.816014438256545
1739209736.3299966;-35.57807855764607
1739209736.3300076;-45.120503652039325
1739209736.3300188;-45.120503652039325
1739209736.3300297;-45.120503652039325
1739209736.3300407;-45.120503652039325
1739209736.330052;-38.13080360867914
1739209736.3300629;-38.13080360867914
1739209736.330074;-45.120503652039325
1739209736.330085;-38.13080360867914
1739209736.3300962;-38.13080360867914
1739209736.3301072;-45.120503652039325
1739209736.3301184;-35.57807855764607
1739209736.3301294;-35.57807855764607
1739209736.3301404;-38.13080360867914
1739209736.3301516;-45.120503652039325
1739209736.3301625;-38.13080360867914
1739209736.3301737;-35.57807855764607
1739209736.3301847;-45.120503652039325
1739209736.330196;-45.120503652039325
1739209736.3302069;-45.120503652039325
1739209736.330218;-45.120503652039325
1739209736.330229;-35.57807855764607
1739209736.3302402;-38.13080360867914
1739209736.3302512;-45.120503652039325
1739209736.3302622;-45.120503652039325
1739209736.3302734;-38.13080360867914
1739209736.3302844;-38.13080360867914
1739209736.3302956;-38.13080360867914
1739209736.3303065;-35.57807855764607
1739209736.3303177;-38.13080360867914
1739209736.3303287;-33.981070128970906
1739209736.33034;-45.120503652039325
1739209736.3303509;-33.981070128970906
1739209736.3303618;-35.57807855764607
1739209736.330373;-38.13080360867914
1739209736.330384;-45.120503652039325
1739209736.3303952;-45.120503652039325
1739209736.3304062;-38.13080360867914
