CAN Message; 0x1a7:0000be7047569929
Timestamp;Amplitude
1739209814.5044203;-33.981070128970906
1739209814.504424;-33.981070128970906
1739209814.5044281;-38.13080360867914
1739209814.504432;-45.120503652039325
1739209814.504436;-35.57807855764607
1739209814.5044398;-45.120503652039325
1739209814.504444;-38.13080360867914
1739209814.5044477;-27.8777449560314
1739209814.5044518;-45.120503652039325
1739209814.5044556;-45.120503652039325
1739209814.5044596;-38.13080360867914
1739209814.5044634;-35.57807855764607
1739209814.5044675;-38.13080360867914
1739209814.5044715;-45.120503652039325
1739209814.5044754;-45.120503652039325
1739209814.5044794;-38.13080360867914
1739209814.5044832;-45.120503652039325
1739209814.5044873;-38.13080360867914
1739209814.504491;-45.120503652039325
1739209814.5044951;-45.120503652039325
1739209814.504499;-38.13080360867914
1739209814.504503;-45.120503652039325
1739209814.5045068;-45.120503652039325
1739209814.5045109;-38.13080360867914
1739209814.5045147;-38.13080360867914
1739209814.5045187;-38.13080360867914
1739209814.5045228;-45.120503652039325
1739209814.5045266;-45.120503652039325
1739209814.5045307;-45.120503652039325
1739209814.5045345;-45.120503652039325
1739209814.5045385;-35.57807855764607
1739209814.5045424;-32.816014438256545
1739209814.5045464;-38.13080360867914
1739209814.5045502;-38.13080360867914
1739209814.5045543;-35.57807855764607
1739209814.504558;-30.49652367304973
1739209814.5045621;-38.13080360867914
1739209814.504566;-38.13080360867914
1739209814.50457;-38.13080360867914
1739209814.5045738;-45.120503652039325
1739209814.5045779;-45.120503652039325
1739209814.504582;-38.13080360867914
1739209814.5045857;-45.120503652039325
1739209814.5045898;-45.120503652039325
1739209814.5045936;-38.13080360867914
1739209814.5045977;-38.13080360867914
1739209814.5046015;-38.13080360867914
1739209814.5046055;-38.13080360867914
1739209814.5046093;-35.57807855764607
1739209814.5046134;-38.13080360867914
1739209814.5046172;-45.120503652039325
1739209814.5046213;-38.13080360867914
1739209814.504625;-38.13080360867914
1739209814.5046291;-35.57807855764607
1739209814.5046332;-38.13080360867914
1739209814.504637;-38.13080360867914
1739209814.504641;-33.981070128970906
1739209814.5046449;-38.13080360867914
1739209814.504649;-45.120503652039325
1739209814.5046527;-45.120503652039325
1739209814.5046568;-38.13080360867914
1739209814.5046606;-38.13080360867914
1739209814.5046647;-38.13080360867914
1739209814.5046685;-38.13080360867914
1739209814.5046725;-45.120503652039325
1739209814.5046763;-38.13080360867914
1739209814.5046804;-38.13080360867914
1739209814.5046844;-45.120503652039325
1739209814.5046883;-45.120503652039325
1739209814.5046923;-38.13080360867914
1739209814.5046961;-45.120503652039325
1739209814.5047002;-45.120503652039325
1739209814.504704;-31.141103565318915
1739209814.504708;-45.120503652039325
1739209814.5047119;-45.120503652039325
1739209814.504716;-38.13080360867914
1739209814.5047197;-33.981070128970906
1739209814.5047238;-38.13080360867914
1739209814.5047276;-38.13080360867914
1739209814.5047317;-45.120503652039325
1739209814.5047357;-45.120503652039325
1739209814.5047395;-45.120503652039325
1739209814.5047436;-45.120503652039325
1739209814.5047474;-45.120503652039325
1739209814.5047514;-45.120503652039325
1739209814.5047553;-38.13080360867914
1739209814.5047593;-45.120503652039325
1739209814.5047631;-45.120503652039325
1739209814.5047672;-38.13080360867914
1739209814.504771;-45.120503652039325
1739209814.504775;-35.57807855764607
1739209814.5047789;-33.981070128970906
1739209814.504783;-38.13080360867914
1739209814.5047867;-45.120503652039325
1739209814.5047908;-45.120503652039325
1739209814.5047948;-45.120503652039325
1739209814.5047987;-31.141103565318915
1739209814.5048027;-38.13080360867914
1739209814.5048065;-38.13080360867914
1739209814.5048106;-35.57807855764607
1739209814.5048144;-38.13080360867914
1739209814.5048184;-38.13080360867914
1739209814.5048223;-38.13080360867914
1739209814.5048263;-45.120503652039325
1739209814.5048301;-33.981070128970956
1739209814.5048342;-45.120503652039325
1739209814.504838;-45.120503652039325
1739209814.504842;-45.120503652039325
1739209814.504846;-38.13080360867914
1739209814.50485;-32.816014438256545
1739209814.504854;-33.981070128970906
1739209814.5048578;-38.13080360867914
1739209814.5048618;-31.141103565318915
1739209814.5048656;-38.13080360867914
1739209814.5048697;-45.120503652039325
1739209814.5048735;-45.120503652039325
1739209814.5048776;-45.120503652039325
1739209814.5048814;-45.120503652039325
1739209814.5048854;-38.13080360867914
1739209814.5048892;-45.120503652039325
1739209814.5048933;-45.120503652039325
1739209814.5048974;-45.120503652039325
1739209814.5049012;-38.13080360867914
1739209814.5049052;-45.120503652039325
1739209814.504909;-45.120503652039325
1739209814.504913;-38.13080360867914
1739209814.504917;-38.13080360867914
1739209814.504921;-45.120503652039325
1739209814.5049248;-45.120503652039325
1739209814.5049288;-45.120503652039325
1739209814.5049326;-38.13080360867914
1739209814.5049367;-45.120503652039325
1739209814.5049405;-45.120503652039325
1739209814.5049446;-45.120503652039325
1739209814.5049486;-33.981070128970906
1739209814.5049524;-45.120503652039325
1739209814.5049565;-29.438486411369333
1739209814.5049603;-31.141103565318893
1739209814.5049644;-45.120503652039325
1739209814.5049682;-45.120503652039325
1739209814.5049722;-35.57807855764607
1739209814.504976;-38.13080360867914
1739209814.50498;-45.120503652039325
