CAN Message; 0x1b8:0300e4f226b49833
Timestamp;Amplitude
1739209846.3857584;-33.981070128970906
1739209846.3857627;-33.981070128970906
1739209846.3857672;-38.13080360867914
1739209846.3857715;-45.120503652039325
1739209846.385776;-33.981070128970906
1739209846.3857803;-38.13080360867914
1739209846.3857849;-45.120503652039325
1739209846.3857892;-38.13080360867914
1739209846.3857937;-35.57807855764607
1739209846.385798;-38.13080360867914
1739209846.3858025;-45.120503652039325
1739209846.3858068;-38.13080360867914
1739209846.3858113;-45.120503652039325
1739209846.3858159;-45.120503652039325
1739209846.3858202;-45.120503652039325
1739209846.3858247;-38.13080360867914
1739209846.385829;-38.13080360867914
1739209846.3858335;-38.13080360867914
1739209846.3858378;-35.57807855764607
1739209846.3858423;-38.13080360867914
1739209846.3858466;-32.816014438256545
1739209846.3858511;-31.141103565318893
1739209846.3858554;-38.13080360867914
1739209846.38586;-33.981070128970906
1739209846.3858645;-45.120503652039325
1739209846.3858688;-45.120503652039325
1739209846.3858733;-35.57807855764607
1739209846.3858776;-38.13080360867914
1739209846.3858821;-45.120503652039325
1739209846.3858864;-45.120503652039325
1739209846.385891;-38.13080360867914
1739209846.3858953;-38.13080360867914
1739209846.3858998;-45.120503652039325
1739209846.385904;-45.120503652039325
1739209846.3859086;-38.13080360867914
1739209846.385913;-38.13080360867914
1739209846.3859174;-45.120503652039325
1739209846.385922;-45.120503652039325
1739209846.3859262;-38.13080360867914
1739209846.3859308;-38.13080360867914
1739209846.385935;-33.981070128970906
1739209846.3859396;-38.13080360867914
1739209846.385944;-45.120503652039325
1739209846.3859484;-45.120503652039325
1739209846.3859527;-31.141103565318893
1739209846.3859572;-29.438486411369333
1739209846.3859615;-45.120503652039325
1739209846.385966;-45.120503652039325
1739209846.3859706;-45.120503652039325
1739209846.385975;-35.57807855764607
1739209846.3859794;-45.120503652039325
1739209846.3859837;-38.13080360867914
1739209846.3859882;-45.120503652039325
1739209846.3859925;-45.120503652039325
1739209846.385997;-38.13080360867914
1739209846.3860013;-38.13080360867914
1739209846.3860059;-38.13080360867914
1739209846.3860102;-38.13080360867914
1739209846.3860147;-38.13080360867914
1739209846.386019;-45.120503652039325
1739209846.3860235;-29.438486411369333
1739209846.386028;-29.438486411369333
1739209846.3860323;-45.120503652039325
1739209846.3860369;-45.120503652039325
1739209846.3860412;-32.816014438256545
1739209846.3860457;-35.57807855764607
1739209846.38605;-38.13080360867914
1739209846.3860545;-45.120503652039325
1739209846.3860588;-35.57807855764607
1739209846.3860633;-35.57807855764607
1739209846.3860676;-45.120503652039325
1739209846.3860722;-45.120503652039325
1739209846.3860765;-35.57807855764607
1739209846.386081;-35.57807855764607
1739209846.3860855;-45.120503652039325
1739209846.3860898;-38.13080360867914
1739209846.3860943;-45.120503652039325
1739209846.3860986;-45.120503652039325
1739209846.3861032;-35.57807855764607
1739209846.3861074;-38.13080360867914
1739209846.386112;-45.120503652039325
1739209846.3861163;-45.120503652039325
1739209846.3861208;-38.13080360867914
1739209846.386125;-38.13080360867914
1739209846.3861296;-35.57807855764607
1739209846.3861341;-31.141103565318893
1739209846.3861384;-35.57807855764607
1739209846.386143;-35.57807855764607
1739209846.3861473;-45.120503652039325
1739209846.3861518;-38.13080360867914
1739209846.386156;-38.13080360867914
1739209846.3861606;-38.13080360867914
1739209846.386165;-45.120503652039325
1739209846.3861694;-45.120503652039325
1739209846.3861737;-38.13080360867914
1739209846.3861783;-45.120503652039325
1739209846.3861825;-45.120503652039325
1739209846.386187;-45.120503652039325
1739209846.3861916;-38.13080360867914
1739209846.386196;-45.120503652039325
1739209846.3862004;-38.13080360867914
1739209846.3862047;-38.13080360867914
1739209846.3862092;-38.13080360867914
1739209846.3862135;-45.120503652039325
1739209846.386218;-45.120503652039325
1739209846.3862224;-45.120503652039325
1739209846.386227;-38.13080360867914
1739209846.3862312;-45.120503652039325
1739209846.3862357;-38.13080360867914
1739209846.3862402;-35.57807855764607
1739209846.3862445;-38.13080360867914
1739209846.386249;-38.13080360867914
1739209846.3862534;-45.120503652039325
1739209846.386258;-35.57807855764607
1739209846.3862622;-45.120503652039325
1739209846.3862667;-45.120503652039325
1739209846.386271;-45.120503652039325
