CAN Message; 0x1bb:0000f90ef287ea3c
Timestamp;Amplitude
1739209838.9692378;-38.13080360867914
1739209838.9692478;-45.120503652039325
1739209838.9692578;-45.120503652039325
1739209838.969268;-38.13080360867914
1739209838.969278;-38.13080360867914
1739209838.969288;-45.120503652039325
1739209838.9692981;-35.57807855764607
1739209838.9693081;-38.13080360867914
1739209838.9693182;-45.120503652039325
1739209838.9693282;-45.120503652039325
1739209838.9693384;-33.981070128970906
1739209838.9693484;-45.120503652039325
1739209838.9693584;-38.13080360867914
1739209838.9693685;-45.120503652039325
1739209838.9693785;-38.13080360867914
1739209838.9693885;-38.13080360867914
1739209838.9693985;-45.120503652039325
1739209838.9694088;-45.120503652039325
1739209838.9694188;-45.120503652039325
1739209838.9694288;-45.120503652039325
1739209838.9694388;-45.120503652039325
1739209838.9694488;-38.13080360867914
1739209838.9694588;-45.120503652039325
1739209838.9694688;-45.120503652039325
1739209838.9694788;-38.13080360867914
1739209838.969489;-38.13080360867914
1739209838.969499;-45.120503652039325
1739209838.9695091;-45.120503652039325
1739209838.9695191;-35.57807855764607
1739209838.9695292;-45.120503652039325
1739209838.9695392;-28.58837851428586
1739209838.9695492;-32.816014438256545
1739209838.9695594;-45.120503652039325
1739209838.9695694;-35.57807855764607
1739209838.9695795;-38.13080360867914
1739209838.9695895;-38.13080360867914
1739209838.9695995;-45.120503652039325
1739209838.9696095;-45.120503652039325
1739209838.9696195;-45.120503652039325
1739209838.9696298;-45.120503652039325
1739209838.9696398;-45.120503652039325
1739209838.9696498;-45.120503652039325
1739209838.9696598;-38.13080360867914
1739209838.9696698;-38.13080360867914
1739209838.9696798;-45.120503652039325
1739209838.9696898;-45.120503652039325
1739209838.9697;-45.120503652039325
1739209838.96971;-38.13080360867914
1739209838.9697201;-38.13080360867914
1739209838.9697301;-45.120503652039325
1739209838.9697402;-38.13080360867914
1739209838.9697502;-38.13080360867914
1739209838.9697602;-35.57807855764607
1739209838.9697704;-45.120503652039325
1739209838.9697804;-31.141103565318893
1739209838.9697905;-28.21854285175415
1739209838.9698005;-45.120503652039325
1739209838.9698105;-45.120503652039325
1739209838.9698205;-35.57807855764607
1739209838.9698305;-38.13080360867914
1739209838.9698408;-45.120503652039325
1739209838.9698508;-35.57807855764607
1739209838.9698608;-45.120503652039325
1739209838.9698708;-45.120503652039325
1739209838.9698808;-45.120503652039325
1739209838.9698908;-45.120503652039325
1739209838.9699008;-45.120503652039325
1739209838.9699109;-45.120503652039325
1739209838.969921;-38.13080360867914
1739209838.9699311;-45.120503652039325
1739209838.9699411;-45.120503652039325
1739209838.9699512;-45.120503652039325
1739209838.9699612;-45.120503652039325
1739209838.9699712;-45.120503652039325
1739209838.9699812;-45.120503652039325
1739209838.9699914;-45.120503652039325
1739209838.9700015;-38.13080360867914
1739209838.9700115;-45.120503652039325
1739209838.9700215;-38.13080360867914
1739209838.9700315;-32.816014438256545
1739209838.9700415;-45.120503652039325
1739209838.9700515;-38.13080360867914
1739209838.9700618;-32.816014438256545
1739209838.9700718;-33.981070128970906
1739209838.9700818;-45.120503652039325
1739209838.9700918;-45.120503652039325
1739209838.9701018;-45.120503652039325
1739209838.9701118;-45.120503652039325
1739209838.9701219;-38.13080360867914
1739209838.970132;-45.120503652039325
1739209838.9701421;-38.13080360867914
1739209838.9701521;-33.981070128970906
1739209838.9701622;-38.13080360867914
1739209838.9701722;-45.120503652039325
1739209838.9701822;-32.816014438256545
1739209838.9701922;-31.141103565318893
1739209838.9702024;-45.120503652039325
1739209838.9702125;-45.120503652039325
1739209838.9702225;-38.13080360867914
1739209838.9702325;-38.13080360867914
1739209838.9702425;-45.120503652039325
1739209838.9702525;-45.120503652039325
1739209838.9702625;-33.981070128970906
1739209838.9702728;-45.120503652039325
1739209838.9702828;-45.120503652039325
1739209838.9702928;-45.120503652039325
1739209838.9703028;-38.13080360867914
1739209838.9703128;-35.57807855764607
1739209838.9703228;-45.120503652039325
1739209838.9703329;-45.120503652039325
1739209838.970343;-45.120503652039325
1739209838.9703531;-33.981070128970906
1739209838.9703631;-33.981070128970906
1739209838.9703732;-45.120503652039325
1739209838.9703832;-38.13080360867914
1739209838.9703932;-45.120503652039325
1739209838.9704032;-33.981070128970906
1739209838.9704132;-45.120503652039325
1739209838.9704235;-45.120503652039325
1739209838.9704335;-38.13080360867914
1739209838.9704435;-33.981070128970906
1739209838.9704535;-45.120503652039325
1739209838.9704635;-38.13080360867914
1739209838.9704735;-38.13080360867914
1739209838.9704835;-45.120503652039325
1739209838.9704938;-38.13080360867914
1739209838.9705038;-38.13080360867914
1739209838.9705138;-38.13080360867914
1739209838.9705238;-38.13080360867914
1739209838.9705338;-45.120503652039325
1739209838.9705439;-38.13080360867914
1739209838.9705539;-33.981070128970906
1739209838.9705641;-35.57807855764607
1739209838.9705741;-38.13080360867914
1739209838.9705842;-45.120503652039325
1739209838.9705942;-31.141103565318915
1739209838.9706042;-33.981070128970906
1739209838.9706142;-45.120503652039325
1739209838.9706242;-45.120503652039325
1739209838.9706345;-45.120503652039325
1739209838.9706445;-45.120503652039325
1739209838.9706545;-38.13080360867914
1739209838.9706645;-45.120503652039325
1739209838.9706745;-38.13080360867914
1739209838.9706845;-31.141103565318915
1739209838.9706945;-38.13080360867914
1739209838.9707048;-38.13080360867914
1739209838.9707148;-38.13080360867914
1739209838.9707248;-38.13080360867914
1739209838.9707348;-33.981070128970906
1739209838.9707448;-45.120503652039325
1739209838.9707549;-38.13080360867914
1739209838.9707649;-31.141103565318915
1739209838.9707751;-38.13080360867914
1739209838.9707851;-45.120503652039325
1739209838.9707952;-45.120503652039325
1739209838.9708052;-38.13080360867914
1739209838.9708152;-38.13080360867914
1739209838.9708252;-45.120503652039325
1739209838.9708352;-38.13080360867914
1739209838.9708452;-31.141103565318915
1739209838.9708555;-45.120503652039325
1739209838.9708655;-38.13080360867914
1739209838.9708755;-35.57807855764607
1739209838.9708855;-38.13080360867914
1739209838.9708955;-45.120503652039325
1739209838.9709055;-38.13080360867914
1739209838.9709156;-38.13080360867914
1739209838.9709258;-33.981070128970906
1739209838.9709358;-45.120503652039325
1739209838.9709458;-45.120503652039325
1739209838.9709558;-38.13080360867914
1739209838.9709659;-38.13080360867914
1739209838.9709759;-45.120503652039325
1739209838.970986;-45.120503652039325
1739209838.9709961;-32.816014438256545
