CAN Message; 0x1b8:010088a0f91d9b38
Timestamp;Amplitude
1739209659.5219107;-38.13080360867914
1739209659.5219166;-35.57807855764607
1739209659.5219226;-38.13080360867914
1739209659.5219285;-45.120503652039325
1739209659.5219345;-38.13080360867914
1739209659.5219405;-38.13080360867914
1739209659.5219464;-38.13080360867914
1739209659.5219524;-45.120503652039325
1739209659.5219584;-45.120503652039325
1739209659.5219643;-35.57807855764607
1739209659.5219705;-38.13080360867914
1739209659.5219765;-45.120503652039325
1739209659.5219824;-45.120503652039325
1739209659.5219884;-45.120503652039325
1739209659.5219944;-38.13080360867914
1739209659.5220003;-45.120503652039325
1739209659.5220063;-45.120503652039325
1739209659.5220122;-38.13080360867914
1739209659.5220182;-38.13080360867914
1739209659.5220242;-45.120503652039325
1739209659.52203;-38.13080360867914
1739209659.522036;-45.120503652039325
1739209659.522042;-38.13080360867914
1739209659.522048;-32.816014438256545
1739209659.522054;-33.981070128970906
1739209659.52206;-45.120503652039325
1739209659.5220659;-45.120503652039325
1739209659.5220718;-38.13080360867914
1739209659.5220778;-35.57807855764607
1739209659.5220838;-35.57807855764607
1739209659.52209;-38.13080360867914
1739209659.522096;-35.57807855764607
1739209659.5221019;-45.120503652039325
1739209659.5221078;-38.13080360867914
1739209659.5221138;-33.981070128970906
1739209659.5221198;-45.120503652039325
1739209659.5221257;-38.13080360867914
1739209659.5221317;-38.13080360867914
1739209659.5221376;-38.13080360867914
1739209659.5221436;-45.120503652039325
1739209659.5221496;-45.120503652039325
1739209659.5221555;-35.57807855764607
1739209659.5221615;-38.13080360867914
1739209659.5221674;-45.120503652039325
1739209659.5221734;-38.13080360867914
1739209659.5221794;-38.13080360867914
1739209659.5221853;-33.981070128970906
1739209659.5221913;-38.13080360867914
1739209659.5221972;-38.13080360867914
1739209659.5222032;-32.816014438256545
1739209659.5222094;-33.981070128970906
1739209659.5222154;-45.120503652039325
1739209659.5222213;-45.120503652039325
1739209659.5222273;-38.13080360867914
1739209659.5222332;-29.438486411369354
1739209659.5222392;-38.13080360867914
1739209659.5222452;-33.981070128970906
1739209659.5222511;-35.57807855764607
1739209659.522257;-45.120503652039325
1739209659.522263;-45.120503652039325
1739209659.522269;-38.13080360867914
1739209659.522275;-38.13080360867914
1739209659.522281;-30.49652367304973
1739209659.522287;-33.981070128970906
1739209659.5222929;-38.13080360867914
1739209659.5222988;-45.120503652039325
1739209659.5223048;-45.120503652039325
1739209659.5223107;-45.120503652039325
1739209659.5223167;-45.120503652039325
1739209659.5223227;-31.141103565318893
1739209659.5223289;-38.13080360867914
1739209659.5223348;-38.13080360867914
1739209659.5223408;-38.13080360867914
1739209659.5223467;-35.57807855764607
1739209659.5223527;-45.120503652039325
1739209659.5223587;-38.13080360867914
1739209659.5223646;-35.57807855764607
1739209659.5223706;-45.120503652039325
1739209659.5223765;-32.816014438256545
1739209659.5223825;-29.438486411369333
1739209659.5223885;-45.120503652039325
1739209659.5223944;-38.13080360867914
1739209659.5224004;-38.13080360867914
1739209659.5224063;-45.120503652039325
1739209659.5224123;-38.13080360867914
1739209659.5224183;-38.13080360867914
1739209659.5224242;-45.120503652039325
1739209659.5224302;-45.120503652039325
1739209659.5224361;-38.13080360867914
1739209659.522442;-38.13080360867914
1739209659.5224483;-45.120503652039325
1739209659.5224543;-45.120503652039325
1739209659.5224602;-35.57807855764607
1739209659.5224662;-38.13080360867914
1739209659.5224721;-32.816014438256545
1739209659.522478;-32.816014438256545
1739209659.522484;-38.13080360867914
1739209659.52249;-38.13080360867914
1739209659.522496;-45.120503652039325
1739209659.522502;-35.57807855764607
1739209659.522508;-45.120503652039325
1739209659.5225139;-35.57807855764607
1739209659.5225198;-45.120503652039325
1739209659.5225258;-45.120503652039325
1739209659.5225317;-38.13080360867914
1739209659.5225377;-45.120503652039325
1739209659.5225437;-45.120503652039325
1739209659.5225496;-45.120503652039325
1739209659.5225556;-45.120503652039325
1739209659.5225616;-38.13080360867914
1739209659.5225677;-38.13080360867914
1739209659.5225737;-26.991370085610736
1739209659.5225797;-33.981070128970906
1739209659.5225856;-45.120503652039325
1739209659.5225916;-45.120503652039325
1739209659.5225976;-32.816014438256545
1739209659.5226035;-38.13080360867914
1739209659.5226095;-45.120503652039325
1739209659.5226154;-45.120503652039325
1739209659.5226214;-45.120503652039325
1739209659.5226274;-45.120503652039325
1739209659.5226333;-45.120503652039325
1739209659.5226393;-45.120503652039325
1739209659.5226452;-45.120503652039325
1739209659.5226512;-38.13080360867914
1739209659.5226572;-45.120503652039325
1739209659.522663;-38.13080360867914
1739209659.522669;-25.826314394896354
1739209659.522675;-38.13080360867914
1739209659.522681;-45.120503652039325
1739209659.5226872;-38.13080360867914
1739209659.5226932;-33.981070128970906
1739209659.522699;-38.13080360867914
1739209659.522705;-38.13080360867914
1739209659.522711;-45.120503652039325
1739209659.522717;-38.13080360867914
1739209659.522723;-45.120503652039325
1739209659.522729;-38.13080360867914
1739209659.5227349;-45.120503652039325
1739209659.5227408;-45.120503652039325
1739209659.5227468;-38.13080360867914
1739209659.5227528;-35.57807855764607
1739209659.5227587;-38.13080360867914
1739209659.5227647;-28.58837851428586
1739209659.5227706;-35.57807855764607
1739209659.5227766;-45.120503652039325
1739209659.5227826;-38.13080360867914
1739209659.5227885;-33.981070128970906
1739209659.5227945;-38.13080360867914
1739209659.5228004;-45.120503652039325
1739209659.5228066;-33.981070128970906
1739209659.5228126;-38.13080360867914
1739209659.5228186;-45.120503652039325
1739209659.5228245;-38.13080360867914
1739209659.5228305;-45.120503652039325
1739209659.5228364;-45.120503652039325
1739209659.5228424;-45.120503652039325
1739209659.5228484;-38.13080360867914
1739209659.5228543;-45.120503652039325
1739209659.5228603;-28.992665084841942
1739209659.5228662;-28.992665084841942
1739209659.5228722;-45.120503652039325
1739209659.5228782;-45.120503652039325
1739209659.5228841;-38.13080360867914
1739209659.52289;-38.13080360867914
1739209659.522896;-45.120503652039325
1739209659.522902;-38.13080360867914
1739209659.522908;-35.57807855764607
1739209659.522914;-35.57807855764607
1739209659.52292;-45.120503652039325
1739209659.522926;-45.120503652039325
