CAN Message; 0x1d3:0000b1acddb69478
Timestamp;Amplitude
1739209884.8237295;-38.13080360867914
1739209884.8237407;-45.120503652039325
1739209884.8237517;-38.13080360867914
1739209884.823763;-33.981070128970906
1739209884.823774;-33.981070128970906
1739209884.8237853;-45.120503652039325
1739209884.8237965;-38.13080360867914
1739209884.8238077;-38.13080360867914
1739209884.8238187;-38.13080360867914
1739209884.82383;-38.13080360867914
1739209884.823841;-38.13080360867914
1739209884.8238523;-35.57807855764607
1739209884.8238635;-38.13080360867914
1739209884.8238747;-45.120503652039325
1739209884.8238857;-45.120503652039325
1739209884.823897;-45.120503652039325
1739209884.823908;-38.13080360867914
1739209884.8239193;-38.13080360867914
1739209884.8239305;-45.120503652039325
1739209884.8239417;-35.57807855764607
1739209884.8239527;-31.141103565318915
1739209884.8239639;-45.120503652039325
1739209884.823975;-38.13080360867914
1739209884.8239863;-38.13080360867914
1739209884.8239975;-38.13080360867914
1739209884.8240087;-38.13080360867914
1739209884.8240197;-38.13080360867914
1739209884.8240309;-33.981070128970906
1739209884.824042;-33.981070128970906
1739209884.8240533;-38.13080360867914
1739209884.8240645;-35.57807855764607
1739209884.8240757;-45.120503652039325
1739209884.8240867;-38.13080360867914
1739209884.8240979;-32.816014438256545
1739209884.824109;-38.13080360867914
1739209884.8241203;-45.120503652039325
1739209884.8241315;-27.267205301931607
1739209884.8241427;-31.141103565318893
1739209884.8241537;-38.13080360867914
1739209884.8241649;-45.120503652039325
1739209884.824176;-38.13080360867914
1739209884.8241873;-35.57807855764607
1739209884.8241985;-45.120503652039325
1739209884.8242097;-38.13080360867914
1739209884.8242207;-33.981070128970906
1739209884.8242319;-38.13080360867914
1739209884.824243;-38.13080360867914
1739209884.8242543;-45.120503652039325
1739209884.8242655;-33.981070128970906
1739209884.8242767;-38.13080360867914
1739209884.8242877;-38.13080360867914
1739209884.8242989;-45.120503652039325
1739209884.82431;-38.13080360867914
1739209884.8243213;-35.57807855764607
1739209884.8243325;-38.13080360867914
1739209884.8243434;-45.120503652039325
1739209884.8243546;-38.13080360867914
1739209884.8243659;-35.57807855764607
1739209884.824377;-38.13080360867914
1739209884.8243883;-38.13080360867914
1739209884.8243995;-38.13080360867914
1739209884.8244104;-45.120503652039325
1739209884.8244216;-38.13080360867914
1739209884.8244328;-38.13080360867914
1739209884.824444;-38.13080360867914
1739209884.8244553;-45.120503652039325
1739209884.8244665;-45.120503652039325
1739209884.8244774;-45.120503652039325
1739209884.8244886;-45.120503652039325
1739209884.8244998;-38.13080360867914
1739209884.824511;-38.13080360867914
1739209884.8245223;-45.120503652039325
1739209884.8245335;-38.13080360867914
1739209884.8245444;-35.57807855764607
1739209884.8245556;-45.120503652039325
1739209884.8245668;-45.120503652039325
1739209884.824578;-45.120503652039325
1739209884.8245893;-45.120503652039325
1739209884.8246005;-45.120503652039325
1739209884.8246114;-45.120503652039325
1739209884.8246226;-45.120503652039325
1739209884.8246338;-45.120503652039325
1739209884.824645;-38.13080360867914
1739209884.8246562;-45.120503652039325
1739209884.8246675;-45.120503652039325
1739209884.8246784;-45.120503652039325
1739209884.8246896;-38.13080360867914
1739209884.8247008;-38.13080360867914
1739209884.824712;-35.57807855764607
1739209884.8247232;-45.120503652039325
1739209884.8247344;-45.120503652039325
1739209884.8247454;-35.57807855764607
