CAN Message; 0x1a7:00006ee306767174
Timestamp;Amplitude
1739209854.150369;-45.120503652039325
1739209854.1503713;-45.120503652039325
1739209854.150374;-38.13080360867914
1739209854.1503763;-33.981070128970906
1739209854.150379;-35.57807855764607
1739209854.1503816;-38.13080360867914
1739209854.150384;-45.120503652039325
1739209854.1503866;-38.13080360867914
1739209854.1503892;-33.981070128970906
1739209854.1503916;-45.120503652039325
1739209854.1503942;-45.120503652039325
1739209854.1503966;-38.13080360867914
1739209854.1503992;-45.120503652039325
1739209854.1504018;-45.120503652039325
1739209854.1504042;-45.120503652039325
1739209854.1504068;-45.120503652039325
1739209854.1504095;-38.13080360867914
1739209854.1504118;-38.13080360867914
1739209854.1504145;-45.120503652039325
1739209854.1504169;-38.13080360867914
1739209854.1504195;-35.57807855764607
1739209854.150422;-38.13080360867914
1739209854.1504245;-38.13080360867914
1739209854.150427;-38.13080360867914
1739209854.1504297;-45.120503652039325
1739209854.150432;-38.13080360867914
1739209854.1504347;-45.120503652039325
1739209854.150437;-33.981070128970906
1739209854.1504397;-32.816014438256545
1739209854.1504424;-38.13080360867914
1739209854.1504447;-45.120503652039325
1739209854.1504474;-38.13080360867914
1739209854.15045;-31.141103565318893
1739209854.1504524;-38.13080360867914
1739209854.150455;-38.13080360867914
1739209854.1504574;-38.13080360867914
1739209854.15046;-45.120503652039325
1739209854.1504626;-45.120503652039325
1739209854.150465;-38.13080360867914
1739209854.1504676;-38.13080360867914
1739209854.1504703;-45.120503652039325
1739209854.1504726;-45.120503652039325
1739209854.1504753;-45.120503652039325
1739209854.1504776;-45.120503652039325
1739209854.1504803;-35.57807855764607
1739209854.150483;-38.13080360867914
1739209854.1504853;-38.13080360867914
1739209854.150488;-45.120503652039325
1739209854.1504905;-35.57807855764607
1739209854.150493;-45.120503652039325
1739209854.1504955;-45.120503652039325
1739209854.150498;-38.13080360867914
1739209854.1505005;-45.120503652039325
1739209854.1505032;-38.13080360867914
1739209854.1505055;-38.13080360867914
1739209854.1505082;-45.120503652039325
1739209854.1505108;-45.120503652039325
1739209854.1505132;-33.981070128970906
1739209854.1505158;-35.57807855764607
1739209854.1505182;-38.13080360867914
1739209854.1505208;-45.120503652039325
1739209854.1505234;-45.120503652039325
1739209854.1505258;-38.13080360867914
1739209854.1505284;-38.13080360867914
1739209854.1505308;-45.120503652039325
1739209854.1505334;-38.13080360867914
1739209854.150536;-45.120503652039325
1739209854.1505384;-38.13080360867914
1739209854.150541;-32.816014438256545
1739209854.1505437;-45.120503652039325
1739209854.150546;-38.13080360867914
1739209854.1505487;-38.13080360867914
1739209854.150551;-45.120503652039325
1739209854.1505537;-45.120503652039325
1739209854.1505563;-45.120503652039325
1739209854.1505587;-45.120503652039325
1739209854.1505613;-33.981070128970956
1739209854.150564;-45.120503652039325
1739209854.1505663;-45.120503652039325
1739209854.150569;-38.13080360867914
1739209854.1505713;-45.120503652039325
1739209854.150574;-45.120503652039325
1739209854.1505766;-45.120503652039325
1739209854.150579;-38.13080360867914
1739209854.1505816;-27.8777449560314
1739209854.1505842;-38.13080360867914
1739209854.1505866;-45.120503652039325
1739209854.1505892;-33.981070128970906
1739209854.1505916;-32.816014438256545
1739209854.1505942;-38.13080360867914
1739209854.1505969;-38.13080360867914
1739209854.1505992;-33.981070128970906
1739209854.1506019;-45.120503652039325
1739209854.1506045;-45.120503652039325
1739209854.1506069;-45.120503652039325
1739209854.1506095;-38.13080360867914
1739209854.1506119;-45.120503652039325
1739209854.1506145;-45.120503652039325
1739209854.1506171;-45.120503652039325
1739209854.1506195;-38.13080360867914
1739209854.1506221;-45.120503652039325
1739209854.1506248;-45.120503652039325
1739209854.1506271;-45.120503652039325
1739209854.1506298;-38.13080360867914
1739209854.1506321;-38.13080360867914
1739209854.1506348;-45.120503652039325
1739209854.1506374;-38.13080360867914
1739209854.1506398;-45.120503652039325
1739209854.1506424;-27.267205301931607
1739209854.150645;-31.141103565318915
1739209854.1506474;-45.120503652039325
1739209854.15065;-38.13080360867914
1739209854.1506524;-35.57807855764607
1739209854.150655;-45.120503652039325
1739209854.1506577;-45.120503652039325
1739209854.15066;-35.57807855764607
1739209854.1506627;-35.57807855764607
1739209854.1506653;-45.120503652039325
1739209854.1506677;-45.120503652039325
1739209854.1506703;-45.120503652039325
1739209854.1506727;-45.120503652039325
1739209854.1506753;-45.120503652039325
1739209854.150678;-33.981070128970906
1739209854.1506803;-45.120503652039325
1739209854.150683;-31.141103565318915
1739209854.1506855;-32.816014438256545
1739209854.150688;-38.13080360867914
1739209854.1506906;-38.13080360867914
1739209854.150693;-45.120503652039325
1739209854.1506956;-33.981070128970906
1739209854.1506982;-38.13080360867914
1739209854.1507006;-45.120503652039325
1739209854.1507032;-45.120503652039325
1739209854.1507056;-38.13080360867914
1739209854.1507082;-38.13080360867914
1739209854.1507108;-45.120503652039325
1739209854.1507132;-45.120503652039325
1739209854.1507158;-38.13080360867914
1739209854.1507185;-45.120503652039325
1739209854.1507208;-45.120503652039325
1739209854.1507235;-45.120503652039325
1739209854.1507258;-45.120503652039325
1739209854.1507285;-45.120503652039325
1739209854.150731;-38.13080360867914
1739209854.1507335;-38.13080360867914
1739209854.150736;-45.120503652039325
1739209854.1507387;-45.120503652039325
1739209854.150741;-38.13080360867914
1739209854.1507437;-33.981070128970906
1739209854.150746;-33.981070128970906
1739209854.1507487;-45.120503652039325
1739209854.1507514;-38.13080360867914
1739209854.1507537;-31.141103565318915
1739209854.1507564;-33.981070128970906
1739209854.150759;-38.13080360867914
1739209854.1507614;-38.13080360867914
1739209854.150764;-38.13080360867914
1739209854.1507664;-45.120503652039325
1739209854.150769;-45.120503652039325
1739209854.1507716;-38.13080360867914
1739209854.150774;-45.120503652039325
1739209854.1507766;-45.120503652039325
1739209854.1507792;-45.120503652039325
1739209854.1507816;-38.13080360867914
1739209854.1507843;-33.981070128970906
1739209854.1507866;-31.141103565318915
1739209854.1507893;-45.120503652039325
1739209854.150792;-38.13080360867914
1739209854.1507943;-38.13080360867914
1739209854.150797;-32.816014438256545
1739209854.1507995;-38.13080360867914
1739209854.150802;-38.13080360867914
1739209854.1508045;-38.13080360867914
1739209854.150807;-45.120503652039325
1739209854.1508095;-45.120503652039325
1739209854.1508121;-45.120503652039325
1739209854.1508145;-45.120503652039325
1739209854.1508172;-45.120503652039325
1739209854.1508198;-45.120503652039325
1739209854.1508222;-38.13080360867914
1739209854.1508248;-45.120503652039325
1739209854.1508272;-38.13080360867914
1739209854.1508298;-45.120503652039325
1739209854.1508324;-45.120503652039325
1739209854.1508348;-45.120503652039325
1739209854.1508374;-45.120503652039325
1739209854.15084;-45.120503652039325
1739209854.1508424;-45.120503652039325
1739209854.150845;-45.120503652039325
1739209854.1508474;-38.13080360867914
1739209854.15085;-35.57807855764607
1739209854.1508527;-38.13080360867914
1739209854.150855;-45.120503652039325
1739209854.1508577;-38.13080360867914
1739209854.15086;-35.57807855764607
1739209854.1508627;-45.120503652039325
1739209854.1508653;-38.13080360867914
1739209854.1508677;-45.120503652039325
1739209854.1508703;-45.120503652039325
1739209854.150873;-38.13080360867914
1739209854.1508753;-45.120503652039325
1739209854.150878;-33.981070128970906
1739209854.1508803;-38.13080360867914
1739209854.150883;-38.13080360867914
1739209854.1508856;-45.120503652039325
1739209854.150888;-30.49652367304973
1739209854.1508906;-31.141103565318893
1739209854.1508932;-38.13080360867914
1739209854.1508956;-45.120503652039325
1739209854.1508982;-35.57807855764607
1739209854.1509006;-32.816014438256545
1739209854.1509032;-45.120503652039325
1739209854.1509058;-35.57807855764607
1739209854.1509082;-45.120503652039325
1739209854.1509109;-45.120503652039325
1739209854.1509135;-45.120503652039325
1739209854.1509159;-38.13080360867914
1739209854.1509185;-45.120503652039325
1739209854.1509209;-45.120503652039325
1739209854.1509235;-35.57807855764607
1739209854.150926;-35.57807855764607
1739209854.1509285;-35.57807855764607
1739209854.1509311;-45.120503652039325
1739209854.1509337;-38.13080360867914
1739209854.1509361;-35.57807855764607
1739209854.1509387;-38.13080360867914
1739209854.1509411;-45.120503652039325
1739209854.1509438;-38.13080360867914
1739209854.1509464;-38.13080360867914
1739209854.1509488;-35.57807855764607
1739209854.1509514;-30.49652367304973
1739209854.150954;-38.13080360867914
1739209854.1509564;-35.57807855764607
1739209854.150959;-38.13080360867914
1739209854.1509614;-45.120503652039325
1739209854.150964;-38.13080360867914
1739209854.1509666;-35.57807855764607
1739209854.150969;-45.120503652039325
1739209854.1509717;-38.13080360867914
1739209854.1509743;-33.981070128970906
1739209854.1509767;-35.57807855764607
1739209854.1509793;-38.13080360867914
1739209854.1509817;-45.120503652039325
1739209854.1509843;-45.120503652039325
1739209854.150987;-38.13080360867914
1739209854.1509893;-35.57807855764607
1739209854.150992;-28.21854285175415
1739209854.1509945;-38.13080360867914
1739209854.150997;-38.13080360867914
1739209854.1509995;-38.13080360867914
1739209854.151002;-35.57807855764607
1739209854.1510046;-45.120503652039325
