CAN Message; 0x1bb:0000e9f3defbe61b
Timestamp;Amplitude
1739209719.7738762;-45.120503652039325
1739209719.7738817;-45.120503652039325
1739209719.7738874;-45.120503652039325
1739209719.7738929;-35.57807855764607
1739209719.7738984;-35.57807855764607
1739209719.7739038;-45.120503652039325
1739209719.7739093;-38.13080360867914
1739209719.773915;-38.13080360867914
1739209719.7739205;-38.13080360867914
1739209719.773926;-38.13080360867914
1739209719.7739315;-45.120503652039325
1739209719.773937;-38.13080360867914
1739209719.7739427;-45.120503652039325
1739209719.7739482;-45.120503652039325
1739209719.7739537;-33.981070128970906
1739209719.7739592;-32.816014438256545
1739209719.773965;-38.13080360867914
1739209719.7739704;-35.57807855764607
1739209719.7739758;-38.13080360867914
1739209719.7739813;-38.13080360867914
1739209719.7739868;-32.816014438256545
1739209719.7739925;-35.57807855764607
1739209719.773998;-45.120503652039325
1739209719.7740035;-45.120503652039325
1739209719.774009;-33.981070128970906
1739209719.7740145;-45.120503652039325
1739209719.7740202;-38.13080360867914
1739209719.7740257;-45.120503652039325
1739209719.7740312;-45.120503652039325
1739209719.7740366;-33.981070128970906
1739209719.7740421;-33.981070128970906
1739209719.7740479;-45.120503652039325
1739209719.7740533;-32.816014438256545
1739209719.7740588;-29.438486411369333
1739209719.7740643;-33.981070128970906
1739209719.7740698;-35.57807855764607
1739209719.7740755;-38.13080360867914
1739209719.774081;-32.816014438256545
1739209719.7740865;-38.13080360867914
1739209719.774092;-45.120503652039325
1739209719.7740974;-45.120503652039325
1739209719.7741032;-45.120503652039325
1739209719.7741086;-38.13080360867914
1739209719.7741141;-45.120503652039325
1739209719.7741196;-38.13080360867914
1739209719.7741253;-45.120503652039325
1739209719.7741308;-35.57807855764607
1739209719.7741363;-38.13080360867914
1739209719.7741418;-38.13080360867914
1739209719.7741473;-38.13080360867914
1739209719.774153;-45.120503652039325
1739209719.7741585;-38.13080360867914
1739209719.774164;-45.120503652039325
1739209719.7741694;-38.13080360867914
1739209719.774175;-38.13080360867914
1739209719.7741807;-45.120503652039325
1739209719.7741861;-38.13080360867914
1739209719.7741916;-33.981070128970906
1739209719.774197;-38.13080360867914
1739209719.7742026;-45.120503652039325
1739209719.7742083;-38.13080360867914
1739209719.7742138;-38.13080360867914
1739209719.7742193;-45.120503652039325
1739209719.7742248;-45.120503652039325
1739209719.7742302;-31.141103565318915
1739209719.774236;-33.981070128970906
1739209719.7742414;-45.120503652039325
1739209719.774247;-45.120503652039325
1739209719.7742524;-38.13080360867914
1739209719.774258;-38.13080360867914
1739209719.7742636;-45.120503652039325
1739209719.774269;-38.13080360867914
1739209719.7742746;-35.57807855764607
1739209719.77428;-30.49652367304973
1739209719.7742858;-38.13080360867914
1739209719.7742913;-45.120503652039325
1739209719.7742968;-45.120503652039325
1739209719.7743022;-33.981070128970906
1739209719.7743077;-38.13080360867914
1739209719.7743134;-45.120503652039325
1739209719.774319;-45.120503652039325
1739209719.7743244;-45.120503652039325
1739209719.77433;-33.981070128970906
1739209719.7743354;-38.13080360867914
1739209719.774341;-35.57807855764607
1739209719.7743466;-38.13080360867914
1739209719.774352;-45.120503652039325
1739209719.7743576;-45.120503652039325
1739209719.774363;-38.13080360867914
1739209719.7743688;-45.120503652039325
1739209719.7743742;-45.120503652039325
1739209719.7743797;-45.120503652039325
1739209719.7743852;-45.120503652039325
1739209719.7743907;-33.981070128970906
1739209719.7743964;-31.141103565318915
1739209719.774402;-35.57807855764607
1739209719.7744074;-45.120503652039325
1739209719.7744129;-45.120503652039325
1739209719.7744184;-38.13080360867914
1739209719.774424;-35.57807855764607
1739209719.7744296;-45.120503652039325
1739209719.774435;-45.120503652039325
1739209719.7744405;-33.981070128970906
1739209719.7744462;-45.120503652039325
1739209719.7744517;-38.13080360867914
1739209719.7744572;-38.13080360867914
1739209719.7744627;-38.13080360867914
1739209719.7744682;-32.816014438256545
1739209719.774474;-38.13080360867914
1739209719.7744794;-45.120503652039325
1739209719.7744849;-33.981070128970906
1739209719.7744904;-38.13080360867914
1739209719.7744958;-45.120503652039325
1739209719.7745016;-38.13080360867914
1739209719.774507;-38.13080360867914
1739209719.7745125;-32.816014438256545
1739209719.774518;-38.13080360867914
1739209719.7745235;-30.49652367304973
1739209719.7745292;-31.141103565318915
1739209719.7745347;-35.57807855764607
1739209719.7745402;-38.13080360867914
1739209719.7745457;-38.13080360867914
1739209719.7745512;-33.981070128970906
1739209719.7745569;-38.13080360867914
1739209719.7745624;-38.13080360867914
1739209719.7745678;-45.120503652039325
1739209719.7745733;-31.141103565318915
1739209719.774579;-38.13080360867914
1739209719.7745845;-45.120503652039325
1739209719.77459;-45.120503652039325
1739209719.7745955;-45.120503652039325
1739209719.774601;-38.13080360867914
1739209719.7746067;-38.13080360867914
1739209719.7746122;-38.13080360867914
1739209719.7746177;-38.13080360867914
1739209719.7746232;-38.13080360867914
1739209719.7746286;-38.13080360867914
1739209719.7746344;-45.120503652039325
1739209719.7746398;-38.13080360867914
1739209719.7746453;-33.981070128970906
1739209719.7746508;-38.13080360867914
1739209719.7746563;-45.120503652039325
1739209719.774662;-38.13080360867914
1739209719.7746675;-32.816014438256545
1739209719.774673;-45.120503652039325
1739209719.7746785;-45.120503652039325
1739209719.774684;-38.13080360867914
1739209719.7746897;-38.13080360867914
1739209719.7746952;-38.13080360867914
1739209719.7747006;-38.13080360867914
1739209719.7747061;-45.120503652039325
1739209719.7747116;-45.120503652039325
1739209719.7747173;-45.120503652039325
1739209719.7747228;-32.816014438256545
1739209719.7747283;-45.120503652039325
1739209719.7747338;-45.120503652039325
1739209719.7747395;-45.120503652039325
1739209719.774745;-45.120503652039325
1739209719.7747505;-38.13080360867914
1739209719.774756;-38.13080360867914
1739209719.7747614;-45.120503652039325
1739209719.7747672;-45.120503652039325
1739209719.7747726;-38.13080360867914
1739209719.7747781;-32.816014438256545
1739209719.7747836;-38.13080360867914
1739209719.774789;-38.13080360867914
1739209719.7747948;-33.981070128970906
1739209719.7748003;-45.120503652039325
1739209719.7748058;-45.120503652039325
1739209719.7748113;-38.13080360867914
1739209719.7748168;-38.13080360867914
1739209719.7748225;-38.13080360867914
1739209719.774828;-35.57807855764607
1739209719.7748334;-38.13080360867914
1739209719.774839;-33.981070128970906
1739209719.7748444;-32.816014438256545
1739209719.7748501;-38.13080360867914
1739209719.7748556;-35.57807855764607
1739209719.774861;-38.13080360867914
1739209719.7748666;-38.13080360867914
1739209719.774872;-38.13080360867914
1739209719.7748778;-35.57807855764607
1739209719.7748833;-38.13080360867914
1739209719.7748888;-45.120503652039325
1739209719.7748942;-38.13080360867914
1739209719.7749;-35.57807855764607
1739209719.7749054;-38.13080360867914
1739209719.774911;-45.120503652039325
1739209719.7749164;-38.13080360867914
1739209719.774922;-32.816014438256545
1739209719.7749276;-45.120503652039325
1739209719.774933;-45.120503652039325
1739209719.7749386;-38.13080360867914
1739209719.774944;-38.13080360867914
1739209719.7749496;-38.13080360867914
1739209719.7749553;-45.120503652039325
1739209719.7749608;-38.13080360867914
1739209719.7749662;-35.57807855764607
1739209719.7749717;-38.13080360867914
1739209719.7749772;-35.57807855764607
1739209719.774983;-38.13080360867914
1739209719.7749884;-38.13080360867914
1739209719.774994;-45.120503652039325
1739209719.7749994;-38.13080360867914
1739209719.7750049;-38.13080360867914
1739209719.7750106;-38.13080360867914
1739209719.775016;-33.981070128970906
1739209719.7750216;-45.120503652039325
1739209719.775027;-38.13080360867914
1739209719.7750325;-35.57807855764607
1739209719.7750382;-45.120503652039325
1739209719.7750437;-45.120503652039325
1739209719.7750492;-45.120503652039325
1739209719.7750547;-38.13080360867914
1739209719.7750604;-38.13080360867914
1739209719.775066;-33.981070128970906
1739209719.7750714;-45.120503652039325
1739209719.7750769;-45.120503652039325
1739209719.7750823;-45.120503652039325
1739209719.775088;-32.816014438256545
1739209719.7750936;-33.981070128970906
1739209719.775099;-45.120503652039325
1739209719.7751045;-45.120503652039325
1739209719.77511;-45.120503652039325
