CAN Message; 0x77:cf9edfbc5ca33ae5
Timestamp;Amplitude
1739209676.0197341;-38.13080360867914
1739209676.0197392;-33.981070128970906
1739209676.0197444;-45.120503652039325
1739209676.0197496;-38.13080360867914
1739209676.019755;-45.120503652039325
1739209676.01976;-45.120503652039325
1739209676.0197651;-38.13080360867914
1739209676.0197704;-45.120503652039325
1739209676.0197754;-38.13080360867914
1739209676.0197806;-33.981070128970906
1739209676.019786;-45.120503652039325
1739209676.0197911;-45.120503652039325
1739209676.0197961;-35.57807855764607
1739209676.0198014;-38.13080360867914
1739209676.0198066;-45.120503652039325
1739209676.0198116;-38.13080360867914
1739209676.0198169;-38.13080360867914
1739209676.0198221;-38.13080360867914
1739209676.0198274;-45.120503652039325
1739209676.0198324;-38.13080360867914
1739209676.0198376;-45.120503652039325
1739209676.0198429;-38.13080360867914
1739209676.019848;-35.57807855764607
1739209676.019853;-38.13080360867914
1739209676.0198584;-45.120503652039325
1739209676.0198636;-38.13080360867914
1739209676.0198686;-35.57807855764607
1739209676.0198739;-38.13080360867914
1739209676.019879;-45.120503652039325
1739209676.0198843;-45.120503652039325
1739209676.0198894;-38.13080360867914
1739209676.0198946;-38.13080360867914
1739209676.0198998;-45.120503652039325
1739209676.0199049;-38.13080360867914
1739209676.01991;-38.13080360867914
1739209676.0199153;-35.57807855764607
1739209676.0199206;-38.13080360867914
1739209676.0199256;-38.13080360867914
1739209676.0199308;-38.13080360867914
1739209676.019936;-45.120503652039325
1739209676.019941;-45.120503652039325
1739209676.0199463;-35.57807855764607
1739209676.0199516;-32.816014438256545
1739209676.0199568;-45.120503652039325
1739209676.0199618;-45.120503652039325
1739209676.019967;-45.120503652039325
1739209676.0199723;-38.13080360867914
1739209676.0199776;-38.13080360867914
1739209676.0199826;-38.13080360867914
1739209676.0199878;-38.13080360867914
1739209676.019993;-45.120503652039325
1739209676.019998;-45.120503652039325
1739209676.0200033;-45.120503652039325
1739209676.0200086;-38.13080360867914
1739209676.0200138;-45.120503652039325
1739209676.0200188;-45.120503652039325
1739209676.020024;-38.13080360867914
1739209676.0200293;-38.13080360867914
1739209676.0200343;-38.13080360867914
1739209676.0200396;-45.120503652039325
1739209676.0200448;-38.13080360867914
1739209676.02005;-35.57807855764607
1739209676.020055;-45.120503652039325
1739209676.0200603;-38.13080360867914
1739209676.0200655;-35.57807855764607
1739209676.0200706;-45.120503652039325
1739209676.0200758;-35.57807855764607
1739209676.020081;-35.57807855764607
1739209676.0200863;-45.120503652039325
1739209676.0200913;-45.120503652039325
1739209676.0200965;-45.120503652039325
1739209676.0201018;-38.13080360867914
1739209676.0201068;-38.13080360867914
1739209676.020112;-45.120503652039325
1739209676.0201173;-45.120503652039325
1739209676.0201225;-45.120503652039325
1739209676.0201275;-38.13080360867914
1739209676.0201328;-38.13080360867914
1739209676.020138;-38.13080360867914
1739209676.020143;-45.120503652039325
1739209676.0201483;-29.438486411369333
1739209676.0201535;-38.13080360867914
1739209676.0201588;-29.438486411369333
1739209676.0201638;-33.981070128970906
1739209676.020169;-45.120503652039325
1739209676.0201743;-38.13080360867914
1739209676.0201795;-35.57807855764607
1739209676.0201845;-38.13080360867914
1739209676.0201898;-45.120503652039325
1739209676.020195;-38.13080360867914
1739209676.0202;-38.13080360867914
1739209676.0202053;-45.120503652039325
1739209676.0202105;-38.13080360867914
1739209676.0202157;-45.120503652039325
