CAN Message; 0x1b8:030064e47c9b88f7
Timestamp;Amplitude
1739209705.3889844;-38.13080360867914
1739209705.388998;-31.141103565318893
1739209705.3890119;-38.13080360867914
1739209705.3890257;-38.13080360867914
1739209705.3890393;-38.13080360867914
1739209705.389053;-33.981070128970906
1739209705.389067;-45.120503652039325
1739209705.3890808;-35.57807855764607
1739209705.3890944;-38.13080360867914
1739209705.3891082;-45.120503652039325
1739209705.389122;-38.13080360867914
1739209705.3891356;-35.57807855764607
1739209705.3891494;-35.57807855764607
1739209705.3891633;-45.120503652039325
1739209705.3891768;-38.13080360867914
1739209705.3891907;-38.13080360867914
1739209705.3892045;-33.981070128970906
1739209705.3892183;-38.13080360867914
1739209705.389232;-45.120503652039325
1739209705.3892457;-45.120503652039325
1739209705.3892596;-45.120503652039325
1739209705.3892732;-33.981070128970906
1739209705.389287;-35.57807855764607
1739209705.3893008;-45.120503652039325
1739209705.3893144;-45.120503652039325
1739209705.3893282;-38.13080360867914
1739209705.389342;-35.57807855764607
1739209705.389356;-45.120503652039325
1739209705.3893695;-38.13080360867914
1739209705.3893833;-38.13080360867914
1739209705.3893971;-45.120503652039325
1739209705.3894107;-45.120503652039325
1739209705.3894246;-35.57807855764607
1739209705.3894384;-33.981070128970906
1739209705.389452;-45.120503652039325
1739209705.3894658;-38.13080360867914
1739209705.3894796;-38.13080360867914
1739209705.3894932;-38.13080360867914
1739209705.389507;-33.981070128970906
1739209705.389521;-45.120503652039325
1739209705.3895347;-38.13080360867914
1739209705.3895483;-38.13080360867914
1739209705.3895621;-38.13080360867914
1739209705.389576;-45.120503652039325
1739209705.3895895;-38.13080360867914
1739209705.3896034;-45.120503652039325
1739209705.3896172;-38.13080360867914
1739209705.3896308;-38.13080360867914
1739209705.3896446;-38.13080360867914
1739209705.3896585;-45.120503652039325
1739209705.3896723;-38.13080360867914
1739209705.3896859;-38.13080360867914
1739209705.3896997;-45.120503652039325
1739209705.3897135;-45.120503652039325
1739209705.389727;-35.57807855764607
1739209705.389741;-45.120503652039325
1739209705.3897548;-45.120503652039325
1739209705.3897684;-35.57807855764607
1739209705.3897822;-38.13080360867914
1739209705.389796;-38.13080360867914
1739209705.3898098;-38.13080360867914
1739209705.3898234;-38.13080360867914
1739209705.3898373;-30.49652367304973
1739209705.389851;-38.13080360867914
1739209705.3898647;-38.13080360867914
1739209705.3898785;-45.120503652039325
1739209705.3898923;-38.13080360867914
1739209705.389906;-38.13080360867914
1739209705.3899198;-45.120503652039325
1739209705.3899336;-45.120503652039325
1739209705.3899474;-35.57807855764607
1739209705.389961;-38.13080360867914
1739209705.3899748;-45.120503652039325
1739209705.3899887;-38.13080360867914
1739209705.3900023;-38.13080360867914
1739209705.390016;-38.13080360867914
1739209705.39003;-45.120503652039325
1739209705.3900435;-45.120503652039325
1739209705.3900573;-45.120503652039325
1739209705.3900712;-45.120503652039325
1739209705.3900847;-45.120503652039325
1739209705.3900986;-45.120503652039325
1739209705.3901124;-45.120503652039325
1739209705.3901262;-45.120503652039325
1739209705.3901398;-45.120503652039325
1739209705.3901536;-38.13080360867914
1739209705.3901675;-31.141103565318915
1739209705.390181;-38.13080360867914
1739209705.390195;-38.13080360867914
1739209705.3902087;-38.13080360867914
1739209705.3902223;-38.13080360867914
1739209705.3902361;-32.816014438256545
1739209705.39025;-33.981070128970906
1739209705.3902638;-45.120503652039325
1739209705.3902774;-29.438486411369347
1739209705.3902912;-35.57807855764607
1739209705.390305;-35.57807855764607
1739209705.3903186;-45.120503652039325
1739209705.3903325;-45.120503652039325
1739209705.3903463;-38.13080360867914
1739209705.3903599;-38.13080360867914
1739209705.3903737;-45.120503652039325
1739209705.3903875;-33.981070128970906
1739209705.3904014;-45.120503652039325
1739209705.390415;-45.120503652039325
1739209705.3904288;-45.120503652039325
1739209705.3904426;-45.120503652039325
1739209705.3904562;-35.57807855764607
1739209705.39047;-38.13080360867914
1739209705.3904839;-45.120503652039325
1739209705.3904974;-33.981070128970906
1739209705.3905113;-38.13080360867914
1739209705.390525;-45.120503652039325
1739209705.3905387;-38.13080360867914
1739209705.3905525;-38.13080360867914
1739209705.3905663;-35.57807855764607
1739209705.3905802;-38.13080360867914
1739209705.3905938;-38.13080360867914
1739209705.3906076;-38.13080360867914
1739209705.3906214;-45.120503652039325
1739209705.390635;-45.120503652039325
1739209705.3906488;-35.57807855764607
1739209705.3906627;-45.120503652039325
1739209705.3906763;-45.120503652039325
1739209705.39069;-38.13080360867914
1739209705.390704;-45.120503652039325
1739209705.3907177;-38.13080360867914
1739209705.3907313;-45.120503652039325
1739209705.3907452;-45.120503652039325
1739209705.390759;-38.13080360867914
1739209705.3907726;-35.57807855764607
1739209705.3907864;-38.13080360867914
1739209705.3908002;-38.13080360867914
1739209705.3908138;-45.120503652039325
1739209705.3908277;-38.13080360867914
1739209705.3908415;-38.13080360867914
1739209705.3908553;-33.981070128970906
1739209705.390869;-45.120503652039325
1739209705.3908827;-45.120503652039325
1739209705.3908966;-35.57807855764607
1739209705.3909101;-45.120503652039325
1739209705.390924;-45.120503652039325
1739209705.3909378;-38.13080360867914
1739209705.3909514;-45.120503652039325
1739209705.3909652;-45.120503652039325
1739209705.390979;-45.120503652039325
1739209705.3909926;-45.120503652039325
1739209705.3910065;-45.120503652039325
1739209705.3910203;-38.13080360867914
1739209705.3910341;-45.120503652039325
1739209705.3910477;-35.57807855764607
1739209705.3910615;-32.816014438256545
1739209705.3910754;-45.120503652039325
1739209705.391089;-45.120503652039325
1739209705.3911028;-45.120503652039325
1739209705.3911166;-38.13080360867914
1739209705.3911302;-45.120503652039325
1739209705.391144;-45.120503652039325
1739209705.3911579;-45.120503652039325
1739209705.3911717;-45.120503652039325
1739209705.3911853;-38.13080360867914
1739209705.391199;-35.57807855764607
1739209705.391213;-45.120503652039325
1739209705.3912265;-45.120503652039325
1739209705.3912404;-35.57807855764607
1739209705.3912542;-45.120503652039325
1739209705.3912678;-45.120503652039325
1739209705.3912816;-32.816014438256545
1739209705.3912954;-45.120503652039325
1739209705.3913093;-45.120503652039325
1739209705.3913229;-33.981070128970906
1739209705.3913367;-33.981070128970906
1739209705.3913505;-45.120503652039325
1739209705.391364;-45.120503652039325
1739209705.391378;-38.13080360867914
1739209705.3913918;-29.438486411369333
1739209705.3914053;-38.13080360867914
1739209705.3914192;-45.120503652039325
1739209705.391433;-45.120503652039325
1739209705.3914468;-38.13080360867914
1739209705.3914604;-35.57807855764607
1739209705.3914742;-38.13080360867914
1739209705.391488;-45.120503652039325
1739209705.3915017;-38.13080360867914
1739209705.3915155;-45.120503652039325
1739209705.3915293;-38.13080360867914
1739209705.391543;-38.13080360867914
1739209705.3915567;-45.120503652039325
1739209705.3915706;-45.120503652039325
1739209705.3915842;-45.120503652039325
1739209705.391598;-38.13080360867914
1739209705.3916118;-29.438486411369333
1739209705.3916256;-45.120503652039325
1739209705.3916392;-38.13080360867914
1739209705.391653;-38.13080360867914
1739209705.391667;-38.13080360867914
1739209705.3916805;-38.13080360867914
1739209705.3916943;-35.57807855764607
1739209705.3917081;-38.13080360867914
1739209705.3917217;-45.120503652039325
1739209705.3917356;-45.120503652039325
1739209705.3917494;-45.120503652039325
1739209705.3917632;-45.120503652039325
1739209705.3917768;-38.13080360867914
1739209705.3917906;-35.57807855764607
1739209705.3918045;-45.120503652039325
1739209705.391818;-33.981070128970906
1739209705.3918319;-45.120503652039325
1739209705.3918457;-45.120503652039325
1739209705.3918593;-45.120503652039325
1739209705.3918731;-45.120503652039325
1739209705.391887;-45.120503652039325
1739209705.3919008;-45.120503652039325
1739209705.3919144;-38.13080360867914
1739209705.3919282;-45.120503652039325
