CAN Message; 0x1d3:00004885e1879a75
Timestamp;Amplitude
1739209664.9435878;-45.120503652039325
1739209664.943589;-38.13080360867914
1739209664.9435902;-38.13080360867914
1739209664.9435914;-38.13080360867914
1739209664.9435925;-45.120503652039325
1739209664.9435937;-45.120503652039325
1739209664.943595;-35.57807855764607
1739209664.9435964;-38.13080360867914
1739209664.9435976;-45.120503652039325
1739209664.9435987;-45.120503652039325
1739209664.9436;-38.13080360867914
1739209664.9436011;-45.120503652039325
1739209664.9436023;-45.120503652039325
1739209664.9436035;-45.120503652039325
1739209664.9436047;-38.13080360867914
1739209664.943606;-45.120503652039325
1739209664.943607;-35.57807855764607
1739209664.9436083;-35.57807855764607
1739209664.9436095;-45.120503652039325
1739209664.9436107;-45.120503652039325
1739209664.9436119;-38.13080360867914
1739209664.9436133;-32.816014438256545
1739209664.9436145;-38.13080360867914
1739209664.9436157;-33.981070128970906
1739209664.9436169;-45.120503652039325
1739209664.943618;-45.120503652039325
1739209664.9436193;-38.13080360867914
1739209664.9436204;-45.120503652039325
1739209664.9436216;-45.120503652039325
1739209664.9436228;-33.981070128970956
1739209664.943624;-38.13080360867914
1739209664.9436252;-38.13080360867914
1739209664.9436264;-38.13080360867914
1739209664.9436276;-45.120503652039325
1739209664.9436288;-45.120503652039325
1739209664.94363;-45.120503652039325
1739209664.9436314;-38.13080360867914
1739209664.9436326;-28.992665084841942
1739209664.9436338;-38.13080360867914
1739209664.943635;-45.120503652039325
1739209664.9436362;-45.120503652039325
1739209664.9436374;-45.120503652039325
1739209664.9436386;-45.120503652039325
1739209664.9436398;-45.120503652039325
1739209664.943641;-45.120503652039325
1739209664.9436421;-32.81601443825658
1739209664.9436433;-38.13080360867914
1739209664.9436445;-45.120503652039325
1739209664.9436457;-38.13080360867914
1739209664.943647;-38.13080360867914
1739209664.9436483;-35.57807855764607
1739209664.9436495;-38.13080360867914
1739209664.9436507;-45.120503652039325
1739209664.943652;-27.267205301931607
1739209664.943653;-38.13080360867914
1739209664.9436543;-38.13080360867914
1739209664.9436555;-38.13080360867914
1739209664.9436567;-33.981070128970906
1739209664.9436579;-45.120503652039325
1739209664.943659;-38.13080360867914
1739209664.9436603;-45.120503652039325
1739209664.9436615;-32.81601443825658
1739209664.9436626;-38.13080360867914
1739209664.9436638;-45.120503652039325
1739209664.9436653;-45.120503652039325
1739209664.9436665;-45.120503652039325
1739209664.9436677;-45.120503652039325
1739209664.9436688;-45.120503652039325
1739209664.94367;-35.57807855764607
1739209664.9436712;-28.992665084841942
1739209664.9436724;-38.13080360867914
1739209664.9436736;-38.13080360867914
1739209664.9436748;-45.120503652039325
1739209664.943676;-31.141103565318915
1739209664.9436772;-45.120503652039325
1739209664.9436784;-45.120503652039325
1739209664.9436796;-38.13080360867914
1739209664.9436808;-38.13080360867914
1739209664.943682;-38.13080360867914
1739209664.9436834;-45.120503652039325
1739209664.9436846;-35.57807855764607
1739209664.9436858;-35.57807855764607
1739209664.943687;-45.120503652039325
1739209664.9436882;-38.13080360867914
1739209664.9436893;-38.13080360867914
1739209664.9436905;-38.13080360867914
1739209664.9436917;-45.120503652039325
1739209664.943693;-45.120503652039325
1739209664.943694;-45.120503652039325
1739209664.9436953;-38.13080360867914
1739209664.9436965;-35.57807855764607
1739209664.9436977;-45.120503652039325
1739209664.943699;-45.120503652039325
1739209664.9437003;-38.13080360867914
1739209664.9437015;-45.120503652039325
1739209664.9437027;-45.120503652039325
1739209664.943704;-32.816014438256545
1739209664.943705;-38.13080360867914
1739209664.9437063;-38.13080360867914
1739209664.9437075;-38.13080360867914
1739209664.9437087;-45.120503652039325
1739209664.9437099;-38.13080360867914
1739209664.943711;-45.120503652039325
1739209664.9437122;-45.120503652039325
1739209664.9437134;-45.120503652039325
1739209664.9437146;-38.13080360867914
1739209664.9437158;-45.120503652039325
1739209664.943717;-45.120503652039325
1739209664.9437184;-38.13080360867914
1739209664.9437196;-38.13080360867914
1739209664.9437208;-33.981070128970906
1739209664.943722;-38.13080360867914
1739209664.9437232;-38.13080360867914
1739209664.9437244;-45.120503652039325
1739209664.9437256;-33.981070128970906
1739209664.9437268;-38.13080360867914
1739209664.943728;-45.120503652039325
