CAN Message; 0x1a7:000035136c7b2a5f
Timestamp;Amplitude
1739209780.8411045;-38.13080360867914
1739209780.8411071;-38.13080360867914
1739209780.8411095;-45.120503652039325
1739209780.8411121;-45.120503652039325
1739209780.8411145;-33.981070128970906
1739209780.8411171;-31.14110356531892
1739209780.8411195;-30.49652367304976
1739209780.8411222;-33.981070128970906
1739209780.8411245;-35.57807855764607
1739209780.841127;-38.13080360867914
1739209780.8411295;-45.120503652039325
1739209780.841132;-38.13080360867914
1739209780.8411345;-32.816014438256545
1739209780.841137;-33.981070128970906
1739209780.8411396;-33.981070128970906
1739209780.841142;-33.981070128970906
1739209780.8411443;-38.13080360867914
1739209780.841147;-35.57807855764607
1739209780.8411493;-38.13080360867914
1739209780.841152;-38.13080360867914
1739209780.8411543;-32.816014438256545
1739209780.841157;-45.120503652039325
1739209780.8411593;-45.120503652039325
1739209780.841162;-38.13080360867914
1739209780.8411644;-45.120503652039325
1739209780.8411667;-38.13080360867914
1739209780.8411694;-45.120503652039325
1739209780.8411717;-45.120503652039325
1739209780.8411744;-45.120503652039325
1739209780.8411767;-45.120503652039325
1739209780.8411794;-38.13080360867914
1739209780.8411818;-38.13080360867914
1739209780.8411844;-45.120503652039325
1739209780.8411868;-45.120503652039325
1739209780.8411891;-38.13080360867914
1739209780.8411918;-35.57807855764607
1739209780.8411942;-45.120503652039325
1739209780.8411968;-38.13080360867914
1739209780.8411992;-28.58837851428586
1739209780.8412018;-38.13080360867914
1739209780.8412042;-38.13080360867914
1739209780.8412066;-38.13080360867914
1739209780.8412092;-38.13080360867914
1739209780.8412116;-45.120503652039325
1739209780.8412142;-45.120503652039325
1739209780.8412166;-38.13080360867914
1739209780.8412192;-38.13080360867914
1739209780.8412216;-45.120503652039325
1739209780.8412242;-45.120503652039325
1739209780.8412266;-38.13080360867914
1739209780.841229;-38.13080360867914
1739209780.8412316;-45.120503652039325
1739209780.841234;-45.120503652039325
1739209780.8412366;-38.13080360867914
1739209780.841239;-45.120503652039325
1739209780.8412416;-38.13080360867914
1739209780.841244;-38.13080360867914
1739209780.8412466;-45.120503652039325
1739209780.841249;-38.13080360867914
1739209780.8412514;-45.120503652039325
1739209780.841254;-45.120503652039325
1739209780.8412564;-38.13080360867914
1739209780.841259;-30.49652367304973
1739209780.8412614;-45.120503652039325
1739209780.841264;-45.120503652039325
1739209780.8412664;-38.13080360867914
1739209780.841269;-32.816014438256545
1739209780.8412714;-38.13080360867914
1739209780.8412738;-45.120503652039325
1739209780.8412764;-38.13080360867914
1739209780.8412788;-38.13080360867914
1739209780.8412814;-45.120503652039325
1739209780.8412838;-45.120503652039325
1739209780.8412864;-38.13080360867914
1739209780.8412888;-45.120503652039325
1739209780.8412912;-45.120503652039325
1739209780.8412938;-38.13080360867914
1739209780.8412962;-45.120503652039325
1739209780.8412988;-33.981070128970906
1739209780.8413012;-32.816014438256545
1739209780.8413038;-33.981070128970906
1739209780.8413062;-38.13080360867914
1739209780.8413088;-45.120503652039325
1739209780.8413112;-38.13080360867914
1739209780.8413136;-45.120503652039325
1739209780.8413162;-38.13080360867914
1739209780.8413186;-45.120503652039325
1739209780.8413212;-45.120503652039325
1739209780.8413236;-35.57807855764607
1739209780.8413262;-38.13080360867914
1739209780.8413286;-45.120503652039325
1739209780.8413312;-38.13080360867914
1739209780.8413336;-38.13080360867914
1739209780.841336;-45.120503652039325
1739209780.8413386;-38.13080360867914
1739209780.841341;-35.57807855764607
1739209780.8413436;-35.57807855764607
1739209780.841346;-38.13080360867914
1739209780.8413486;-38.13080360867914
1739209780.841351;-35.57807855764607
1739209780.8413534;-45.120503652039325
1739209780.841356;-45.120503652039325
1739209780.8413584;-38.13080360867914
1739209780.841361;-38.13080360867914
1739209780.8413634;-45.120503652039325
1739209780.841366;-45.120503652039325
1739209780.8413684;-45.120503652039325
1739209780.841371;-45.120503652039325
1739209780.8413734;-38.13080360867914
1739209780.8413758;-38.13080360867914
1739209780.8413785;-45.120503652039325
1739209780.8413808;-45.120503652039325
1739209780.8413835;-45.120503652039325
1739209780.8413858;-45.120503652039325
1739209780.8413885;-38.13080360867914
1739209780.8413908;-38.13080360867914
1739209780.8413935;-45.120503652039325
1739209780.8413959;-38.13080360867914
1739209780.8413982;-33.981070128970906
1739209780.8414009;-27.267205301931607
1739209780.8414032;-45.120503652039325
1739209780.8414059;-45.120503652039325
1739209780.8414083;-45.120503652039325
1739209780.8414109;-38.13080360867914
1739209780.8414133;-45.120503652039325
1739209780.8414156;-45.120503652039325
1739209780.8414183;-45.120503652039325
1739209780.8414207;-35.57807855764607
1739209780.8414233;-45.120503652039325
1739209780.8414257;-38.13080360867914
1739209780.8414283;-45.120503652039325
1739209780.8414307;-45.120503652039325
1739209780.8414333;-45.120503652039325
1739209780.8414357;-45.120503652039325
1739209780.841438;-38.13080360867914
1739209780.8414407;-35.57807855764607
1739209780.841443;-38.13080360867914
1739209780.8414457;-45.120503652039325
1739209780.841448;-45.120503652039325
1739209780.8414507;-45.120503652039325
1739209780.841453;-45.120503652039325
1739209780.8414557;-45.120503652039325
1739209780.841458;-38.13080360867914
1739209780.8414605;-31.141103565318915
1739209780.841463;-38.13080360867914
1739209780.8414655;-38.13080360867914
1739209780.841468;-45.120503652039325
1739209780.8414705;-38.13080360867914
1739209780.841473;-33.981070128970906
1739209780.8414755;-38.13080360867914
1739209780.841478;-38.13080360867914
1739209780.8414805;-29.438486411369347
1739209780.8414829;-33.981070128970906
1739209780.8414855;-45.120503652039325
1739209780.841488;-45.120503652039325
1739209780.8414905;-45.120503652039325
1739209780.841493;-33.981070128970906
1739209780.8414955;-33.981070128970906
1739209780.841498;-38.13080360867914
1739209780.8415003;-33.981070128970906
1739209780.841503;-38.13080360867914
1739209780.8415053;-38.13080360867914
1739209780.841508;-45.120503652039325
1739209780.8415103;-45.120503652039325
1739209780.841513;-45.120503652039325
1739209780.8415153;-38.13080360867914
1739209780.841518;-45.120503652039325
1739209780.8415203;-38.13080360867914
1739209780.8415227;-32.816014438256545
1739209780.8415253;-35.57807855764607
1739209780.8415277;-45.120503652039325
1739209780.8415303;-45.120503652039325
1739209780.8415327;-32.816014438256545
1739209780.8415353;-38.13080360867914
1739209780.8415377;-45.120503652039325
1739209780.8415403;-45.120503652039325
1739209780.8415427;-35.57807855764607
1739209780.841545;-38.13080360867914
1739209780.8415477;-45.120503652039325
1739209780.84155;-38.13080360867914
1739209780.8415527;-45.120503652039325
1739209780.841555;-45.120503652039325
1739209780.8415577;-38.13080360867914
1739209780.8415601;-38.13080360867914
1739209780.8415625;-38.13080360867914
1739209780.8415651;-38.13080360867914
1739209780.8415675;-35.57807855764607
1739209780.8415701;-38.13080360867914
1739209780.8415725;-35.57807855764607
1739209780.8415751;-38.13080360867914
1739209780.8415775;-38.13080360867914
1739209780.8415802;-38.13080360867914
1739209780.8415825;-45.120503652039325
1739209780.841585;-45.120503652039325
1739209780.8415875;-45.120503652039325
1739209780.84159;-45.120503652039325
1739209780.8415926;-38.13080360867914
1739209780.841595;-35.57807855764607
1739209780.8415976;-35.57807855764607
1739209780.8416;-38.13080360867914
1739209780.8416026;-35.57807855764607
1739209780.841605;-35.57807855764607
1739209780.8416073;-45.120503652039325
1739209780.84161;-45.120503652039325
1739209780.8416123;-45.120503652039325
1739209780.841615;-45.120503652039325
1739209780.8416173;-38.13080360867914
1739209780.84162;-38.13080360867914
1739209780.8416224;-35.57807855764607
1739209780.8416247;-38.13080360867914
1739209780.8416274;-45.120503652039325
1739209780.8416297;-38.13080360867914
