CAN Message; 0x98:0000d0d9b939964d
Timestamp;Amplitude
1739209770.6969366;-31.141103565318915
1739209770.6969419;-45.120503652039325
1739209770.6969469;-45.120503652039325
1739209770.6969519;-45.120503652039325
1739209770.6969569;-33.981070128970906
1739209770.696962;-45.120503652039325
1739209770.6969671;-45.120503652039325
1739209770.6969721;-35.57807855764607
1739209770.6969774;-32.816014438256545
1739209770.6969824;-38.13080360867914
1739209770.6969874;-38.13080360867914
1739209770.6969924;-38.13080360867914
1739209770.6969976;-38.13080360867914
1739209770.6970026;-45.120503652039325
1739209770.6970077;-45.120503652039325
1739209770.697013;-35.57807855764607
1739209770.697018;-31.141103565318915
1739209770.697023;-38.13080360867914
1739209770.697028;-38.13080360867914
1739209770.6970332;-35.57807855764607
1739209770.6970382;-35.57807855764607
1739209770.6970432;-38.13080360867914
1739209770.6970484;-45.120503652039325
1739209770.6970534;-45.120503652039325
1739209770.6970584;-38.13080360867914
1739209770.6970634;-38.13080360867914
1739209770.6970687;-38.13080360867914
1739209770.6970737;-38.13080360867914
1739209770.6970787;-45.120503652039325
1739209770.697084;-45.120503652039325
1739209770.697089;-38.13080360867914
1739209770.697094;-38.13080360867914
1739209770.6970992;-38.13080360867914
1739209770.6971042;-38.13080360867914
1739209770.6971092;-45.120503652039325
1739209770.6971142;-38.13080360867914
1739209770.6971195;-35.57807855764607
1739209770.6971245;-38.13080360867914
1739209770.6971295;-38.13080360867914
1739209770.6971347;-45.120503652039325
1739209770.6971397;-45.120503652039325
1739209770.6971447;-38.13080360867914
1739209770.6971498;-45.120503652039325
1739209770.697155;-45.120503652039325
1739209770.69716;-38.13080360867914
1739209770.697165;-38.13080360867914
1739209770.6971703;-38.13080360867914
1739209770.6971753;-45.120503652039325
1739209770.6971803;-38.13080360867914
1739209770.6971853;-38.13080360867914
1739209770.6971905;-45.120503652039325
1739209770.6971955;-45.120503652039325
1739209770.6972005;-38.13080360867914
1739209770.6972058;-45.120503652039325
1739209770.6972108;-45.120503652039325
1739209770.6972158;-45.120503652039325
1739209770.6972208;-45.120503652039325
1739209770.697226;-35.57807855764607
1739209770.697231;-35.57807855764607
1739209770.697236;-45.120503652039325
1739209770.6972413;-45.120503652039325
1739209770.6972463;-29.438486411369333
1739209770.6972513;-38.13080360867914
1739209770.6972563;-45.120503652039325
1739209770.6972616;-38.13080360867914
1739209770.6972666;-38.13080360867914
1739209770.6972716;-38.13080360867914
1739209770.6972768;-45.120503652039325
1739209770.6972818;-45.120503652039325
1739209770.6972868;-45.120503652039325
1739209770.6972919;-45.120503652039325
1739209770.697297;-45.120503652039325
1739209770.697302;-45.120503652039325
1739209770.697307;-45.120503652039325
1739209770.6973124;-45.120503652039325
1739209770.6973174;-45.120503652039325
1739209770.6973224;-38.13080360867914
1739209770.6973274;-35.57807855764607
1739209770.6973326;-45.120503652039325
1739209770.6973376;-45.120503652039325
1739209770.6973426;-45.120503652039325
1739209770.6973479;-45.120503652039325
1739209770.697353;-45.120503652039325
1739209770.697358;-38.13080360867914
1739209770.697363;-38.13080360867914
1739209770.6973681;-38.13080360867914
1739209770.6973732;-38.13080360867914
1739209770.6973782;-33.981070128970906
1739209770.6973834;-35.57807855764607
1739209770.6973884;-45.120503652039325
1739209770.6973934;-45.120503652039325
1739209770.6973987;-38.13080360867914
1739209770.6974037;-38.13080360867914
1739209770.6974087;-45.120503652039325
1739209770.6974137;-45.120503652039325
1739209770.697419;-35.57807855764607
1739209770.697424;-38.13080360867914
1739209770.697429;-31.141103565318915
1739209770.6974342;-35.57807855764607
1739209770.6974392;-38.13080360867914
1739209770.6974442;-38.13080360867914
1739209770.6974492;-38.13080360867914
1739209770.6974545;-35.57807855764607
1739209770.6974595;-45.120503652039325
1739209770.6974645;-33.981070128970906
1739209770.6974697;-45.120503652039325
1739209770.6974747;-45.120503652039325
1739209770.6974797;-38.13080360867914
1739209770.6974847;-33.981070128970906
1739209770.69749;-45.120503652039325
1739209770.697495;-45.120503652039325
1739209770.6975;-38.13080360867914
1739209770.6975052;-38.13080360867914
1739209770.6975102;-35.57807855764607
1739209770.6975152;-38.13080360867914
1739209770.6975203;-38.13080360867914
1739209770.6975255;-38.13080360867914
1739209770.6975305;-35.57807855764607
1739209770.6975355;-38.13080360867914
1739209770.6975408;-45.120503652039325
1739209770.6975458;-45.120503652039325
1739209770.6975508;-38.13080360867914
1739209770.6975558;-38.13080360867914
1739209770.697561;-45.120503652039325
1739209770.697566;-45.120503652039325
1739209770.697571;-45.120503652039325
1739209770.6975763;-45.120503652039325
1739209770.6975813;-38.13080360867914
1739209770.6975863;-45.120503652039325
1739209770.6975913;-38.13080360867914
1739209770.6975965;-45.120503652039325
1739209770.6976016;-45.120503652039325
1739209770.6976066;-45.120503652039325
1739209770.6976118;-31.141103565318893
1739209770.6976168;-32.816014438256545
1739209770.6976218;-45.120503652039325
1739209770.6976268;-45.120503652039325
1739209770.697632;-32.816014438256545
1739209770.697637;-28.58837851428586
1739209770.697642;-45.120503652039325
1739209770.6976473;-38.13080360867914
1739209770.6976523;-38.13080360867914
1739209770.6976573;-38.13080360867914
1739209770.6976624;-45.120503652039325
1739209770.6976676;-38.13080360867914
1739209770.6976726;-45.120503652039325
1739209770.6976776;-45.120503652039325
1739209770.6976829;-38.13080360867914
1739209770.6976879;-38.13080360867914
1739209770.6976929;-45.120503652039325
1739209770.697698;-45.120503652039325
1739209770.6977031;-45.120503652039325
1739209770.6977081;-45.120503652039325
1739209770.6977131;-38.13080360867914
1739209770.6977184;-31.141103565318915
1739209770.6977234;-45.120503652039325
1739209770.6977284;-38.13080360867914
1739209770.6977336;-35.57807855764607
1739209770.6977386;-38.13080360867914
1739209770.6977437;-38.13080360867914
1739209770.6977487;-33.981070128970906
1739209770.697754;-45.120503652039325
1739209770.697759;-45.120503652039325
1739209770.697764;-35.57807855764607
1739209770.6977692;-45.120503652039325
1739209770.6977742;-45.120503652039325
1739209770.6977792;-38.13080360867914
1739209770.6977842;-45.120503652039325
1739209770.6977894;-33.981070128970906
1739209770.6977944;-45.120503652039325
1739209770.6977994;-29.438486411369354
1739209770.6978047;-45.120503652039325
1739209770.6978097;-38.13080360867914
1739209770.6978147;-45.120503652039325
1739209770.6978197;-45.120503652039325
1739209770.697825;-38.13080360867914
1739209770.69783;-33.981070128970906
1739209770.697835;-38.13080360867914
1739209770.6978402;-31.141103565318915
1739209770.6978452;-35.57807855764607
1739209770.6978502;-38.13080360867914
1739209770.6978552;-45.120503652039325
1739209770.6978605;-38.13080360867914
1739209770.6978655;-33.981070128970906
1739209770.6978705;-33.981070128970906
1739209770.6978757;-45.120503652039325
1739209770.6978807;-38.13080360867914
1739209770.6978858;-35.57807855764607
1739209770.6978908;-38.13080360867914
1739209770.697896;-45.120503652039325
1739209770.697901;-45.120503652039325
1739209770.697906;-45.120503652039325
1739209770.6979113;-45.120503652039325
1739209770.6979163;-45.120503652039325
1739209770.6979213;-45.120503652039325
