CAN Message; 0x150:05003bd638d91589
Timestamp;Amplitude
1739209851.4262702;-35.57807855764607
1739209851.4262788;-38.13080360867914
1739209851.4262874;-38.13080360867914
1739209851.426296;-38.13080360867914
1739209851.4263048;-45.120503652039325
1739209851.4263134;-45.120503652039325
1739209851.426322;-38.13080360867914
1739209851.4263306;-35.57807855764607
1739209851.4263391;-38.13080360867914
1739209851.4263477;-38.13080360867914
1739209851.4263563;-38.13080360867914
1739209851.426365;-45.120503652039325
1739209851.4263737;-45.120503652039325
1739209851.4263823;-45.120503652039325
1739209851.426391;-33.981070128970906
1739209851.4263995;-45.120503652039325
1739209851.426408;-38.13080360867914
1739209851.4264166;-45.120503652039325
1739209851.4264252;-35.57807855764607
1739209851.4264338;-31.141103565318893
1739209851.4264424;-45.120503652039325
1739209851.4264512;-45.120503652039325
1739209851.4264598;-45.120503652039325
1739209851.4264684;-45.120503652039325
1739209851.426477;-45.120503652039325
1739209851.4264855;-35.57807855764607
1739209851.4264941;-45.120503652039325
1739209851.4265027;-45.120503652039325
1739209851.4265113;-33.981070128970906
1739209851.42652;-35.57807855764607
1739209851.4265287;-45.120503652039325
1739209851.4265373;-45.120503652039325
1739209851.4265459;-38.13080360867914
1739209851.4265544;-38.13080360867914
1739209851.426563;-45.120503652039325
1739209851.4265716;-45.120503652039325
1739209851.4265802;-38.13080360867914
1739209851.4265888;-35.57807855764607
1739209851.4265976;-38.13080360867914
1739209851.4266062;-45.120503652039325
1739209851.4266148;-38.13080360867914
1739209851.4266233;-45.120503652039325
1739209851.426632;-32.816014438256545
1739209851.4266405;-28.21854285175415
1739209851.426649;-45.120503652039325
1739209851.4266577;-45.120503652039325
1739209851.4266665;-38.13080360867914
1739209851.426675;-32.816014438256545
1739209851.4266837;-45.120503652039325
1739209851.4266922;-45.120503652039325
1739209851.4267008;-45.120503652039325
1739209851.4267094;-38.13080360867914
1739209851.426718;-33.981070128970906
1739209851.4267266;-45.120503652039325
1739209851.4267352;-38.13080360867914
