CAN Message; 0x39:087a16228a70f406
Timestamp;Amplitude
1739209713.561902;-45.120503652039325
1739209713.561904;-33.981070128970906
1739209713.5619056;-45.120503652039325
1739209713.5619075;-45.120503652039325
1739209713.5619092;-45.120503652039325
1739209713.561911;-38.13080360867914
1739209713.5619128;-38.13080360867914
1739209713.5619147;-45.120503652039325
1739209713.5619164;-45.120503652039325
1739209713.561918;-38.13080360867914
1739209713.56192;-30.49652367304973
1739209713.5619216;-35.57807855764607
1739209713.5619235;-35.57807855764607
1739209713.5619252;-38.13080360867914
1739209713.561927;-38.13080360867914
1739209713.5619287;-38.13080360867914
1739209713.5619307;-35.57807855764607
1739209713.5619323;-45.120503652039325
1739209713.561934;-38.13080360867914
1739209713.561936;-35.57807855764607
1739209713.5619376;-45.120503652039325
1739209713.5619395;-45.120503652039325
1739209713.5619411;-38.13080360867914
1739209713.561943;-35.57807855764607
1739209713.5619447;-38.13080360867914
1739209713.5619466;-38.13080360867914
1739209713.5619483;-33.981070128970956
1739209713.56195;-31.14110356531892
1739209713.5619519;-38.13080360867914
1739209713.5619535;-38.13080360867914
1739209713.5619555;-38.13080360867914
1739209713.5619571;-45.120503652039325
1739209713.561959;-45.120503652039325
1739209713.5619607;-45.120503652039325
1739209713.5619624;-33.981070128970906
1739209713.5619643;-30.49652367304973
1739209713.561966;-38.13080360867914
1739209713.5619678;-45.120503652039325
1739209713.5619695;-38.13080360867914
1739209713.5619714;-33.981070128970906
1739209713.561973;-32.816014438256545
1739209713.561975;-38.13080360867914
1739209713.5619767;-45.120503652039325
1739209713.5619783;-35.57807855764607
1739209713.5619802;-35.57807855764607
1739209713.561982;-45.120503652039325
1739209713.5619838;-45.120503652039325
1739209713.5619855;-45.120503652039325
1739209713.5619874;-45.120503652039325
1739209713.561989;-45.120503652039325
1739209713.561991;-38.13080360867914
1739209713.5619926;-33.981070128970906
1739209713.5619943;-38.13080360867914
1739209713.5619962;-45.120503652039325
1739209713.561998;-45.120503652039325
1739209713.5619998;-45.120503652039325
1739209713.5620015;-45.120503652039325
1739209713.5620034;-45.120503652039325
1739209713.562005;-38.13080360867914
1739209713.562007;-38.13080360867914
1739209713.5620086;-38.13080360867914
1739209713.5620103;-45.120503652039325
1739209713.5620122;-38.13080360867914
1739209713.5620139;-35.57807855764607
1739209713.5620158;-45.120503652039325
1739209713.5620174;-38.13080360867914
1739209713.5620193;-38.13080360867914
1739209713.562021;-45.120503652039325
1739209713.562023;-38.13080360867914
1739209713.5620246;-38.13080360867914
1739209713.5620263;-38.13080360867914
1739209713.5620282;-45.120503652039325
1739209713.5620298;-45.120503652039325
1739209713.5620317;-33.981070128970906
1739209713.5620334;-35.57807855764607
1739209713.5620353;-38.13080360867914
