CAN Message; 0x1d3:0000d49dafea050a
Timestamp;Amplitude
1739209709.3837547;-38.13080360867914
1739209709.3837588;-45.120503652039325
1739209709.3837628;-45.120503652039325
1739209709.383767;-38.13080360867914
1739209709.383771;-38.13080360867914
1739209709.3837748;-38.13080360867914
1739209709.3837788;-45.120503652039325
1739209709.3837829;-45.120503652039325
1739209709.383787;-31.141103565318915
1739209709.383791;-45.120503652039325
1739209709.383795;-45.120503652039325
1739209709.383799;-45.120503652039325
1739209709.3838031;-33.981070128970906
1739209709.3838072;-33.981070128970906
1739209709.3838112;-38.13080360867914
1739209709.383815;-45.120503652039325
1739209709.383819;-45.120503652039325
1739209709.3838232;-33.981070128970906
1739209709.3838272;-38.13080360867914
1739209709.3838313;-38.13080360867914
1739209709.3838353;-31.14110356531892
1739209709.3838394;-33.981070128970906
1739209709.3838434;-33.981070128970906
1739209709.3838475;-38.13080360867914
1739209709.3838515;-45.120503652039325
1739209709.3838553;-38.13080360867914
1739209709.3838594;-38.13080360867914
1739209709.3838634;-45.120503652039325
1739209709.3838675;-33.981070128970906
1739209709.3838716;-33.981070128970906
1739209709.3838756;-45.120503652039325
1739209709.3838797;-38.13080360867914
1739209709.3838837;-38.13080360867914
1739209709.3838878;-45.120503652039325
1739209709.3838918;-45.120503652039325
1739209709.3838956;-35.57807855764607
1739209709.3838997;-38.13080360867914
1739209709.3839037;-45.120503652039325
1739209709.3839078;-45.120503652039325
1739209709.3839118;-45.120503652039325
1739209709.383916;-45.120503652039325
1739209709.38392;-38.13080360867914
1739209709.383924;-38.13080360867914
1739209709.383928;-45.120503652039325
1739209709.383932;-38.13080360867914
1739209709.3839362;-38.13080360867914
1739209709.38394;-45.120503652039325
1739209709.383944;-33.981070128970906
1739209709.383948;-38.13080360867914
1739209709.3839521;-45.120503652039325
1739209709.3839562;-38.13080360867914
1739209709.3839602;-45.120503652039325
1739209709.3839643;-33.981070128970906
1739209709.3839684;-30.49652367304973
1739209709.3839724;-38.13080360867914
1739209709.3839765;-38.13080360867914
1739209709.3839803;-38.13080360867914
1739209709.3839843;-38.13080360867914
1739209709.3839884;-38.13080360867914
1739209709.3839924;-45.120503652039325
1739209709.3839965;-38.13080360867914
1739209709.3840005;-33.981070128970906
1739209709.3840046;-38.13080360867914
1739209709.3840086;-45.120503652039325
1739209709.3840127;-45.120503652039325
1739209709.3840168;-45.120503652039325
1739209709.3840206;-38.13080360867914
1739209709.3840246;-45.120503652039325
1739209709.3840287;-45.120503652039325
1739209709.3840327;-38.13080360867914
1739209709.3840368;-35.57807855764607
1739209709.3840408;-38.13080360867914
1739209709.384045;-45.120503652039325
