CAN Message; 0x24:063d146e13f2f4b1
Timestamp;Amplitude
1739209656.7944145;-45.120503652039325
1739209656.7944202;-38.13080360867914
1739209656.794426;-38.13080360867914
1739209656.7944317;-38.13080360867914
1739209656.7944372;-38.13080360867914
1739209656.794443;-38.13080360867914
1739209656.7944486;-38.13080360867914
1739209656.7944543;-38.13080360867914
1739209656.79446;-38.13080360867914
1739209656.7944658;-38.13080360867914
1739209656.7944715;-35.57807855764607
1739209656.7944772;-45.120503652039325
1739209656.7944827;-45.120503652039325
1739209656.7944884;-38.13080360867914
1739209656.7944942;-38.13080360867914
1739209656.7944999;-45.120503652039325
1739209656.7945056;-45.120503652039325
1739209656.7945113;-38.13080360867914
1739209656.794517;-45.120503652039325
1739209656.7945228;-35.57807855764607
1739209656.7945282;-38.13080360867914
1739209656.794534;-45.120503652039325
1739209656.7945397;-31.141103565318893
1739209656.7945454;-38.13080360867914
1739209656.7945511;-38.13080360867914
1739209656.7945569;-38.13080360867914
1739209656.7945626;-35.57807855764607
1739209656.7945683;-33.981070128970906
1739209656.794574;-38.13080360867914
1739209656.7945795;-32.816014438256545
1739209656.7945852;-35.57807855764607
1739209656.794591;-38.13080360867914
1739209656.7945967;-45.120503652039325
1739209656.7946024;-38.13080360867914
1739209656.794608;-45.120503652039325
1739209656.7946138;-38.13080360867914
1739209656.7946196;-45.120503652039325
1739209656.794625;-38.13080360867914
1739209656.7946308;-32.816014438256545
1739209656.7946365;-38.13080360867914
1739209656.7946422;-33.981070128970906
1739209656.794648;-33.981070128970906
1739209656.7946537;-38.13080360867914
1739209656.7946594;-38.13080360867914
1739209656.794665;-45.120503652039325
1739209656.7946706;-38.13080360867914
1739209656.7946763;-38.13080360867914
1739209656.794682;-35.57807855764607
1739209656.7946877;-45.120503652039325
1739209656.7946935;-38.13080360867914
1739209656.7946992;-38.13080360867914
1739209656.794705;-45.120503652039325
1739209656.7947106;-45.120503652039325
1739209656.7947164;-38.13080360867914
1739209656.7947218;-35.57807855764607
1739209656.7947276;-38.13080360867914
1739209656.7947333;-45.120503652039325
1739209656.794739;-38.13080360867914
1739209656.7947447;-35.57807855764607
1739209656.7947505;-45.120503652039325
1739209656.7947562;-35.57807855764607
1739209656.794762;-38.13080360867914
1739209656.7947674;-35.57807855764607
1739209656.794773;-38.13080360867914
1739209656.7947788;-33.981070128970906
1739209656.7947845;-33.981070128970906
1739209656.7947903;-38.13080360867914
1739209656.794796;-38.13080360867914
1739209656.7948017;-45.120503652039325
1739209656.7948074;-38.13080360867914
1739209656.794813;-38.13080360867914
1739209656.7948186;-33.981070128970906
1739209656.7948244;-38.13080360867914
1739209656.79483;-38.13080360867914
1739209656.7948358;-38.13080360867914
1739209656.7948415;-45.120503652039325
1739209656.7948472;-45.120503652039325
1739209656.794853;-45.120503652039325
1739209656.7948587;-33.981070128970906
1739209656.7948642;-38.13080360867914
1739209656.79487;-31.141103565318915
1739209656.7948756;-28.992665084841942
1739209656.7948813;-38.13080360867914
1739209656.794887;-38.13080360867914
1739209656.7948928;-38.13080360867914
1739209656.7948985;-35.57807855764607
1739209656.7949042;-38.13080360867914
1739209656.7949097;-45.120503652039325
1739209656.7949154;-45.120503652039325
1739209656.7949212;-33.981070128970906
1739209656.794927;-35.57807855764607
1739209656.7949326;-38.13080360867914
1739209656.7949383;-45.120503652039325
1739209656.794944;-38.13080360867914
1739209656.7949498;-38.13080360867914
1739209656.7949553;-45.120503652039325
1739209656.794961;-45.120503652039325
1739209656.7949667;-38.13080360867914
1739209656.7949724;-38.13080360867914
1739209656.7949781;-38.13080360867914
1739209656.7949839;-45.120503652039325
1739209656.7949896;-45.120503652039325
1739209656.7949953;-45.120503652039325
1739209656.795001;-45.120503652039325
1739209656.7950065;-33.981070128970906
1739209656.7950122;-31.141103565318915
1739209656.795018;-45.120503652039325
1739209656.7950237;-45.120503652039325
