CAN Message; 0x1b8:0200ede9c4de1420
Timestamp;Amplitude
1739209590.6507099;-33.981070128970956
1739209590.650713;-38.13080360867914
1739209590.6507163;-45.120503652039325
1739209590.6507194;-45.120503652039325
1739209590.6507225;-45.120503652039325
1739209590.6507256;-38.13080360867914
1739209590.6507287;-38.13080360867914
1739209590.650732;-35.57807855764607
1739209590.6507351;-27.8777449560314
1739209590.6507382;-45.120503652039325
1739209590.6507413;-45.120503652039325
1739209590.6507444;-38.13080360867914
1739209590.6507478;-32.816014438256545
1739209590.6507509;-38.13080360867914
1739209590.650754;-45.120503652039325
1739209590.650757;-45.120503652039325
1739209590.6507602;-45.120503652039325
1739209590.6507635;-38.13080360867914
1739209590.6507666;-45.120503652039325
1739209590.6507697;-45.120503652039325
1739209590.6507728;-38.13080360867914
1739209590.650776;-38.13080360867914
1739209590.6507792;-45.120503652039325
1739209590.6507823;-38.13080360867914
1739209590.6507854;-29.438486411369333
1739209590.6507885;-35.57807855764607
1739209590.6507916;-45.120503652039325
1739209590.650795;-38.13080360867914
1739209590.650798;-45.120503652039325
1739209590.6508012;-45.120503652039325
1739209590.6508043;-45.120503652039325
1739209590.6508074;-45.120503652039325
1739209590.6508107;-45.120503652039325
1739209590.6508138;-45.120503652039325
1739209590.650817;-38.13080360867914
1739209590.65082;-38.13080360867914
1739209590.650823;-38.13080360867914
1739209590.6508265;-33.981070128970906
1739209590.6508296;-45.120503652039325
1739209590.6508327;-38.13080360867914
1739209590.6508358;-45.120503652039325
1739209590.6508389;-38.13080360867914
1739209590.6508422;-38.13080360867914
1739209590.6508453;-45.120503652039325
1739209590.6508484;-45.120503652039325
1739209590.6508515;-45.120503652039325
1739209590.6508546;-45.120503652039325
1739209590.650858;-45.120503652039325
1739209590.650861;-38.13080360867914
1739209590.6508641;-38.13080360867914
1739209590.6508672;-45.120503652039325
1739209590.6508703;-38.13080360867914
1739209590.6508737;-35.57807855764607
1739209590.6508768;-38.13080360867914
1739209590.6508799;-45.120503652039325
1739209590.650883;-38.13080360867914
1739209590.650886;-45.120503652039325
1739209590.6508892;-38.13080360867914
1739209590.6508925;-45.120503652039325
1739209590.6508956;-38.13080360867914
1739209590.6508987;-45.120503652039325
1739209590.6509018;-38.13080360867914
1739209590.650905;-45.120503652039325
1739209590.6509082;-45.120503652039325
1739209590.6509113;-35.57807855764607
1739209590.6509144;-38.13080360867914
1739209590.6509175;-38.13080360867914
1739209590.6509206;-35.57807855764607
1739209590.650924;-35.57807855764607
1739209590.650927;-45.120503652039325
1739209590.6509302;-45.120503652039325
1739209590.6509333;-38.13080360867914
1739209590.6509364;-38.13080360867914
1739209590.6509397;-38.13080360867914
1739209590.6509428;-38.13080360867914
1739209590.650946;-38.13080360867914
1739209590.650949;-38.13080360867914
1739209590.650952;-33.981070128970906
1739209590.6509554;-38.13080360867914
1739209590.6509585;-45.120503652039325
1739209590.6509616;-45.120503652039325
1739209590.6509647;-38.13080360867914
1739209590.6509678;-35.57807855764607
1739209590.6509712;-38.13080360867914
1739209590.6509743;-45.120503652039325
1739209590.6509774;-45.120503652039325
1739209590.6509805;-38.13080360867914
1739209590.6509836;-45.120503652039325
1739209590.650987;-45.120503652039325
1739209590.65099;-33.981070128970906
1739209590.650993;-35.57807855764607
1739209590.6509962;-45.120503652039325
1739209590.6509993;-38.13080360867914
1739209590.6510026;-35.57807855764607
1739209590.6510057;-45.120503652039325
1739209590.6510088;-45.120503652039325
1739209590.651012;-33.981070128970906
1739209590.651015;-33.981070128970906
1739209590.6510184;-45.120503652039325
1739209590.6510215;-38.13080360867914
1739209590.6510246;-38.13080360867914
1739209590.6510277;-45.120503652039325
1739209590.6510308;-45.120503652039325
1739209590.651034;-45.120503652039325
1739209590.6510372;-45.120503652039325
1739209590.6510403;-33.981070128970906
1739209590.6510434;-33.981070128970906
1739209590.6510465;-45.120503652039325
1739209590.6510499;-33.981070128970906
1739209590.651053;-33.981070128970906
1739209590.651056;-35.57807855764607
1739209590.6510592;-38.13080360867914
1739209590.6510623;-45.120503652039325
1739209590.6510656;-38.13080360867914
1739209590.6510687;-45.120503652039325
1739209590.6510718;-45.120503652039325
1739209590.651075;-35.57807855764607
1739209590.651078;-31.141103565318915
1739209590.6510813;-45.120503652039325
1739209590.6510844;-45.120503652039325
1739209590.6510875;-35.57807855764607
1739209590.6510906;-38.13080360867914
1739209590.6510937;-45.120503652039325
1739209590.651097;-38.13080360867914
1739209590.6511002;-45.120503652039325
1739209590.6511033;-38.13080360867914
1739209590.6511064;-45.120503652039325
