CAN Message; 0x1d3:000025df2d2b090f
Timestamp;Amplitude
1739209918.1580064;-45.120503652039325
1739209918.15801;-38.13080360867914
1739209918.1580136;-38.13080360867914
1739209918.1580172;-38.13080360867914
1739209918.158021;-35.57807855764607
1739209918.1580245;-38.13080360867914
1739209918.1580281;-35.57807855764607
1739209918.1580317;-45.120503652039325
1739209918.1580353;-45.120503652039325
1739209918.1580389;-45.120503652039325
1739209918.1580424;-32.816014438256545
1739209918.158046;-35.57807855764607
1739209918.1580498;-45.120503652039325
1739209918.1580534;-45.120503652039325
1739209918.158057;-38.13080360867914
1739209918.1580606;-33.981070128970906
1739209918.1580641;-45.120503652039325
1739209918.1580677;-45.120503652039325
1739209918.1580713;-45.120503652039325
1739209918.1580749;-38.13080360867914
1739209918.1580787;-45.120503652039325
1739209918.1580822;-38.13080360867914
1739209918.1580858;-45.120503652039325
1739209918.1580894;-38.13080360867914
1739209918.158093;-38.13080360867914
1739209918.1580966;-38.13080360867914
1739209918.1581001;-38.13080360867914
1739209918.1581037;-45.120503652039325
1739209918.1581075;-45.120503652039325
1739209918.158111;-38.13080360867914
1739209918.1581147;-31.141103565318893
1739209918.1581182;-38.13080360867914
1739209918.1581218;-45.120503652039325
1739209918.1581254;-45.120503652039325
1739209918.158129;-38.13080360867914
1739209918.1581326;-31.141103565318915
1739209918.1581361;-45.120503652039325
1739209918.15814;-45.120503652039325
1739209918.1581435;-38.13080360867914
1739209918.158147;-32.816014438256545
1739209918.1581507;-38.13080360867914
1739209918.1581542;-45.120503652039325
1739209918.1581578;-45.120503652039325
1739209918.1581614;-45.120503652039325
1739209918.158165;-45.120503652039325
1739209918.1581688;-45.120503652039325
1739209918.1581724;-45.120503652039325
1739209918.158176;-45.120503652039325
1739209918.1581795;-45.120503652039325
1739209918.158183;-38.13080360867914
1739209918.1581867;-32.816014438256545
1739209918.1581903;-33.981070128970906
1739209918.1581938;-38.13080360867914
1739209918.1581976;-38.13080360867914
1739209918.1582012;-38.13080360867914
1739209918.1582048;-32.816014438256545
1739209918.1582084;-38.13080360867914
1739209918.158212;-38.13080360867914
1739209918.1582155;-32.816014438256545
1739209918.158219;-35.57807855764607
1739209918.1582227;-45.120503652039325
1739209918.1582265;-38.13080360867914
1739209918.15823;-35.57807855764607
1739209918.1582336;-38.13080360867914
1739209918.1582372;-45.120503652039325
1739209918.1582408;-38.13080360867914
1739209918.1582444;-33.981070128970906
1739209918.158248;-38.13080360867914
1739209918.1582515;-38.13080360867914
1739209918.158255;-45.120503652039325
1739209918.158259;-38.13080360867914
1739209918.1582625;-45.120503652039325
1739209918.158266;-38.13080360867914
1739209918.1582696;-45.120503652039325
1739209918.1582732;-33.981070128970906
1739209918.1582768;-27.267205301931607
1739209918.1582804;-45.120503652039325
1739209918.158284;-45.120503652039325
1739209918.1582878;-33.981070128970906
1739209918.1582913;-33.981070128970906
1739209918.158295;-45.120503652039325
1739209918.1582985;-38.13080360867914
1739209918.158302;-33.981070128970906
1739209918.1583056;-32.816014438256545
1739209918.1583092;-35.57807855764607
1739209918.1583128;-38.13080360867914
1739209918.1583166;-45.120503652039325
1739209918.1583202;-45.120503652039325
1739209918.1583238;-45.120503652039325
1739209918.1583273;-38.13080360867914
1739209918.158331;-45.120503652039325
1739209918.1583345;-31.141103565318915
1739209918.158338;-45.120503652039325
1739209918.1583416;-38.13080360867914
1739209918.1583455;-38.13080360867914
1739209918.158349;-38.13080360867914
1739209918.1583526;-38.13080360867914
1739209918.1583562;-38.13080360867914
1739209918.1583598;-38.13080360867914
1739209918.1583633;-45.120503652039325
1739209918.158367;-45.120503652039325
1739209918.1583705;-45.120503652039325
1739209918.158374;-35.57807855764607
1739209918.158378;-33.981070128970906
1739209918.1583815;-38.13080360867914
1739209918.158385;-38.13080360867914
1739209918.1583886;-45.120503652039325
1739209918.1583922;-45.120503652039325
1739209918.1583958;-45.120503652039325
1739209918.1583993;-38.13080360867914
1739209918.158403;-38.13080360867914
1739209918.1584067;-45.120503652039325
1739209918.1584103;-45.120503652039325
1739209918.158414;-38.13080360867914
1739209918.1584175;-45.120503652039325
1739209918.158421;-33.981070128970906
1739209918.1584246;-45.120503652039325
1739209918.1584282;-33.981070128970906
1739209918.1584318;-35.57807855764607
1739209918.1584356;-38.13080360867914
1739209918.1584392;-35.57807855764607
1739209918.1584427;-38.13080360867914
1739209918.1584463;-35.57807855764607
1739209918.15845;-45.120503652039325
1739209918.1584535;-45.120503652039325
1739209918.158457;-45.120503652039325
1739209918.1584606;-38.13080360867914
1739209918.1584644;-45.120503652039325
1739209918.158468;-38.13080360867914
1739209918.1584716;-33.981070128970906
1739209918.1584752;-45.120503652039325
1739209918.1584787;-38.13080360867914
1739209918.1584823;-45.120503652039325
1739209918.158486;-38.13080360867914
1739209918.1584895;-35.57807855764607
1739209918.158493;-35.57807855764607
1739209918.1584969;-38.13080360867914
1739209918.1585004;-38.13080360867914
1739209918.158504;-35.57807855764607
1739209918.1585076;-38.13080360867914
1739209918.1585112;-45.120503652039325
1739209918.1585147;-38.13080360867914
1739209918.1585183;-45.120503652039325
1739209918.158522;-38.13080360867914
1739209918.1585257;-45.120503652039325
1739209918.1585293;-38.13080360867914
1739209918.1585329;-35.57807855764607
1739209918.1585364;-45.120503652039325
1739209918.15854;-45.120503652039325
1739209918.1585436;-38.13080360867914
1739209918.1585472;-38.13080360867914
1739209918.1585507;-38.13080360867914
1739209918.1585546;-45.120503652039325
1739209918.1585581;-38.13080360867914
1739209918.1585617;-35.57807855764607
1739209918.1585653;-45.120503652039325
1739209918.1585689;-35.57807855764607
1739209918.1585724;-38.13080360867914
1739209918.158576;-38.13080360867914
1739209918.1585796;-38.13080360867914
1739209918.1585832;-38.13080360867914
1739209918.158587;-38.13080360867914
1739209918.1585906;-38.13080360867914
1739209918.1585941;-45.120503652039325
1739209918.1585977;-45.120503652039325
1739209918.1586013;-45.120503652039325
1739209918.1586049;-45.120503652039325
1739209918.1586084;-35.57807855764607
1739209918.158612;-38.13080360867914
1739209918.1586158;-38.13080360867914
1739209918.1586194;-35.57807855764607
1739209918.158623;-35.57807855764607
1739209918.1586266;-31.141103565318893
1739209918.1586301;-38.13080360867914
1739209918.1586337;-35.57807855764607
1739209918.1586373;-38.13080360867914
1739209918.1586409;-45.120503652039325
1739209918.1586447;-45.120503652039325
1739209918.1586483;-45.120503652039325
1739209918.1586518;-45.120503652039325
1739209918.1586554;-45.120503652039325
1739209918.158659;-45.120503652039325
1739209918.1586626;-45.120503652039325
1739209918.1586661;-38.13080360867914
1739209918.1586697;-45.120503652039325
1739209918.1586735;-38.13080360867914
1739209918.158677;-38.13080360867914
1739209918.1586807;-45.120503652039325
1739209918.1586843;-45.120503652039325
1739209918.1586878;-38.13080360867914
1739209918.1586914;-45.120503652039325
1739209918.158695;-38.13080360867914
1739209918.1586986;-33.981070128970906
1739209918.1587021;-45.120503652039325
1739209918.158706;-38.13080360867914
1739209918.1587095;-38.13080360867914
1739209918.158713;-30.49652367304973
1739209918.1587167;-38.13080360867914
1739209918.1587203;-45.120503652039325
1739209918.1587238;-45.120503652039325
1739209918.1587274;-45.120503652039325
1739209918.158731;-38.13080360867914
1739209918.1587348;-45.120503652039325
1739209918.1587384;-45.120503652039325
1739209918.158742;-38.13080360867914
1739209918.1587455;-45.120503652039325
1739209918.158749;-38.13080360867914
1739209918.1587527;-38.13080360867914
1739209918.1587563;-45.120503652039325
1739209918.1587598;-45.120503652039325
1739209918.1587636;-38.13080360867914
1739209918.1587672;-45.120503652039325
1739209918.1587708;-27.8777449560314
1739209918.1587744;-33.981070128970906
1739209918.158778;-35.57807855764607
1739209918.1587815;-45.120503652039325
1739209918.158785;-38.13080360867914
1739209918.1587887;-35.57807855764607
1739209918.1587925;-38.13080360867914
1739209918.158796;-45.120503652039325
1739209918.1587996;-45.120503652039325
1739209918.1588032;-38.13080360867914
1739209918.1588068;-45.120503652039325
1739209918.1588104;-45.120503652039325
1739209918.158814;-38.13080360867914
1739209918.1588175;-38.13080360867914
1739209918.158821;-38.13080360867914
1739209918.158825;-38.13080360867914
1739209918.1588285;-35.57807855764607
1739209918.158832;-38.13080360867914
1739209918.1588356;-45.120503652039325
1739209918.1588392;-45.120503652039325
1739209918.1588428;-38.13080360867914
1739209918.1588464;-38.13080360867914
1739209918.15885;-45.120503652039325
1739209918.1588538;-38.13080360867914
1739209918.1588573;-32.816014438256545
1739209918.158861;-31.141103565318915
1739209918.1588645;-45.120503652039325
1739209918.158868;-33.981070128970906
1739209918.1588717;-33.981070128970906
1739209918.1588752;-33.981070128970906
1739209918.1588788;-35.57807855764607
1739209918.1588826;-38.13080360867914
1739209918.1588862;-45.120503652039325
1739209918.1588898;-45.120503652039325
1739209918.1588933;-45.120503652039325
1739209918.158897;-38.13080360867914
1739209918.1589005;-38.13080360867914
1739209918.158904;-45.120503652039325
1739209918.1589077;-45.120503652039325
1739209918.1589115;-45.120503652039325
1739209918.158915;-33.981070128970906
1739209918.1589186;-28.992665084841942
1739209918.1589222;-45.120503652039325
1739209918.1589258;-38.13080360867914
1739209918.1589293;-38.13080360867914
1739209918.158933;-38.13080360867914
1739209918.1589365;-45.120503652039325
1739209918.15894;-38.13080360867914
1739209918.158944;-38.13080360867914
1739209918.1589475;-38.13080360867914
1739209918.158951;-38.13080360867914
1739209918.1589546;-38.13080360867914
1739209918.1589582;-35.57807855764607
1739209918.1589618;-38.13080360867914
1739209918.1589653;-45.120503652039325
1739209918.158969;-45.120503652039325
1739209918.1589727;-38.13080360867914
1739209918.1589763;-33.981070128970906
1739209918.15898;-45.120503652039325
1739209918.1589835;-38.13080360867914
1739209918.158987;-38.13080360867914
1739209918.1589906;-38.13080360867914
1739209918.1589942;-38.13080360867914
1739209918.1589978;-38.13080360867914
1739209918.1590016;-45.120503652039325
1739209918.1590052;-35.57807855764607
1739209918.1590087;-38.13080360867914
1739209918.1590123;-38.13080360867914
1739209918.159016;-35.57807855764607
1739209918.1590195;-38.13080360867914
1739209918.159023;-45.120503652039325
1739209918.1590266;-45.120503652039325
1739209918.1590304;-38.13080360867914
1739209918.159034;-45.120503652039325
1739209918.1590376;-45.120503652039325
