CAN Message; 0x1bb:000096119c0b72c1
Timestamp;Amplitude
1739209879.674212;-32.81601443825658
1739209879.6742182;-45.120503652039325
1739209879.6742244;-45.120503652039325
1739209879.6742306;-38.13080360867914
1739209879.6742368;-45.120503652039325
1739209879.6742432;-45.120503652039325
1739209879.6742494;-38.13080360867914
1739209879.6742556;-45.120503652039325
1739209879.6742618;-38.13080360867914
1739209879.674268;-38.13080360867914
1739209879.6742742;-33.981070128970906
1739209879.6742804;-45.120503652039325
1739209879.6742866;-45.120503652039325
1739209879.6742928;-38.13080360867914
1739209879.674299;-38.13080360867914
1739209879.6743054;-45.120503652039325
1739209879.6743116;-38.13080360867914
1739209879.6743178;-35.57807855764607
1739209879.674324;-35.57807855764607
1739209879.6743302;-38.13080360867914
1739209879.6743364;-45.120503652039325
1739209879.6743426;-38.13080360867914
1739209879.6743488;-45.120503652039325
1739209879.674355;-38.13080360867914
1739209879.6743612;-32.81601443825658
1739209879.6743674;-38.13080360867914
1739209879.6743739;-38.13080360867914
1739209879.67438;-45.120503652039325
1739209879.6743863;-45.120503652039325
1739209879.6743925;-45.120503652039325
1739209879.6743987;-45.120503652039325
1739209879.6744049;-38.13080360867914
1739209879.674411;-31.141103565318915
1739209879.6744173;-31.141103565318915
1739209879.6744235;-38.13080360867914
1739209879.6744297;-38.13080360867914
1739209879.674436;-38.13080360867914
1739209879.6744423;-38.13080360867914
1739209879.6744485;-45.120503652039325
1739209879.6744547;-38.13080360867914
1739209879.674461;-33.981070128970906
1739209879.674467;-33.981070128970906
1739209879.6744733;-38.13080360867914
1739209879.6744795;-45.120503652039325
1739209879.6744857;-45.120503652039325
1739209879.674492;-45.120503652039325
1739209879.674498;-45.120503652039325
1739209879.6745045;-45.120503652039325
1739209879.6745107;-45.120503652039325
1739209879.674517;-38.13080360867914
1739209879.674523;-45.120503652039325
1739209879.6745293;-45.120503652039325
1739209879.6745355;-45.120503652039325
1739209879.6745417;-38.13080360867914
1739209879.674548;-45.120503652039325
1739209879.674554;-45.120503652039325
1739209879.6745603;-45.120503652039325
1739209879.6745667;-38.13080360867914
1739209879.674573;-45.120503652039325
1739209879.6745791;-45.120503652039325
1739209879.6745853;-38.13080360867914
1739209879.6745915;-35.57807855764607
1739209879.6745977;-38.13080360867914
1739209879.674604;-31.141103565318893
1739209879.6746101;-33.981070128970906
1739209879.6746163;-45.120503652039325
1739209879.6746225;-45.120503652039325
1739209879.674629;-38.13080360867914
1739209879.6746352;-32.816014438256545
1739209879.6746414;-45.120503652039325
1739209879.6746476;-45.120503652039325
1739209879.6746538;-45.120503652039325
1739209879.67466;-45.120503652039325
1739209879.6746662;-38.13080360867914
1739209879.6746724;-38.13080360867914
1739209879.6746786;-45.120503652039325
1739209879.6746848;-45.120503652039325
1739209879.674691;-35.57807855764607
1739209879.6746974;-35.57807855764607
1739209879.6747036;-38.13080360867914
1739209879.6747098;-45.120503652039325
1739209879.674716;-35.57807855764607
1739209879.6747222;-35.57807855764607
1739209879.6747284;-38.13080360867914
1739209879.6747346;-45.120503652039325
1739209879.6747408;-38.13080360867914
1739209879.674747;-38.13080360867914
1739209879.6747532;-45.120503652039325
1739209879.6747596;-45.120503652039325
1739209879.6747658;-45.120503652039325
1739209879.674772;-45.120503652039325
1739209879.6747782;-38.13080360867914
1739209879.6747844;-35.57807855764607
1739209879.6747906;-38.13080360867914
1739209879.6747968;-45.120503652039325
1739209879.674803;-33.981070128970906
1739209879.6748092;-45.120503652039325
1739209879.6748154;-35.57807855764607
1739209879.6748216;-38.13080360867914
1739209879.674828;-45.120503652039325
1739209879.6748343;-45.120503652039325
1739209879.6748405;-32.816014438256545
1739209879.6748466;-32.816014438256545
1739209879.6748528;-45.120503652039325
1739209879.674859;-45.120503652039325
1739209879.6748652;-38.13080360867914
1739209879.6748714;-38.13080360867914
1739209879.6748776;-45.120503652039325
1739209879.6748838;-45.120503652039325
1739209879.6748903;-45.120503652039325
1739209879.6748965;-45.120503652039325
1739209879.6749027;-45.120503652039325
1739209879.6749089;-45.120503652039325
1739209879.674915;-38.13080360867914
1739209879.6749213;-45.120503652039325
1739209879.6749275;-38.13080360867914
1739209879.6749337;-38.13080360867914
1739209879.6749399;-33.981070128970906
1739209879.674946;-45.120503652039325
1739209879.6749523;-35.57807855764607
1739209879.6749587;-35.57807855764607
1739209879.674965;-35.57807855764607
1739209879.674971;-32.816014438256545
1739209879.6749773;-38.13080360867914
1739209879.6749835;-32.816014438256545
1739209879.6749897;-45.120503652039325
1739209879.674996;-45.120503652039325
1739209879.675002;-45.120503652039325
1739209879.6750083;-35.57807855764607
1739209879.6750145;-45.120503652039325
1739209879.675021;-45.120503652039325
1739209879.6750271;-35.57807855764607
1739209879.6750333;-38.13080360867914
1739209879.6750395;-45.120503652039325
1739209879.6750457;-38.13080360867914
1739209879.675052;-45.120503652039325
1739209879.6750581;-45.120503652039325
1739209879.6750643;-35.57807855764607
1739209879.6750705;-27.8777449560314
1739209879.6750767;-45.120503652039325
1739209879.675083;-45.120503652039325
1739209879.6750894;-33.981070128970906
1739209879.6750956;-35.57807855764607
1739209879.6751018;-38.13080360867914
1739209879.675108;-45.120503652039325
1739209879.6751142;-35.57807855764607
1739209879.6751204;-32.816014438256545
1739209879.6751266;-45.120503652039325
1739209879.6751328;-38.13080360867914
1739209879.675139;-38.13080360867914
1739209879.6751451;-35.57807855764607
1739209879.6751516;-45.120503652039325
1739209879.6751578;-45.120503652039325
1739209879.675164;-45.120503652039325
1739209879.6751702;-45.120503652039325
1739209879.6751764;-45.120503652039325
1739209879.6751826;-45.120503652039325
1739209879.6751888;-45.120503652039325
1739209879.675195;-45.120503652039325
1739209879.6752012;-38.13080360867914
1739209879.6752074;-45.120503652039325
1739209879.6752138;-38.13080360867914
1739209879.67522;-27.8777449560314
