CAN Message; 0x98:00000dd3817d9d31
Timestamp;Amplitude
1739209799.763114;-33.981070128970906
1739209799.7631216;-38.13080360867914
1739209799.763129;-45.120503652039325
1739209799.7631364;-38.13080360867914
1739209799.7631438;-38.13080360867914
1739209799.7631512;-31.141103565318915
1739209799.7631588;-38.13080360867914
1739209799.7631662;-45.120503652039325
1739209799.7631736;-38.13080360867914
1739209799.7631812;-45.120503652039325
1739209799.7631886;-45.120503652039325
1739209799.763196;-45.120503652039325
1739209799.7632034;-35.57807855764607
1739209799.7632108;-33.981070128970906
1739209799.7632184;-45.120503652039325
1739209799.7632258;-45.120503652039325
1739209799.7632332;-38.13080360867914
1739209799.7632408;-45.120503652039325
1739209799.7632482;-45.120503652039325
1739209799.7632556;-45.120503652039325
1739209799.763263;-45.120503652039325
1739209799.7632704;-45.120503652039325
1739209799.763278;-38.13080360867914
1739209799.7632854;-38.13080360867914
1739209799.7632928;-33.981070128970906
1739209799.7633004;-35.57807855764607
1739209799.7633078;-35.57807855764607
1739209799.7633152;-38.13080360867914
1739209799.7633226;-38.13080360867914
1739209799.76333;-38.13080360867914
1739209799.7633376;-45.120503652039325
1739209799.763345;-38.13080360867914
1739209799.7633524;-38.13080360867914
1739209799.76336;-45.120503652039325
1739209799.7633674;-45.120503652039325
1739209799.7633748;-38.13080360867914
1739209799.7633822;-33.981070128970906
1739209799.7633896;-35.57807855764607
1739209799.7633972;-45.120503652039325
1739209799.7634046;-35.57807855764607
1739209799.763412;-38.13080360867914
1739209799.7634196;-45.120503652039325
1739209799.763427;-45.120503652039325
1739209799.7634344;-38.13080360867914
1739209799.7634418;-38.13080360867914
1739209799.7634492;-45.120503652039325
1739209799.7634568;-45.120503652039325
1739209799.7634642;-38.13080360867914
1739209799.7634716;-35.57807855764607
1739209799.7634792;-38.13080360867914
1739209799.7634866;-45.120503652039325
1739209799.763494;-33.981070128970906
1739209799.7635014;-35.57807855764607
1739209799.7635088;-45.120503652039325
1739209799.7635164;-45.120503652039325
1739209799.7635238;-38.13080360867914
1739209799.7635312;-32.816014438256545
