CAN Message; 0x62:08f5c3b1d80c3d85
Timestamp;Amplitude
1739209671.2039366;-38.13080360867914
1739209671.203939;-35.57807855764607
1739209671.2039413;-45.120503652039325
1739209671.2039437;-38.13080360867914
1739209671.2039459;-45.120503652039325
1739209671.2039483;-38.13080360867914
1739209671.2039506;-45.120503652039325
1739209671.203953;-38.13080360867914
1739209671.2039554;-45.120503652039325
1739209671.2039578;-38.13080360867914
1739209671.2039602;-38.13080360867914
1739209671.2039626;-38.13080360867914
1739209671.2039647;-38.13080360867914
1739209671.203967;-33.981070128970906
1739209671.2039695;-35.57807855764607
1739209671.2039719;-45.120503652039325
1739209671.2039742;-38.13080360867914
1739209671.2039766;-33.981070128970906
1739209671.203979;-38.13080360867914
1739209671.2039814;-38.13080360867914
1739209671.2039838;-38.13080360867914
1739209671.203986;-38.13080360867914
1739209671.2039883;-33.981070128970906
1739209671.2039907;-31.141103565318915
1739209671.203993;-45.120503652039325
1739209671.2039955;-38.13080360867914
1739209671.2039979;-45.120503652039325
1739209671.2040002;-45.120503652039325
1739209671.2040026;-45.120503652039325
1739209671.204005;-45.120503652039325
1739209671.2040071;-38.13080360867914
1739209671.2040095;-38.13080360867914
1739209671.204012;-45.120503652039325
1739209671.2040143;-45.120503652039325
1739209671.2040167;-45.120503652039325
1739209671.204019;-38.13080360867914
1739209671.2040215;-38.13080360867914
1739209671.2040238;-35.57807855764607
1739209671.204026;-38.13080360867914
1739209671.2040284;-45.120503652039325
1739209671.2040308;-38.13080360867914
1739209671.2040331;-33.981070128970906
1739209671.2040355;-38.13080360867914
1739209671.204038;-38.13080360867914
1739209671.2040403;-45.120503652039325
1739209671.2040427;-38.13080360867914
1739209671.204045;-35.57807855764607
1739209671.2040472;-45.120503652039325
1739209671.2040496;-33.981070128970906
1739209671.204052;-30.49652367304973
1739209671.2040544;-35.57807855764607
1739209671.2040567;-45.120503652039325
1739209671.2040591;-38.13080360867914
1739209671.2040615;-38.13080360867914
1739209671.204064;-45.120503652039325
1739209671.204066;-45.120503652039325
1739209671.2040684;-38.13080360867914
1739209671.2040708;-31.141103565318915
1739209671.2040732;-38.13080360867914
1739209671.2040756;-38.13080360867914
1739209671.204078;-45.120503652039325
1739209671.2040803;-38.13080360867914
1739209671.2040827;-38.13080360867914
1739209671.204085;-33.981070128970906
1739209671.2040873;-45.120503652039325
1739209671.2040896;-33.981070128970906
1739209671.204092;-32.816014438256545
1739209671.2040944;-45.120503652039325
1739209671.2040968;-35.57807855764607
1739209671.2040992;-45.120503652039325
1739209671.2041016;-38.13080360867914
1739209671.204104;-38.13080360867914
1739209671.2041063;-45.120503652039325
1739209671.2041085;-28.992665084841942
1739209671.2041109;-38.13080360867914
1739209671.2041132;-38.13080360867914
1739209671.2041156;-38.13080360867914
1739209671.204118;-38.13080360867914
1739209671.2041204;-45.120503652039325
1739209671.2041228;-38.13080360867914
1739209671.2041252;-32.816014438256545
1739209671.2041273;-29.438486411369347
1739209671.2041297;-45.120503652039325
1739209671.204132;-45.120503652039325
1739209671.2041345;-38.13080360867914
1739209671.2041368;-38.13080360867914
1739209671.2041392;-45.120503652039325
1739209671.2041416;-38.13080360867914
1739209671.204144;-35.57807855764607
1739209671.2041464;-35.57807855764607
1739209671.2041485;-45.120503652039325
1739209671.204151;-45.120503652039325
1739209671.2041533;-35.57807855764607
1739209671.2041557;-38.13080360867914
1739209671.204158;-45.120503652039325
1739209671.2041605;-45.120503652039325
1739209671.2041628;-45.120503652039325
1739209671.2041652;-38.13080360867914
1739209671.2041674;-45.120503652039325
1739209671.2041698;-45.120503652039325
1739209671.2041721;-35.57807855764607
1739209671.2041745;-35.57807855764607
1739209671.204177;-45.120503652039325
1739209671.2041793;-38.13080360867914
1739209671.2041817;-32.816014438256545
1739209671.204184;-38.13080360867914
1739209671.2041864;-38.13080360867914
1739209671.2041886;-45.120503652039325
1739209671.204191;-45.120503652039325
1739209671.2041934;-38.13080360867914
1739209671.2041957;-32.816014438256545
1739209671.2041981;-45.120503652039325
1739209671.2042005;-45.120503652039325
1739209671.204203;-33.981070128970906
1739209671.2042053;-45.120503652039325
1739209671.2042077;-45.120503652039325
1739209671.2042098;-45.120503652039325
1739209671.2042122;-33.981070128970906
1739209671.2042146;-45.120503652039325
1739209671.204217;-38.13080360867914
1739209671.2042193;-45.120503652039325
1739209671.2042217;-45.120503652039325
1739209671.204224;-38.13080360867914
1739209671.2042265;-38.13080360867914
1739209671.2042286;-45.120503652039325
1739209671.204231;-38.13080360867914
1739209671.2042334;-29.438486411369333
1739209671.2042358;-45.120503652039325
1739209671.2042382;-45.120503652039325
1739209671.2042406;-38.13080360867914
1739209671.204243;-35.57807855764607
1739209671.2042453;-45.120503652039325
1739209671.2042477;-45.120503652039325
1739209671.2042499;-45.120503652039325
1739209671.2042522;-38.13080360867914
1739209671.2042546;-45.120503652039325
1739209671.204257;-45.120503652039325
1739209671.2042594;-45.120503652039325
1739209671.2042618;-45.120503652039325
1739209671.2042642;-38.13080360867914
1739209671.2042665;-38.13080360867914
1739209671.2042687;-33.981070128970906
1739209671.204271;-35.57807855764607
1739209671.2042735;-38.13080360867914
1739209671.2042758;-45.120503652039325
1739209671.2042782;-45.120503652039325
1739209671.2042806;-33.981070128970906
1739209671.204283;-38.13080360867914
1739209671.2042854;-45.120503652039325
1739209671.2042878;-45.120503652039325
1739209671.20429;-38.13080360867914
1739209671.2042923;-38.13080360867914
1739209671.2042947;-45.120503652039325
1739209671.204297;-45.120503652039325
1739209671.2042994;-45.120503652039325
1739209671.2043018;-38.13080360867914
1739209671.2043042;-38.13080360867914
1739209671.2043066;-33.981070128970906
1739209671.204309;-33.981070128970906
1739209671.2043111;-45.120503652039325
1739209671.2043135;-45.120503652039325
1739209671.204316;-45.120503652039325
1739209671.2043183;-32.816014438256545
1739209671.2043207;-35.57807855764607
1739209671.204323;-38.13080360867914
1739209671.2043254;-45.120503652039325
1739209671.2043278;-35.57807855764607
1739209671.20433;-45.120503652039325
1739209671.2043324;-45.120503652039325
1739209671.2043347;-45.120503652039325
1739209671.2043371;-45.120503652039325
1739209671.2043395;-38.13080360867914
1739209671.204342;-45.120503652039325
1739209671.2043443;-38.13080360867914
1739209671.2043467;-45.120503652039325
1739209671.204349;-45.120503652039325
1739209671.2043512;-38.13080360867914
1739209671.2043536;-33.981070128970906
1739209671.204356;-38.13080360867914
1739209671.2043583;-45.120503652039325
1739209671.2043607;-35.57807855764607
1739209671.204363;-45.120503652039325
1739209671.2043655;-35.57807855764607
1739209671.2043679;-38.13080360867914
1739209671.2043703;-35.57807855764607
1739209671.2043724;-45.120503652039325
1739209671.2043748;-30.49652367304973
1739209671.2043772;-33.981070128970906
1739209671.2043796;-45.120503652039325
1739209671.204382;-38.13080360867914
1739209671.2043843;-45.120503652039325
1739209671.2043867;-38.13080360867914
1739209671.204389;-38.13080360867914
1739209671.2043912;-38.13080360867914
1739209671.2043936;-45.120503652039325
1739209671.204396;-35.57807855764607
1739209671.2043984;-35.57807855764607
1739209671.2044008;-38.13080360867914
1739209671.2044032;-45.120503652039325
1739209671.2044055;-45.120503652039325
1739209671.204408;-33.981070128970906
1739209671.2044103;-45.120503652039325
1739209671.2044125;-31.141103565318915
1739209671.2044148;-32.816014438256545
1739209671.2044172;-38.13080360867914
1739209671.2044196;-33.981070128970906
1739209671.204422;-38.13080360867914
1739209671.2044244;-35.57807855764607
1739209671.2044268;-35.57807855764607
1739209671.2044291;-45.120503652039325
1739209671.2044313;-45.120503652039325
1739209671.2044337;-38.13080360867914
1739209671.204436;-35.57807855764607
1739209671.2044384;-45.120503652039325
1739209671.2044408;-45.120503652039325
1739209671.2044432;-38.13080360867914
1739209671.2044456;-35.57807855764607
1739209671.204448;-33.981070128970906
1739209671.2044504;-45.120503652039325
1739209671.2044525;-38.13080360867914
1739209671.204455;-38.13080360867914
1739209671.2044573;-38.13080360867914
1739209671.2044597;-45.120503652039325
1739209671.204462;-38.13080360867914
1739209671.2044644;-35.57807855764607
1739209671.2044668;-38.13080360867914
1739209671.2044692;-38.13080360867914
1739209671.2044716;-31.141103565318915
1739209671.2044737;-38.13080360867914
1739209671.204476;-45.120503652039325
1739209671.2044785;-38.13080360867914
1739209671.204481;-35.57807855764607
1739209671.2044833;-33.981070128970906
1739209671.2044857;-45.120503652039325
1739209671.204488;-38.13080360867914
1739209671.2044904;-29.438486411369347
1739209671.2044926;-32.816014438256545
1739209671.204495;-38.13080360867914
1739209671.2044973;-45.120503652039325
1739209671.2044997;-45.120503652039325
1739209671.204502;-38.13080360867914
1739209671.2045045;-45.120503652039325
1739209671.2045069;-38.13080360867914
1739209671.2045093;-27.267205301931607
1739209671.2045116;-35.57807855764607
1739209671.2045138;-45.120503652039325
1739209671.2045162;-38.13080360867914
1739209671.2045186;-33.981070128970906
1739209671.204521;-32.816014438256545
1739209671.2045233;-45.120503652039325
1739209671.2045257;-45.120503652039325
1739209671.204528;-28.58837851428586
1739209671.2045305;-35.57807855764607
1739209671.2045326;-38.13080360867914
1739209671.204535;-45.120503652039325
1739209671.2045374;-38.13080360867914
1739209671.2045398;-35.57807855764607
1739209671.2045422;-38.13080360867914
1739209671.2045445;-38.13080360867914
1739209671.204547;-38.13080360867914
1739209671.2045493;-38.13080360867914
1739209671.2045517;-45.120503652039325
1739209671.2045538;-38.13080360867914
1739209671.2045562;-38.13080360867914
1739209671.2045586;-45.120503652039325
1739209671.204561;-45.120503652039325
1739209671.2045634;-45.120503652039325
1739209671.2045658;-38.13080360867914
1739209671.2045681;-32.816014438256545
1739209671.2045705;-38.13080360867914
1739209671.204573;-45.120503652039325
1739209671.204575;-38.13080360867914
1739209671.2045774;-45.120503652039325
1739209671.2045798;-38.13080360867914
1739209671.2045822;-45.120503652039325
1739209671.2045846;-38.13080360867914
1739209671.204587;-45.120503652039325
1739209671.2045894;-45.120503652039325
1739209671.2045918;-35.57807855764607
1739209671.204594;-38.13080360867914
1739209671.2045963;-45.120503652039325
1739209671.2045987;-38.13080360867914
1739209671.204601;-45.120503652039325
1739209671.2046034;-38.13080360867914
1739209671.2046058;-38.13080360867914
1739209671.2046082;-38.13080360867914
1739209671.2046106;-45.120503652039325
1739209671.204613;-38.13080360867914
1739209671.204615;-38.13080360867914
