CAN Message; 0x1d3:00007fb02c5fe292
Timestamp;Amplitude
1739209823.3963053;-45.120503652039325
1739209823.3963082;-45.120503652039325
1739209823.3963113;-45.120503652039325
1739209823.3963141;-38.13080360867914
1739209823.3963172;-45.120503652039325
1739209823.3963203;-45.120503652039325
1739209823.3963232;-45.120503652039325
1739209823.3963263;-38.13080360867914
1739209823.3963294;-38.13080360867914
1739209823.3963323;-38.13080360867914
1739209823.3963354;-45.120503652039325
1739209823.3963382;-33.981070128970906
1739209823.3963413;-31.141103565318915
1739209823.3963444;-45.120503652039325
1739209823.3963473;-45.120503652039325
1739209823.3963504;-35.57807855764607
1739209823.3963532;-35.57807855764607
1739209823.3963563;-38.13080360867914
1739209823.3963594;-38.13080360867914
1739209823.3963623;-38.13080360867914
1739209823.3963654;-38.13080360867914
1739209823.3963685;-33.981070128970906
1739209823.3963714;-38.13080360867914
1739209823.3963745;-45.120503652039325
1739209823.3963773;-45.120503652039325
1739209823.3963804;-45.120503652039325
1739209823.3963835;-35.57807855764607
1739209823.3963864;-45.120503652039325
1739209823.3963895;-45.120503652039325
1739209823.3963923;-38.13080360867914
1739209823.3963954;-38.13080360867914
1739209823.3963985;-33.981070128970906
1739209823.3964014;-38.13080360867914
1739209823.3964045;-45.120503652039325
1739209823.3964076;-35.57807855764607
1739209823.3964105;-35.57807855764607
1739209823.3964136;-33.981070128970906
1739209823.3964164;-38.13080360867914
1739209823.3964195;-35.57807855764607
1739209823.3964226;-38.13080360867914
1739209823.3964255;-45.120503652039325
1739209823.3964286;-45.120503652039325
1739209823.3964314;-35.57807855764607
1739209823.3964345;-38.13080360867914
1739209823.3964376;-33.981070128970956
1739209823.3964405;-38.13080360867914
1739209823.3964436;-35.57807855764607
1739209823.3964467;-38.13080360867914
1739209823.3964496;-45.120503652039325
1739209823.3964527;-45.120503652039325
1739209823.3964555;-38.13080360867914
1739209823.3964586;-38.13080360867914
1739209823.3964617;-35.57807855764607
1739209823.3964646;-45.120503652039325
1739209823.3964677;-38.13080360867914
1739209823.3964705;-45.120503652039325
1739209823.3964736;-45.120503652039325
1739209823.3964767;-38.13080360867914
1739209823.3964796;-45.120503652039325
1739209823.3964827;-35.57807855764607
1739209823.3964858;-29.438486411369333
1739209823.3964887;-38.13080360867914
1739209823.3964918;-38.13080360867914
1739209823.3964946;-38.13080360867914
1739209823.3964977;-35.57807855764607
1739209823.3965008;-38.13080360867914
1739209823.3965037;-45.120503652039325
1739209823.3965068;-45.120503652039325
1739209823.3965096;-38.13080360867914
1739209823.3965127;-38.13080360867914
1739209823.3965158;-45.120503652039325
1739209823.3965187;-45.120503652039325
1739209823.3965218;-45.120503652039325
1739209823.396525;-38.13080360867914
1739209823.3965278;-45.120503652039325
1739209823.3965309;-38.13080360867914
1739209823.3965337;-29.438486411369333
1739209823.3965368;-38.13080360867914
1739209823.39654;-45.120503652039325
1739209823.3965428;-38.13080360867914
1739209823.396546;-38.13080360867914
1739209823.3965487;-45.120503652039325
1739209823.3965518;-45.120503652039325
1739209823.396555;-45.120503652039325
1739209823.3965578;-38.13080360867914
1739209823.396561;-38.13080360867914
1739209823.396564;-45.120503652039325
1739209823.3965669;-38.13080360867914
1739209823.39657;-33.981070128970906
1739209823.3965728;-45.120503652039325
1739209823.396576;-45.120503652039325
1739209823.396579;-38.13080360867914
1739209823.396582;-45.120503652039325
1739209823.396585;-45.120503652039325
1739209823.3965878;-45.120503652039325
1739209823.396591;-45.120503652039325
1739209823.396594;-45.120503652039325
1739209823.396597;-33.981070128970906
1739209823.3966;-45.120503652039325
1739209823.396603;-38.13080360867914
1739209823.396606;-38.13080360867914
1739209823.396609;-38.13080360867914
1739209823.396612;-35.57807855764607
1739209823.396615;-38.13080360867914
1739209823.3966181;-45.120503652039325
1739209823.396621;-33.981070128970906
1739209823.396624;-32.816014438256545
1739209823.396627;-38.13080360867914
1739209823.39663;-35.57807855764607
1739209823.3966331;-38.13080360867914
1739209823.396636;-38.13080360867914
1739209823.396639;-38.13080360867914
1739209823.3966422;-38.13080360867914
1739209823.396645;-38.13080360867914
1739209823.3966482;-33.981070128970906
1739209823.396651;-38.13080360867914
1739209823.3966541;-45.120503652039325
1739209823.3966572;-38.13080360867914
1739209823.39666;-38.13080360867914
1739209823.3966632;-38.13080360867914
1739209823.396666;-45.120503652039325
1739209823.3966691;-45.120503652039325
1739209823.3966722;-35.57807855764607
1739209823.396675;-33.981070128970906
1739209823.3966782;-45.120503652039325
1739209823.3966813;-45.120503652039325
1739209823.3966842;-45.120503652039325
1739209823.3966873;-45.120503652039325
1739209823.3966901;-45.120503652039325
1739209823.3966932;-38.13080360867914
1739209823.3966963;-38.13080360867914
1739209823.3966992;-38.13080360867914
1739209823.3967023;-45.120503652039325
1739209823.3967052;-33.981070128970906
1739209823.3967083;-38.13080360867914
