CAN Message; 0x1a7:00007d0eed6a3f34
Timestamp;Amplitude
1739209870.0045495;-45.120503652039325
1739209870.0045536;-38.13080360867914
1739209870.0045576;-38.13080360867914
1739209870.0045617;-45.120503652039325
1739209870.0045657;-45.120503652039325
1739209870.0045698;-45.120503652039325
1739209870.0045738;-38.13080360867914
1739209870.0045779;-45.120503652039325
1739209870.004582;-45.120503652039325
1739209870.004586;-45.120503652039325
1739209870.00459;-45.120503652039325
1739209870.004594;-45.120503652039325
1739209870.0045981;-38.13080360867914
1739209870.0046022;-38.13080360867914
1739209870.0046062;-38.13080360867914
1739209870.0046103;-45.120503652039325
1739209870.0046144;-38.13080360867914
1739209870.0046184;-35.57807855764607
1739209870.0046225;-38.13080360867914
1739209870.0046265;-45.120503652039325
1739209870.0046306;-38.13080360867914
1739209870.0046346;-35.57807855764607
1739209870.004639;-35.57807855764607
1739209870.004643;-45.120503652039325
1739209870.004647;-45.120503652039325
1739209870.004651;-38.13080360867914
1739209870.0046551;-38.13080360867914
1739209870.0046592;-45.120503652039325
1739209870.0046632;-38.13080360867914
1739209870.0046673;-45.120503652039325
1739209870.0046713;-45.120503652039325
1739209870.0046754;-30.49652367304973
1739209870.0046794;-33.981070128970906
1739209870.0046835;-45.120503652039325
1739209870.0046875;-38.13080360867914
1739209870.0046916;-38.13080360867914
1739209870.0046957;-45.120503652039325
1739209870.0046997;-45.120503652039325
1739209870.0047038;-38.13080360867914
1739209870.0047078;-45.120503652039325
1739209870.0047119;-45.120503652039325
1739209870.004716;-45.120503652039325
1739209870.00472;-45.120503652039325
1739209870.004724;-35.57807855764607
1739209870.004728;-45.120503652039325
1739209870.0047321;-32.816014438256545
1739209870.0047362;-45.120503652039325
1739209870.0047402;-33.981070128970906
1739209870.0047443;-32.816014438256545
1739209870.0047483;-35.57807855764607
1739209870.0047524;-38.13080360867914
1739209870.0047565;-38.13080360867914
1739209870.0047605;-38.13080360867914
1739209870.0047646;-45.120503652039325
1739209870.0047686;-38.13080360867914
1739209870.0047727;-45.120503652039325
1739209870.0047767;-45.120503652039325
1739209870.0047808;-45.120503652039325
1739209870.0047848;-38.13080360867914
1739209870.0047889;-45.120503652039325
1739209870.004793;-45.120503652039325
1739209870.004797;-45.120503652039325
1739209870.004801;-45.120503652039325
1739209870.004805;-45.120503652039325
1739209870.0048091;-45.120503652039325
1739209870.0048132;-38.13080360867914
1739209870.0048175;-45.120503652039325
1739209870.0048215;-32.816014438256545
1739209870.0048256;-38.13080360867914
1739209870.0048296;-35.57807855764607
1739209870.0048337;-38.13080360867914
1739209870.0048378;-33.981070128970906
1739209870.0048418;-33.981070128970906
1739209870.0048459;-38.13080360867914
1739209870.00485;-38.13080360867914
1739209870.004854;-45.120503652039325
1739209870.004858;-38.13080360867914
1739209870.004862;-45.120503652039325
1739209870.0048661;-38.13080360867914
1739209870.0048702;-45.120503652039325
1739209870.0048742;-38.13080360867914
1739209870.0048783;-45.120503652039325
1739209870.0048823;-33.981070128970906
1739209870.0048864;-33.981070128970906
1739209870.0048904;-45.120503652039325
1739209870.0048945;-45.120503652039325
1739209870.0048985;-38.13080360867914
1739209870.0049026;-35.57807855764607
1739209870.0049067;-33.981070128970906
1739209870.0049107;-45.120503652039325
1739209870.0049148;-45.120503652039325
1739209870.0049188;-38.13080360867914
1739209870.0049229;-35.57807855764607
1739209870.004927;-45.120503652039325
1739209870.004931;-38.13080360867914
1739209870.004935;-45.120503652039325
1739209870.004939;-45.120503652039325
1739209870.0049431;-38.13080360867914
1739209870.0049472;-38.13080360867914
1739209870.0049512;-45.120503652039325
1739209870.0049553;-38.13080360867914
1739209870.0049593;-45.120503652039325
1739209870.0049634;-38.13080360867914
1739209870.0049675;-38.13080360867914
1739209870.0049715;-38.13080360867914
1739209870.0049756;-45.120503652039325
1739209870.0049796;-38.13080360867914
1739209870.0049837;-38.13080360867914
1739209870.0049877;-45.120503652039325
1739209870.0049918;-45.120503652039325
1739209870.0049958;-45.120503652039325
1739209870.005;-38.13080360867914
1739209870.0050042;-31.141103565318915
1739209870.0050082;-33.981070128970906
1739209870.0050123;-38.13080360867914
1739209870.0050163;-38.13080360867914
1739209870.0050204;-33.981070128970906
1739209870.0050244;-38.13080360867914
1739209870.0050285;-38.13080360867914
1739209870.0050325;-45.120503652039325
1739209870.0050366;-32.816014438256545
1739209870.0050406;-32.816014438256545
1739209870.0050447;-38.13080360867914
1739209870.0050488;-45.120503652039325
1739209870.0050528;-32.816014438256545
1739209870.0050569;-38.13080360867914
1739209870.005061;-38.13080360867914
1739209870.005065;-35.57807855764607
1739209870.005069;-45.120503652039325
1739209870.005073;-45.120503652039325
1739209870.0050771;-45.120503652039325
1739209870.0050812;-38.13080360867914
1739209870.0050852;-38.13080360867914
1739209870.0050893;-45.120503652039325
1739209870.0050933;-38.13080360867914
1739209870.0050974;-38.13080360867914
1739209870.0051014;-31.141103565318915
1739209870.0051055;-32.816014438256545
1739209870.0051095;-38.13080360867914
1739209870.0051136;-38.13080360867914
1739209870.0051177;-35.57807855764607
1739209870.0051217;-32.816014438256545
1739209870.0051258;-38.13080360867914
1739209870.0051298;-45.120503652039325
1739209870.0051339;-38.13080360867914
1739209870.005138;-35.57807855764607
1739209870.005142;-38.13080360867914
1739209870.005146;-45.120503652039325
1739209870.00515;-45.120503652039325
1739209870.0051541;-45.120503652039325
1739209870.0051582;-45.120503652039325
1739209870.0051622;-45.120503652039325
1739209870.0051663;-45.120503652039325
1739209870.0051703;-45.120503652039325
1739209870.0051744;-38.13080360867914
1739209870.0051787;-35.57807855764607
1739209870.0051827;-38.13080360867914
1739209870.0051868;-45.120503652039325
1739209870.0051908;-38.13080360867914
1739209870.005195;-38.13080360867914
1739209870.005199;-31.141103565318915
1739209870.005203;-38.13080360867914
1739209870.005207;-45.120503652039325
1739209870.005211;-45.120503652039325
1739209870.0052152;-45.120503652039325
1739209870.0052192;-35.57807855764607
1739209870.0052233;-45.120503652039325
1739209870.0052273;-45.120503652039325
1739209870.0052314;-45.120503652039325
1739209870.0052354;-38.13080360867914
1739209870.0052395;-38.13080360867914
1739209870.0052435;-45.120503652039325
1739209870.0052476;-33.981070128970906
1739209870.0052516;-45.120503652039325
1739209870.0052557;-38.13080360867914
1739209870.0052598;-45.120503652039325
1739209870.0052638;-35.57807855764607
1739209870.0052679;-31.141103565318893
1739209870.005272;-38.13080360867914
1739209870.005276;-45.120503652039325
1739209870.00528;-38.13080360867914
1739209870.005284;-45.120503652039325
1739209870.0052881;-45.120503652039325
1739209870.0052922;-45.120503652039325
1739209870.0052962;-45.120503652039325
1739209870.0053003;-45.120503652039325
1739209870.0053043;-45.120503652039325
1739209870.0053084;-45.120503652039325
1739209870.0053124;-45.120503652039325
1739209870.0053165;-45.120503652039325
1739209870.0053205;-38.13080360867914
1739209870.0053246;-45.120503652039325
1739209870.0053287;-35.57807855764607
1739209870.0053327;-32.816014438256545
1739209870.0053368;-38.13080360867914
1739209870.0053408;-45.120503652039325
1739209870.0053449;-38.13080360867914
1739209870.005349;-35.57807855764607
1739209870.005353;-38.13080360867914
1739209870.005357;-35.57807855764607
1739209870.0053613;-38.13080360867914
1739209870.0053654;-45.120503652039325
1739209870.0053694;-45.120503652039325
1739209870.0053735;-45.120503652039325
1739209870.0053775;-45.120503652039325
1739209870.0053816;-45.120503652039325
1739209870.0053856;-38.13080360867914
1739209870.0053897;-45.120503652039325
1739209870.0053937;-38.13080360867914
1739209870.0053978;-45.120503652039325
1739209870.0054018;-38.13080360867914
1739209870.005406;-38.13080360867914
1739209870.00541;-33.981070128970906
1739209870.005414;-38.13080360867914
1739209870.005418;-45.120503652039325
1739209870.005422;-45.120503652039325
1739209870.0054262;-38.13080360867914
1739209870.0054302;-28.21854285175415
1739209870.0054343;-38.13080360867914
1739209870.0054383;-45.120503652039325
1739209870.0054424;-45.120503652039325
1739209870.0054464;-45.120503652039325
1739209870.0054505;-45.120503652039325
1739209870.0054545;-45.120503652039325
1739209870.0054586;-45.120503652039325
1739209870.0054626;-31.141103565318943
1739209870.0054667;-38.13080360867914
1739209870.0054708;-32.816014438256545
1739209870.0054748;-38.13080360867914
1739209870.0054789;-45.120503652039325
1739209870.005483;-45.120503652039325
1739209870.005487;-45.120503652039325
1739209870.005491;-45.120503652039325
1739209870.005495;-27.8777449560314
1739209870.0054991;-33.981070128970906
1739209870.0055032;-45.120503652039325
1739209870.0055072;-38.13080360867914
1739209870.0055113;-32.816014438256545
1739209870.0055153;-38.13080360867914
1739209870.0055194;-45.120503652039325
1739209870.0055234;-38.13080360867914
1739209870.0055275;-45.120503652039325
1739209870.0055315;-45.120503652039325
1739209870.0055356;-45.120503652039325
1739209870.00554;-45.120503652039325
1739209870.005544;-45.120503652039325
1739209870.005548;-45.120503652039325
1739209870.005552;-38.13080360867914
1739209870.005556;-45.120503652039325
1739209870.0055602;-45.120503652039325
1739209870.0055642;-38.13080360867914
1739209870.0055683;-38.13080360867914
1739209870.0055723;-45.120503652039325
1739209870.0055764;-33.981070128970906
1739209870.0055804;-45.120503652039325
1739209870.0055845;-38.13080360867914
1739209870.0055885;-45.120503652039325
1739209870.0055926;-30.49652367304973
1739209870.0055966;-31.141103565318915
1739209870.0056007;-45.120503652039325
1739209870.0056047;-38.13080360867914
1739209870.0056088;-35.57807855764607
1739209870.0056129;-35.57807855764607
