CAN Message; 0x1a7:0000e0bc38968105
Timestamp;Amplitude
1739209706.3225138;-30.49652367304976
1739209706.322516;-38.13080360867914
1739209706.322518;-38.13080360867914
1739209706.3225203;-33.981070128970906
1739209706.3225224;-30.49652367304973
1739209706.3225245;-33.981070128970906
1739209706.3225267;-45.120503652039325
1739209706.322529;-31.141103565318915
1739209706.3225312;-38.13080360867914
1739209706.3225334;-45.120503652039325
1739209706.3225355;-31.141103565318915
1739209706.3225377;-45.120503652039325
1739209706.3225398;-33.981070128970906
1739209706.322542;-45.120503652039325
1739209706.3225443;-28.992665084841942
1739209706.3225465;-26.991370085610736
1739209706.3225486;-33.981070128970906
1739209706.3225508;-33.981070128970906
1739209706.322553;-38.13080360867914
1739209706.322555;-28.992665084841942
1739209706.3225572;-26.991370085610736
1739209706.3225596;-33.981070128970906
1739209706.3225617;-26.991370085610747
1739209706.322564;-26.487275050834715
1739209706.322566;-24.15140352195872
1739209706.3225682;-25.826314394896364
1739209706.3225703;-31.141103565318943
1739209706.3225725;-26.991370085610722
1739209706.3225749;-30.49652367304973
1739209706.322577;-27.267205301931607
1739209706.3225791;-33.981070128970906
1739209706.3225813;-31.141103565318943
1739209706.3225834;-25.62660358559016
1739209706.3225856;-31.141103565318915
1739209706.3225877;-31.141103565318893
1739209706.32259;-38.13080360867914
1739209706.3225923;-31.141103565318915
1739209706.3225944;-28.58837851428586
1739209706.3225965;-45.120503652039325
1739209706.3225987;-31.141103565318915
1739209706.3226008;-33.981070128970906
1739209706.322603;-38.13080360867914
1739209706.3226054;-28.58837851428586
1739209706.3226075;-26.991370085610736
1739209706.3226097;-29.438486411369347
1739209706.3226118;-28.992665084841942
1739209706.322614;-28.58837851428586
1739209706.322616;-31.14110356531892
1739209706.3226182;-45.120503652039325
1739209706.3226206;-28.21854285175415
1739209706.3226228;-45.120503652039325
1739209706.322625;-28.58837851428586
1739209706.322627;-29.438486411369333
1739209706.3226292;-45.120503652039325
1739209706.3226314;-32.816014438256545
1739209706.3226335;-31.141103565318893
1739209706.322636;-28.992665084841942
1739209706.322638;-45.120503652039325
1739209706.3226402;-45.120503652039325
1739209706.3226423;-38.13080360867914
1739209706.3226445;-45.120503652039325
1739209706.3226466;-28.992665084841967
1739209706.3226488;-33.981070128970956
1739209706.3226511;-25.62660358559016
1739209706.3226533;-28.992665084841942
1739209706.3226554;-45.120503652039325
1739209706.3226576;-27.8777449560314
1739209706.3226597;-45.120503652039325
1739209706.3226619;-31.141103565318915
1739209706.322664;-22.002965041481755
1739209706.3226664;-45.120503652039325
1739209706.3226686;-33.981070128970956
1739209706.3226707;-31.14110356531892
1739209706.3226728;-33.981070128970906
1739209706.322675;-35.57807855764607
1739209706.3226771;-38.13080360867914
1739209706.3226793;-29.438486411369333
1739209706.3226817;-45.120503652039325
1739209706.3226838;-25.826314394896357
1739209706.322686;-27.8777449560314
1739209706.322688;-28.58837851428586
1739209706.3226902;-29.438486411369354
1739209706.3226924;-45.120503652039325
1739209706.3226945;-45.120503652039325
1739209706.322697;-32.81601443825658
1739209706.322699;-30.49652367304973
1739209706.3227012;-33.981070128970956
1739209706.3227034;-25.62660358559016
1739209706.3227055;-26.991370085610736
1739209706.3227077;-28.21854285175415
1739209706.3227098;-27.267205301931607
1739209706.3227122;-38.13080360867914
1739209706.3227143;-28.21854285175415
1739209706.3227165;-38.13080360867914
1739209706.3227186;-26.991370085610747
1739209706.3227208;-32.816014438256545
1739209706.322723;-25.62660358559016
