CAN Message; 0x150:07000e59e153485f
Timestamp;Amplitude
1739209761.9962418;-45.120503652039325
1739209761.996248;-45.120503652039325
1739209761.9962544;-45.120503652039325
1739209761.9962606;-45.120503652039325
1739209761.996267;-33.981070128970906
1739209761.9962733;-45.120503652039325
1739209761.9962797;-45.120503652039325
1739209761.996286;-45.120503652039325
1739209761.9962924;-33.981070128970906
1739209761.9962986;-38.13080360867914
1739209761.996305;-38.13080360867914
1739209761.9963112;-38.13080360867914
1739209761.9963176;-45.120503652039325
1739209761.9963238;-45.120503652039325
1739209761.9963303;-45.120503652039325
1739209761.9963365;-45.120503652039325
1739209761.996343;-45.120503652039325
1739209761.996349;-38.13080360867914
1739209761.9963555;-45.120503652039325
1739209761.9963617;-45.120503652039325
1739209761.9963682;-38.13080360867914
1739209761.9963744;-38.13080360867914
1739209761.9963808;-38.13080360867914
1739209761.996387;-45.120503652039325
1739209761.9963934;-38.13080360867914
1739209761.9963996;-38.13080360867914
1739209761.996406;-45.120503652039325
1739209761.9964123;-45.120503652039325
1739209761.9964187;-45.120503652039325
1739209761.996425;-45.120503652039325
1739209761.9964314;-45.120503652039325
1739209761.9964375;-45.120503652039325
1739209761.996444;-45.120503652039325
1739209761.9964502;-45.120503652039325
1739209761.9964566;-45.120503652039325
1739209761.9964628;-45.120503652039325
1739209761.9964693;-45.120503652039325
1739209761.9964755;-38.13080360867914
1739209761.996482;-45.120503652039325
1739209761.996488;-45.120503652039325
1739209761.9964945;-38.13080360867914
1739209761.9965007;-38.13080360867914
1739209761.9965072;-45.120503652039325
1739209761.9965134;-38.13080360867914
1739209761.9965198;-38.13080360867914
1739209761.996526;-38.13080360867914
1739209761.9965324;-45.120503652039325
1739209761.9965386;-45.120503652039325
1739209761.996545;-38.13080360867914
1739209761.9965513;-38.13080360867914
1739209761.9965577;-45.120503652039325
1739209761.996564;-38.13080360867914
1739209761.9965703;-45.120503652039325
1739209761.9965765;-45.120503652039325
1739209761.996583;-45.120503652039325
1739209761.9965892;-45.120503652039325
1739209761.9965956;-38.13080360867914
1739209761.9966018;-45.120503652039325
1739209761.9966083;-38.13080360867914
1739209761.9966145;-45.120503652039325
1739209761.996621;-45.120503652039325
1739209761.996627;-28.992665084841942
1739209761.9966335;-32.816014438256545
1739209761.9966397;-38.13080360867914
1739209761.9966462;-45.120503652039325
1739209761.9966524;-33.981070128970906
1739209761.9966588;-35.57807855764607
1739209761.996665;-38.13080360867914
1739209761.9966714;-45.120503652039325
1739209761.9966776;-38.13080360867914
1739209761.996684;-38.13080360867914
1739209761.9966903;-38.13080360867914
1739209761.9966967;-45.120503652039325
1739209761.9967031;-45.120503652039325
1739209761.9967093;-38.13080360867914
1739209761.9967158;-38.13080360867914
1739209761.996722;-45.120503652039325
1739209761.9967284;-38.13080360867914
1739209761.9967346;-32.816014438256545
1739209761.996741;-45.120503652039325
1739209761.9967473;-45.120503652039325
1739209761.9967537;-33.981070128970906
1739209761.99676;-45.120503652039325
