CAN Message; 0x39:0ab806eee690af7c
Timestamp;Amplitude
1739209586.658149;-35.57807855764607
1739209586.6581552;-45.120503652039325
1739209586.6581612;-45.120503652039325
1739209586.6581674;-45.120503652039325
1739209586.6581733;-38.13080360867914
1739209586.6581795;-45.120503652039325
1739209586.6581855;-33.981070128970906
1739209586.6581917;-28.992665084841942
1739209586.6581976;-45.120503652039325
1739209586.6582038;-45.120503652039325
1739209586.6582098;-38.13080360867914
1739209586.658216;-38.13080360867914
1739209586.658222;-38.13080360867914
1739209586.6582282;-38.13080360867914
1739209586.6582341;-38.13080360867914
1739209586.6582403;-38.13080360867914
1739209586.6582463;-38.13080360867914
1739209586.6582525;-38.13080360867914
1739209586.6582584;-38.13080360867914
1739209586.6582646;-38.13080360867914
1739209586.6582706;-38.13080360867914
1739209586.6582768;-45.120503652039325
1739209586.6582828;-38.13080360867914
1739209586.658289;-38.13080360867914
1739209586.658295;-45.120503652039325
1739209586.658301;-45.120503652039325
1739209586.658307;-45.120503652039325
1739209586.6583133;-38.13080360867914
1739209586.6583192;-38.13080360867914
1739209586.6583254;-45.120503652039325
1739209586.6583314;-32.816014438256545
1739209586.6583376;-32.816014438256545
1739209586.6583436;-45.120503652039325
1739209586.6583498;-35.57807855764607
1739209586.6583557;-38.13080360867914
1739209586.658362;-38.13080360867914
1739209586.6583679;-45.120503652039325
1739209586.658374;-38.13080360867914
1739209586.65838;-38.13080360867914
1739209586.6583862;-33.981070128970956
1739209586.6583922;-38.13080360867914
1739209586.6583984;-38.13080360867914
1739209586.6584044;-45.120503652039325
1739209586.6584105;-38.13080360867914
1739209586.6584165;-32.816014438256545
1739209586.6584227;-38.13080360867914
1739209586.6584287;-35.57807855764607
1739209586.6584349;-26.991370085610722
1739209586.6584408;-45.120503652039325
1739209586.658447;-38.13080360867914
1739209586.658453;-38.13080360867914
1739209586.6584592;-32.816014438256545
1739209586.6584651;-38.13080360867914
1739209586.6584713;-35.57807855764607
1739209586.6584773;-35.57807855764607
1739209586.6584835;-33.981070128970956
1739209586.6584895;-45.120503652039325
1739209586.6584957;-32.816014438256545
1739209586.6585016;-38.13080360867914
1739209586.6585078;-45.120503652039325
1739209586.6585138;-38.13080360867914
1739209586.65852;-35.57807855764607
1739209586.658526;-38.13080360867914
1739209586.6585321;-28.58837851428586
1739209586.658538;-45.120503652039325
1739209586.6585443;-45.120503652039325
1739209586.6585503;-35.57807855764607
1739209586.6585565;-45.120503652039325
1739209586.6585624;-38.13080360867914
1739209586.6585686;-35.57807855764607
1739209586.6585746;-38.13080360867914
1739209586.6585808;-45.120503652039325
1739209586.6585867;-45.120503652039325
1739209586.6585927;-33.981070128970906
1739209586.658599;-38.13080360867914
1739209586.6586049;-45.120503652039325
1739209586.658611;-38.13080360867914
1739209586.658617;-45.120503652039325
1739209586.6586232;-38.13080360867914
1739209586.6586292;-45.120503652039325
1739209586.6586354;-38.13080360867914
1739209586.6586413;-45.120503652039325
1739209586.6586475;-45.120503652039325
1739209586.6586535;-45.120503652039325
1739209586.6586597;-38.13080360867914
1739209586.6586657;-35.57807855764607
1739209586.6586719;-38.13080360867914
1739209586.6586778;-35.57807855764607
1739209586.658684;-38.13080360867914
1739209586.65869;-38.13080360867914
1739209586.6586962;-38.13080360867914
1739209586.6587021;-35.57807855764607
1739209586.6587083;-38.13080360867914
1739209586.6587143;-38.13080360867914
1739209586.6587205;-35.57807855764607
1739209586.6587265;-45.120503652039325
1739209586.6587327;-38.13080360867914
1739209586.6587386;-38.13080360867914
1739209586.6587448;-45.120503652039325
1739209586.6587508;-45.120503652039325
1739209586.658757;-33.981070128970906
1739209586.658763;-45.120503652039325
1739209586.6587691;-45.120503652039325
1739209586.658775;-35.57807855764607
1739209586.6587813;-38.13080360867914
1739209586.6587873;-45.120503652039325
1739209586.6587934;-38.13080360867914
1739209586.6587994;-45.120503652039325
1739209586.6588056;-38.13080360867914
1739209586.6588116;-38.13080360867914
1739209586.6588178;-32.816014438256545
1739209586.6588237;-45.120503652039325
1739209586.65883;-45.120503652039325
1739209586.658836;-45.120503652039325
1739209586.658842;-45.120503652039325
1739209586.658848;-38.13080360867914
1739209586.6588542;-38.13080360867914
1739209586.6588602;-45.120503652039325
1739209586.6588664;-45.120503652039325
1739209586.6588724;-38.13080360867914
1739209586.6588786;-38.13080360867914
1739209586.6588845;-45.120503652039325
1739209586.6588907;-45.120503652039325
1739209586.6588967;-45.120503652039325
1739209586.658903;-45.120503652039325
1739209586.6589088;-45.120503652039325
1739209586.658915;-38.13080360867914
1739209586.658921;-38.13080360867914
1739209586.6589272;-38.13080360867914
1739209586.6589332;-38.13080360867914
1739209586.6589394;-35.57807855764607
1739209586.6589453;-45.120503652039325
1739209586.6589515;-38.13080360867914
1739209586.6589575;-45.120503652039325
1739209586.6589637;-45.120503652039325
1739209586.6589696;-45.120503652039325
1739209586.6589758;-33.981070128970906
1739209586.6589818;-45.120503652039325
1739209586.658988;-45.120503652039325
1739209586.658994;-45.120503652039325
1739209586.6590002;-38.13080360867914
1739209586.659006;-45.120503652039325
1739209586.6590123;-45.120503652039325
1739209586.6590183;-45.120503652039325
1739209586.6590245;-45.120503652039325
1739209586.6590304;-38.13080360867914
1739209586.6590364;-38.13080360867914
1739209586.6590426;-45.120503652039325
1739209586.6590486;-45.120503652039325
1739209586.6590548;-45.120503652039325
1739209586.6590607;-45.120503652039325
1739209586.659067;-45.120503652039325
1739209586.6590729;-38.13080360867914
1739209586.659079;-45.120503652039325
1739209586.659085;-45.120503652039325
1739209586.6590912;-45.120503652039325
1739209586.6590972;-33.981070128970906
1739209586.6591034;-38.13080360867914
1739209586.6591094;-35.57807855764607
1739209586.6591156;-38.13080360867914
1739209586.6591215;-38.13080360867914
1739209586.6591277;-38.13080360867914
1739209586.6591337;-38.13080360867914
1739209586.6591399;-45.120503652039325
1739209586.6591458;-38.13080360867914
1739209586.659152;-38.13080360867914
1739209586.659158;-38.13080360867914
1739209586.6591642;-45.120503652039325
1739209586.6591702;-38.13080360867914
1739209586.6591763;-38.13080360867914
1739209586.6591823;-38.13080360867914
1739209586.6591885;-38.13080360867914
1739209586.6591945;-38.13080360867914
1739209586.6592007;-45.120503652039325
1739209586.6592066;-45.120503652039325
1739209586.6592128;-38.13080360867914
1739209586.6592188;-45.120503652039325
1739209586.659225;-33.981070128970906
1739209586.659231;-35.57807855764607
1739209586.6592371;-38.13080360867914
1739209586.659243;-45.120503652039325
1739209586.6592493;-35.57807855764607
1739209586.6592553;-35.57807855764607
1739209586.6592615;-45.120503652039325
1739209586.6592674;-31.141103565318915
1739209586.6592736;-31.141103565318915
1739209586.6592796;-38.13080360867914
1739209586.6592858;-38.13080360867914
1739209586.6592917;-38.13080360867914
1739209586.659298;-38.13080360867914
1739209586.659304;-45.120503652039325
1739209586.65931;-45.120503652039325
1739209586.659316;-33.981070128970906
1739209586.6593223;-35.57807855764607
1739209586.6593282;-45.120503652039325
1739209586.6593344;-38.13080360867914
1739209586.6593404;-45.120503652039325
1739209586.6593466;-33.981070128970906
1739209586.6593525;-38.13080360867914
1739209586.6593587;-45.120503652039325
1739209586.6593647;-33.981070128970906
1739209586.659371;-31.141103565318915
1739209586.6593769;-45.120503652039325
1739209586.659383;-45.120503652039325
1739209586.659389;-45.120503652039325
1739209586.6593952;-45.120503652039325
1739209586.6594012;-45.120503652039325
1739209586.6594074;-45.120503652039325
1739209586.6594133;-45.120503652039325
1739209586.6594195;-38.13080360867914
1739209586.6594255;-45.120503652039325
1739209586.6594317;-38.13080360867914
1739209586.6594377;-45.120503652039325
1739209586.6594439;-45.120503652039325
1739209586.6643684;-38.13080360867914
1739209586.6643698;-45.120503652039325
1739209586.6643713;-38.13080360867914
1739209586.6643727;-35.57807855764607
1739209586.664374;-38.13080360867914
1739209586.6643755;-45.120503652039325
1739209586.664377;-45.120503652039325
1739209586.6643782;-45.120503652039325
1739209586.6643796;-38.13080360867914
1739209586.664381;-45.120503652039325
1739209586.6643825;-38.13080360867914
1739209586.664384;-45.120503652039325
1739209586.6643853;-45.120503652039325
1739209586.6643867;-38.13080360867914
1739209586.6643882;-38.13080360867914
1739209586.6643896;-38.13080360867914
1739209586.664391;-33.981070128970906
1739209586.6643925;-38.13080360867914
1739209586.664394;-45.120503652039325
1739209586.6643953;-38.13080360867914
1739209586.6643968;-35.57807855764607
1739209586.664398;-35.57807855764607
1739209586.6643994;-38.13080360867914
1739209586.6644008;-38.13080360867914
1739209586.6644022;-35.57807855764607
1739209586.6644037;-45.120503652039325
1739209586.664405;-45.120503652039325
