CAN Message; 0x24:05ebc59aabfbf613
Timestamp;Amplitude
1739209784.0592284;-38.13080360867914
1739209784.059236;-35.57807855764607
1739209784.0592434;-38.13080360867914
1739209784.059251;-38.13080360867914
1739209784.0592587;-31.141103565318915
1739209784.0592663;-38.13080360867914
1739209784.059274;-45.120503652039325
1739209784.0592813;-45.120503652039325
1739209784.059289;-35.57807855764607
1739209784.0592966;-35.57807855764607
1739209784.0593042;-38.13080360867914
1739209784.0593119;-45.120503652039325
1739209784.0593195;-35.57807855764607
1739209784.059327;-35.57807855764607
1739209784.0593345;-38.13080360867914
1739209784.0593421;-45.120503652039325
1739209784.0593498;-38.13080360867914
1739209784.0593574;-35.57807855764607
1739209784.0593648;-38.13080360867914
1739209784.0593724;-45.120503652039325
1739209784.05938;-33.981070128970906
1739209784.0593877;-38.13080360867914
1739209784.0593953;-45.120503652039325
1739209784.0594027;-45.120503652039325
1739209784.0594103;-38.13080360867914
1739209784.059418;-38.13080360867914
1739209784.0594256;-38.13080360867914
1739209784.0594332;-38.13080360867914
1739209784.0594409;-38.13080360867914
1739209784.0594482;-45.120503652039325
1739209784.0594559;-45.120503652039325
1739209784.0594635;-45.120503652039325
1739209784.0594711;-33.981070128970906
1739209784.0594788;-45.120503652039325
1739209784.0594862;-35.57807855764607
1739209784.0594938;-35.57807855764607
1739209784.0595014;-45.120503652039325
1739209784.059509;-45.120503652039325
1739209784.0595167;-38.13080360867914
1739209784.059524;-38.13080360867914
1739209784.0595317;-31.141103565318915
1739209784.0595393;-45.120503652039325
1739209784.059547;-38.13080360867914
1739209784.0595546;-38.13080360867914
1739209784.059562;-38.13080360867914
1739209784.0595696;-45.120503652039325
1739209784.0595772;-45.120503652039325
1739209784.0595849;-33.981070128970906
1739209784.0595925;-31.14110356531892
1739209784.0596;-45.120503652039325
1739209784.0596075;-33.981070128970906
1739209784.0596151;-38.13080360867914
1739209784.0596228;-38.13080360867914
1739209784.0596304;-45.120503652039325
1739209784.059638;-45.120503652039325
1739209784.0596454;-38.13080360867914
1739209784.059653;-31.141103565318915
1739209784.0596607;-38.13080360867914
1739209784.0596683;-45.120503652039325
1739209784.059676;-45.120503652039325
1739209784.0596833;-38.13080360867914
1739209784.059691;-38.13080360867914
1739209784.0596986;-38.13080360867914
1739209784.0597062;-45.120503652039325
1739209784.0597138;-38.13080360867914
1739209784.0597212;-45.120503652039325
1739209784.0597289;-38.13080360867914
1739209784.0597365;-38.13080360867914
1739209784.0597441;-45.120503652039325
1739209784.0597517;-38.13080360867914
1739209784.0597594;-38.13080360867914
1739209784.0597668;-45.120503652039325
1739209784.0597744;-33.981070128970906
1739209784.059782;-35.57807855764607
1739209784.0597897;-45.120503652039325
1739209784.0597973;-45.120503652039325
1739209784.0598047;-33.981070128970906
1739209784.0598123;-45.120503652039325
1739209784.05982;-45.120503652039325
1739209784.0598276;-45.120503652039325
1739209784.0598352;-33.981070128970906
1739209784.0598426;-32.816014438256545
1739209784.0598502;-45.120503652039325
1739209784.0598578;-45.120503652039325
1739209784.0598655;-33.981070128970906
1739209784.059873;-38.13080360867914
1739209784.0598807;-38.13080360867914
1739209784.0598881;-33.981070128970906
1739209784.0598958;-38.13080360867914
1739209784.0599034;-38.13080360867914
1739209784.059911;-38.13080360867914
1739209784.0599186;-45.120503652039325
1739209784.059926;-38.13080360867914
1739209784.0599337;-38.13080360867914
1739209784.0599413;-38.13080360867914
1739209784.059949;-45.120503652039325
1739209784.0599566;-28.992665084841942
1739209784.059964;-32.816014438256545
1739209784.0599716;-45.120503652039325
1739209784.0599792;-45.120503652039325
1739209784.0599868;-35.57807855764607
1739209784.0599945;-38.13080360867914
1739209784.0600019;-45.120503652039325
1739209784.0600095;-35.57807855764607
1739209784.060017;-45.120503652039325
1739209784.0600247;-38.13080360867914
1739209784.0600324;-33.981070128970906
1739209784.06004;-38.13080360867914
1739209784.0600474;-38.13080360867914
1739209784.060055;-35.57807855764607
1739209784.0600626;-33.981070128970906
1739209784.0600703;-45.120503652039325
1739209784.060078;-32.816014438256545
1739209784.0600853;-30.49652367304973
1739209784.060093;-45.120503652039325
1739209784.0601006;-45.120503652039325
1739209784.0601082;-38.13080360867914
