CAN Message; 0x98:00007805fe6d2b9c
Timestamp;Amplitude
1739209738.0034902;-45.120503652039325
1739209738.003497;-45.120503652039325
1739209738.0035036;-38.13080360867914
1739209738.0035102;-38.13080360867914
1739209738.003517;-45.120503652039325
1739209738.0035236;-38.13080360867914
1739209738.0035303;-32.816014438256545
1739209738.003537;-38.13080360867914
1739209738.0035436;-38.13080360867914
1739209738.0035503;-38.13080360867914
1739209738.003557;-32.816014438256545
1739209738.0035636;-38.13080360867914
1739209738.0035703;-45.120503652039325
1739209738.003577;-45.120503652039325
1739209738.0035837;-38.13080360867914
1739209738.0035903;-38.13080360867914
1739209738.003597;-45.120503652039325
1739209738.0036037;-38.13080360867914
1739209738.0036104;-35.57807855764607
1739209738.003617;-45.120503652039325
1739209738.0036237;-45.120503652039325
1739209738.0036304;-45.120503652039325
1739209738.003637;-45.120503652039325
1739209738.0036438;-38.13080360867914
1739209738.0036504;-35.57807855764607
1739209738.003657;-32.816014438256545
1739209738.0036638;-38.13080360867914
1739209738.0036705;-45.120503652039325
1739209738.0036771;-38.13080360867914
1739209738.0036838;-38.13080360867914
1739209738.0036905;-28.58837851428586
1739209738.0036972;-35.57807855764607
1739209738.0037038;-38.13080360867914
1739209738.0037105;-38.13080360867914
1739209738.0037172;-33.981070128970906
1739209738.0037239;-45.120503652039325
1739209738.0037305;-45.120503652039325
1739209738.0037372;-33.981070128970906
1739209738.003744;-33.981070128970956
1739209738.0037508;-38.13080360867914
1739209738.0037575;-32.816014438256545
1739209738.0037642;-45.120503652039325
1739209738.0037708;-45.120503652039325
1739209738.0037775;-45.120503652039325
1739209738.0037842;-45.120503652039325
1739209738.0037909;-38.13080360867914
1739209738.0037975;-33.981070128970906
1739209738.0038042;-38.13080360867914
1739209738.003811;-45.120503652039325
1739209738.0038176;-38.13080360867914
1739209738.0038242;-38.13080360867914
1739209738.003831;-38.13080360867914
1739209738.0038376;-38.13080360867914
1739209738.0038443;-45.120503652039325
1739209738.003851;-38.13080360867914
1739209738.0038576;-38.13080360867914
1739209738.0038643;-38.13080360867914
1739209738.003871;-45.120503652039325
1739209738.0038776;-45.120503652039325
1739209738.0038843;-45.120503652039325
1739209738.003891;-45.120503652039325
