CAN Message; 0x1a7:0000d1bcdf5e19a7
Timestamp;Amplitude
1739209686.6621659;-45.120503652039325
1739209686.6621685;-45.120503652039325
1739209686.6621711;-38.13080360867914
1739209686.6621735;-45.120503652039325
1739209686.6621761;-38.13080360867914
1739209686.6621788;-33.981070128970906
1739209686.6621814;-45.120503652039325
1739209686.662184;-38.13080360867914
1739209686.6621864;-38.13080360867914
1739209686.662189;-38.13080360867914
1739209686.6621916;-45.120503652039325
1739209686.6621943;-33.981070128970906
1739209686.6621969;-45.120503652039325
1739209686.6621993;-45.120503652039325
1739209686.662202;-33.981070128970906
1739209686.6622045;-38.13080360867914
1739209686.6622071;-45.120503652039325
1739209686.6622095;-45.120503652039325
1739209686.6622121;-45.120503652039325
1739209686.6622148;-45.120503652039325
1739209686.6622174;-45.120503652039325
1739209686.66222;-45.120503652039325
1739209686.6622224;-45.120503652039325
1739209686.662225;-38.13080360867914
1739209686.6622276;-45.120503652039325
1739209686.6622303;-45.120503652039325
1739209686.6622329;-32.816014438256545
1739209686.6622353;-32.816014438256545
1739209686.662238;-45.120503652039325
1739209686.6622405;-38.13080360867914
1739209686.6622431;-38.13080360867914
1739209686.6622458;-28.992665084841942
1739209686.6622481;-38.13080360867914
1739209686.6622508;-45.120503652039325
1739209686.6622534;-45.120503652039325
1739209686.662256;-33.981070128970906
1739209686.6622586;-45.120503652039325
1739209686.662261;-45.120503652039325
1739209686.6622636;-35.57807855764607
1739209686.6622663;-45.120503652039325
1739209686.6622689;-38.13080360867914
1739209686.6622715;-38.13080360867914
1739209686.662274;-38.13080360867914
1739209686.6622765;-45.120503652039325
1739209686.6622791;-45.120503652039325
1739209686.6622818;-45.120503652039325
1739209686.6622844;-45.120503652039325
1739209686.6622868;-38.13080360867914
1739209686.6622894;-45.120503652039325
1739209686.662292;-45.120503652039325
1739209686.6622946;-38.13080360867914
1739209686.6622972;-33.981070128970906
1739209686.6622996;-38.13080360867914
1739209686.6623023;-45.120503652039325
1739209686.6623049;-33.981070128970906
1739209686.6623075;-27.267205301931607
1739209686.66231;-33.981070128970906
1739209686.6623125;-45.120503652039325
1739209686.6623151;-32.816014438256545
1739209686.6623178;-30.49652367304973
1739209686.6623204;-38.13080360867914
1739209686.6623228;-38.13080360867914
1739209686.6623254;-31.141103565318915
1739209686.662328;-33.981070128970906
1739209686.6623306;-45.120503652039325
1739209686.6623333;-38.13080360867914
1739209686.6623356;-38.13080360867914
1739209686.6623383;-45.120503652039325
1739209686.6623409;-45.120503652039325
1739209686.6623435;-45.120503652039325
1739209686.6623461;-32.816014438256545
1739209686.6623485;-31.141103565318915
1739209686.6623511;-45.120503652039325
1739209686.6623538;-45.120503652039325
1739209686.6623564;-45.120503652039325
1739209686.662359;-45.120503652039325
1739209686.6623614;-45.120503652039325
1739209686.662364;-45.120503652039325
1739209686.6623666;-33.981070128970906
1739209686.6623693;-28.992665084841942
1739209686.6623719;-33.981070128970906
1739209686.6623743;-38.13080360867914
1739209686.6623769;-38.13080360867914
1739209686.6623795;-38.13080360867914
1739209686.6623821;-45.120503652039325
1739209686.6623847;-45.120503652039325
1739209686.6623871;-35.57807855764607
1739209686.6623898;-31.141103565318915
1739209686.6623924;-33.981070128970906
1739209686.662395;-45.120503652039325
1739209686.6623976;-38.13080360867914
1739209686.6624;-38.13080360867914
1739209686.6624026;-45.120503652039325
1739209686.6624053;-45.120503652039325
1739209686.6624079;-38.13080360867914
1739209686.6624103;-33.981070128970906
1739209686.662413;-33.981070128970906
1739209686.6624155;-38.13080360867914
1739209686.6624181;-38.13080360867914
1739209686.6624207;-33.981070128970906
1739209686.6624231;-38.13080360867914
1739209686.6624258;-38.13080360867914
1739209686.6624284;-32.816014438256545
1739209686.662431;-33.981070128970906
1739209686.6624336;-33.981070128970906
1739209686.662436;-45.120503652039325
1739209686.6624386;-33.981070128970906
1739209686.6624413;-38.13080360867914
1739209686.6624439;-45.120503652039325
1739209686.6624465;-45.120503652039325
1739209686.662449;-38.13080360867914
1739209686.6624515;-38.13080360867914
1739209686.6624541;-38.13080360867914
1739209686.6624568;-45.120503652039325
1739209686.6624594;-35.57807855764607
1739209686.6624618;-35.57807855764607
1739209686.6624644;-38.13080360867914
1739209686.662467;-45.120503652039325
1739209686.6624696;-45.120503652039325
1739209686.6624722;-45.120503652039325
1739209686.6624746;-45.120503652039325
1739209686.6624773;-45.120503652039325
1739209686.6624799;-33.981070128970906
1739209686.6624825;-38.13080360867914
1739209686.6624851;-38.13080360867914
1739209686.6624875;-38.13080360867914
1739209686.6624901;-45.120503652039325
1739209686.6624928;-45.120503652039325
1739209686.6624954;-38.13080360867914
1739209686.662498;-45.120503652039325
1739209686.6625004;-45.120503652039325
1739209686.662503;-38.13080360867914
1739209686.6625056;-45.120503652039325
1739209686.6625082;-45.120503652039325
1739209686.6625109;-35.57807855764607
1739209686.6625133;-38.13080360867914
1739209686.6625159;-35.57807855764607
1739209686.6625185;-45.120503652039325
1739209686.6625211;-32.816014438256545
1739209686.6625235;-38.13080360867914
1739209686.6625261;-38.13080360867914
1739209686.6625288;-38.13080360867914
1739209686.6625314;-35.57807855764607
