CAN Message; 0x1bb:000091f537e75ad9
Timestamp;Amplitude
1739209605.1537097;-45.120503652039325
1739209605.1537101;-38.13080360867914
1739209605.1537106;-38.13080360867914
1739209605.1537108;-45.120503652039325
1739209605.1537113;-45.120503652039325
1739209605.1537118;-33.981070128970906
1739209605.1537123;-45.120503652039325
1739209605.1537127;-45.120503652039325
1739209605.1537132;-38.13080360867914
1739209605.1537137;-33.981070128970906
1739209605.153714;-38.13080360867914
1739209605.1537144;-45.120503652039325
1739209605.153715;-38.13080360867914
1739209605.1537154;-45.120503652039325
1739209605.1537158;-38.13080360867914
1739209605.1537163;-45.120503652039325
1739209605.1537166;-45.120503652039325
1739209605.153717;-45.120503652039325
1739209605.1537175;-45.120503652039325
1739209605.153718;-45.120503652039325
1739209605.1537185;-38.13080360867914
1739209605.153719;-38.13080360867914
1739209605.1537194;-45.120503652039325
1739209605.1537197;-45.120503652039325
1739209605.1537201;-38.13080360867914
1739209605.1537206;-45.120503652039325
1739209605.153721;-45.120503652039325
1739209605.1537216;-45.120503652039325
1739209605.153722;-38.13080360867914
1739209605.1537225;-33.981070128970906
1739209605.1537228;-38.13080360867914
1739209605.1537232;-45.120503652039325
1739209605.1537237;-38.13080360867914
1739209605.1537242;-33.981070128970906
1739209605.1537247;-33.981070128970906
1739209605.1537251;-45.120503652039325
1739209605.1537254;-35.57807855764607
1739209605.1537259;-35.57807855764607
1739209605.1537263;-38.13080360867914
1739209605.1537268;-45.120503652039325
1739209605.1537273;-45.120503652039325
1739209605.1537278;-31.141103565318915
1739209605.1537282;-33.981070128970906
1739209605.1537285;-45.120503652039325
1739209605.153729;-38.13080360867914
1739209605.1537294;-35.57807855764607
1739209605.15373;-38.13080360867914
1739209605.1537304;-45.120503652039325
1739209605.1537309;-33.981070128970906
1739209605.1537313;-31.141103565318915
1739209605.1537316;-33.981070128970906
1739209605.153732;-45.120503652039325
1739209605.1537325;-38.13080360867914
1739209605.153733;-33.981070128970906
1739209605.1537335;-38.13080360867914
1739209605.153734;-38.13080360867914
1739209605.1537342;-45.120503652039325
1739209605.1537347;-38.13080360867914
1739209605.1537352;-38.13080360867914
1739209605.1537356;-45.120503652039325
1739209605.153736;-35.57807855764607
1739209605.1537366;-35.57807855764607
1739209605.153737;-45.120503652039325
1739209605.1537373;-45.120503652039325
1739209605.1537378;-45.120503652039325
1739209605.1537383;-38.13080360867914
1739209605.1537387;-31.141103565318915
1739209605.1537392;-45.120503652039325
1739209605.1537397;-38.13080360867914
1739209605.1537402;-32.816014438256545
1739209605.1537404;-38.13080360867914
1739209605.153741;-45.120503652039325
1739209605.1537414;-38.13080360867914
1739209605.1537418;-38.13080360867914
1739209605.1537423;-32.81601443825658
1739209605.1537428;-45.120503652039325
1739209605.153743;-45.120503652039325
1739209605.1537435;-38.13080360867914
1739209605.153744;-38.13080360867914
1739209605.1537445;-45.120503652039325
1739209605.153745;-45.120503652039325
1739209605.1537454;-38.13080360867914
1739209605.153746;-31.141103565318915
1739209605.1537461;-45.120503652039325
1739209605.1537466;-38.13080360867914
1739209605.153747;-35.57807855764607
1739209605.1537476;-45.120503652039325
