CAN Message; 0x1a7:00007052b1672d75
Timestamp;Amplitude
1739209657.757793;-45.120503652039325
1739209657.7577972;-38.13080360867914
1739209657.7578018;-38.13080360867914
1739209657.757806;-38.13080360867914
1739209657.7578106;-38.13080360867914
1739209657.757815;-45.120503652039325
1739209657.7578194;-38.13080360867914
1739209657.7578237;-45.120503652039325
1739209657.7578282;-45.120503652039325
1739209657.7578325;-45.120503652039325
1739209657.757837;-45.120503652039325
1739209657.7578413;-45.120503652039325
1739209657.7578459;-38.13080360867914
1739209657.7578502;-38.13080360867914
1739209657.7578547;-38.13080360867914
1739209657.757859;-38.13080360867914
1739209657.7578635;-32.816014438256545
1739209657.7578678;-35.57807855764607
1739209657.7578723;-38.13080360867914
1739209657.7578766;-45.120503652039325
1739209657.7578812;-38.13080360867914
1739209657.7578855;-32.816014438256545
1739209657.75789;-45.120503652039325
1739209657.7578943;-45.120503652039325
1739209657.7578988;-45.120503652039325
1739209657.757903;-38.13080360867914
1739209657.7579076;-45.120503652039325
1739209657.757912;-38.13080360867914
1739209657.7579165;-35.57807855764607
1739209657.7579207;-38.13080360867914
1739209657.7579253;-38.13080360867914
1739209657.7579296;-45.120503652039325
1739209657.757934;-33.981070128970906
1739209657.7579384;-38.13080360867914
1739209657.757943;-45.120503652039325
1739209657.7579472;-38.13080360867914
1739209657.7579517;-38.13080360867914
1739209657.757956;-45.120503652039325
1739209657.7579606;-45.120503652039325
1739209657.757965;-45.120503652039325
1739209657.7579694;-45.120503652039325
1739209657.757974;-32.816014438256545
1739209657.7579782;-45.120503652039325
1739209657.7579827;-45.120503652039325
1739209657.757987;-35.57807855764607
1739209657.7579916;-35.57807855764607
1739209657.7579958;-38.13080360867914
1739209657.7580004;-38.13080360867914
1739209657.7580047;-38.13080360867914
1739209657.7580092;-35.57807855764607
1739209657.7580135;-38.13080360867914
1739209657.758018;-38.13080360867914
1739209657.7580223;-38.13080360867914
1739209657.7580268;-33.981070128970906
1739209657.7580311;-38.13080360867914
1739209657.7580357;-38.13080360867914
1739209657.75804;-45.120503652039325
1739209657.7580445;-45.120503652039325
1739209657.7580488;-45.120503652039325
1739209657.7580533;-45.120503652039325
1739209657.7580576;-38.13080360867914
1739209657.7580621;-38.13080360867914
1739209657.7580664;-45.120503652039325
1739209657.758071;-38.13080360867914
1739209657.7580752;-33.981070128970906
1739209657.7580798;-38.13080360867914
1739209657.758084;-38.13080360867914
1739209657.7580886;-45.120503652039325
1739209657.7580929;-35.57807855764607
1739209657.7580974;-35.57807855764607
1739209657.7581017;-38.13080360867914
1739209657.7581062;-45.120503652039325
1739209657.7581105;-38.13080360867914
1739209657.758115;-35.57807855764607
1739209657.7581193;-38.13080360867914
1739209657.7581239;-38.13080360867914
1739209657.7581282;-45.120503652039325
1739209657.7581327;-45.120503652039325
1739209657.7581372;-38.13080360867914
1739209657.7581415;-35.57807855764607
1739209657.758146;-38.13080360867914
1739209657.7581503;-45.120503652039325
1739209657.7581549;-33.981070128970906
1739209657.7581592;-45.120503652039325
1739209657.7581637;-32.816014438256545
1739209657.758168;-32.816014438256545
1739209657.7581725;-38.13080360867914
1739209657.7581768;-33.981070128970906
1739209657.7581813;-33.981070128970906
1739209657.7581856;-45.120503652039325
1739209657.7581902;-45.120503652039325
1739209657.7581944;-35.57807855764607
1739209657.758199;-45.120503652039325
1739209657.7582033;-45.120503652039325
1739209657.7582078;-33.981070128970906
1739209657.758212;-38.13080360867914
1739209657.7582166;-38.13080360867914
1739209657.758221;-45.120503652039325
1739209657.7582254;-45.120503652039325
1739209657.7582297;-38.13080360867914
1739209657.7582343;-38.13080360867914
1739209657.7582386;-45.120503652039325
1739209657.758243;-38.13080360867914
1739209657.7582474;-35.57807855764607
1739209657.758252;-45.120503652039325
1739209657.7582562;-45.120503652039325
1739209657.7582607;-33.981070128970906
1739209657.758265;-38.13080360867914
1739209657.7582695;-32.816014438256545
1739209657.7582738;-31.141103565318893
1739209657.7582784;-38.13080360867914
1739209657.7582827;-35.57807855764607
1739209657.7582872;-38.13080360867914
1739209657.7582915;-38.13080360867914
1739209657.758296;-38.13080360867914
1739209657.7583003;-32.816014438256545
1739209657.7583048;-45.120503652039325
1739209657.7583091;-35.57807855764607
1739209657.7583137;-45.120503652039325
1739209657.7583182;-45.120503652039325
1739209657.7583225;-45.120503652039325
1739209657.758327;-45.120503652039325
1739209657.7583313;-38.13080360867914
1739209657.7583358;-38.13080360867914
1739209657.7583401;-35.57807855764607
1739209657.7583447;-29.438486411369333
1739209657.758349;-45.120503652039325
1739209657.7583535;-45.120503652039325
1739209657.7583578;-38.13080360867914
1739209657.7583623;-38.13080360867914
1739209657.7583666;-38.13080360867914
1739209657.758371;-38.13080360867914
1739209657.7583754;-45.120503652039325
1739209657.75838;-45.120503652039325
1739209657.7583842;-45.120503652039325
1739209657.7583888;-38.13080360867914
1739209657.758393;-45.120503652039325
1739209657.7583976;-45.120503652039325
1739209657.7584019;-38.13080360867914
1739209657.7584064;-45.120503652039325
1739209657.7584107;-38.13080360867914
1739209657.7584152;-32.816014438256545
1739209657.7584195;-38.13080360867914
1739209657.758424;-38.13080360867914
1739209657.7584283;-35.57807855764607
1739209657.7584329;-38.13080360867914
1739209657.7584372;-38.13080360867914
1739209657.7584417;-38.13080360867914
1739209657.758446;-45.120503652039325
1739209657.7584505;-38.13080360867914
1739209657.7584548;-45.120503652039325
1739209657.7584593;-45.120503652039325
1739209657.7584636;-38.13080360867914
1739209657.7584682;-45.120503652039325
1739209657.7584724;-45.120503652039325
1739209657.758477;-45.120503652039325
1739209657.7584813;-45.120503652039325
1739209657.7584858;-45.120503652039325
1739209657.7584903;-38.13080360867914
1739209657.7584946;-38.13080360867914
1739209657.7584991;-45.120503652039325
1739209657.7585034;-45.120503652039325
1739209657.758508;-38.13080360867914
1739209657.7585123;-38.13080360867914
1739209657.7585168;-45.120503652039325
1739209657.758521;-28.58837851428586
1739209657.7585256;-35.57807855764607
1739209657.75853;-45.120503652039325
1739209657.7585344;-45.120503652039325
1739209657.7585387;-38.13080360867914
1739209657.7585433;-38.13080360867914
1739209657.7585475;-38.13080360867914
1739209657.758552;-38.13080360867914
