CAN Message; 0x1a7:000029fdb49b6d7d
Timestamp;Amplitude
1739209867.4611547;-45.120503652039325
1739209867.4611657;-35.57807855764607
1739209867.4611764;-38.13080360867914
1739209867.4611874;-38.13080360867914
1739209867.461198;-35.57807855764607
1739209867.4612088;-45.120503652039325
1739209867.4612198;-45.120503652039325
1739209867.4612305;-33.981070128970906
1739209867.4612415;-26.487275050834715
1739209867.4612522;-38.13080360867914
1739209867.461263;-45.120503652039325
1739209867.461274;-33.981070128970906
1739209867.4612846;-33.981070128970906
1739209867.4612956;-38.13080360867914
1739209867.4613063;-45.120503652039325
1739209867.461317;-45.120503652039325
1739209867.461328;-33.981070128970956
1739209867.4613388;-45.120503652039325
1739209867.4613497;-45.120503652039325
1739209867.4613605;-45.120503652039325
1739209867.4613712;-45.120503652039325
1739209867.4613822;-33.981070128970906
1739209867.4613929;-38.13080360867914
1739209867.4614038;-38.13080360867914
1739209867.4614146;-26.991370085610722
1739209867.4614253;-33.981070128970906
1739209867.4614363;-45.120503652039325
1739209867.461447;-45.120503652039325
1739209867.461458;-38.13080360867914
1739209867.4614687;-38.13080360867914
1739209867.4614794;-45.120503652039325
1739209867.4614904;-45.120503652039325
1739209867.4615011;-45.120503652039325
1739209867.461512;-45.120503652039325
1739209867.4615228;-45.120503652039325
1739209867.4615335;-38.13080360867914
1739209867.4615445;-35.57807855764607
1739209867.4615552;-45.120503652039325
1739209867.4615662;-45.120503652039325
1739209867.461577;-38.13080360867914
1739209867.4615877;-38.13080360867914
1739209867.4615986;-38.13080360867914
1739209867.4616094;-45.120503652039325
1739209867.4616203;-45.120503652039325
1739209867.461631;-45.120503652039325
1739209867.461642;-38.13080360867914
1739209867.4616528;-38.13080360867914
1739209867.4616635;-45.120503652039325
1739209867.4616745;-31.141103565318915
1739209867.4616852;-33.981070128970906
1739209867.4616961;-35.57807855764607
1739209867.4617069;-38.13080360867914
1739209867.4617176;-45.120503652039325
1739209867.4617286;-33.981070128970906
1739209867.4617393;-45.120503652039325
1739209867.4617503;-38.13080360867914
1739209867.461761;-32.816014438256545
1739209867.4617717;-32.816014438256545
1739209867.4617827;-45.120503652039325
1739209867.4617934;-45.120503652039325
1739209867.4618044;-38.13080360867914
1739209867.461815;-45.120503652039325
1739209867.4618258;-45.120503652039325
1739209867.4618368;-45.120503652039325
1739209867.4618475;-33.981070128970906
1739209867.4618585;-28.992665084841942
1739209867.4618692;-35.57807855764607
1739209867.46188;-45.120503652039325
1739209867.461891;-38.13080360867914
1739209867.4619017;-38.13080360867914
1739209867.4619126;-45.120503652039325
1739209867.4619234;-38.13080360867914
1739209867.461934;-35.57807855764607
1739209867.461945;-30.49652367304973
1739209867.4619558;-33.981070128970906
1739209867.4619668;-38.13080360867914
1739209867.4619775;-38.13080360867914
1739209867.4619882;-45.120503652039325
1739209867.4619992;-45.120503652039325
1739209867.46201;-33.981070128970906
1739209867.4620209;-33.981070128970906
1739209867.4620316;-31.141103565318915
1739209867.4620423;-38.13080360867914
1739209867.4620533;-38.13080360867914
1739209867.462064;-35.57807855764607
1739209867.462075;-38.13080360867914
1739209867.4620857;-45.120503652039325
1739209867.4620965;-38.13080360867914
1739209867.4621074;-38.13080360867914
1739209867.4621181;-33.981070128970906
1739209867.462129;-45.120503652039325
1739209867.4621398;-45.120503652039325
1739209867.4621506;-45.120503652039325
1739209867.4621615;-45.120503652039325
1739209867.4621723;-45.120503652039325
1739209867.4621832;-45.120503652039325
1739209867.462194;-45.120503652039325
1739209867.4622047;-35.57807855764607
1739209867.4622157;-35.57807855764607
1739209867.4622264;-45.120503652039325
1739209867.4622374;-45.120503652039325
1739209867.462248;-38.13080360867914
1739209867.4622588;-45.120503652039325
1739209867.4622698;-38.13080360867914
1739209867.4622805;-38.13080360867914
1739209867.4622915;-45.120503652039325
1739209867.4623022;-45.120503652039325
1739209867.462313;-38.13080360867914
1739209867.462324;-38.13080360867914
1739209867.4623346;-38.13080360867914
1739209867.4623456;-38.13080360867914
1739209867.4623563;-38.13080360867914
1739209867.462367;-35.57807855764607
1739209867.462378;-38.13080360867914
1739209867.4623888;-45.120503652039325
1739209867.4623997;-38.13080360867914
1739209867.4624104;-38.13080360867914
1739209867.4624212;-38.13080360867914
1739209867.4624321;-38.13080360867914
1739209867.4624429;-45.120503652039325
1739209867.4624538;-45.120503652039325
1739209867.4624646;-38.13080360867914
1739209867.4624753;-35.57807855764607
1739209867.4624863;-45.120503652039325
1739209867.462497;-38.13080360867914
1739209867.462508;-38.13080360867914
1739209867.4625187;-32.816014438256545
1739209867.4625297;-45.120503652039325
1739209867.4625404;-38.13080360867914
1739209867.462551;-38.13080360867914
1739209867.462562;-45.120503652039325
1739209867.4625728;-45.120503652039325
1739209867.4625838;-38.13080360867914
1739209867.4625945;-38.13080360867914
1739209867.4626052;-45.120503652039325
1739209867.4626162;-38.13080360867914
1739209867.462627;-38.13080360867914
1739209867.462638;-38.13080360867914
1739209867.4626486;-45.120503652039325
1739209867.4626594;-45.120503652039325
1739209867.4626703;-38.13080360867914
1739209867.462681;-38.13080360867914
1739209867.462692;-32.816014438256545
1739209867.4627028;-45.120503652039325
1739209867.4627135;-38.13080360867914
1739209867.4627244;-38.13080360867914
1739209867.4627352;-38.13080360867914
1739209867.4627461;-38.13080360867914
1739209867.4627569;-45.120503652039325
1739209867.4627676;-45.120503652039325
1739209867.4627786;-38.13080360867914
1739209867.4627893;-38.13080360867914
1739209867.4628003;-38.13080360867914
1739209867.462811;-45.120503652039325
1739209867.4628217;-45.120503652039325
1739209867.4628327;-38.13080360867914
1739209867.4628434;-38.13080360867914
1739209867.4628544;-38.13080360867914
1739209867.462865;-38.13080360867914
1739209867.4628758;-45.120503652039325
1739209867.4628868;-38.13080360867914
1739209867.4628975;-38.13080360867914
1739209867.4629085;-31.141103565318893
1739209867.4629192;-45.120503652039325
1739209867.46293;-38.13080360867914
1739209867.462941;-45.120503652039325
1739209867.4629517;-35.57807855764607
1739209867.4629626;-38.13080360867914
1739209867.4629734;-45.120503652039325
1739209867.462984;-38.13080360867914
1739209867.462995;-45.120503652039325
1739209867.4630058;-45.120503652039325
1739209867.4630167;-45.120503652039325
1739209867.4630275;-45.120503652039325
1739209867.4630382;-45.120503652039325
1739209867.4630492;-38.13080360867914
1739209867.46306;-45.120503652039325
1739209867.4630709;-38.13080360867914
1739209867.4630816;-38.13080360867914
1739209867.4630923;-38.13080360867914
1739209867.4631033;-38.13080360867914
1739209867.463114;-38.13080360867914
1739209867.463125;-33.981070128970906
1739209867.4631357;-38.13080360867914
1739209867.4631464;-38.13080360867914
1739209867.4631574;-38.13080360867914
1739209867.4631681;-35.57807855764607
1739209867.463179;-35.57807855764607
1739209867.4631898;-38.13080360867914
1739209867.4632006;-45.120503652039325
1739209867.4632115;-45.120503652039325
1739209867.4632223;-45.120503652039325
1739209867.4632332;-45.120503652039325
1739209867.463244;-45.120503652039325
1739209867.4632547;-33.981070128970956
1739209867.4632657;-45.120503652039325
1739209867.4632764;-45.120503652039325
1739209867.4632874;-45.120503652039325
1739209867.463298;-45.120503652039325
1739209867.4633088;-45.120503652039325
1739209867.4633198;-38.13080360867914
1739209867.4633305;-38.13080360867914
1739209867.4633415;-30.49652367304973
1739209867.4633522;-38.13080360867914
1739209867.463363;-38.13080360867914
1739209867.463374;-45.120503652039325
1739209867.4633846;-35.57807855764607
1739209867.4633956;-33.981070128970906
1739209867.4634063;-38.13080360867914
1739209867.463417;-45.120503652039325
1739209867.463428;-45.120503652039325
1739209867.4634387;-35.57807855764607
1739209867.4634497;-35.57807855764607
1739209867.4634604;-45.120503652039325
1739209867.4634714;-45.120503652039325
1739209867.4634821;-38.13080360867914
1739209867.4634929;-38.13080360867914
1739209867.4635038;-38.13080360867914
1739209867.4635146;-38.13080360867914
1739209867.4635255;-45.120503652039325
1739209867.4635363;-45.120503652039325
1739209867.463547;-45.120503652039325
1739209867.463558;-45.120503652039325
1739209867.4635687;-38.13080360867914
1739209867.4635797;-38.13080360867914
1739209867.4635904;-45.120503652039325
1739209867.463601;-31.141103565318915
1739209867.463612;-32.816014438256545
1739209867.4636228;-38.13080360867914
1739209867.4636338;-45.120503652039325
1739209867.4636445;-45.120503652039325
1739209867.4636552;-38.13080360867914
1739209867.4636662;-38.13080360867914
1739209867.463677;-45.120503652039325
1739209867.463688;-38.13080360867914
1739209867.4636986;-45.120503652039325
1739209867.4637094;-45.120503652039325
1739209867.4637203;-38.13080360867914
1739209867.463731;-38.13080360867914
1739209867.463742;-45.120503652039325
1739209867.4637527;-38.13080360867914
1739209867.4637635;-38.13080360867914
1739209867.4637744;-33.981070128970906
1739209867.4637852;-33.981070128970906
1739209867.4637961;-45.120503652039325
1739209867.4638069;-38.13080360867914
1739209867.4638176;-45.120503652039325
1739209867.4638286;-38.13080360867914
1739209867.4638393;-45.120503652039325
1739209867.4638503;-38.13080360867914
1739209867.463861;-38.13080360867914
1739209867.4638717;-35.57807855764607
1739209867.4638827;-35.57807855764607
1739209867.4638934;-38.13080360867914
1739209867.4639044;-38.13080360867914
1739209867.463915;-35.57807855764607
1739209867.4639258;-33.981070128970906
1739209867.4639368;-38.13080360867914
