CAN Message; 0x62:035c165d36d332ad
Timestamp;Amplitude
1739209719.190947;-45.120503652039325
1739209719.1909494;-38.13080360867914
1739209719.1909516;-45.120503652039325
1739209719.1909537;-38.13080360867914
1739209719.190956;-38.13080360867914
1739209719.1909583;-38.13080360867914
1739209719.1909606;-38.13080360867914
1739209719.1909628;-38.13080360867914
1739209719.190965;-45.120503652039325
1739209719.1909673;-45.120503652039325
1739209719.1909695;-45.120503652039325
1739209719.1909716;-45.120503652039325
1739209719.190974;-45.120503652039325
1739209719.1909761;-45.120503652039325
1739209719.1909783;-45.120503652039325
1739209719.1909807;-45.120503652039325
1739209719.1909828;-38.13080360867914
1739209719.1909852;-38.13080360867914
1739209719.1909873;-38.13080360867914
1739209719.1909895;-38.13080360867914
1739209719.1909919;-45.120503652039325
1739209719.190994;-38.13080360867914
1739209719.1909962;-38.13080360867914
1739209719.1909986;-38.13080360867914
1739209719.1910007;-38.13080360867914
1739209719.1910028;-38.13080360867914
1739209719.1910052;-45.120503652039325
1739209719.1910074;-35.57807855764607
1739209719.1910098;-38.13080360867914
1739209719.191012;-45.120503652039325
1739209719.191014;-45.120503652039325
1739209719.1910164;-45.120503652039325
1739209719.1910186;-38.13080360867914
1739209719.1910207;-45.120503652039325
1739209719.191023;-45.120503652039325
1739209719.1910253;-35.57807855764607
1739209719.1910276;-33.981070128970906
1739209719.1910298;-32.816014438256545
1739209719.191032;-32.816014438256545
1739209719.1910343;-38.13080360867914
1739209719.1910365;-38.13080360867914
1739209719.1910386;-38.13080360867914
1739209719.191041;-38.13080360867914
1739209719.1910431;-45.120503652039325
1739209719.1910453;-35.57807855764607
1739209719.1910477;-45.120503652039325
1739209719.1910498;-45.120503652039325
1739209719.1910522;-32.816014438256545
1739209719.1910543;-35.57807855764607
1739209719.1910565;-45.120503652039325
1739209719.1910589;-45.120503652039325
1739209719.191061;-45.120503652039325
1739209719.1910632;-45.120503652039325
1739209719.1910655;-35.57807855764607
1739209719.1910677;-35.57807855764607
1739209719.1910698;-45.120503652039325
1739209719.1910722;-38.13080360867914
1739209719.1910744;-35.57807855764607
1739209719.1910768;-38.13080360867914
1739209719.191079;-35.57807855764607
1739209719.191081;-38.13080360867914
1739209719.1910834;-38.13080360867914
1739209719.1910856;-35.57807855764607
1739209719.1910877;-45.120503652039325
1739209719.19109;-45.120503652039325
1739209719.1910923;-45.120503652039325
1739209719.1910944;-45.120503652039325
1739209719.1910968;-45.120503652039325
1739209719.191099;-45.120503652039325
1739209719.1911013;-45.120503652039325
1739209719.1911035;-45.120503652039325
1739209719.1911056;-45.120503652039325
1739209719.191108;-45.120503652039325
1739209719.1911101;-38.13080360867914
1739209719.1911123;-45.120503652039325
1739209719.1911147;-45.120503652039325
1739209719.1911168;-38.13080360867914
1739209719.191119;-32.816014438256545
1739209719.1911213;-31.141103565318893
