CAN Message; 0x77:6e220a453cf30f5e
Timestamp;Amplitude
1739209713.8564978;-35.57807855764607
1739209713.8565023;-32.816014438256545
1739209713.8565068;-38.13080360867914
1739209713.856511;-45.120503652039325
1739209713.8565156;-45.120503652039325
1739209713.8565202;-38.13080360867914
1739209713.8565247;-38.13080360867914
1739209713.8565292;-45.120503652039325
1739209713.8565338;-38.13080360867914
1739209713.8565383;-32.816014438256545
1739209713.8565428;-45.120503652039325
1739209713.856547;-38.13080360867914
1739209713.8565516;-33.981070128970906
1739209713.8565562;-45.120503652039325
1739209713.8565607;-45.120503652039325
1739209713.8565652;-38.13080360867914
1739209713.8565698;-32.816014438256545
1739209713.8565743;-35.57807855764607
1739209713.8565786;-38.13080360867914
1739209713.856583;-31.141103565318915
1739209713.8565876;-31.141103565318915
1739209713.8565922;-38.13080360867914
1739209713.8565967;-38.13080360867914
1739209713.8566012;-38.13080360867914
1739209713.8566058;-38.13080360867914
1739209713.8566103;-38.13080360867914
1739209713.8566146;-38.13080360867914
1739209713.8566191;-38.13080360867914
1739209713.8566236;-28.58837851428586
1739209713.8566282;-38.13080360867914
1739209713.8566327;-38.13080360867914
1739209713.8566372;-45.120503652039325
1739209713.8566418;-45.120503652039325
1739209713.856646;-38.13080360867914
1739209713.8566506;-45.120503652039325
1739209713.8566551;-38.13080360867914
1739209713.8566597;-38.13080360867914
1739209713.8566642;-38.13080360867914
1739209713.8566687;-38.13080360867914
1739209713.8566732;-45.120503652039325
1739209713.8566778;-45.120503652039325
1739209713.856682;-45.120503652039325
1739209713.8566866;-38.13080360867914
1739209713.8566911;-38.13080360867914
1739209713.8566957;-33.981070128970906
1739209713.8567002;-45.120503652039325
1739209713.8567047;-38.13080360867914
1739209713.8567092;-35.57807855764607
1739209713.8567135;-38.13080360867914
1739209713.856718;-45.120503652039325
1739209713.8567226;-38.13080360867914
1739209713.8567271;-45.120503652039325
1739209713.8567317;-38.13080360867914
1739209713.8567362;-38.13080360867914
1739209713.8567407;-45.120503652039325
1739209713.8567452;-38.13080360867914
1739209713.8567495;-38.13080360867914
1739209713.856754;-45.120503652039325
1739209713.8567586;-35.57807855764607
1739209713.8567631;-38.13080360867914
1739209713.8567677;-38.13080360867914
1739209713.8567722;-38.13080360867914
1739209713.8567767;-38.13080360867914
1739209713.856781;-38.13080360867914
1739209713.8567855;-45.120503652039325
1739209713.85679;-45.120503652039325
1739209713.8567946;-45.120503652039325
1739209713.8567991;-38.13080360867914
1739209713.8568037;-28.992665084841942
1739209713.8568082;-38.13080360867914
1739209713.8568127;-38.13080360867914
1739209713.856817;-35.57807855764607
1739209713.8568215;-38.13080360867914
1739209713.856826;-45.120503652039325
