CAN Message; 0x1bb:0000ead35dee7b03
Timestamp;Amplitude
1739209818.667286;-38.13080360867914
1739209818.6672962;-32.816014438256545
1739209818.6673064;-38.13080360867914
1739209818.6673167;-45.120503652039325
1739209818.6673272;-45.120503652039325
1739209818.6673374;-45.120503652039325
1739209818.6673477;-45.120503652039325
1739209818.667358;-38.13080360867914
1739209818.6673682;-33.981070128970906
1739209818.6673784;-45.120503652039325
1739209818.6673887;-38.13080360867914
1739209818.667399;-38.13080360867914
1739209818.6674094;-45.120503652039325
1739209818.6674197;-31.141103565318915
1739209818.66743;-38.13080360867914
1739209818.6674402;-45.120503652039325
1739209818.6674504;-38.13080360867914
1739209818.6674607;-45.120503652039325
1739209818.667471;-38.13080360867914
1739209818.6674812;-35.57807855764607
1739209818.6674917;-45.120503652039325
1739209818.667502;-45.120503652039325
1739209818.6675122;-33.981070128970906
1739209818.6675224;-38.13080360867914
1739209818.6675327;-45.120503652039325
1739209818.667543;-38.13080360867914
1739209818.6675532;-38.13080360867914
1739209818.6675634;-38.13080360867914
1739209818.6675737;-38.13080360867914
1739209818.6675842;-45.120503652039325
1739209818.6675944;-33.981070128970906
1739209818.6676047;-38.13080360867914
1739209818.667615;-38.13080360867914
1739209818.6676252;-45.120503652039325
1739209818.6676354;-33.981070128970906
1739209818.6676457;-38.13080360867914
1739209818.667656;-45.120503652039325
1739209818.6676664;-45.120503652039325
1739209818.6676767;-33.981070128970906
1739209818.667687;-45.120503652039325
1739209818.6676972;-45.120503652039325
1739209818.6677074;-38.13080360867914
1739209818.6677177;-38.13080360867914
1739209818.667728;-45.120503652039325
1739209818.6677382;-45.120503652039325
1739209818.6677487;-45.120503652039325
1739209818.667759;-38.13080360867914
1739209818.6677692;-32.816014438256545
1739209818.6677794;-38.13080360867914
1739209818.6677897;-38.13080360867914
1739209818.6678;-33.981070128970906
1739209818.6678102;-35.57807855764607
1739209818.6678205;-38.13080360867914
1739209818.6678307;-33.981070128970906
1739209818.6678412;-38.13080360867914
1739209818.6678514;-45.120503652039325
1739209818.6678617;-38.13080360867914
1739209818.667872;-45.120503652039325
1739209818.6678822;-38.13080360867914
1739209818.6678925;-45.120503652039325
1739209818.6679027;-38.13080360867914
1739209818.667913;-32.816014438256545
1739209818.6679235;-38.13080360867914
1739209818.6679337;-38.13080360867914
1739209818.667944;-38.13080360867914
1739209818.6679542;-35.57807855764607
1739209818.6679645;-45.120503652039325
