CAN Message; 0x1d3:0000eba5fa9577b9
Timestamp;Amplitude
1739209782.7130923;-45.120503652039325
1739209782.7130988;-45.120503652039325
1739209782.7131052;-45.120503652039325
1739209782.7131114;-38.13080360867914
1739209782.7131178;-38.13080360867914
1739209782.7131243;-38.13080360867914
1739209782.7131307;-38.13080360867914
1739209782.7131371;-38.13080360867914
1739209782.7131436;-38.13080360867914
1739209782.7131498;-38.13080360867914
1739209782.7131562;-38.13080360867914
1739209782.7131627;-30.49652367304973
1739209782.713169;-38.13080360867914
1739209782.7131755;-38.13080360867914
1739209782.713182;-38.13080360867914
1739209782.7131884;-35.57807855764607
1739209782.7131946;-33.981070128970906
1739209782.713201;-45.120503652039325
1739209782.7132075;-38.13080360867914
1739209782.713214;-38.13080360867914
1739209782.7132204;-45.120503652039325
1739209782.7132268;-45.120503652039325
1739209782.713233;-45.120503652039325
1739209782.7132394;-33.981070128970906
1739209782.7132459;-45.120503652039325
1739209782.7132523;-35.57807855764607
1739209782.7132587;-38.13080360867914
1739209782.7132652;-45.120503652039325
1739209782.7132716;-45.120503652039325
1739209782.7132778;-35.57807855764607
1739209782.7132843;-30.49652367304973
1739209782.7132907;-45.120503652039325
1739209782.7132971;-45.120503652039325
1739209782.7133036;-38.13080360867914
1739209782.71331;-38.13080360867914
1739209782.7133162;-38.13080360867914
1739209782.7133226;-35.57807855764607
1739209782.713329;-38.13080360867914
1739209782.7133355;-45.120503652039325
1739209782.713342;-45.120503652039325
1739209782.7133484;-38.13080360867914
1739209782.7133548;-45.120503652039325
1739209782.713361;-35.57807855764607
1739209782.7133675;-45.120503652039325
1739209782.713374;-45.120503652039325
1739209782.7133803;-35.57807855764607
1739209782.7133868;-32.816014438256545
1739209782.7133932;-38.13080360867914
1739209782.7133994;-38.13080360867914
1739209782.7134058;-32.816014438256545
1739209782.7134123;-30.49652367304973
1739209782.7134187;-45.120503652039325
1739209782.7134252;-45.120503652039325
1739209782.7134316;-38.13080360867914
1739209782.713438;-33.981070128970906
1739209782.7134442;-45.120503652039325
1739209782.7134507;-38.13080360867914
1739209782.713457;-38.13080360867914
1739209782.7134635;-45.120503652039325
1739209782.71347;-45.120503652039325
1739209782.7134764;-45.120503652039325
1739209782.7134826;-45.120503652039325
1739209782.713489;-45.120503652039325
1739209782.7134955;-45.120503652039325
1739209782.713502;-38.13080360867914
1739209782.7135084;-38.13080360867914
1739209782.7135148;-32.816014438256545
1739209782.7135212;-38.13080360867914
1739209782.7135274;-38.13080360867914
1739209782.7135339;-38.13080360867914
1739209782.7135403;-28.992665084841942
1739209782.7135468;-38.13080360867914
1739209782.7135532;-45.120503652039325
1739209782.7135596;-45.120503652039325
1739209782.7135658;-38.13080360867914
1739209782.7135723;-38.13080360867914
1739209782.7135787;-38.13080360867914
1739209782.7135851;-38.13080360867914
1739209782.7135916;-30.49652367304973
1739209782.713598;-38.13080360867914
1739209782.7136045;-45.120503652039325
1739209782.7136106;-45.120503652039325
1739209782.713617;-45.120503652039325
1739209782.7136235;-45.120503652039325
1739209782.71363;-45.120503652039325
1739209782.7136364;-38.13080360867914
1739209782.7136428;-31.141103565318915
1739209782.713649;-45.120503652039325
1739209782.7136555;-45.120503652039325
1739209782.713662;-35.57807855764607
1739209782.7136683;-35.57807855764607
1739209782.7136748;-45.120503652039325
1739209782.7136812;-45.120503652039325
1739209782.7136874;-45.120503652039325
1739209782.7136939;-45.120503652039325
1739209782.7137003;-45.120503652039325
1739209782.7137067;-45.120503652039325
1739209782.7137132;-32.816014438256545
1739209782.7137196;-38.13080360867914
1739209782.713726;-45.120503652039325
1739209782.7137322;-45.120503652039325
1739209782.7137387;-45.120503652039325
1739209782.713745;-38.13080360867914
1739209782.7137516;-45.120503652039325
1739209782.713758;-45.120503652039325
1739209782.7137644;-38.13080360867914
1739209782.7137706;-45.120503652039325
1739209782.713777;-45.120503652039325
1739209782.7137835;-45.120503652039325
1739209782.71379;-33.981070128970906
1739209782.7137964;-31.141103565318915
1739209782.7138028;-38.13080360867914
1739209782.7138093;-38.13080360867914
1739209782.7138155;-38.13080360867914
1739209782.713822;-33.981070128970906
1739209782.7138283;-35.57807855764607
1739209782.7138348;-35.57807855764607
1739209782.7138412;-38.13080360867914
1739209782.7138476;-30.49652367304973
1739209782.7138538;-28.992665084841942
1739209782.7138603;-45.120503652039325
1739209782.7138667;-45.120503652039325
1739209782.7138731;-38.13080360867914
1739209782.7138796;-45.120503652039325
1739209782.713886;-38.13080360867914
1739209782.7138925;-38.13080360867914
1739209782.7138987;-33.981070128970906
1739209782.713905;-32.816014438256545
1739209782.7139115;-38.13080360867914
1739209782.713918;-38.13080360867914
1739209782.7139244;-38.13080360867914
1739209782.7139308;-35.57807855764607
1739209782.713937;-38.13080360867914
1739209782.7139435;-45.120503652039325
1739209782.71395;-33.981070128970906
1739209782.7139564;-31.141103565318915
1739209782.7139628;-38.13080360867914
1739209782.7139692;-38.13080360867914
1739209782.7139757;-38.13080360867914
1739209782.7139819;-38.13080360867914
1739209782.7139883;-45.120503652039325
1739209782.7139947;-45.120503652039325
1739209782.7140012;-45.120503652039325
1739209782.7140076;-32.816014438256545
1739209782.714014;-38.13080360867914
1739209782.7140203;-45.120503652039325
1739209782.7140267;-38.13080360867914
1739209782.7140331;-35.57807855764607
1739209782.7140396;-38.13080360867914
1739209782.714046;-45.120503652039325
1739209782.7140524;-38.13080360867914
1739209782.7140589;-38.13080360867914
1739209782.714065;-45.120503652039325
1739209782.7140715;-45.120503652039325
1739209782.714078;-45.120503652039325
1739209782.7140844;-38.13080360867914
1739209782.7140908;-38.13080360867914
1739209782.7140973;-38.13080360867914
1739209782.7141035;-35.57807855764607
1739209782.71411;-38.13080360867914
1739209782.7141163;-38.13080360867914
1739209782.7141228;-45.120503652039325
1739209782.7141292;-38.13080360867914
1739209782.7141356;-38.13080360867914
1739209782.714142;-45.120503652039325
1739209782.7141483;-38.13080360867914
1739209782.7141547;-38.13080360867914
1739209782.7141612;-38.13080360867914
1739209782.7141676;-35.57807855764607
1739209782.714174;-38.13080360867914
1739209782.7141805;-45.120503652039325
1739209782.7141867;-38.13080360867914
1739209782.714193;-38.13080360867914
1739209782.7141995;-45.120503652039325
1739209782.714206;-38.13080360867914
1739209782.7142124;-38.13080360867914
1739209782.7142189;-45.120503652039325
1739209782.7142253;-45.120503652039325
1739209782.7142315;-38.13080360867914
1739209782.714238;-33.981070128970906
1739209782.7142444;-45.120503652039325
1739209782.7142508;-45.120503652039325
1739209782.7142572;-45.120503652039325
1739209782.7142637;-38.13080360867914
1739209782.7142699;-45.120503652039325
1739209782.7142763;-35.57807855764607
1739209782.7142828;-38.13080360867914
1739209782.7142892;-38.13080360867914
1739209782.7142956;-32.816014438256545
1739209782.714302;-35.57807855764607
1739209782.7143085;-35.57807855764607
1739209782.7143147;-35.57807855764607
1739209782.7143211;-45.120503652039325
1739209782.7143276;-38.13080360867914
1739209782.714334;-38.13080360867914
1739209782.7143404;-45.120503652039325
1739209782.714347;-45.120503652039325
1739209782.714353;-35.57807855764607
1739209782.7143595;-45.120503652039325
1739209782.714366;-45.120503652039325
1739209782.7143724;-38.13080360867914
1739209782.7143788;-38.13080360867914
1739209782.7143853;-45.120503652039325
1739209782.7143917;-45.120503652039325
1739209782.714398;-38.13080360867914
1739209782.7144043;-38.13080360867914
1739209782.7144108;-38.13080360867914
1739209782.7144172;-35.57807855764607
1739209782.7144237;-38.13080360867914
1739209782.71443;-45.120503652039325
1739209782.7144363;-38.13080360867914
1739209782.7144427;-33.981070128970906
1739209782.7144492;-45.120503652039325
1739209782.7144556;-45.120503652039325
1739209782.7196407;-33.981070128970906
1739209782.7196412;-38.13080360867914
1739209782.719642;-31.141103565318915
1739209782.7196426;-33.981070128970906
1739209782.719643;-45.120503652039325
1739209782.7196438;-32.816014438256545
1739209782.7196445;-38.13080360867914
1739209782.719645;-45.120503652039325
1739209782.7196457;-45.120503652039325
1739209782.7196465;-35.57807855764607
1739209782.719647;-30.49652367304973
1739209782.7196476;-33.981070128970906
1739209782.7196484;-38.13080360867914
1739209782.7196488;-45.120503652039325
1739209782.7196496;-45.120503652039325
1739209782.7196503;-38.13080360867914
1739209782.7196507;-38.13080360867914
1739209782.7196515;-45.120503652039325
1739209782.7196522;-31.141103565318915
1739209782.7196527;-33.981070128970906
1739209782.7196534;-38.13080360867914
1739209782.719654;-38.13080360867914
1739209782.7196546;-45.120503652039325
1739209782.7196553;-38.13080360867914
1739209782.719656;-45.120503652039325
1739209782.7196565;-45.120503652039325
1739209782.7196572;-45.120503652039325
1739209782.719658;-45.120503652039325
1739209782.7196584;-45.120503652039325
1739209782.719659;-45.120503652039325
1739209782.7196598;-38.13080360867914
1739209782.7196603;-45.120503652039325
1739209782.719661;-45.120503652039325
1739209782.7196617;-45.120503652039325
1739209782.7196622;-45.120503652039325
1739209782.719663;-38.13080360867914
