CAN Message; 0x39:0547ed0c90310d3a
Timestamp;Amplitude
1739209792.6368406;-38.13080360867914
1739209792.6368499;-45.120503652039325
1739209792.6368592;-45.120503652039325
1739209792.6368687;-45.120503652039325
1739209792.636878;-45.120503652039325
1739209792.6368873;-45.120503652039325
1739209792.6368966;-45.120503652039325
1739209792.636906;-45.120503652039325
1739209792.6369152;-45.120503652039325
1739209792.6369245;-45.120503652039325
1739209792.6369338;-35.57807855764607
1739209792.6369433;-35.57807855764607
1739209792.6369526;-45.120503652039325
1739209792.636962;-38.13080360867914
1739209792.6369712;-35.57807855764607
1739209792.6369805;-38.13080360867914
1739209792.6369898;-45.120503652039325
1739209792.6369991;-45.120503652039325
1739209792.6370084;-38.13080360867914
1739209792.637018;-38.13080360867914
1739209792.6370273;-45.120503652039325
1739209792.6370366;-45.120503652039325
1739209792.6370459;-32.816014438256545
1739209792.6370552;-45.120503652039325
1739209792.6370645;-45.120503652039325
1739209792.6370738;-45.120503652039325
1739209792.637083;-35.57807855764607
1739209792.6370926;-38.13080360867914
1739209792.637102;-45.120503652039325
1739209792.6371112;-45.120503652039325
1739209792.6371205;-38.13080360867914
1739209792.6371298;-28.992665084841942
1739209792.637139;-45.120503652039325
1739209792.6371484;-45.120503652039325
1739209792.6371577;-45.120503652039325
1739209792.6371672;-38.13080360867914
1739209792.6371765;-38.13080360867914
1739209792.6371858;-45.120503652039325
1739209792.637195;-38.13080360867914
1739209792.6372044;-45.120503652039325
1739209792.6372137;-45.120503652039325
1739209792.637223;-38.13080360867914
1739209792.6372323;-38.13080360867914
1739209792.6372418;-38.13080360867914
1739209792.6372511;-45.120503652039325
1739209792.6372604;-45.120503652039325
1739209792.6372697;-38.13080360867914
1739209792.637279;-38.13080360867914
1739209792.6372883;-45.120503652039325
1739209792.6372976;-38.13080360867914
1739209792.637307;-35.57807855764607
1739209792.6373165;-33.981070128970906
1739209792.6373258;-45.120503652039325
1739209792.637335;-38.13080360867914
1739209792.6373444;-38.13080360867914
1739209792.6373537;-45.120503652039325
1739209792.637363;-45.120503652039325
1739209792.6373723;-45.120503652039325
1739209792.6373816;-45.120503652039325
1739209792.637391;-45.120503652039325
1739209792.6374004;-38.13080360867914
1739209792.6374097;-38.13080360867914
1739209792.637419;-38.13080360867914
1739209792.6374283;-38.13080360867914
1739209792.6374376;-38.13080360867914
1739209792.6374469;-45.120503652039325
1739209792.6374562;-38.13080360867914
1739209792.6374657;-33.981070128970906
1739209792.637475;-45.120503652039325
1739209792.6374843;-45.120503652039325
1739209792.6374936;-38.13080360867914
1739209792.637503;-38.13080360867914
1739209792.6375122;-45.120503652039325
1739209792.6375215;-38.13080360867914
1739209792.6375308;-45.120503652039325
1739209792.6375403;-45.120503652039325
1739209792.6375496;-35.57807855764607
1739209792.637559;-35.57807855764607
1739209792.6375682;-45.120503652039325
1739209792.6375775;-30.49652367304973
1739209792.6375868;-33.981070128970906
1739209792.6375961;-33.981070128970906
1739209792.6376054;-45.120503652039325
1739209792.637615;-38.13080360867914
1739209792.6376243;-38.13080360867914
1739209792.6376336;-38.13080360867914
1739209792.6376429;-45.120503652039325
1739209792.6376522;-33.981070128970906
1739209792.6376615;-38.13080360867914
1739209792.6376708;-38.13080360867914
1739209792.63768;-45.120503652039325
1739209792.6376896;-45.120503652039325
1739209792.637699;-38.13080360867914
1739209792.6377082;-45.120503652039325
1739209792.6377175;-38.13080360867914
1739209792.6377268;-31.141103565318915
1739209792.637736;-33.981070128970906
1739209792.6377454;-45.120503652039325
1739209792.6377547;-45.120503652039325
1739209792.6377642;-35.57807855764607
1739209792.6377735;-45.120503652039325
1739209792.6377828;-45.120503652039325
1739209792.637792;-33.981070128970906
1739209792.6378014;-30.49652367304973
1739209792.6378107;-38.13080360867914
1739209792.63782;-38.13080360867914
1739209792.6378293;-38.13080360867914
1739209792.6378388;-38.13080360867914
1739209792.6378481;-38.13080360867914
1739209792.6378574;-38.13080360867914
1739209792.6378667;-45.120503652039325
1739209792.637876;-31.141103565318915
1739209792.6378853;-33.981070128970906
1739209792.6378946;-45.120503652039325
1739209792.637904;-38.13080360867914
1739209792.6379135;-38.13080360867914
1739209792.6379228;-45.120503652039325
1739209792.637932;-45.120503652039325
1739209792.6379414;-32.816014438256545
1739209792.6379507;-33.981070128970906
1739209792.63796;-45.120503652039325
1739209792.6379693;-45.120503652039325
1739209792.6379786;-38.13080360867914
1739209792.637988;-38.13080360867914
1739209792.6379974;-38.13080360867914
1739209792.6380067;-45.120503652039325
1739209792.638016;-45.120503652039325
1739209792.6380253;-38.13080360867914
1739209792.6380346;-38.13080360867914
1739209792.6380439;-38.13080360867914
1739209792.6380534;-45.120503652039325
1739209792.6380627;-45.120503652039325
1739209792.638072;-38.13080360867914
1739209792.6380813;-45.120503652039325
1739209792.6380906;-45.120503652039325
1739209792.6381;-33.981070128970906
1739209792.6381092;-27.267205301931607
1739209792.6381185;-38.13080360867914
1739209792.638128;-45.120503652039325
1739209792.6381373;-38.13080360867914
1739209792.6381466;-38.13080360867914
1739209792.638156;-38.13080360867914
1739209792.6381652;-45.120503652039325
1739209792.6381745;-45.120503652039325
1739209792.6381838;-38.13080360867914
1739209792.6381931;-38.13080360867914
1739209792.6382027;-38.13080360867914
1739209792.638212;-45.120503652039325
1739209792.6382213;-35.57807855764607
1739209792.6382306;-38.13080360867914
1739209792.6382399;-45.120503652039325
1739209792.6382492;-38.13080360867914
1739209792.6382585;-33.981070128970906
1739209792.6382678;-32.816014438256545
1739209792.6382773;-45.120503652039325
