CAN Message; 0x150:050083c85ebf0c7c
Timestamp;Amplitude
1739209701.0091288;-45.120503652039325
1739209701.009133;-45.120503652039325
1739209701.0091374;-45.120503652039325
1739209701.0091417;-45.120503652039325
1739209701.009146;-38.13080360867914
1739209701.0091503;-35.57807855764607
1739209701.0091543;-35.57807855764607
1739209701.0091586;-29.438486411369333
1739209701.009163;-38.13080360867914
1739209701.0091672;-38.13080360867914
1739209701.0091715;-45.120503652039325
1739209701.0091758;-45.120503652039325
1739209701.00918;-45.120503652039325
1739209701.0091844;-38.13080360867914
1739209701.0091887;-38.13080360867914
1739209701.009193;-45.120503652039325
1739209701.0091972;-45.120503652039325
1739209701.0092015;-45.120503652039325
1739209701.0092058;-45.120503652039325
1739209701.0092099;-45.120503652039325
1739209701.0092142;-33.981070128970906
1739209701.0092185;-45.120503652039325
1739209701.0092227;-45.120503652039325
1739209701.009227;-31.141103565318893
1739209701.0092313;-38.13080360867914
1739209701.0092356;-45.120503652039325
1739209701.00924;-38.13080360867914
1739209701.0092442;-38.13080360867914
1739209701.0092485;-45.120503652039325
1739209701.0092528;-45.120503652039325
1739209701.009257;-45.120503652039325
1739209701.0092611;-33.981070128970906
1739209701.0092654;-38.13080360867914
1739209701.0092697;-45.120503652039325
1739209701.009274;-38.13080360867914
1739209701.0092783;-35.57807855764607
1739209701.0092826;-45.120503652039325
1739209701.0092869;-45.120503652039325
1739209701.0092912;-33.981070128970906
1739209701.0092955;-45.120503652039325
1739209701.0092998;-38.13080360867914
1739209701.009304;-45.120503652039325
1739209701.0093083;-38.13080360867914
1739209701.0093126;-45.120503652039325
1739209701.0093167;-38.13080360867914
1739209701.009321;-45.120503652039325
1739209701.0093253;-38.13080360867914
1739209701.0093296;-32.816014438256545
1739209701.0093338;-35.57807855764607
1739209701.0093381;-38.13080360867914
1739209701.0093424;-38.13080360867914
1739209701.0093467;-32.816014438256545
1739209701.009351;-45.120503652039325
1739209701.0093553;-45.120503652039325
1739209701.0093596;-38.13080360867914
1739209701.009364;-45.120503652039325
1739209701.0093682;-38.13080360867914
1739209701.0093722;-35.57807855764607
1739209701.0093765;-38.13080360867914
1739209701.0093808;-45.120503652039325
1739209701.009385;-38.13080360867914
1739209701.0093894;-38.13080360867914
1739209701.0093937;-45.120503652039325
1739209701.009398;-45.120503652039325
1739209701.0094023;-33.981070128970906
1739209701.0094066;-35.57807855764607
1739209701.0094109;-38.13080360867914
1739209701.0094151;-38.13080360867914
1739209701.0094194;-38.13080360867914
1739209701.0094237;-35.57807855764607
1739209701.0094278;-38.13080360867914
1739209701.009432;-45.120503652039325
1739209701.0094364;-45.120503652039325
1739209701.0094407;-38.13080360867914
1739209701.009445;-38.13080360867914
1739209701.0094492;-45.120503652039325
1739209701.0094535;-38.13080360867914
1739209701.0094578;-45.120503652039325
1739209701.009462;-45.120503652039325
1739209701.0094664;-45.120503652039325
1739209701.0094707;-38.13080360867914
1739209701.009475;-38.13080360867914
1739209701.0094793;-38.13080360867914
1739209701.0094833;-38.13080360867914
1739209701.0094876;-45.120503652039325
1739209701.009492;-45.120503652039325
1739209701.0094962;-45.120503652039325
1739209701.0095005;-38.13080360867914
1739209701.0095048;-33.981070128970906
1739209701.009509;-45.120503652039325
1739209701.0095134;-35.57807855764607
1739209701.0095177;-45.120503652039325
1739209701.009522;-38.13080360867914
1739209701.0095263;-38.13080360867914
1739209701.0095305;-45.120503652039325
1739209701.0095348;-45.120503652039325
1739209701.009539;-32.816014438256545
1739209701.0095432;-45.120503652039325
1739209701.0095475;-38.13080360867914
1739209701.0095518;-38.13080360867914
1739209701.009556;-45.120503652039325
1739209701.0095603;-45.120503652039325
1739209701.0095646;-33.981070128970906
1739209701.009569;-35.57807855764607
1739209701.0095732;-33.981070128970906
1739209701.0095775;-45.120503652039325
1739209701.0095818;-33.981070128970906
1739209701.009586;-38.13080360867914
1739209701.0095901;-38.13080360867914
1739209701.0095944;-45.120503652039325
1739209701.0095987;-45.120503652039325
1739209701.009603;-38.13080360867914
1739209701.0096073;-38.13080360867914
1739209701.0096116;-38.13080360867914
1739209701.009616;-45.120503652039325
1739209701.0096202;-38.13080360867914
1739209701.0096245;-33.981070128970906
1739209701.0096288;-45.120503652039325
1739209701.009633;-38.13080360867914
1739209701.0096374;-35.57807855764607
1739209701.0096416;-33.981070128970906
1739209701.0096457;-45.120503652039325
1739209701.00965;-45.120503652039325
1739209701.0096543;-45.120503652039325
1739209701.0096586;-38.13080360867914
1739209701.0096629;-45.120503652039325
1739209701.0096672;-38.13080360867914
1739209701.0096714;-45.120503652039325
