CAN Message; 0x1b8:0300ff4e225daa83
Timestamp;Amplitude
1739209809.6475313;-45.120503652039325
1739209809.6475394;-45.120503652039325
1739209809.6475477;-38.13080360867914
1739209809.647556;-38.13080360867914
1739209809.6475644;-38.13080360867914
1739209809.6475725;-45.120503652039325
1739209809.6475809;-45.120503652039325
1739209809.6475892;-45.120503652039325
1739209809.6475976;-38.13080360867914
1739209809.6476057;-38.13080360867914
1739209809.647614;-45.120503652039325
1739209809.6476223;-45.120503652039325
1739209809.6476307;-35.57807855764607
1739209809.6476388;-45.120503652039325
1739209809.6476471;-38.13080360867914
1739209809.6476555;-31.141103565318915
1739209809.6476638;-33.981070128970906
1739209809.647672;-38.13080360867914
1739209809.6476803;-45.120503652039325
1739209809.6476886;-38.13080360867914
1739209809.647697;-38.13080360867914
1739209809.647705;-45.120503652039325
1739209809.6477134;-45.120503652039325
1739209809.6477218;-45.120503652039325
1739209809.64773;-38.13080360867914
1739209809.6477382;-38.13080360867914
1739209809.6477466;-45.120503652039325
1739209809.647755;-45.120503652039325
1739209809.6477633;-35.57807855764607
1739209809.6477714;-38.13080360867914
1739209809.6477797;-45.120503652039325
1739209809.647788;-45.120503652039325
1739209809.6477964;-38.13080360867914
1739209809.6478045;-45.120503652039325
1739209809.6478128;-38.13080360867914
1739209809.6478212;-45.120503652039325
1739209809.6478295;-45.120503652039325
1739209809.6478376;-45.120503652039325
1739209809.647846;-35.57807855764607
1739209809.6478543;-38.13080360867914
1739209809.6478627;-45.120503652039325
1739209809.6478708;-45.120503652039325
1739209809.6478791;-38.13080360867914
1739209809.6478875;-32.816014438256545
1739209809.6478958;-38.13080360867914
1739209809.647904;-45.120503652039325
1739209809.6479123;-45.120503652039325
1739209809.6479206;-45.120503652039325
1739209809.647929;-32.816014438256545
1739209809.647937;-38.13080360867914
1739209809.6479454;-45.120503652039325
1739209809.6479537;-38.13080360867914
1739209809.647962;-35.57807855764607
1739209809.6479702;-33.981070128970906
1739209809.6479785;-45.120503652039325
1739209809.647987;-32.816014438256545
1739209809.6479952;-45.120503652039325
1739209809.6480033;-45.120503652039325
1739209809.6480117;-45.120503652039325
1739209809.64802;-45.120503652039325
1739209809.6480284;-45.120503652039325
1739209809.6480365;-38.13080360867914
1739209809.6480448;-38.13080360867914
1739209809.6480532;-38.13080360867914
1739209809.6480615;-45.120503652039325
1739209809.6480696;-45.120503652039325
1739209809.648078;-45.120503652039325
1739209809.6480863;-45.120503652039325
1739209809.6480947;-38.13080360867914
1739209809.6481028;-38.13080360867914
1739209809.648111;-38.13080360867914
1739209809.6481194;-45.120503652039325
1739209809.6481278;-27.8777449560314
1739209809.648136;-32.816014438256545
1739209809.6481442;-45.120503652039325
1739209809.6481526;-45.120503652039325
1739209809.648161;-33.981070128970906
1739209809.648169;-35.57807855764607
1739209809.6481774;-45.120503652039325
1739209809.6481857;-35.57807855764607
1739209809.648194;-45.120503652039325
1739209809.6482022;-45.120503652039325
1739209809.6482105;-45.120503652039325
1739209809.6482189;-38.13080360867914
1739209809.6482272;-45.120503652039325
1739209809.6482353;-45.120503652039325
1739209809.6482437;-38.13080360867914
1739209809.648252;-45.120503652039325
1739209809.64826;-29.438486411369333
1739209809.6482685;-30.49652367304973
1739209809.6482768;-45.120503652039325
1739209809.6482852;-38.13080360867914
1739209809.6482933;-35.57807855764607
1739209809.6483016;-33.981070128970906
1739209809.64831;-45.120503652039325
1739209809.6483183;-45.120503652039325
1739209809.6483264;-38.13080360867914
1739209809.6483347;-38.13080360867914
1739209809.648343;-45.120503652039325
1739209809.6483514;-45.120503652039325
1739209809.6483595;-38.13080360867914
1739209809.648368;-35.57807855764607
1739209809.6483762;-45.120503652039325
1739209809.6483846;-38.13080360867914
1739209809.6483927;-45.120503652039325
1739209809.648401;-33.981070128970956
1739209809.6484094;-45.120503652039325
1739209809.6484177;-45.120503652039325
1739209809.6484258;-45.120503652039325
1739209809.6484342;-45.120503652039325
1739209809.6484425;-45.120503652039325
1739209809.6484509;-38.13080360867914
1739209809.648459;-33.981070128970906
1739209809.6484673;-31.141103565318915
1739209809.6484756;-38.13080360867914
1739209809.648484;-38.13080360867914
1739209809.648492;-45.120503652039325
1739209809.6485004;-33.981070128970906
1739209809.6485088;-38.13080360867914
1739209809.6485171;-38.13080360867914
1739209809.6485252;-45.120503652039325
1739209809.6485336;-38.13080360867914
1739209809.648542;-38.13080360867914
1739209809.6485503;-45.120503652039325
1739209809.6485584;-45.120503652039325
1739209809.6485667;-38.13080360867914
1739209809.648575;-45.120503652039325
1739209809.6485834;-38.13080360867914
1739209809.6485915;-45.120503652039325
1739209809.6485999;-45.120503652039325
1739209809.6486082;-38.13080360867914
1739209809.6486166;-33.981070128970906
1739209809.6486247;-45.120503652039325
1739209809.648633;-45.120503652039325
1739209809.6486413;-38.13080360867914
1739209809.6486497;-38.13080360867914
1739209809.6486578;-38.13080360867914
1739209809.6486661;-38.13080360867914
1739209809.6486745;-38.13080360867914
1739209809.6486828;-35.57807855764607
1739209809.648691;-38.13080360867914
1739209809.6486993;-35.57807855764607
1739209809.6487076;-30.49652367304973
1739209809.648716;-38.13080360867914
1739209809.648724;-45.120503652039325
1739209809.6487324;-33.981070128970906
1739209809.6487408;-45.120503652039325
1739209809.648749;-38.13080360867914
1739209809.6487572;-45.120503652039325
1739209809.6487656;-45.120503652039325
1739209809.648774;-38.13080360867914
1739209809.6487823;-45.120503652039325
1739209809.6487904;-45.120503652039325
1739209809.6487987;-38.13080360867914
1739209809.648807;-45.120503652039325
1739209809.6488154;-45.120503652039325
1739209809.6488235;-35.57807855764607
1739209809.6488318;-35.57807855764607
1739209809.6488402;-33.981070128970906
1739209809.6488485;-45.120503652039325
1739209809.6488566;-45.120503652039325
1739209809.648865;-38.13080360867914
1739209809.6488733;-38.13080360867914
1739209809.6488817;-38.13080360867914
1739209809.6488898;-38.13080360867914
1739209809.6488981;-33.981070128970906
1739209809.6489065;-45.120503652039325
1739209809.6489148;-45.120503652039325
1739209809.648923;-32.816014438256545
1739209809.6489313;-38.13080360867914
1739209809.6489396;-45.120503652039325
1739209809.6489477;-38.13080360867914
1739209809.648956;-38.13080360867914
1739209809.6489644;-38.13080360867914
1739209809.6489727;-45.120503652039325
1739209809.6489809;-38.13080360867914
1739209809.6489892;-35.57807855764607
1739209809.6489975;-35.57807855764607
1739209809.649006;-38.13080360867914
1739209809.649014;-45.120503652039325
1739209809.6490223;-38.13080360867914
1739209809.6490307;-33.981070128970906
1739209809.649039;-45.120503652039325
1739209809.6490471;-38.13080360867914
1739209809.6490555;-33.981070128970906
1739209809.6490638;-45.120503652039325
1739209809.6490722;-45.120503652039325
1739209809.6490803;-45.120503652039325
1739209809.6490886;-35.57807855764607
1739209809.649097;-38.13080360867914
1739209809.6491053;-45.120503652039325
1739209809.6491134;-38.13080360867914
1739209809.6491218;-45.120503652039325
1739209809.64913;-38.13080360867914
1739209809.6491385;-45.120503652039325
1739209809.6491466;-38.13080360867914
1739209809.649155;-38.13080360867914
1739209809.6491632;-33.981070128970906
1739209809.6491716;-38.13080360867914
1739209809.6491797;-33.981070128970906
1739209809.649188;-45.120503652039325
1739209809.6491964;-38.13080360867914
1739209809.6492047;-27.8777449560314
1739209809.6492128;-45.120503652039325
1739209809.6492212;-45.120503652039325
1739209809.6492295;-38.13080360867914
1739209809.6492379;-45.120503652039325
1739209809.649246;-45.120503652039325
1739209809.6492543;-45.120503652039325
1739209809.6492627;-45.120503652039325
1739209809.649271;-38.13080360867914
1739209809.649279;-38.13080360867914
1739209809.6492875;-45.120503652039325
1739209809.6492958;-38.13080360867914
1739209809.6493042;-45.120503652039325
1739209809.6493123;-38.13080360867914
1739209809.6493206;-45.120503652039325
1739209809.649329;-38.13080360867914
1739209809.6493373;-38.13080360867914
1739209809.6493454;-35.57807855764607
1739209809.6493537;-45.120503652039325
1739209809.649362;-45.120503652039325
1739209809.6493704;-45.120503652039325
1739209809.6493785;-38.13080360867914
1739209809.649387;-45.120503652039325
1739209809.6493952;-38.13080360867914
1739209809.6494036;-35.57807855764607
1739209809.6494117;-38.13080360867914
1739209809.64942;-45.120503652039325
1739209809.6494284;-45.120503652039325
1739209809.6494367;-38.13080360867914
1739209809.6494448;-38.13080360867914
1739209809.6494532;-35.57807855764607
1739209809.6494615;-38.13080360867914
1739209809.6494699;-32.81601443825658
1739209809.649478;-38.13080360867914
1739209809.6494863;-35.57807855764607
1739209809.6494946;-38.13080360867914
1739209809.649503;-45.120503652039325
1739209809.649511;-33.981070128970906
1739209809.6495194;-33.981070128970906
1739209809.6495278;-45.120503652039325
1739209809.6495361;-32.816014438256545
1739209809.6495442;-38.13080360867914
1739209809.6495526;-35.57807855764607
1739209809.649561;-38.13080360867914
1739209809.6495693;-45.120503652039325
1739209809.6495774;-45.120503652039325
1739209809.6495857;-38.13080360867914
1739209809.649594;-38.13080360867914
1739209809.6496024;-38.13080360867914
1739209809.6496105;-45.120503652039325
1739209809.6496189;-45.120503652039325
1739209809.6496272;-38.13080360867914
1739209809.6496356;-32.816014438256545
1739209809.6496437;-45.120503652039325
1739209809.649652;-45.120503652039325
1739209809.6496603;-38.13080360867914
1739209809.6496685;-45.120503652039325
1739209809.6496768;-45.120503652039325
1739209809.6496851;-45.120503652039325
