CAN Message; 0x1b8:0200906e74f3abff
Timestamp;Amplitude
1739209614.1499007;-45.120503652039325
1739209614.1499057;-38.13080360867914
1739209614.149911;-38.13080360867914
1739209614.149916;-45.120503652039325
1739209614.1499212;-45.120503652039325
1739209614.1499264;-38.13080360867914
1739209614.1499314;-28.992665084841942
1739209614.1499367;-45.120503652039325
1739209614.1499417;-38.13080360867914
1739209614.149947;-45.120503652039325
1739209614.149952;-33.981070128970906
1739209614.1499572;-38.13080360867914
1739209614.1499624;-45.120503652039325
1739209614.1499674;-45.120503652039325
1739209614.1499727;-38.13080360867914
1739209614.1499777;-45.120503652039325
1739209614.149983;-45.120503652039325
1739209614.1499882;-38.13080360867914
1739209614.1499932;-45.120503652039325
1739209614.1499984;-45.120503652039325
1739209614.1500034;-45.120503652039325
1739209614.1500087;-45.120503652039325
1739209614.150014;-45.120503652039325
1739209614.150019;-38.13080360867914
1739209614.1500242;-38.13080360867914
1739209614.1500292;-45.120503652039325
1739209614.1500344;-45.120503652039325
1739209614.1500397;-38.13080360867914
1739209614.1500447;-38.13080360867914
1739209614.15005;-45.120503652039325
1739209614.150055;-38.13080360867914
1739209614.1500602;-35.57807855764607
1739209614.1500652;-45.120503652039325
1739209614.1500704;-45.120503652039325
1739209614.1500757;-45.120503652039325
1739209614.1500807;-33.981070128970906
1739209614.150086;-45.120503652039325
1739209614.150091;-45.120503652039325
1739209614.1500962;-27.877744956031414
1739209614.1501014;-38.13080360867914
1739209614.1501064;-33.981070128970906
1739209614.1501117;-45.120503652039325
1739209614.1501167;-45.120503652039325
1739209614.150122;-45.120503652039325
1739209614.1501272;-45.120503652039325
1739209614.1501322;-38.13080360867914
1739209614.1501374;-33.981070128970906
1739209614.1501424;-38.13080360867914
1739209614.1501477;-38.13080360867914
1739209614.1501527;-35.57807855764607
1739209614.150158;-32.816014438256545
1739209614.1501632;-45.120503652039325
1739209614.1501682;-45.120503652039325
1739209614.1501734;-33.981070128970906
1739209614.1501784;-38.13080360867914
1739209614.1501837;-38.13080360867914
1739209614.150189;-38.13080360867914
1739209614.150194;-38.13080360867914
1739209614.1501992;-38.13080360867914
1739209614.1502042;-32.816014438256545
1739209614.1502094;-35.57807855764607
1739209614.1502147;-45.120503652039325
1739209614.1502197;-38.13080360867914
1739209614.150225;-38.13080360867914
1739209614.15023;-45.120503652039325
1739209614.1502352;-45.120503652039325
1739209614.1502404;-38.13080360867914
1739209614.1502454;-38.13080360867914
1739209614.1502507;-38.13080360867914
1739209614.1502557;-45.120503652039325
1739209614.150261;-38.13080360867914
1739209614.150266;-38.13080360867914
1739209614.1502712;-38.13080360867914
1739209614.1502764;-38.13080360867914
1739209614.1502814;-38.13080360867914
1739209614.1502867;-33.981070128970906
1739209614.1502917;-38.13080360867914
1739209614.150297;-38.13080360867914
1739209614.1503022;-38.13080360867914
1739209614.1503072;-38.13080360867914
1739209614.1503124;-45.120503652039325
1739209614.1503174;-38.13080360867914
1739209614.1503227;-38.13080360867914
1739209614.150328;-45.120503652039325
1739209614.150333;-38.13080360867914
1739209614.1503382;-35.57807855764607
1739209614.1503432;-35.57807855764607
1739209614.1503484;-45.120503652039325
1739209614.1503534;-38.13080360867914
1739209614.1503587;-45.120503652039325
1739209614.150364;-45.120503652039325
1739209614.150369;-38.13080360867914
1739209614.1503742;-38.13080360867914
1739209614.1503792;-38.13080360867914
1739209614.1503844;-45.120503652039325
1739209614.1503897;-35.57807855764607
1739209614.1503947;-38.13080360867914
1739209614.1504;-45.120503652039325
1739209614.150405;-45.120503652039325
1739209614.1504102;-32.816014438256545
1739209614.1504154;-35.57807855764607
1739209614.1504204;-45.120503652039325
1739209614.1504257;-45.120503652039325
1739209614.1504307;-45.120503652039325
1739209614.150436;-45.120503652039325
1739209614.1504412;-45.120503652039325
1739209614.1504462;-38.13080360867914
1739209614.1504514;-38.13080360867914
1739209614.1504564;-45.120503652039325
1739209614.1504617;-45.120503652039325
1739209614.1504667;-45.120503652039325
1739209614.150472;-31.141103565318893
1739209614.1504772;-38.13080360867914
1739209614.1504822;-45.120503652039325
1739209614.1504874;-45.120503652039325
1739209614.1504924;-35.57807855764607
1739209614.1504977;-45.120503652039325
1739209614.150503;-45.120503652039325
1739209614.150508;-38.13080360867914
1739209614.1505132;-45.120503652039325
1739209614.1505182;-45.120503652039325
1739209614.1505234;-45.120503652039325
1739209614.1505287;-45.120503652039325
1739209614.1505337;-45.120503652039325
1739209614.150539;-45.120503652039325
1739209614.150544;-35.57807855764607
1739209614.1505492;-35.57807855764607
1739209614.1505542;-45.120503652039325
1739209614.1505594;-45.120503652039325
1739209614.1505647;-45.120503652039325
1739209614.1505697;-38.13080360867914
1739209614.150575;-38.13080360867914
1739209614.15058;-38.13080360867914
1739209614.1505852;-35.57807855764607
1739209614.1505904;-45.120503652039325
1739209614.1505954;-29.438486411369333
1739209614.1506007;-31.141103565318893
1739209614.1506057;-45.120503652039325
1739209614.150611;-45.120503652039325
1739209614.1506162;-45.120503652039325
1739209614.1506212;-38.13080360867914
1739209614.1506264;-45.120503652039325
1739209614.1506314;-38.13080360867914
1739209614.1506367;-45.120503652039325
1739209614.150642;-45.120503652039325
1739209614.150647;-38.13080360867914
1739209614.1506522;-45.120503652039325
1739209614.1506572;-45.120503652039325
1739209614.1506624;-45.120503652039325
1739209614.1506674;-38.13080360867914
1739209614.1506727;-45.120503652039325
1739209614.150678;-31.141103565318893
1739209614.150683;-32.816014438256545
1739209614.1506882;-45.120503652039325
1739209614.1506932;-38.13080360867914
1739209614.1506984;-35.57807855764607
1739209614.1507037;-33.981070128970906
1739209614.1507087;-45.120503652039325
1739209614.150714;-38.13080360867914
1739209614.150719;-38.13080360867914
1739209614.1507242;-35.57807855764607
1739209614.1507294;-38.13080360867914
1739209614.1507344;-38.13080360867914
1739209614.1507397;-35.57807855764607
1739209614.1507447;-33.981070128970906
1739209614.15075;-45.120503652039325
1739209614.1507552;-45.120503652039325
1739209614.1507602;-45.120503652039325
1739209614.1507654;-45.120503652039325
1739209614.1507704;-45.120503652039325
1739209614.1507757;-38.13080360867914
1739209614.1507807;-38.13080360867914
1739209614.150786;-45.120503652039325
1739209614.1507912;-45.120503652039325
1739209614.1507962;-45.120503652039325
1739209614.1508014;-33.981070128970906
1739209614.1508064;-28.992665084841942
1739209614.1508117;-45.120503652039325
1739209614.150817;-45.120503652039325
1739209614.150822;-38.13080360867914
1739209614.1508272;-32.816014438256545
1739209614.1508322;-45.120503652039325
1739209614.1508374;-38.13080360867914
1739209614.1508427;-38.13080360867914
1739209614.1508477;-32.81601443825658
1739209614.150853;-38.13080360867914
1739209614.150858;-33.981070128970906
1739209614.1508632;-45.120503652039325
1739209614.1508682;-45.120503652039325
1739209614.1508734;-45.120503652039325
1739209614.1508787;-45.120503652039325
1739209614.1508837;-38.13080360867914
1739209614.150889;-31.141103565318915
1739209614.150894;-38.13080360867914
1739209614.1508992;-38.13080360867914
1739209614.1509044;-45.120503652039325
1739209614.1509094;-38.13080360867914
1739209614.1509147;-45.120503652039325
1739209614.1509197;-45.120503652039325
1739209614.150925;-45.120503652039325
1739209614.1509302;-38.13080360867914
1739209614.1509352;-45.120503652039325
1739209614.1509404;-45.120503652039325
1739209614.1509454;-38.13080360867914
1739209614.1509507;-32.816014438256545
1739209614.150956;-45.120503652039325
1739209614.150961;-45.120503652039325
1739209614.1509662;-45.120503652039325
1739209614.1509712;-45.120503652039325
1739209614.1509764;-45.120503652039325
