CAN Message; 0x62:0800359b5dcba0ff
Timestamp;Amplitude
1739209914.5216806;-38.13080360867914
1739209914.5216858;-38.13080360867914
1739209914.5216913;-38.13080360867914
1739209914.5216968;-38.13080360867914
1739209914.521702;-35.57807855764607
1739209914.5217075;-45.120503652039325
1739209914.521713;-45.120503652039325
1739209914.5217185;-38.13080360867914
1739209914.5217237;-38.13080360867914
1739209914.5217292;-38.13080360867914
1739209914.5217347;-33.981070128970906
1739209914.52174;-45.120503652039325
1739209914.5217454;-45.120503652039325
1739209914.521751;-38.13080360867914
1739209914.5217562;-45.120503652039325
1739209914.5217617;-45.120503652039325
1739209914.5217671;-38.13080360867914
1739209914.5217726;-31.141103565318915
1739209914.5217779;-31.141103565318915
1739209914.5217834;-38.13080360867914
1739209914.5217888;-45.120503652039325
1739209914.521794;-38.13080360867914
1739209914.5217996;-38.13080360867914
1739209914.521805;-45.120503652039325
1739209914.5218103;-35.57807855764607
1739209914.5218158;-33.981070128970906
1739209914.5218213;-32.816014438256545
1739209914.5218265;-45.120503652039325
1739209914.521832;-38.13080360867914
1739209914.5218375;-32.816014438256545
1739209914.521843;-33.981070128970906
1739209914.5218482;-45.120503652039325
1739209914.5218537;-33.981070128970906
1739209914.5218592;-31.141103565318915
1739209914.5218644;-29.438486411369347
1739209914.52187;-45.120503652039325
1739209914.5218754;-45.120503652039325
1739209914.5218806;-33.981070128970906
1739209914.521886;-33.981070128970906
1739209914.5218916;-38.13080360867914
1739209914.521897;-32.816014438256545
1739209914.5219023;-33.981070128970906
1739209914.5219078;-38.13080360867914
1739209914.5219133;-33.981070128970906
1739209914.5219185;-38.13080360867914
1739209914.521924;-38.13080360867914
1739209914.5219295;-45.120503652039325
1739209914.5219347;-45.120503652039325
1739209914.5219402;-38.13080360867914
1739209914.5219457;-35.57807855764607
1739209914.5219512;-38.13080360867914
1739209914.5219564;-45.120503652039325
1739209914.521962;-35.57807855764607
1739209914.5219674;-35.57807855764607
1739209914.5219727;-45.120503652039325
1739209914.5219781;-38.13080360867914
1739209914.5219836;-38.13080360867914
1739209914.5219889;-38.13080360867914
1739209914.5219944;-32.816014438256545
1739209914.5219998;-45.120503652039325
1739209914.522005;-38.13080360867914
1739209914.5220106;-45.120503652039325
1739209914.522016;-38.13080360867914
1739209914.5220215;-35.57807855764607
1739209914.5220268;-45.120503652039325
1739209914.5220323;-45.120503652039325
1739209914.5220377;-28.992665084841942
1739209914.522043;-38.13080360867914
1739209914.5220485;-45.120503652039325
1739209914.522054;-38.13080360867914
1739209914.5220592;-38.13080360867914
1739209914.5220647;-45.120503652039325
1739209914.5220702;-45.120503652039325
1739209914.5220757;-45.120503652039325
1739209914.522081;-31.141103565318943
1739209914.5220864;-45.120503652039325
1739209914.5220919;-38.13080360867914
1739209914.522097;-45.120503652039325
1739209914.5221026;-38.13080360867914
1739209914.522108;-35.57807855764607
1739209914.5221133;-38.13080360867914
1739209914.5221188;-38.13080360867914
1739209914.5221243;-27.267205301931607
1739209914.5221295;-38.13080360867914
1739209914.522135;-45.120503652039325
1739209914.5221405;-45.120503652039325
1739209914.522146;-45.120503652039325
1739209914.5221512;-45.120503652039325
1739209914.5221567;-45.120503652039325
1739209914.5221622;-38.13080360867914
1739209914.5221674;-38.13080360867914
1739209914.522173;-45.120503652039325
1739209914.5221784;-33.981070128970906
1739209914.5221837;-45.120503652039325
1739209914.5221891;-45.120503652039325
1739209914.5221946;-38.13080360867914
1739209914.5222;-38.13080360867914
1739209914.5222054;-35.57807855764607
1739209914.5222108;-32.816014438256545
1739209914.5222163;-32.816014438256545
1739209914.5222216;-45.120503652039325
1739209914.522227;-33.981070128970906
1739209914.5222325;-35.57807855764607
1739209914.5222378;-45.120503652039325
1739209914.5222433;-38.13080360867914
1739209914.5222487;-38.13080360867914
1739209914.5222542;-45.120503652039325
1739209914.5222595;-45.120503652039325
1739209914.522265;-35.57807855764607
1739209914.5222704;-45.120503652039325
1739209914.5222757;-38.13080360867914
1739209914.5222812;-45.120503652039325
1739209914.5222867;-45.120503652039325
1739209914.522292;-38.13080360867914
1739209914.5222974;-45.120503652039325
1739209914.5223029;-38.13080360867914
1739209914.522308;-38.13080360867914
1739209914.5223136;-38.13080360867914
1739209914.522319;-38.13080360867914
1739209914.5223246;-38.13080360867914
1739209914.5223298;-35.57807855764607
1739209914.5223353;-38.13080360867914
1739209914.5223408;-35.57807855764607
1739209914.522346;-38.13080360867914
1739209914.5223515;-38.13080360867914
1739209914.522357;-45.120503652039325
1739209914.5223622;-35.57807855764607
1739209914.5223677;-38.13080360867914
1739209914.5223732;-38.13080360867914
1739209914.5223787;-32.816014438256545
1739209914.522384;-45.120503652039325
1739209914.5223894;-45.120503652039325
1739209914.522395;-35.57807855764607
1739209914.5224001;-45.120503652039325
1739209914.5224056;-38.13080360867914
1739209914.522411;-38.13080360867914
1739209914.5224164;-38.13080360867914
1739209914.5224218;-45.120503652039325
1739209914.5224273;-35.57807855764607
1739209914.5224326;-38.13080360867914
1739209914.522438;-45.120503652039325
1739209914.5224435;-45.120503652039325
1739209914.522449;-33.981070128970906
1739209914.5224543;-33.981070128970906
1739209914.5224597;-45.120503652039325
1739209914.5224652;-38.13080360867914
1739209914.5224705;-38.13080360867914
1739209914.522476;-45.120503652039325
1739209914.5224814;-45.120503652039325
1739209914.5224867;-38.13080360867914
1739209914.5224922;-38.13080360867914
1739209914.5224977;-38.13080360867914
1739209914.5225031;-38.13080360867914
1739209914.5225084;-45.120503652039325
1739209914.5225139;-38.13080360867914
1739209914.5225194;-35.57807855764607
1739209914.5225246;-45.120503652039325
1739209914.52253;-45.120503652039325
1739209914.5225356;-45.120503652039325
1739209914.5225408;-45.120503652039325
